time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,80,73,79,90,49,0,72,10,81,64,27,8,61,23,66,80,61,54,76,42,97,,False,False
2019-01-13,90,72,81,76,56,0,65,29,88,67,27,14,83,53,81,98,30,66,78,56,75,,False,False
2019-01-20,79,68,85,85,74,0,61,29,66,47,13,12,51,23,59,82,30,18,78,68,68,,False,False
2019-01-27,81,68,87,76,48,0,59,39,69,72,39,14,43,76,65,75,45,48,72,69,68,,False,False
2019-02-03,82,65,77,95,69,0,64,9,44,54,26,12,72,69,50,93,33,53,69,27,74,,False,False
2019-02-10,80,68,72,80,63,0,65,38,57,32,52,18,43,81,55,77,33,47,86,55,74,,False,False
2019-02-17,87,69,77,90,57,0,86,57,86,45,13,15,43,52,72,84,30,29,73,14,86,,False,False
2019-02-24,82,75,76,77,53,0,63,19,59,44,26,14,46,67,69,82,40,35,72,40,58,,False,False
2019-03-03,83,78,88,84,56,0,56,87,66,55,27,11,65,54,64,81,26,30,80,0,59,,False,False
2019-03-10,77,69,80,73,68,0,57,0,66,55,53,15,35,45,65,79,34,59,72,69,57,,False,False
2019-03-17,78,78,74,77,69,0,48,19,56,38,0,9,69,100,77,76,11,48,72,69,44,,False,False
2019-03-24,79,79,76,77,59,1,58,10,62,53,27,14,60,85,55,69,48,53,74,82,41,,False,False
2019-03-31,80,82,79,88,40,0,52,10,53,45,13,12,69,31,56,72,52,41,76,55,42,,False,False
2019-04-07,79,88,81,86,56,0,53,0,81,59,27,14,52,31,73,100,26,24,78,83,36,,False,False
2019-04-14,87,84,86,93,80,0,49,30,72,38,28,13,45,40,57,81,20,50,89,29,53,,False,False
2019-04-21,83,82,84,88,58,0,55,59,63,62,14,16,66,87,63,73,53,97,77,57,59,,False,False
2019-04-28,83,86,69,89,83,0,49,29,43,44,27,14,52,54,78,70,23,60,80,42,45,,False,False
2019-05-05,80,84,78,99,73,0,63,19,53,53,26,7,48,30,66,91,45,83,84,69,57,,False,False
2019-05-12,80,90,72,81,71,0,64,19,61,50,0,11,39,84,51,63,56,36,85,28,51,,False,False
2019-05-19,75,80,79,82,45,0,48,38,58,60,26,10,30,68,67,70,33,59,91,55,59,,False,False
2019-05-26,78,76,86,60,72,0,64,19,71,75,53,9,34,83,54,89,26,18,89,27,63,,False,False
2019-06-02,76,87,77,67,66,0,56,19,52,54,26,9,55,75,60,94,22,47,70,68,71,,False,False
2019-06-09,77,88,85,65,68,0,60,9,78,52,13,10,38,23,51,85,44,81,64,0,56,,False,False
2019-06-16,81,90,89,62,55,0,60,29,80,44,13,11,82,62,84,90,34,54,57,69,61,,False,False
2019-06-23,83,82,78,54,46,1,58,9,71,52,13,10,34,23,51,71,22,52,73,54,60,,False,False
2019-06-30,84,90,85,58,57,0,57,48,88,38,27,7,65,69,50,81,34,36,63,97,86,,False,False
2019-07-07,89,88,86,67,73,1,73,29,50,51,0,10,34,23,59,78,15,100,73,82,92,,False,False
2019-07-14,81,93,87,55,67,0,73,49,71,40,27,12,48,31,66,66,30,60,75,56,77,,False,False
2019-07-21,85,87,88,67,66,0,69,20,61,38,0,14,59,47,57,81,23,56,87,72,81,,False,False
2019-07-28,87,86,85,79,71,1,71,10,63,63,69,10,62,87,79,70,54,43,78,14,74,,False,False
2019-08-04,84,84,92,55,73,0,60,20,71,50,28,12,62,39,65,85,49,73,82,85,63,,False,False
2019-08-11,84,98,89,71,46,0,47,29,67,59,27,12,70,23,68,86,38,66,77,42,73,,False,False
2019-08-18,88,88,78,76,63,0,58,48,66,47,0,10,51,69,74,91,37,59,59,82,79,,False,False
2019-08-25,89,84,79,63,80,1,61,38,96,49,26,9,43,45,83,94,33,94,83,54,84,,False,False
2019-09-01,87,85,77,62,64,0,69,28,89,67,25,13,62,29,66,67,54,46,73,53,57,,False,False
2019-09-08,82,94,75,83,50,1,53,9,64,47,0,9,41,51,100,80,43,79,71,26,63,,False,False
2019-09-15,86,94,79,90,54,1,45,9,48,57,13,13,62,44,72,86,39,63,100,53,61,,False,False
2019-09-22,81,81,74,78,67,0,55,18,68,52,0,11,49,36,85,91,35,67,77,0,60,,False,False
2019-09-29,82,79,75,83,87,0,86,36,82,43,13,13,77,44,96,90,35,39,68,26,65,,False,False
2019-10-06,82,76,79,88,100,0,67,9,79,45,25,10,24,72,70,80,28,73,76,39,76,,False,False
2019-10-13,84,85,70,76,59,1,55,9,53,41,37,14,33,14,80,87,39,56,70,39,62,,False,False
2019-10-20,77,74,79,72,72,0,55,36,88,58,50,12,52,36,71,77,21,66,71,26,58,,False,False
2019-10-27,85,74,83,65,66,0,64,18,84,46,25,13,48,7,58,60,45,39,65,0,51,,False,False
2019-11-03,100,88,100,100,75,1,97,27,83,72,12,12,52,79,64,93,31,38,90,13,84,,False,False
2019-11-10,94,80,94,89,86,1,72,18,76,54,12,12,72,42,71,77,100,38,91,26,76,,False,False
2019-11-17,78,75,77,85,66,0,63,36,64,59,25,8,53,43,88,77,63,45,71,65,65,,False,False
2019-11-24,84,66,80,61,48,0,73,26,66,47,0,7,55,42,70,69,68,49,67,76,69,,False,False
2019-12-01,80,68,75,85,60,0,60,27,80,58,25,11,68,35,61,71,62,22,69,51,77,,False,False
2019-12-08,78,62,80,81,64,0,61,18,68,50,25,12,49,64,62,78,64,45,65,79,54,,False,False
2019-12-15,80,64,82,64,63,0,82,18,86,47,0,11,45,58,65,63,81,45,74,78,60,,False,False
2019-12-22,87,57,88,56,60,0,66,10,68,84,0,10,18,31,88,65,38,55,73,28,97,,False,False
2019-12-29,86,63,83,66,68,0,66,28,78,65,39,14,55,46,48,79,77,23,88,54,100,,False,False
2020-01-05,79,67,75,61,65,0,89,9,80,48,24,13,43,28,51,73,54,38,70,13,83,,False,False
2020-01-12,78,61,74,70,73,1,52,8,58,46,23,13,41,40,59,74,10,41,73,60,85,,False,False
2020-01-19,77,71,76,72,57,0,53,53,65,36,12,22,51,21,53,64,37,32,73,13,58,,False,False
2020-01-26,76,63,78,82,53,1,60,34,40,39,36,29,69,48,48,77,46,32,74,49,88,,False,False
2020-02-02,75,61,70,74,58,3,74,42,47,43,35,22,23,14,49,52,33,37,71,24,67,,False,False
2020-02-09,77,69,77,56,70,1,59,17,73,33,24,22,60,81,56,53,39,36,77,36,57,,False,False
2020-02-16,74,67,72,69,77,1,47,42,61,45,35,22,30,27,61,62,49,42,85,85,79,,False,False
2020-02-23,78,64,68,77,49,1,51,8,55,55,58,33,48,53,51,76,48,36,71,36,63,,False,False
2020-03-01,77,73,83,86,53,3,49,8,55,47,23,49,48,39,63,63,32,56,68,24,72,,False,False
2020-03-08,75,65,76,59,44,1,67,81,63,48,23,76,40,26,33,62,22,35,64,82,62,,False,False
2020-03-15,76,58,69,54,57,1,52,8,75,55,100,100,36,64,51,69,34,25,67,80,54,,False,False
2020-03-22,82,58,64,69,60,1,52,24,72,69,32,86,35,31,61,83,58,24,75,79,49,,False,False
2020-03-29,87,65,75,84,59,0,63,8,96,95,32,64,38,43,75,85,54,24,80,56,55,,False,False
2020-04-05,87,70,79,89,73,1,62,40,77,75,32,70,57,51,49,85,37,5,78,34,49,,False,False
2020-04-12,86,81,82,82,80,0,76,39,73,96,43,49,49,38,66,88,61,29,81,45,45,,False,False
2020-04-19,86,79,88,85,42,0,76,31,74,78,43,49,73,31,59,85,63,29,83,100,48,,False,False
2020-04-26,83,95,84,76,78,0,49,23,75,74,32,25,42,49,69,89,42,29,81,56,53,,False,False
2020-05-03,82,100,83,70,60,0,54,15,100,53,32,25,42,37,52,73,48,10,83,22,50,,False,False
2020-05-10,74,84,76,76,54,0,52,8,62,51,0,27,39,31,64,66,52,29,87,67,57,,False,False
2020-05-17,74,98,78,65,60,0,63,55,74,67,54,19,46,19,50,66,52,10,70,68,57,,False,False
2020-05-24,74,93,78,52,69,0,62,48,53,47,45,16,85,50,49,67,40,39,72,11,72,,False,False
2020-05-31,70,76,76,55,62,1,61,100,51,48,21,12,100,74,43,56,51,38,64,33,72,,False,False
2020-06-07,69,91,78,57,51,0,61,47,52,45,0,12,74,19,58,68,34,24,59,11,71,,False,False
2020-06-14,70,87,74,65,69,1,63,72,54,66,0,21,65,64,65,59,40,15,71,23,62,,False,False
2020-06-21,73,83,79,64,60,0,61,90,34,31,11,16,70,33,52,66,19,15,69,24,74,,False,False
2020-06-28,71,83,72,49,52,0,69,33,54,42,23,19,37,52,43,65,28,30,68,0,48,,False,False
2020-07-05,75,82,79,52,65,0,66,50,62,55,34,18,44,26,71,75,38,10,64,0,61,,False,False
2020-07-12,77,83,73,60,55,1,62,34,65,55,35,26,41,81,60,66,29,21,69,60,55,,False,False
2020-07-19,73,84,82,53,54,1,58,17,68,67,12,15,50,20,56,71,30,32,64,12,71,,False,False
2020-07-26,73,80,73,57,52,1,56,78,69,70,12,16,39,75,62,70,50,64,70,25,66,,False,False
2020-08-02,74,87,83,59,63,1,66,17,58,53,23,21,53,40,79,57,29,42,62,36,64,,False,False
2020-08-09,72,82,83,50,56,1,72,41,53,47,23,14,59,46,79,57,26,20,66,59,62,,False,False
2020-08-16,73,79,70,59,62,3,54,67,73,56,23,17,52,47,65,63,29,72,63,95,59,,False,False
2020-08-23,76,81,68,78,71,1,67,66,57,57,45,12,99,26,72,72,64,51,72,35,61,,False,False
2020-08-30,82,79,77,73,47,1,70,49,49,53,22,14,83,19,61,75,47,20,67,46,72,,False,False
2020-09-06,73,74,76,79,73,0,62,25,63,55,11,14,59,39,57,88,44,61,74,59,67,,False,False
2020-09-13,75,73,72,80,51,1,56,32,89,52,22,16,40,45,73,72,31,59,67,12,52,,False,False
2020-09-20,73,75,72,74,82,1,57,32,80,68,44,11,57,31,56,89,28,44,59,46,58,,False,False
2020-09-27,73,68,63,70,38,2,100,49,57,44,0,14,55,13,57,61,45,61,78,59,55,,False,False
2020-10-04,74,64,67,56,54,3,79,91,44,46,0,13,56,13,71,68,26,20,70,71,51,,False,False
2020-10-11,67,73,60,50,48,2,61,44,58,34,12,11,35,49,75,59,34,43,60,50,50,,False,False
2020-10-18,68,68,60,53,40,4,72,17,53,54,24,12,42,21,85,63,27,64,61,49,58,,False,False
2020-10-25,68,61,65,61,86,3,68,69,66,41,36,14,27,21,57,67,40,27,68,25,55,,False,False
2020-11-01,63,52,52,45,78,100,97,16,40,48,22,11,36,57,57,57,41,35,53,23,67,,False,False
2020-11-08,72,68,70,54,55,12,96,52,47,100,35,19,58,34,57,64,47,11,75,12,66,,False,False
2020-11-15,68,66,71,51,54,3,67,26,64,57,12,14,54,41,45,51,53,32,68,37,51,,False,False
2020-11-22,71,58,62,40,46,1,67,43,62,89,35,11,31,27,55,64,73,5,66,49,60,,False,False
2020-11-29,71,58,68,57,49,1,58,8,58,83,47,16,49,40,73,63,39,36,53,72,60,,False,False
2020-12-06,68,57,62,49,67,1,53,26,47,79,35,17,38,68,56,60,69,5,69,12,52,,False,False
2020-12-13,65,55,73,59,51,1,68,0,62,75,60,29,54,76,72,75,67,21,70,50,53,,False,False
2020-12-20,76,53,66,55,59,0,94,19,80,48,13,21,34,59,66,72,44,41,79,14,59,,False,False
