time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,98,75,89,77,64,0,67,22,88,53,90,8,44,48,61,77,46,69,90,61,45,n/a,False,False
2019-01-13,95,78,86,88,75,0,63,27,78,48,54,8,51,46,57,81,43,61,88,45,52,n/a,False,False
2019-01-20,95,77,83,82,66,0,58,30,72,46,100,8,41,41,58,82,36,58,84,73,34,n/a,False,False
2019-01-27,93,77,84,83,67,0,60,24,74,49,50,9,47,48,58,78,38,54,85,73,42,n/a,False,False
2019-02-03,95,76,86,87,63,0,60,30,65,46,43,9,34,48,54,75,36,59,85,47,57,n/a,False,False
2019-02-10,98,77,83,87,62,0,64,23,67,49,43,10,46,51,58,74,45,57,84,46,59,n/a,False,False
2019-02-17,100,80,85,84,66,0,75,27,78,48,29,8,52,50,63,75,43,55,89,62,100,n/a,False,False
2019-02-24,100,78,86,82,55,0,68,32,76,48,29,10,40,54,59,75,37,53,88,56,45,n/a,False,False
2019-03-03,96,82,85,83,68,0,57,52,65,46,44,9,40,51,58,70,40,58,99,60,48,n/a,False,False
2019-03-10,95,75,83,73,60,0,60,26,66,44,39,9,41,61,56,69,44,81,88,58,59,n/a,False,False
2019-03-17,92,81,83,74,59,0,54,13,70,42,37,7,39,69,53,75,35,75,84,68,29,n/a,False,False
2019-03-24,92,80,88,82,65,0,59,20,72,50,36,9,44,100,57,73,39,64,82,63,22,n/a,False,False
2019-03-31,98,81,84,81,67,0,51,21,66,46,41,9,39,50,54,71,35,60,82,60,19,n/a,False,False
2019-04-07,93,78,85,85,75,0,49,24,73,42,30,10,46,48,50,75,49,83,83,60,31,n/a,False,False
2019-04-14,96,79,89,99,70,0,52,15,66,43,44,9,38,45,56,77,44,76,97,52,28,n/a,False,False
