time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,97,66,97,82,77,0,68,11,87,61,77,8,53,39,59,88,46,76,88,47,56,n/a,False,False
2019-01-13,93,68,96,89,70,0,64,24,86,57,54,9,48,38,63,90,41,60,83,55,48,n/a,False,False
2019-01-20,93,66,94,83,70,0,57,20,73,61,59,8,48,35,62,85,53,65,88,51,67,n/a,False,False
2019-01-27,90,67,91,90,66,0,64,25,79,66,79,9,50,37,62,87,48,58,81,87,55,n/a,False,False
2019-02-03,92,70,91,86,68,0,55,28,69,59,70,9,48,32,59,88,43,65,83,73,71,n/a,False,False
2019-02-10,94,67,89,91,71,0,60,27,83,58,46,9,52,42,56,86,40,54,81,46,58,n/a,False,False
2019-02-17,97,68,93,89,72,0,75,33,80,61,68,10,56,50,61,87,45,60,86,75,75,n/a,False,False
2019-02-24,100,70,91,88,58,0,66,26,73,61,50,9,53,48,61,84,41,56,89,71,66,n/a,False,False
2019-03-03,99,72,93,87,61,0,57,58,79,53,59,10,53,60,64,82,38,66,95,72,69,n/a,False,False
2019-03-10,94,71,90,80,68,0,64,28,86,59,61,8,48,56,60,83,51,86,89,64,93,n/a,False,False
2019-03-17,89,71,90,77,64,0,52,16,79,48,66,8,49,70,52,79,42,81,79,50,42,n/a,False,False
2019-03-24,88,74,91,69,55,0,47,20,66,48,74,7,54,100,52,84,44,62,76,52,42,n/a,False,False
2019-03-31,94,71,87,86,70,0,52,25,64,51,52,8,45,45,57,86,43,66,80,65,37,n/a,False,False
2019-04-07,90,72,87,87,61,0,49,24,73,48,37,9,52,39,52,88,41,68,80,48,70,n/a,False,False
2019-04-14,93,74,91,100,76,0,49,16,67,56,84,8,51,38,56,85,50,74,87,68,41,n/a,False,False
2019-04-21,92,73,85,96,71,0,47,29,65,52,61,8,51,39,58,91,49,100,80,54,39,n/a,False,False
2019-04-28,96,68,90,98,80,0,50,17,69,47,67,9,51,41,62,88,46,91,85,58,53,n/a,False,False
2019-05-05,89,72,88,96,71,1,51,22,74,51,76,8,50,49,65,83,45,84,82,61,50,n/a,False,False
2019-05-12,88,74,88,96,70,0,52,24,64,52,49,8,48,48,58,86,40,62,86,62,39,n/a,False,False
2019-05-19,88,70,86,95,64,0,50,16,73,53,61,7,44,54,61,86,49,66,85,100,58,n/a,False,False
2019-05-26,88,69,84,65,61,0,48,18,81,50,61,7,46,55,49,85,38,67,77,35,53,n/a,False,False
2019-06-02,87,74,90,60,71,0,50,14,64,52,51,7,49,61,55,85,35,62,73,62,40,n/a,False,False
2019-06-09,86,72,84,58,66,0,52,17,64,60,55,6,43,45,49,84,41,65,72,57,35,n/a,False,False
2019-06-16,91,75,88,59,64,0,54,12,68,49,79,8,50,42,54,85,45,55,75,40,53,n/a,False,False
2019-06-23,88,74,87,59,68,1,48,15,76,53,54,6,53,36,50,82,40,69,75,49,34,n/a,False,False
2019-06-30,88,76,89,55,73,0,50,18,68,45,42,6,41,37,52,77,40,66,71,56,43,n/a,False,False
2019-07-07,93,80,89,55,64,0,51,22,66,45,79,7,56,43,54,78,42,68,80,51,30,n/a,False,False
2019-07-14,90,81,93,56,78,0,54,20,77,46,23,6,53,43,55,81,42,51,75,55,36,n/a,False,False
2019-07-21,94,81,89,59,81,0,51,17,75,51,38,6,69,37,58,78,44,56,81,49,36,n/a,False,False
2019-07-28,92,79,90,58,81,1,46,22,75,52,81,6,48,36,58,83,37,67,86,85,31,n/a,False,False
2019-08-04,91,77,95,64,77,0,53,17,81,45,58,7,57,39,57,78,44,64,75,70,30,n/a,False,False
2019-08-11,92,83,92,72,67,0,52,16,71,50,77,7,56,31,55,80,42,58,80,77,28,n/a,False,False
2019-08-18,90,86,91,70,68,0,51,19,73,48,63,8,48,40,58,90,47,69,79,57,30,n/a,False,False
2019-08-25,91,87,86,70,66,0,53,18,82,56,41,7,46,34,62,91,47,75,76,53,25,n/a,False,False
2019-09-01,93,97,84,78,75,0,51,21,86,67,61,7,46,41,59,87,44,74,78,55,33,n/a,False,False
2019-09-08,91,99,86,79,63,1,52,20,66,52,47,7,55,35,100,92,47,74,76,40,29,n/a,False,False
2019-09-15,91,100,84,79,69,0,50,15,67,51,63,8,53,37,80,93,45,72,92,70,23,n/a,False,False
2019-09-22,92,85,79,80,70,0,63,14,65,51,51,7,51,39,76,81,36,69,81,51,25,n/a,False,False
2019-09-29,89,69,81,81,84,0,58,22,68,43,67,8,49,36,74,85,37,66,77,49,39,n/a,False,False
2019-10-06,89,69,79,81,90,0,55,20,69,51,57,9,50,28,69,82,41,84,81,50,68,n/a,False,False
2019-10-13,90,68,81,77,77,1,57,14,65,49,58,8,43,31,62,87,44,68,80,50,43,n/a,False,False
2019-10-20,88,70,82,82,78,1,51,24,65,49,61,8,43,35,62,85,39,79,75,54,73,n/a,False,False
2019-10-27,93,67,82,78,75,1,59,16,76,54,64,7,47,31,61,84,55,84,80,43,100,n/a,False,False
2019-11-03,91,68,85,90,67,3,58,19,74,54,89,7,51,33,68,87,37,78,78,83,47,n/a,False,False
2019-11-10,92,68,84,81,68,0,57,16,69,54,63,8,46,35,66,82,70,64,85,57,51,n/a,False,False
2019-11-17,92,68,82,86,66,1,52,20,70,55,69,9,45,33,60,81,87,62,82,73,61,n/a,False,False
2019-11-24,87,62,81,55,60,0,54,9,73,83,41,6,40,34,65,74,69,61,73,57,91,n/a,False,False
2019-12-01,86,63,90,79,62,0,53,23,68,60,44,7,46,42,74,85,73,74,70,46,48,n/a,False,False
2019-12-08,92,62,86,85,57,0,50,22,69,66,79,8,51,44,68,81,61,67,77,82,50,n/a,False,False
2019-12-15,95,63,87,77,66,1,78,16,71,70,57,9,48,47,71,81,77,59,78,60,47,n/a,False,False
2019-12-22,95,62,91,62,70,0,54,11,84,86,35,8,40,38,70,81,100,63,85,41,52,n/a,False,False
2019-12-29,99,65,100,63,72,0,65,13,95,63,56,8,48,40,56,85,85,74,86,41,43,n/a,False,False
2020-01-05,93,64,93,67,74,0,70,18,76,56,81,8,50,35,51,81,59,57,90,54,42,n/a,False,False
2020-01-12,88,67,90,75,67,1,56,16,72,54,41,9,50,43,61,75,47,62,83,46,42,n/a,False,False
2020-01-19,90,64,89,75,69,0,55,24,79,49,65,15,51,44,57,81,48,61,83,48,37,n/a,False,False
2020-01-26,88,64,83,80,62,0,51,17,65,45,62,23,47,53,48,81,49,65,74,51,46,n/a,False,False
2020-02-02,89,61,81,77,65,4,63,24,64,47,59,15,50,34,54,83,46,64,83,59,93,n/a,False,False
2020-02-09,94,63,85,76,63,2,57,20,64,46,61,16,49,33,60,72,51,51,74,57,67,n/a,False,False
2020-02-16,87,69,89,79,58,2,51,22,64,55,94,13,46,33,57,77,46,53,80,41,59,n/a,False,False
2020-02-23,86,66,88,93,59,2,44,27,65,49,70,24,42,30,57,75,48,60,79,56,53,n/a,False,False
2020-03-01,84,65,83,77,63,6,45,25,76,50,59,43,41,35,59,76,46,54,77,57,44,n/a,False,False
2020-03-08,85,66,85,76,59,1,60,38,66,48,77,79,47,31,51,74,47,52,78,48,49,9.0,False,False
2020-03-15,83,52,82,64,62,1,59,15,95,74,64,100,43,29,45,85,48,66,73,98,45,131.0,False,False
2020-03-22,85,54,77,68,66,0,57,16,96,71,82,80,40,25,51,88,56,36,77,83,35,591.0,False,False
2020-03-29,92,54,80,80,67,0,58,19,100,80,95,62,39,25,57,100,56,30,81,100,37,2307.0,True,False
2020-04-05,95,58,78,80,70,0,52,20,89,83,100,59,39,26,52,95,68,35,81,86,38,4950.0,True,False
2020-04-12,98,61,83,87,75,0,62,22,89,95,76,46,38,26,66,94,72,38,100,72,51,7303.0,False,False
2020-04-19,92,66,85,83,72,0,54,21,80,80,92,36,46,29,63,92,60,51,83,66,38,9730.0,False,False
2020-04-26,91,70,92,74,72,0,55,16,77,75,72,26,50,26,58,89,54,46,85,71,32,13441.0,False,False
2020-05-03,92,72,96,82,68,0,47,17,79,67,81,24,50,34,59,87,53,31,81,74,34,16635.0,False,False
2020-05-10,89,75,94,75,73,0,54,21,85,74,64,21,50,33,61,89,48,37,90,71,44,19703.0,False,False
2020-05-17,83,79,92,69,72,0,53,22,74,63,68,19,47,31,52,74,48,31,79,76,34,21938.0,False,False
2020-05-24,85,81,93,61,73,0,57,24,76,61,61,16,80,41,56,74,48,32,80,38,43,24174.0,False,False
2020-05-31,79,77,87,64,66,1,65,100,67,61,37,14,100,38,50,69,43,31,74,47,44,26378.0,False,False
2020-06-07,81,80,91,67,62,1,55,69,64,71,34,14,85,41,55,74,48,35,75,47,41,28001.0,False,False
2020-06-14,82,81,92,65,58,1,60,46,66,69,75,14,71,32,60,65,42,31,75,48,38,29130.0,False,False
2020-06-21,82,83,93,63,62,1,62,86,64,60,67,16,58,26,55,73,46,48,80,54,40,30539.0,False,False
2020-06-28,84,80,88,59,68,1,70,30,67,54,38,17,62,24,56,77,45,38,76,37,34,32307.0,False,False
2020-07-05,84,83,86,58,68,0,64,37,72,53,57,18,53,30,55,72,51,34,72,50,31,34065.0,False,False
2020-07-12,86,86,88,60,64,0,74,25,65,56,54,19,55,35,62,78,42,43,79,42,38,36913.0,False,False
2020-07-19,88,86,92,60,65,0,57,30,71,61,63,17,54,32,59,75,47,53,82,40,39,40142.0,False,False
2020-07-26,85,82,90,61,71,1,59,29,67,59,66,16,50,30,59,77,44,49,77,40,35,44336.0,False,False
2020-08-02,83,86,91,61,56,1,63,29,65,54,62,14,54,33,60,75,42,66,75,47,34,47716.0,False,False
2020-08-09,83,82,90,62,64,1,58,43,71,58,70,12,54,32,61,81,51,66,76,43,26,50660.0,False,False
2020-08-16,86,77,88,68,66,1,68,29,75,54,68,12,58,26,54,87,47,84,76,64,28,53176.0,False,False
2020-08-23,90,78,84,78,77,1,68,34,77,59,76,11,63,30,55,100,46,69,72,44,33,55143.0,False,False
2020-08-30,84,75,81,82,81,1,53,33,69,58,62,11,53,28,59,93,49,81,71,49,34,57223.0,False,False
2020-09-06,85,72,80,81,83,1,55,28,80,64,58,11,50,34,56,88,58,76,79,34,66,59274.0,False,False
2020-09-13,86,70,84,86,65,1,50,27,72,67,62,11,54,31,54,92,58,84,79,36,27,61324.0,False,False
2020-09-20,84,70,83,84,66,1,50,28,71,63,66,10,42,28,57,92,47,60,73,61,26,64857.0,False,False
2020-09-27,84,68,73,76,61,3,89,22,65,52,60,10,43,30,53,79,45,63,75,48,32,69079.0,False,False
2020-10-04,83,67,77,74,68,2,88,26,62,50,64,12,45,30,50,73,44,57,77,37,27,73076.0,False,False
2020-10-11,76,63,73,59,58,3,54,20,57,48,42,11,43,32,75,65,48,57,74,32,37,78461.0,False,False
2020-10-18,76,64,74,59,61,3,61,22,56,46,65,11,36,32,55,69,53,50,70,41,48,85302.0,False,False
2020-10-25,80,63,77,62,100,3,56,27,57,55,48,12,38,34,54,71,66,57,69,52,48,95089.0,False,False
2020-11-01,70,54,65,55,63,100,100,31,50,49,41,11,38,28,48,65,52,37,67,46,28,109910.0,False,False
2020-11-08,81,61,82,63,64,9,95,35,63,100,61,15,45,30,58,73,68,39,93,48,42,130984.0,False,False
2020-11-15,77,59,80,63,61,2,62,19,56,83,48,16,51,35,62,72,56,47,76,51,34,163417.0,False,False
2020-11-22,78,56,75,54,66,1,61,11,70,92,44,12,38,33,53,67,62,44,79,30,36,198600.0,False,False
2020-11-29,80,59,81,63,58,1,57,20,61,72,54,13,41,38,54,75,69,48,75,64,35,228772.0,False,False
2020-12-06,84,59,79,68,70,1,57,13,71,69,62,15,47,38,51,77,73,58,79,51,40,260581.0,False,False
2020-12-13,80,60,82,67,61,1,59,12,62,72,58,17,43,43,52,71,80,55,76,68,47,288193.0,False,False
2020-12-20,85,60,82,55,75,0,60,10,73,89,24,14,36,50,63,77,87,46,84,38,37,308890.0,False,False
