time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,95,65,78,74,61,0,62,25,57,62,40,14,77,60,51,81,38,79,85,47,70,n/a,False,False
2019-01-13,88,69,78,66,80,0,65,33,55,39,31,7,46,61,65,92,40,47,80,15,95,n/a,False,False
2019-01-20,82,73,75,67,61,0,51,12,69,54,23,8,36,55,50,100,49,36,74,30,65,n/a,False,False
2019-01-27,84,68,78,65,60,0,63,28,83,46,47,12,37,45,65,68,37,44,73,100,100,n/a,False,False
2019-02-03,86,77,76,68,71,0,47,28,67,41,23,12,38,45,63,82,27,38,75,38,52,n/a,False,False
2019-02-10,90,76,82,67,71,0,50,32,56,43,76,12,32,61,56,97,39,36,76,45,84,n/a,False,False
2019-02-17,88,79,87,75,72,0,65,48,63,53,15,12,48,48,55,76,49,36,73,53,90,n/a,False,False
2019-02-24,91,78,87,84,50,0,55,24,65,33,23,13,47,61,69,76,39,61,80,75,76,n/a,False,False
2019-03-03,90,78,83,70,71,0,58,85,46,41,86,15,58,59,61,80,22,46,87,31,77,n/a,False,False
2019-03-10,90,76,75,72,78,0,56,49,49,40,39,9,53,65,58,80,40,88,82,23,55,n/a,False,False
2019-03-17,88,83,74,80,69,1,54,24,65,36,23,13,44,74,48,82,15,46,73,23,43,n/a,False,False
2019-03-24,83,74,79,70,74,0,48,20,47,33,47,11,55,100,53,66,40,39,70,46,45,n/a,False,False
2019-03-31,89,77,72,77,83,0,43,16,62,38,8,14,34,46,45,68,37,46,80,53,52,n/a,False,False
2019-04-07,86,78,73,89,67,0,44,16,47,26,56,15,42,56,50,73,31,37,77,23,65,n/a,False,False
2019-04-14,86,79,83,87,80,0,49,42,51,38,16,13,51,60,59,83,42,69,86,40,86,n/a,False,False
2019-04-21,82,76,78,62,60,0,56,25,73,38,24,11,31,60,48,74,54,42,80,55,56,n/a,False,False
2019-04-28,86,72,81,100,81,0,44,25,51,34,32,9,33,56,44,83,37,64,72,54,71,n/a,False,False
2019-05-05,84,74,82,91,60,0,49,32,57,40,47,12,51,45,46,87,34,56,89,77,70,n/a,False,False
2019-05-12,85,76,81,90,66,1,40,20,49,46,31,10,65,59,62,86,25,61,85,70,65,n/a,False,False
2019-05-19,84,80,86,80,73,1,54,32,52,36,8,13,59,60,56,76,24,58,88,76,59,n/a,False,False
2019-05-26,85,81,81,61,58,0,43,20,53,44,47,11,57,82,58,82,37,31,73,38,74,n/a,False,False
2019-06-02,81,83,73,61,59,0,53,24,67,35,15,9,38,70,50,76,27,60,66,15,52,n/a,False,False
2019-06-09,79,79,71,49,57,0,48,4,54,54,38,10,45,80,55,60,27,62,68,37,57,n/a,False,False
2019-06-16,82,79,77,42,53,0,52,12,49,39,24,12,41,53,61,66,22,41,73,54,70,n/a,False,False
2019-06-23,84,83,80,53,57,1,36,24,49,36,54,9,34,62,52,74,33,55,71,60,35,n/a,False,False
2019-06-30,86,82,82,52,67,0,45,16,66,40,39,15,37,50,60,69,34,54,69,38,56,n/a,False,False
2019-07-07,89,85,80,50,66,0,55,24,48,30,8,12,39,47,59,82,21,67,84,38,57,n/a,False,False
2019-07-14,92,85,86,54,88,0,59,33,49,39,16,9,28,43,57,85,31,39,74,31,51,n/a,False,False
2019-07-21,95,89,86,53,93,0,53,21,61,36,24,10,58,64,51,91,48,56,87,88,56,n/a,False,False
2019-07-28,90,89,85,50,69,1,44,17,63,39,24,12,62,66,65,77,35,40,90,40,47,n/a,False,False
2019-08-04,90,85,88,56,78,0,48,21,67,55,48,9,42,55,61,71,44,60,85,47,44,n/a,False,False
2019-08-11,90,90,75,50,71,0,51,24,56,45,8,10,39,51,56,71,22,39,77,31,48,n/a,False,False
2019-08-18,86,88,81,55,63,0,43,8,70,41,31,11,52,41,57,50,37,48,78,30,48,n/a,False,False
2019-08-25,83,100,79,60,66,0,62,16,69,39,38,14,52,42,77,74,39,72,70,30,39,n/a,False,False
2019-09-01,86,93,77,62,87,0,40,19,68,44,22,11,38,53,65,77,27,61,76,22,58,n/a,False,False
2019-09-08,84,93,73,72,73,1,48,12,50,32,53,12,37,53,100,80,44,58,77,51,38,n/a,False,False
2019-09-15,87,91,73,73,58,0,46,31,40,45,30,9,55,40,72,76,18,47,91,52,34,n/a,False,False
2019-09-22,89,80,70,69,92,0,49,27,58,33,29,12,57,57,73,81,26,55,78,43,30,n/a,False,False
2019-09-29,85,80,78,66,91,0,57,30,50,39,22,12,47,44,63,78,37,57,79,65,49,n/a,False,False
2019-10-06,85,71,62,60,98,0,51,27,47,31,36,12,39,53,61,84,32,76,76,22,61,n/a,False,False
2019-10-13,87,69,72,70,79,1,56,19,59,52,15,14,52,64,69,89,35,46,77,65,58,n/a,False,False
2019-10-20,86,69,71,71,78,0,54,4,54,40,15,10,43,57,62,73,37,84,77,57,51,n/a,False,False
2019-10-27,86,69,78,69,84,0,43,19,47,40,37,12,47,57,63,91,32,100,79,29,63,n/a,False,False
2019-11-03,83,70,76,74,55,1,51,49,63,37,22,9,45,55,63,82,23,45,76,14,52,n/a,False,False
2019-11-10,89,73,72,76,70,0,48,11,67,33,58,11,47,49,66,76,57,49,80,57,59,n/a,False,False
2019-11-17,85,74,73,70,61,0,44,34,38,44,36,9,39,51,67,79,43,53,79,58,48,n/a,False,False
