time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,95,65,94,81,79,0,77,29,81,53,43,14,52,44,59,98,50,41,85,59,47,n/a,True,True
2019-01-13,98,65,98,87,91,0,80,22,87,47,18,13,37,41,62,82,35,43,88,40,78,n/a,True,True
2019-01-20,95,62,89,77,61,0,67,24,85,46,61,14,38,34,58,87,55,43,90,53,69,n/a,True,True
2019-01-27,91,65,99,82,67,0,70,35,74,46,49,17,44,41,58,83,51,36,86,58,64,n/a,True,True
2019-02-03,95,66,92,90,51,0,63,28,85,59,66,16,35,46,60,88,29,63,90,70,60,n/a,True,True
2019-02-10,95,67,89,74,63,0,63,32,85,60,36,15,42,48,69,90,53,39,84,18,74,n/a,True,True
2019-02-17,98,67,89,73,76,0,78,37,69,60,66,14,36,57,69,83,50,36,91,31,100,n/a,True,True
2019-02-24,100,65,89,92,66,0,70,27,81,58,95,12,49,50,78,85,61,37,93,35,66,n/a,True,True
2019-03-03,99,69,97,85,60,0,65,66,80,57,18,13,39,57,59,83,43,49,97,54,71,n/a,True,True
2019-03-10,89,66,96,69,61,0,61,15,74,58,67,12,78,52,62,90,49,53,85,67,74,n/a,True,True
2019-03-17,86,71,85,77,61,0,59,17,81,45,67,11,57,65,49,76,33,56,71,53,41,n/a,True,True
2019-03-24,94,73,94,86,58,0,57,28,68,47,86,14,46,100,66,76,41,51,96,40,43,n/a,True,True
2019-03-31,94,73,93,80,64,0,55,28,70,44,49,13,40,52,57,82,51,65,86,44,40,n/a,True,True
2019-04-07,96,77,89,84,71,0,46,22,96,45,80,12,57,41,67,82,43,54,80,36,63,n/a,True,True
2019-04-14,92,75,87,98,62,0,50,16,61,38,38,13,46,43,53,79,50,45,88,42,42,n/a,True,True
2019-04-21,89,75,92,89,67,0,58,38,78,50,44,13,41,43,60,91,47,55,88,27,46,n/a,True,True
2019-04-28,95,72,90,100,80,0,53,22,89,51,49,14,42,50,65,89,35,46,80,36,48,n/a,True,True
2019-05-05,91,74,87,94,71,0,58,28,65,39,18,12,35,51,60,76,58,61,92,45,56,n/a,True,True
2019-05-12,92,71,85,90,69,0,66,26,62,53,31,10,42,53,54,84,58,52,82,31,62,n/a,True,True
2019-05-19,86,74,87,76,50,0,47,24,69,45,30,11,45,43,65,86,41,57,85,57,68,n/a,True,True
2019-05-26,86,71,91,58,65,0,51,15,60,43,49,10,48,53,60,82,46,68,79,44,63,n/a,True,True
2019-06-02,81,71,87,49,66,0,55,13,54,58,30,9,32,67,66,76,34,61,64,35,46,n/a,True,True
2019-06-09,84,75,86,50,73,0,51,6,62,63,30,10,43,47,44,75,37,53,73,30,48,n/a,True,True
2019-06-16,86,76,88,54,49,0,56,7,73,44,49,9,45,36,50,81,49,69,76,49,58,n/a,True,True
2019-06-23,85,75,87,49,55,1,52,9,69,45,36,10,43,38,49,84,35,49,76,22,47,n/a,True,True
2019-06-30,88,74,82,48,70,0,53,11,73,41,24,10,41,37,53,77,52,53,74,36,50,n/a,True,True
2019-07-07,87,76,88,45,61,0,51,17,74,40,43,9,50,49,71,77,41,39,70,48,34,n/a,True,True
2019-07-14,89,78,89,47,67,0,58,15,69,50,31,10,40,49,65,73,38,36,72,40,41,n/a,True,True
2019-07-21,88,77,83,43,69,0,57,29,59,47,32,10,37,45,52,83,48,31,73,19,36,n/a,True,True
2019-07-28,87,80,87,50,69,1,52,11,69,42,57,9,41,59,53,86,29,47,89,55,43,n/a,True,True
2019-08-04,82,73,84,51,66,0,51,22,65,40,12,9,34,41,55,71,33,33,71,100,39,n/a,True,True
2019-08-11,89,79,95,61,54,0,59,24,68,41,62,10,33,50,63,93,46,61,78,36,48,n/a,True,True
2019-08-18,94,87,86,74,67,0,64,17,90,41,48,11,36,48,71,86,37,57,86,66,49,n/a,True,True
2019-08-25,95,85,82,73,67,0,58,17,74,38,18,12,45,42,55,98,34,56,86,39,47,n/a,True,True
2019-09-01,95,100,83,71,77,0,60,12,98,51,47,12,30,44,51,82,36,64,79,34,35,n/a,True,True
2019-09-08,94,99,83,79,66,1,64,17,92,39,41,12,33,45,100,92,33,47,78,47,43,n/a,True,True
2019-09-15,95,96,87,78,73,0,67,0,67,40,52,13,40,52,87,100,41,75,93,64,37,n/a,True,True
2019-09-22,87,81,85,79,77,0,67,23,64,43,98,12,48,46,77,85,31,61,80,67,46,n/a,True,True
2019-09-29,87,67,81,74,81,0,70,22,64,47,46,13,42,37,75,79,34,49,79,29,59,n/a,True,True
2019-10-06,90,66,82,73,98,0,59,27,71,45,34,13,42,44,62,71,49,74,79,34,58,n/a,True,True
2019-10-13,89,67,81,68,68,1,67,23,71,44,46,11,25,38,69,81,51,55,72,46,44,n/a,True,True
2019-10-20,89,64,85,79,68,0,57,18,70,53,35,12,49,41,60,82,49,79,77,37,53,n/a,True,True
2019-10-27,92,62,82,82,84,0,63,18,67,45,51,12,36,35,60,85,51,58,75,54,63,n/a,True,True
2019-11-03,89,64,87,80,57,1,66,26,76,47,45,12,35,40,62,81,33,44,83,41,41,n/a,True,True
2019-11-10,91,68,77,80,72,0,65,14,80,60,28,12,45,50,67,86,79,61,84,45,51,n/a,True,True
2019-11-17,93,64,85,79,75,1,57,24,64,59,62,14,42,35,77,87,82,46,78,54,47,n/a,True,True
2019-11-24,91,61,86,59,73,0,59,6,76,71,6,10,33,50,80,79,80,52,78,73,84,n/a,True,True
2019-12-01,91,61,89,71,67,0,57,22,67,59,63,13,40,63,75,79,88,56,69,21,43,n/a,True,True
2019-12-08,92,66,90,85,71,0,55,16,84,64,40,12,37,60,58,81,72,58,89,51,46,n/a,True,True
2019-12-15,96,64,92,78,66,1,93,12,74,61,53,13,43,52,69,85,68,100,84,63,41,n/a,True,True
2019-12-22,99,65,95,50,72,0,73,9,92,98,25,17,35,49,79,92,71,71,86,50,52,n/a,True,True
2019-12-29,99,65,100,50,76,0,69,23,100,68,48,15,75,58,86,76,86,60,88,61,49,n/a,True,True
2020-01-05,89,63,91,71,61,0,67,14,81,45,50,13,61,49,48,84,64,42,100,53,49,n/a,True,True
2020-01-12,90,64,86,73,70,1,61,15,91,51,48,14,44,33,51,86,50,52,83,39,70,n/a,True,True
2020-01-19,91,67,94,76,71,1,58,24,85,58,33,21,49,45,64,81,37,36,91,36,72,n/a,True,True
2020-01-26,90,67,87,79,73,1,54,14,78,49,55,30,34,61,66,77,44,29,82,47,41,n/a,True,True
2020-02-02,93,65,94,71,78,5,75,19,76,42,70,25,50,49,53,79,46,43,82,24,45,n/a,True,True
2020-02-09,93,65,93,81,72,2,73,28,80,52,70,22,31,56,54,69,47,36,77,54,47,n/a,True,True
2020-02-16,91,73,97,88,50,1,59,19,74,43,54,18,37,39,57,80,46,44,86,43,49,,True,True
2020-02-23,89,70,92,90,60,2,54,37,75,47,100,29,40,30,60,70,54,35,82,50,44,,True,True
2020-03-01,84,68,86,81,59,3,51,32,68,46,10,37,35,50,53,70,59,53,84,27,41,,True,True
2020-03-08,82,62,83,61,59,1,62,49,73,48,62,69,46,42,52,78,37,44,81,45,47,1.0,True,True
2020-03-15,87,57,83,59,63,1,71,13,92,61,87,100,45,42,54,90,40,36,75,89,49,17.0,True,True
2020-03-22,94,56,84,67,71,0,67,23,91,79,30,75,30,46,61,88,51,23,75,66,45,48.0,True,True
2020-03-29,92,57,80,69,69,0,60,21,83,62,59,64,34,34,48,88,42,16,73,57,43,108.0,True,True
2020-04-05,89,60,85,69,77,1,52,30,77,60,86,65,39,33,49,86,66,29,82,51,47,363.0,True,True
2020-04-12,92,63,88,71,76,0,80,32,95,95,40,49,45,37,69,85,62,30,83,84,54,791.0,True,True
2020-04-19,85,65,88,68,74,0,64,14,79,60,63,40,41,38,57,82,46,42,75,29,46,1287.0,True,True
2020-04-26,86,65,89,71,63,0,59,23,79,65,89,30,40,46,52,82,42,26,79,18,45,2732.0,True,True
2020-05-03,89,68,96,66,75,1,61,19,87,64,29,27,39,46,50,78,43,26,79,54,54,5326.0,True,True
2020-05-10,87,73,94,67,59,1,57,30,72,70,30,23,46,42,54,73,44,20,88,33,55,8234.0,True,True
2020-05-17,85,74,93,55,74,0,61,25,73,66,50,23,45,49,63,64,51,17,81,76,61,10220.0,True,True
2020-05-24,84,76,88,53,68,0,70,21,68,62,61,17,72,50,63,69,65,24,73,40,60,11989.0,True,True
2020-05-31,76,76,85,50,61,1,61,99,49,49,20,14,100,39,54,61,42,17,61,28,54,13905.0,True,True
