time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,97,68,91,82,75,0,75,17,88,55,64,9,57,62,70,91,61,66,97,39,55,n/a,False,False
2019-01-13,100,71,95,88,79,0,74,24,92,50,70,9,63,61,68,98,51,59,96,48,100,n/a,False,False
2019-01-20,92,71,90,81,76,0,70,20,80,52,66,8,60,57,60,92,67,57,93,39,91,n/a,False,False
2019-01-27,97,69,92,76,73,0,71,20,76,58,63,9,56,66,66,94,58,48,89,56,92,n/a,False,False
2019-02-03,96,76,93,89,72,0,71,22,69,49,59,9,58,65,61,95,61,68,94,51,51,n/a,False,False
2019-02-10,99,73,93,85,71,0,67,26,76,53,59,10,62,58,67,93,52,56,95,36,54,n/a,False,False
2019-02-17,97,75,92,84,69,0,81,28,72,51,53,10,53,59,68,88,60,49,92,49,54,n/a,False,False
2019-02-24,95,71,86,85,63,0,67,27,68,46,78,8,51,61,64,87,50,48,91,59,49,n/a,False,False
2019-03-03,96,74,87,83,64,0,59,46,66,50,53,10,51,68,64,84,51,58,100,54,53,n/a,False,False
2019-03-10,94,77,86,82,64,0,65,25,66,47,65,10,49,69,64,92,56,84,94,47,51,n/a,False,False
2019-03-17,87,74,86,78,64,0,52,18,66,45,46,8,45,81,59,88,52,72,84,45,35,n/a,False,False
2019-03-24,86,73,82,72,60,0,51,20,69,47,46,8,53,100,53,80,40,56,77,32,37,n/a,False,False
2019-03-31,90,72,85,81,67,0,51,17,63,37,54,7,52,67,55,81,51,56,89,36,36,n/a,False,False
2019-04-07,87,73,80,87,65,0,49,16,60,41,46,8,52,62,53,84,54,57,80,48,46,n/a,False,False
2019-04-14,86,74,84,88,64,0,49,18,63,44,43,9,50,64,58,88,52,60,94,66,58,n/a,False,False
2019-04-21,92,72,81,87,77,0,53,18,67,44,56,9,50,61,55,86,51,64,84,45,49,n/a,False,False
2019-04-28,97,76,94,100,91,0,59,24,77,44,49,9,53,65,63,93,52,76,92,50,59,n/a,False,False
2019-05-05,96,78,89,91,71,1,58,19,71,46,49,9,52,68,58,96,47,67,95,43,53,n/a,False,False
2019-05-12,97,80,86,96,73,0,61,19,70,47,57,8,52,70,63,95,58,57,93,65,50,n/a,False,False
2019-05-19,86,74,81,87,67,1,49,14,63,39,44,8,48,66,59,91,51,49,91,60,62,n/a,False,False
2019-05-26,83,73,77,61,60,0,51,12,68,39,36,7,47,65,58,86,49,54,77,43,75,n/a,False,False
2019-06-02,85,76,84,52,64,0,53,10,72,40,48,7,45,79,54,85,48,59,76,40,51,n/a,False,False
2019-06-09,83,76,81,52,66,0,53,11,61,53,37,7,52,59,56,83,46,57,74,32,53,n/a,False,False
2019-06-16,82,72,81,52,59,0,55,12,66,47,52,7,49,60,53,82,45,54,74,36,63,n/a,False,False
2019-06-23,84,80,84,52,61,1,49,14,61,41,35,7,43,59,56,83,43,55,79,39,46,n/a,False,False
2019-06-30,94,80,81,53,62,0,52,13,69,45,48,6,52,60,54,79,45,57,78,40,53,n/a,False,False
2019-07-07,90,77,82,48,67,0,54,12,63,44,46,7,49,59,58,80,53,63,78,39,36,n/a,False,False
2019-07-14,93,83,85,55,74,0,54,23,71,45,45,7,55,65,60,85,47,56,81,37,51,n/a,False,False
2019-07-21,88,79,80,51,71,0,50,15,71,43,48,6,62,62,57,80,47,54,82,41,35,n/a,False,False
2019-07-28,84,78,81,50,61,1,53,15,71,40,35,6,52,61,59,77,46,50,84,65,29,n/a,False,False
2019-08-04,81,75,81,52,62,0,53,16,64,40,38,6,49,61,57,77,51,55,81,69,33,n/a,False,False
2019-08-11,85,78,80,59,58,0,50,13,60,42,42,7,49,61,58,85,42,56,80,47,36,n/a,False,False
2019-08-18,87,82,81,66,58,0,51,11,67,39,47,7,47,59,57,84,42,57,85,46,40,n/a,False,False
2019-08-25,89,91,79,71,65,0,52,14,72,41,62,8,51,56,64,91,58,74,84,42,38,n/a,False,False
2019-09-01,89,100,76,71,61,0,52,13,72,53,43,7,46,57,62,89,44,64,81,40,38,n/a,False,False
2019-09-08,88,96,76,76,58,1,47,12,66,38,52,7,48,56,100,90,41,69,81,41,33,n/a,False,False
2019-09-15,90,95,77,72,65,0,50,13,61,39,52,8,50,57,79,87,47,65,100,45,25,n/a,False,False
2019-09-22,87,82,76,75,70,0,64,18,61,39,57,7,48,58,75,89,41,63,87,60,30,n/a,False,False
2019-09-29,89,72,79,78,88,0,60,14,62,40,58,8,53,59,77,89,47,58,85,48,42,n/a,False,False
2019-10-06,92,71,83,79,97,0,59,15,70,41,58,9,54,60,73,90,51,69,84,41,50,n/a,False,False
2019-10-13,84,67,76,75,73,1,56,19,59,43,48,7,45,55,66,81,49,68,84,47,45,n/a,False,False
2019-10-20,88,67,75,73,69,1,54,16,70,43,62,8,45,56,67,86,48,67,78,39,46,n/a,False,False
2019-10-27,89,64,74,75,73,0,53,10,69,45,58,8,47,56,61,87,45,78,78,51,50,n/a,False,False
2019-11-03,87,66,77,84,58,3,61,20,67,45,48,8,50,61,70,86,48,58,85,41,42,n/a,False,False
2019-11-10,90,66,73,72,61,0,55,18,72,43,50,8,44,50,67,82,93,62,88,48,55,n/a,False,False
2019-11-17,90,68,80,80,64,1,56,20,65,51,61,9,51,59,67,88,83,57,86,45,37,n/a,False,False
2019-11-24,90,64,79,60,67,0,54,15,72,63,33,7,44,59,72,79,85,63,77,44,37,n/a,False,False
2019-12-01,90,64,83,77,62,0,57,18,68,57,52,8,51,65,80,85,82,60,79,49,38,n/a,False,False
2019-12-08,89,62,83,79,56,0,56,17,64,62,56,8,48,66,65,85,84,56,86,57,38,n/a,False,False
2019-12-15,93,63,82,71,64,0,81,18,72,55,46,8,52,70,73,88,79,64,80,70,49,n/a,False,False
2019-12-22,98,70,89,56,73,0,59,12,83,77,24,8,49,70,81,87,100,50,85,32,34,n/a,False,False
