time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,83,68,83,84,62,0,69,17,74,61,47,12,65,55,62,94,45,59,88,51,54,n/a,False,False
2019-01-13,82,69,83,90,71,0,70,20,77,55,42,10,65,56,66,88,44,65,88,51,64,n/a,False,False
2019-01-20,79,68,78,89,75,0,64,20,77,52,51,11,52,56,65,86,46,62,87,68,77,n/a,False,False
2019-01-27,75,68,75,84,62,0,66,21,66,61,42,12,65,55,65,91,44,47,83,51,100,n/a,False,False
2019-02-03,77,70,76,90,63,0,61,20,65,51,49,13,60,54,63,86,40,86,84,45,68,n/a,False,False
2019-02-10,83,69,77,91,62,0,66,20,72,52,51,14,60,56,63,92,39,49,87,42,63,n/a,False,False
2019-02-17,79,72,79,84,69,0,75,24,80,51,50,12,61,59,68,86,41,54,85,43,84,n/a,False,False
2019-02-24,82,73,80,92,61,0,69,17,58,47,44,10,65,55,60,86,40,46,85,62,64,n/a,False,False
2019-03-03,81,72,79,87,61,0,59,41,61,58,42,11,60,62,65,88,42,54,100,54,78,n/a,False,False
2019-03-10,78,73,79,77,60,0,62,19,61,49,57,12,52,67,58,81,42,66,91,45,67,n/a,False,False
2019-03-17,72,75,76,75,59,0,55,16,56,45,23,9,58,75,53,81,39,70,78,49,38,n/a,False,False
2019-03-24,74,74,81,77,64,0,54,18,60,42,36,10,59,100,59,79,38,62,81,71,48,n/a,False,False
2019-03-31,77,73,77,85,73,0,49,15,55,42,51,9,57,47,57,90,42,49,82,56,48,n/a,False,False
2019-04-07,76,75,76,91,73,0,50,18,63,47,46,11,53,54,58,86,46,53,81,55,62,n/a,False,False
2019-04-14,77,74,78,100,67,0,55,16,64,48,39,10,54,52,59,88,52,50,88,55,68,n/a,False,False
2019-04-21,80,72,75,92,68,0,55,22,67,40,35,12,56,59,54,88,43,61,83,59,42,n/a,False,False
2019-04-28,80,74,75,99,80,0,54,12,61,43,36,12,55,57,56,82,45,68,85,72,54,n/a,False,False
2019-05-05,79,72,77,86,69,0,57,14,59,47,45,10,52,59,57,86,46,56,86,57,53,n/a,False,False
2019-05-12,74,72,74,88,64,0,63,20,57,44,56,10,55,61,53,84,45,54,90,60,40,n/a,False,False
2019-05-19,70,73,72,77,62,0,46,14,59,46,28,8,64,55,55,84,38,50,83,75,32,n/a,False,False
2019-05-26,70,75,74,60,59,0,53,12,58,41,31,8,55,66,57,85,38,46,78,47,30,n/a,False,False
2019-06-02,74,75,74,63,60,0,57,16,61,47,41,10,56,75,56,82,40,60,77,44,51,n/a,False,False
2019-06-09,73,75,74,57,69,0,55,9,59,57,56,9,62,56,58,82,36,45,71,45,36,n/a,False,False
2019-06-16,75,75,78,56,69,0,62,14,65,49,48,9,61,50,59,82,33,54,78,48,68,n/a,False,False
2019-06-23,74,75,77,56,60,1,58,16,69,47,45,9,57,52,61,91,35,54,81,39,49,n/a,False,False
2019-06-30,79,76,76,60,62,0,53,12,57,48,19,9,63,56,64,79,42,57,79,49,42,n/a,False,False
2019-07-07,80,77,76,61,62,0,60,19,65,49,42,10,67,50,60,81,41,54,86,57,43,n/a,False,False
2019-07-14,79,78,79,62,80,0,60,20,68,52,38,10,61,60,64,86,45,55,82,45,48,n/a,False,False
