OBJECTID,STATE,STFIPS,Shape__Area,Shape__Length,f3,f4,f5,f6,YN,s4,f12,s13
1,Hawaii,15,18874763970.3398,1370584.04740955,https://governor.hawaii.gov/wp-content/uploads/2020/04/2004144-ATG_Sixth-Supplementary-Proclamation-for-COVID-19-distribution-signed.pdf,Effective Date: 4/25/2020,Expiration Date: 5/31/2020,Scope: Jurisdiction-wide,Y,https://governor.hawaii.gov/wp-content/uploads/2020/03/2003162-ATG_Third-Supplementary-Proclamation-for-COVID-19-signed.pdf,,
2,Washington,53,379885632688.297,4578373.87056128,https://www.governor.wa.gov/sites/default/files/proclamations/20-25.1%20-%20COVID-19%20-%20Stay%20Home%2C%20Stay%20Healthy%20Extension%20%28tmp%29.pdf,Effective Date: 4/2/2020,Expiration Date: 5/4/2020,Scope: Jurisdiction-wide,Y,https://www.governor.wa.gov/sites/default/files/proclamations/20-25%20Coronovirus%20Stay%20Safe-Stay%20Healthy%20%28tmp%29%20%28002%29.pdf,,
3,Montana,30,821174781318.328,4337069.24969644,https://covid19.mt.gov/Portals/223/Documents/04-22-20%20Directive%20and%20Appx%20-%20Reopening%20Phase%20One.pdf?ver=2020-04-22-124954-977,Effective Date: 4/24/2020,Expiration Date: 4/26/2020,Scope: Jurisdiction-wide,Y,https://covid19.mt.gov/Portals/223/Documents/Stay%20at%20Home%20Directive.pdf?ver=2020-03-26-173332-177,More than 10,
4,Maine,23,168963369450.445,2608009.74996829,https://www.mainepublic.org/sites/mpbn/files/202003/an_order_regarding_further_restrictions_on_public_contact_and_movement__schools__vehicle_travel_and_retail_business_operations.pdf,Effective Date: 4/2/2020,Expiration Date: 4/30/2020,Scope: Jurisdiction-wide,Y,,,
5,North Dakota,38,400990103668.047,2688190.56752553,,,,,N,,,
6,South Dakota,46,392302536997.609,2824246.00963013,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-13.PDF,Effective Date: 4/6/2020,Expiration Date: 4/27/2020,Scope: High-risk population in select areas,Y,,,
7,Wyoming,56,474117319352.434,2775150.0434476,,,,,N,,,
8,Wisconsin,55,287090093168.891,2854750.29046739,https://evers.wi.gov/Documents/COVID19/EMO28-SaferAtHome.pdf,Effective Date: 4/24/2020,Expiration Date: 5/26/2020,Scope: Jurisdiction-wide,Y,https://evers.wi.gov/Documents/COVID19/EMO12-SaferAtHome.pdf,Any size,
9,Idaho,16,423521544552.023,3858889.98559974,https://coronavirus.idaho.gov/wp-content/uploads/sites/127/2020/04/amended-statewide-stay-home-order_041520.pdf,Effective Date: 4/15/2020,Expiration Date: 4/30/2020,Scope: Jurisdiction-wide,Y,https://coronavirus.idaho.gov/wp-content/uploads/sites/127/2020/04/statewide-stay-home-order_040220.pdf,Any size,
10,Vermont,50,48201382592.6328,1121089.12327167,https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%209%20TO%20EXECUTIVE%20ORDER%2001-20.pdf,Effective Date: 4/10/2020,Expiration Date: 5/15/2020,Scope: Jurisdiction-wide,Y,https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%206%20TO%20EXECUTIVE%20ORDER%2001-20.pdf,More than 10,https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%204%20TO%20EXECUTIVE%20ORDER%2001-20.pdf
