time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,100,84,100,90,82,0,87,13,90,55,58,13,45,51,68,83,27,83,96,33,36,n/a,False,False
2019-01-13,98,82,96,91,80,0,85,24,68,68,38,13,48,55,62,86,61,56,85,14,49,n/a,False,False
2019-01-20,92,84,89,89,70,0,76,31,77,59,57,10,33,63,56,98,53,72,80,9,43,n/a,False,False
2019-01-27,93,82,90,92,71,0,70,29,65,61,38,11,58,63,63,74,31,35,90,14,77,n/a,False,False
2019-02-03,94,89,96,91,83,0,67,26,65,45,47,13,38,58,61,83,27,62,91,32,56,n/a,False,False
2019-02-10,96,78,91,84,71,0,67,18,57,54,37,10,52,75,66,71,17,60,79,60,100,n/a,False,False
2019-02-17,96,84,93,81,61,0,88,13,67,42,47,9,42,54,75,77,50,48,88,47,67,n/a,False,False
2019-02-24,99,85,90,84,51,0,77,35,70,53,55,11,38,65,68,74,53,54,87,69,47,n/a,False,False
2019-03-03,99,85,96,83,56,0,72,63,69,45,48,14,42,59,62,80,27,54,88,33,51,n/a,False,False
2019-03-10,94,91,100,85,74,0,77,8,61,47,28,13,41,46,67,84,24,79,100,42,32,n/a,False,False
2019-03-17,86,81,95,70,70,0,60,3,51,52,19,12,40,88,58,78,37,70,86,28,29,n/a,False,False
2019-03-24,94,86,94,86,66,0,57,28,67,64,48,14,47,100,54,74,49,90,90,33,29,n/a,False,False
2019-03-31,94,90,93,88,83,0,54,16,69,41,38,13,40,50,57,76,25,62,93,47,21,n/a,False,False
2019-04-07,94,94,94,96,94,0,54,29,68,53,39,9,57,68,61,83,37,79,93,47,34,n/a,False,False
2019-04-14,93,93,98,100,100,0,57,14,81,49,20,11,46,53,57,94,56,88,98,49,31,n/a,False,False
2019-04-21,98,91,91,95,79,0,59,8,52,45,49,12,31,69,53,89,40,91,90,48,28,n/a,False,False
2019-04-28,99,85,95,96,95,0,63,18,79,39,67,14,32,68,62,78,32,89,96,76,42,n/a,False,False
2019-05-05,88,78,92,99,77,0,73,16,67,66,28,12,48,34,53,78,41,70,93,90,27,n/a,False,False
2019-05-12,92,85,93,99,87,1,57,29,66,67,29,13,44,55,60,80,32,63,89,28,24,n/a,False,False
2019-05-19,90,86,86,97,65,0,55,10,73,45,19,10,50,46,57,83,46,48,87,46,26,n/a,False,False
2019-05-26,89,82,86,80,77,0,62,23,69,44,47,7,35,84,58,82,34,44,75,19,22,n/a,False,False
2019-06-02,88,79,88,68,58,0,67,8,78,39,75,12,40,70,45,87,46,36,79,42,26,n/a,False,False
2019-06-09,84,89,90,65,62,0,60,10,58,61,28,10,38,53,54,78,24,61,71,9,20,n/a,False,False
2019-06-16,89,81,90,58,85,0,59,8,79,46,19,9,41,51,41,77,42,61,77,38,22,n/a,False,False
2019-06-23,91,88,86,66,62,1,63,23,75,37,28,9,29,74,61,67,34,41,81,9,58,n/a,False,False
2019-06-30,92,85,85,64,71,0,53,26,74,46,48,8,30,50,59,76,27,67,81,19,27,n/a,False,False
2019-07-07,93,87,95,70,81,0,57,13,68,51,47,9,45,33,62,77,29,55,83,14,25,n/a,False,False
2019-07-14,91,80,86,64,73,1,57,21,70,52,29,13,48,64,61,81,32,80,77,52,22,n/a,False,False
2019-07-21,90,82,100,68,86,0,72,8,54,48,49,9,61,62,51,70,15,32,87,25,23,n/a,False,False
2019-07-28,93,86,93,67,91,1,73,21,65,41,59,9,34,56,62,70,30,48,93,49,49,n/a,False,False
2019-08-04,96,92,94,72,62,0,68,27,76,33,78,10,47,13,55,78,33,71,83,53,45,n/a,False,False
2019-08-11,97,87,96,81,49,0,71,13,70,46,19,8,46,76,58,76,37,75,85,28,25,n/a,False,False
2019-08-18,95,90,95,74,62,0,60,21,79,49,57,9,40,42,67,85,59,71,75,51,20,n/a,False,False
2019-08-25,91,96,86,73,74,0,62,23,54,46,19,11,50,79,66,75,38,85,71,42,20,n/a,False,False
2019-09-01,90,97,80,79,64,0,58,17,45,52,45,9,25,40,47,77,42,87,83,36,24,n/a,False,False
2019-09-08,88,100,86,76,71,1,70,22,73,35,55,10,30,72,100,73,42,84,83,27,20,n/a,False,False
2019-09-15,87,91,87,82,57,0,58,8,58,39,9,9,24,49,81,74,40,74,86,41,30,n/a,False,False
2019-09-22,87,90,85,84,83,0,57,12,59,38,45,7,53,52,79,75,18,57,83,9,40,n/a,False,False
2019-09-29,85,78,87,82,88,0,71,22,64,47,45,10,35,75,81,77,35,89,74,22,26,n/a,False,False
2019-10-06,87,74,82,69,86,0,62,20,66,45,62,9,25,52,63,71,28,83,81,35,53,n/a,False,False
2019-10-13,87,76,85,83,91,1,62,7,66,51,27,9,32,64,70,81,25,95,81,36,32,n/a,False,False
2019-10-20,87,79,86,73,78,1,62,10,59,35,45,10,36,43,61,73,30,78,74,31,30,n/a,False,False
2019-10-27,89,76,85,87,76,0,51,17,65,41,44,12,33,59,56,73,41,100,78,13,33,n/a,False,False
2019-11-03,88,78,80,80,66,1,77,10,56,42,35,9,46,50,69,85,32,60,72,39,36,n/a,False,False
2019-11-10,91,73,81,70,83,0,69,12,65,53,35,12,29,54,66,81,81,56,74,26,32,n/a,False,False
2019-11-17,89,84,82,74,78,1,62,17,64,49,27,12,41,71,64,73,86,57,79,26,53,n/a,False,False
2019-11-24,85,75,87,69,74,0,64,19,55,72,35,12,32,62,77,83,77,79,77,13,38,n/a,False,False
2019-12-01,88,73,89,87,48,0,57,14,61,66,18,15,37,70,81,71,100,60,70,31,43,n/a,False,False
2019-12-08,89,70,89,86,56,1,66,20,55,57,63,13,30,52,64,75,75,73,75,67,34,n/a,False,False
2019-12-15,92,81,89,79,74,1,89,7,78,51,9,9,37,64,74,77,62,59,83,49,44,n/a,False,False
2019-12-22,100,80,93,62,67,0,69,19,82,62,49,9,33,35,72,70,60,65,91,10,60,n/a,False,False
2019-12-29,99,83,95,64,80,0,70,15,64,50,28,12,36,83,74,81,80,62,95,37,44,n/a,False,False
2020-01-05,94,81,93,70,72,1,86,12,86,40,35,10,42,77,56,68,56,72,83,17,53,n/a,False,False
2020-01-12,87,78,86,73,71,1,66,18,71,50,25,14,49,81,60,64,64,55,88,25,58,n/a,False,False
2020-01-19,88,78,86,77,83,0,61,9,69,34,26,22,53,69,54,68,40,76,76,26,30,n/a,False,False
2020-01-26,83,79,90,80,73,1,64,25,65,44,51,39,49,60,46,61,37,56,86,25,29,n/a,False,False
2020-02-02,89,78,78,74,66,3,80,18,55,52,93,28,15,56,56,70,44,51,77,37,49,n/a,False,False
2020-02-09,86,83,80,73,61,1,60,11,65,47,67,30,42,22,60,72,43,67,78,16,54,n/a,False,False
2020-02-16,93,87,98,81,92,1,63,18,87,54,42,26,43,74,51,67,43,49,89,25,36,n/a,False,False
2020-02-23,89,86,92,96,54,2,52,25,59,52,25,35,41,47,57,78,36,54,71,40,36,n/a,False,False
2020-03-01,87,85,90,81,61,4,53,18,79,43,82,51,59,58,61,76,38,50,82,40,44,n/a,False,False
2020-03-08,88,84,99,81,49,1,77,35,70,47,72,73,36,46,60,66,43,53,86,16,42,1.0,False,False
2020-03-15,92,76,83,65,83,1,70,9,83,55,79,100,38,56,59,84,51,64,77,70,56,2.0,False,False
2020-03-22,93,64,77,70,73,0,61,17,95,67,54,78,35,73,50,79,53,40,77,69,22,48.0,False,False
2020-03-29,92,71,88,83,69,0,68,15,100,100,46,67,52,37,59,85,47,19,78,38,27,151.0,False,False
2020-04-05,97,71,90,74,84,1,57,15,88,91,87,67,48,31,59,99,57,19,88,58,24,351.0,False,False
2020-04-12,97,76,86,83,74,0,65,17,82,100,38,57,35,38,70,81,78,38,96,38,22,486.0,False,False
2020-04-19,96,81,91,92,68,0,73,25,91,77,53,44,28,30,66,78,63,45,81,38,16,574.0,True,False
2020-04-26,98,80,91,84,82,0,61,13,80,79,100,27,45,27,61,71,60,21,88,68,16,603.0,True,False
2020-05-03,94,81,93,88,81,0,55,15,73,77,61,29,56,44,55,78,51,32,90,49,16,620.0,True,False
2020-05-10,92,85,87,84,95,0,62,19,77,64,31,27,47,34,58,81,62,19,88,77,17,631.0,True,False
2020-05-17,93,91,91,76,72,0,61,19,76,62,39,22,52,38,70,79,44,27,87,100,22,639.0,True,False
2020-05-24,89,91,93,74,81,0,65,17,88,59,40,22,56,42,55,73,38,25,89,23,15,643.0,True,False
2020-05-31,84,90,97,66,79,1,74,100,73,55,38,18,100,50,54,66,45,28,68,19,22,651.0,False,False
2020-06-07,81,85,94,78,73,0,65,55,79,70,70,19,79,48,64,69,50,25,77,12,21,673.0,False,False
2020-06-14,82,88,96,63,69,0,64,52,60,67,8,16,72,42,66,62,28,23,74,43,20,723.0,False,False
2020-06-21,79,86,88,71,65,1,70,73,63,50,32,18,43,36,49,65,75,34,80,24,18,803.0,False,False
2020-06-28,83,92,95,58,76,0,77,18,42,57,97,20,49,53,51,59,42,28,78,16,20,872.0,False,False
2020-07-05,83,89,81,66,72,1,71,31,60,56,41,20,42,29,53,66,40,20,79,12,23,999.0,False,False
2020-07-12,84,88,85,62,70,1,81,20,50,49,50,21,54,59,56,71,34,39,78,21,21,1200.0,False,False
2020-07-19,80,92,89,61,81,1,60,30,76,54,34,19,54,30,52,60,44,54,77,17,46,1354.0,False,False
2020-07-26,86,85,94,63,63,1,64,30,60,50,42,22,32,53,57,69,41,31,92,34,60,1620.0,False,False
2020-08-02,84,87,91,67,58,1,71,5,64,47,41,19,60,48,63,73,56,33,86,4,20,2197.0,False,False
2020-08-09,86,88,84,70,86,2,81,29,80,53,25,20,65,36,55,71,40,42,83,28,19,3346.0,False,False
2020-08-16,89,88,87,75,73,1,68,22,84,62,41,16,68,40,54,92,47,50,72,12,18,4825.0,False,False
2020-08-23,91,88,78,97,83,1,74,27,78,65,41,16,47,36,61,92,42,63,85,28,21,6356.0,False,False
2020-08-30,95,86,82,99,87,1,59,24,88,75,55,18,46,39,72,92,51,64,82,24,17,8139.0,False,False
2020-09-06,96,84,82,89,92,1,73,11,68,65,56,15,54,47,58,80,73,58,86,32,16,9693.0,False,False
2020-09-13,91,81,85,100,79,1,67,30,71,76,56,17,65,42,63,100,53,83,96,27,16,10722.0,False,False
2020-09-20,87,81,79,99,52,1,58,37,64,63,40,15,47,56,59,86,42,56,80,39,20,11485.0,False,False
2020-09-27,86,76,84,84,58,2,93,25,65,55,41,16,33,22,48,86,46,52,83,36,17,12197.0,False,False
2020-10-04,76,83,76,70,58,2,97,20,64,43,41,13,33,29,53,75,49,66,76,24,17,12921.0,False,False
2020-10-11,74,79,73,65,60,1,67,17,65,45,52,12,40,34,77,70,56,51,73,21,25,13569.0,False,False
2020-10-18,76,76,78,63,63,2,73,21,53,43,17,12,25,45,72,68,38,50,70,17,33,14143.0,False,False
2020-10-25,75,75,78,67,90,2,71,30,63,39,34,14,32,49,58,61,62,44,71,42,36,14758.0,False,False
2020-11-01,70,67,71,62,81,100,100,18,46,41,64,12,40,50,55,62,51,51,74,28,21,15284.0,False,False
2020-11-08,77,79,78,61,74,9,90,28,44,97,34,14,50,52,57,74,67,58,81,21,24,16051.0,False,False
2020-11-15,79,76,76,63,49,2,75,21,54,74,59,16,47,63,57,71,48,35,73,25,27,16759.0,False,False
2020-11-22,80,75,76,59,52,1,67,14,68,67,34,14,50,41,65,57,66,33,80,29,34,17483.0,False,False
2020-11-29,77,76,76,70,61,1,66,14,48,62,25,13,34,40,65,62,79,51,75,61,26,18138.0,False,False
2020-12-06,73,74,74,67,63,1,58,9,53,52,34,15,41,19,63,60,52,41,62,17,22,18842.0,False,False
2020-12-13,72,72,71,57,61,1,58,19,41,60,9,17,52,30,55,62,59,40,73,30,27,19599.0,False,False
2020-12-20,83,81,78,53,50,0,69,8,82,71,9,20,33,33,62,67,83,34,79,14,30,20615.0,False,False
