state,positive_cases,total_tests,percentage_positive
AK,46812.0,1297498.0,3.607866832935388
AL,374095.0,1903388.0,19.6541640485282
AR,234781.0,2095621.0,11.20340939511486
AS,0.0,2140.0,0.0
AZ,561542.0,5288658.0,10.617854283638685
CA,2420894.0,34127013.0,7.09377641693986
CO,343435.0,4529774.0,7.581724827772865
CT,194636.0,4468860.0,4.355383699645995
DC,29904.0,921119.0,3.246486067489651
DE,60333.0,1004179.0,6.008191766607348
FL,1352222.0,16095888.0,8.401040066879192
GA,591106.0,5482790.0,10.781116913104459
GU,7344.0,96836.0,7.583956379858731
HI,22527.0,828410.0,2.7193056578264385
IA,242808.0,1179621.0,20.58356031301579
ID,142507.0,549099.0,25.952879171151288
IL,984880.0,13530371.0,7.279031742736397
IN,529688.0,5814026.0,9.11051997359489
KS,231317.0,1024129.0,22.5867053857473
KY,279143.0,3224871.0,8.655943136950285
LA,322181.0,4265759.0,7.552723911500861
MA,392568.0,11146494.0,3.5218966609590425
MD,287802.0,5869617.0,4.903250075771553
ME,25968.0,1133981.0,2.289985458310148
MI,543611.0,8294479.0,6.553889641531434
MN,423688.0,5484851.0,7.724694800278074
MO,402957.0,3697356.0,10.89851775160412
MP,122.0,17551.0,0.6951170873454504
MS,223677.0,1351335.0,16.55229828280922
MT,82664.0,810880.0,10.19435674822415
NC,570111.0,7167886.0,7.953683973210511
ND,93240.0,1256505.0,7.42058328458701
NE,169000.0,1775908.0,9.51625872511414
NH,47328.0,1055767.0,4.482807286077326
NJ,545148.0,7855001.0,6.940139154660834
NM,147315.0,2012759.0,7.319058069048505
NV,233032.0,2140442.0,10.887097150962278
NY,1028362.0,25983464.0,3.9577555940963065
OH,727423.0,7929279.0,9.173885797182821
OK,306771.0,2701089.0,11.357308107952015
OR,118456.0,2722777.0,4.350558271940743
PA,665097.0,3966283.0,16.7687731813388
PR,78805.0,384777.0,20.480694012376
RI,92708.0,2046375.0,4.530352452507483
SC,325472.0,3282238.0,9.91616086341088
