time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,93,79,87,79,68,0,67,23,83,51,61,9,53,65,60,86,47,75,85,54,60,n/a,False,False
2019-01-13,89,81,89,83,69,0,65,20,77,46,70,8,57,66,61,88,49,71,83,54,70,n/a,False,False
2019-01-20,89,79,85,85,68,0,59,27,78,46,71,9,51,64,61,90,48,66,83,54,93,n/a,False,False
2019-01-27,87,77,83,81,64,0,61,23,76,53,64,8,49,68,58,87,46,61,82,64,100,n/a,False,False
2019-02-03,88,78,84,83,60,0,60,28,66,47,53,9,49,68,54,86,49,79,83,63,53,n/a,False,False
2019-02-10,92,77,84,86,60,0,59,25,70,45,77,9,50,66,60,84,47,64,83,53,69,n/a,False,False
2019-02-17,93,82,89,81,63,0,76,27,69,46,58,9,53,69,62,86,59,52,83,63,52,n/a,False,False
2019-02-24,96,87,91,89,60,0,68,33,71,46,68,9,54,69,63,84,49,61,89,71,65,n/a,False,False
2019-03-03,100,88,93,84,63,0,60,68,70,47,57,9,48,73,65,85,49,60,100,72,77,n/a,False,False
2019-03-10,95,91,90,81,65,0,64,22,75,47,49,9,54,74,60,89,45,89,88,64,53,n/a,False,False
2019-03-17,92,90,88,75,63,0,54,20,72,48,62,9,50,84,59,83,45,71,84,59,57,n/a,False,False
2019-03-24,93,85,90,78,62,0,55,20,74,46,60,9,54,100,56,86,47,70,82,60,42,n/a,False,False
2019-03-31,97,87,89,87,77,0,52,20,72,42,64,9,55,67,56,91,48,75,82,52,51,n/a,False,False
2019-04-07,87,82,82,88,71,0,50,15,60,44,54,10,52,65,57,87,48,71,81,56,44,n/a,False,False
2019-04-14,92,82,84,100,69,0,49,20,70,45,60,8,51,68,55,90,51,77,91,66,59,n/a,False,False
2019-04-21,91,81,81,92,78,0,49,19,63,42,66,9,47,70,56,86,42,82,86,61,33,n/a,False,False
2019-04-28,90,76,84,93,79,0,49,18,66,42,55,9,52,70,55,85,45,72,85,52,41,n/a,False,False
2019-05-05,84,79,83,85,67,0,50,19,65,46,47,9,48,67,54,85,49,74,87,59,42,n/a,False,False
2019-05-12,87,78,80,88,67,0,53,18,66,45,42,8,44,71,56,86,56,70,85,60,38,n/a,False,False
2019-05-19,80,77,79,89,59,0,46,16,58,39,53,8,49,69,52,83,44,63,81,85,23,n/a,False,False
2019-05-26,85,75,79,65,64,0,49,15,76,43,47,7,52,77,52,85,42,66,80,39,26,n/a,False,False
2019-06-02,82,77,81,61,65,0,54,14,72,44,46,8,51,79,52,85,38,64,74,50,43,n/a,False,False
2019-06-09,83,77,84,61,62,0,51,14,69,61,46,7,46,65,48,83,35,65,79,49,56,n/a,False,False
2019-06-16,84,78,85,59,59,0,57,18,74,48,56,8,49,62,52,84,47,63,78,53,51,n/a,False,False
2019-06-23,81,78,81,60,60,1,50,18,65,45,56,7,50,64,51,82,44,61,78,44,40,n/a,False,False
