time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,85,68,83,72,57,0,61,15,83,45,59,9,45,72,55,77,63,76,82,65,51,n/a,False,False
2019-01-13,85,71,88,85,72,0,61,17,85,44,45,9,46,72,57,85,48,67,85,48,64,n/a,False,False
2019-01-20,85,73,85,82,64,0,56,16,81,44,60,9,44,69,57,91,61,69,84,64,69,n/a,False,False
2019-01-27,89,75,87,85,63,0,69,22,75,50,70,10,44,67,59,90,53,70,85,79,100,n/a,False,False
2019-02-03,83,73,83,80,59,0,56,20,69,38,58,10,39,76,54,79,46,85,84,65,54,n/a,False,False
2019-02-10,80,69,78,78,54,0,54,25,70,44,60,9,39,67,55,78,48,52,79,63,63,n/a,False,False
2019-02-17,84,72,84,72,60,0,72,19,79,41,59,10,42,74,60,80,50,52,79,63,74,n/a,False,False
2019-02-24,87,77,85,84,57,0,60,25,70,43,52,9,37,82,57,77,56,54,81,77,63,n/a,False,False
2019-03-03,86,76,84,83,56,0,52,42,66,39,51,9,42,75,58,74,48,54,94,70,78,n/a,False,False
2019-03-10,81,74,82,71,53,0,53,15,63,41,60,9,38,81,54,80,46,61,80,60,56,n/a,False,False
2019-03-17,78,74,81,76,52,0,43,18,63,37,49,9,39,89,50,76,44,66,79,66,36,n/a,False,False
2019-03-24,79,76,80,74,59,0,46,18,69,37,62,9,44,100,54,74,38,59,81,59,41,n/a,False,False
2019-03-31,79,69,78,60,62,0,45,17,61,32,42,8,41,73,51,68,50,52,75,61,46,n/a,False,False
2019-04-07,79,71,78,78,63,0,40,14,64,40,56,8,44,69,53,78,46,67,79,52,56,n/a,False,False
2019-04-14,84,78,86,97,60,0,46,13,77,43,65,9,39,76,53,82,47,72,90,53,75,n/a,False,False
2019-04-21,88,81,87,90,75,0,52,18,78,38,51,11,43,78,55,86,48,74,87,60,36,n/a,False,False
2019-04-28,97,86,93,100,91,0,52,20,81,42,50,11,47,77,60,91,49,83,91,75,42,n/a,False,False
2019-05-05,100,92,96,96,79,0,55,16,72,49,63,11,48,79,64,93,57,79,100,63,50,n/a,False,False
2019-05-12,81,76,81,83,66,0,48,14,73,42,43,8,45,80,53,79,49,72,86,61,31,n/a,False,False
2019-05-19,76,69,75,67,60,1,42,16,70,36,52,8,39,78,48,79,41,62,83,65,22,n/a,False,False
2019-05-26,77,77,81,55,59,0,46,11,81,40,29,8,37,78,52,79,50,64,71,44,23,n/a,False,False
2019-06-02,85,79,86,57,71,0,48,15,82,46,58,8,43,86,56,84,48,76,79,59,50,n/a,False,False
2019-06-09,78,73,82,54,60,0,48,11,78,50,52,8,44,83,50,78,43,64,75,43,38,n/a,False,False
2019-06-16,78,75,82,55,58,0,51,14,74,45,58,8,42,80,55,80,45,61,75,51,45,n/a,False,False
2019-06-23,77,71,79,49,54,1,46,9,69,40,38,7,38,68,53,71,45,67,76,51,32,n/a,False,False
