time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,91,63,92,71,64,0,67,22,76,50,39,8,39,56,51,85,58,66,83,40,39,n/a,False,False
2019-01-13,92,67,97,82,74,0,68,30,80,49,55,8,40,61,51,92,55,67,84,47,58,n/a,False,False
2019-01-20,89,67,95,80,71,0,63,29,74,51,50,8,35,55,49,93,61,65,87,53,64,n/a,False,False
2019-01-27,91,66,94,69,62,0,65,26,77,56,48,9,36,59,47,87,62,63,85,54,100,n/a,False,False
2019-02-03,90,72,97,78,62,1,62,32,65,49,53,9,39,58,48,89,60,67,86,51,50,n/a,False,False
2019-02-10,92,71,96,81,63,1,65,34,70,46,48,9,39,59,47,92,58,53,85,45,48,n/a,False,False
2019-02-17,96,72,96,79,65,1,86,40,79,48,53,9,37,75,52,89,51,59,82,51,42,n/a,False,False
2019-02-24,100,73,93,81,58,2,71,39,70,45,51,9,38,64,49,91,55,65,90,60,39,n/a,False,False
2019-03-03,96,74,96,83,60,0,59,74,67,48,58,9,39,67,48,85,51,63,100,60,43,n/a,False,False
2019-03-10,94,75,97,78,61,0,63,33,63,47,53,8,37,72,47,88,47,87,90,61,41,n/a,False,False
2019-03-17,92,76,99,78,60,1,54,36,65,43,51,8,37,83,48,87,55,81,82,50,27,n/a,False,False
2019-03-24,89,76,96,63,62,0,54,23,63,38,49,8,38,100,48,83,63,66,79,56,29,n/a,False,False
2019-03-31,93,76,97,79,68,2,50,35,68,41,68,8,38,64,49,84,48,80,85,37,30,n/a,False,False
2019-04-07,91,74,96,82,68,1,49,25,65,43,52,8,37,63,45,92,62,80,82,66,45,n/a,False,False
2019-04-14,91,76,96,90,62,0,54,24,71,43,54,9,37,62,47,91,68,79,94,51,45,n/a,False,False
2019-04-21,95,78,92,88,73,0,52,26,62,45,53,9,37,62,45,89,64,90,85,51,46,n/a,False,False
2019-04-28,94,75,97,100,80,0,55,33,65,41,37,10,37,65,50,89,61,100,91,55,47,n/a,False,False
2019-05-05,93,75,96,88,68,0,56,33,66,42,59,9,39,61,47,86,54,82,88,53,44,n/a,False,False
2019-05-12,93,79,96,90,68,0,57,31,65,43,46,8,38,63,49,91,66,86,91,53,51,n/a,False,False
2019-05-19,88,76,92,87,64,1,52,23,63,47,42,8,34,64,45,96,55,83,90,69,62,n/a,False,False
2019-05-26,91,74,96,66,59,0,51,23,71,43,38,7,34,71,46,92,55,66,79,44,63,n/a,False,False
2019-06-02,86,79,96,58,60,0,53,25,69,42,42,7,34,74,49,89,49,78,77,40,43,n/a,False,False
2019-06-09,88,75,96,54,63,0,53,18,67,54,52,7,37,61,46,87,49,67,78,42,45,n/a,False,False
2019-06-16,86,77,98,54,59,0,60,20,64,45,58,7,36,61,48,89,53,67,78,58,49,n/a,False,False
2019-06-23,85,76,97,50,59,1,52,22,64,42,53,7,35,60,51,84,51,67,77,44,47,n/a,False,False
2019-06-30,85,72,87,46,57,0,50,18,66,42,36,6,32,52,44,76,45,66,68,64,48,n/a,False,False
2019-07-07,85,78,92,50,58,0,51,19,65,42,50,7,38,56,46,82,52,84,82,46,28,n/a,False,False
2019-07-14,90,78,95,50,71,0,56,23,68,47,47,7,35,61,51,80,47,54,76,48,46,n/a,False,False
2019-07-21,94,82,93,51,70,0,55,29,69,39,43,7,49,61,47,86,52,64,77,47,28,n/a,False,False
2019-07-28,90,79,93,50,67,1,49,23,70,43,56,7,34,60,49,80,47,73,85,80,25,n/a,False,False
2019-08-04,88,81,93,53,61,0,54,21,66,45,38,7,37,62,50,87,47,64,81,74,24,n/a,False,False
2019-08-11,92,84,97,59,68,0,53,20,66,44,38,7,38,62,51,88,47,73,80,48,37,n/a,False,False
2019-08-18,92,82,92,65,62,0,49,24,72,42,59,7,36,57,51,92,59,79,84,60,35,n/a,False,False
2019-08-25,90,87,89,66,56,0,51,24,75,41,46,7,38,57,50,91,58,88,83,51,33,n/a,False,False
2019-09-01,87,93,89,63,61,0,51,24,65,49,54,7,33,54,49,88,53,84,77,43,32,n/a,False,False
2019-09-08,90,100,90,72,65,1,51,25,69,43,61,8,36,58,100,95,49,90,82,43,34,n/a,False,False
2019-09-15,93,97,90,71,65,0,53,21,65,41,49,8,37,57,71,95,45,91,96,48,31,n/a,False,False
2019-09-22,88,83,89,71,68,0,66,25,66,43,64,9,37,58,71,87,46,79,89,52,39,n/a,False,False
2019-09-29,89,69,89,72,92,0,58,23,60,40,61,9,34,56,63,89,51,77,80,48,41,n/a,False,False
2019-10-06,88,68,84,72,100,0,56,25,62,40,56,9,33,56,58,88,47,73,78,53,41,n/a,False,False
2019-10-13,87,69,88,68,83,1,57,23,62,43,51,8,36,52,58,85,54,72,79,52,35,n/a,False,False
2019-10-20,92,67,86,72,75,1,53,25,62,43,68,9,36,55,52,86,54,88,75,39,37,n/a,False,False
2019-10-27,85,63,78,71,65,0,52,21,61,40,40,8,34,57,49,81,48,87,73,42,46,n/a,False,False
2019-11-03,81,63,82,72,57,1,51,25,63,41,63,8,41,58,55,83,47,60,81,47,32,n/a,False,False
