time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,90,70,92,83,58,0,59,31,77,69,75,12,52,54,49,95,42,82,90,46,87,n/a,False,False
2019-01-13,86,71,87,84,70,0,52,31,72,53,22,12,44,39,46,89,35,52,83,28,96,n/a,False,False
2019-01-20,89,69,82,75,62,0,56,21,69,55,15,11,45,41,56,91,45,66,89,11,86,n/a,False,False
2019-01-27,84,68,84,70,47,0,53,37,63,73,44,15,42,47,62,80,33,58,88,50,81,n/a,False,False
2019-02-03,88,71,89,72,42,0,54,27,55,52,15,13,41,46,54,81,45,57,82,56,60,n/a,False,False
2019-02-10,89,70,81,71,46,0,60,30,67,52,58,12,42,44,69,79,34,43,87,11,77,n/a,False,False
2019-02-17,86,70,87,56,64,0,55,21,62,55,44,13,51,37,56,74,49,66,75,60,65,n/a,False,False
2019-02-24,91,74,87,74,54,0,58,21,66,54,50,13,50,52,55,70,48,45,89,44,79,n/a,False,False
2019-03-03,90,73,96,76,53,0,54,67,65,52,37,11,47,54,62,76,41,40,96,28,72,n/a,False,False
2019-03-10,85,73,90,75,60,0,48,43,59,51,67,13,57,44,47,73,41,63,88,56,55,n/a,False,False
2019-03-17,84,81,82,72,70,0,50,27,61,59,30,10,36,59,58,85,39,60,80,62,38,n/a,False,False
2019-03-24,84,79,87,75,57,0,43,27,75,53,60,13,49,100,43,74,36,60,82,40,31,n/a,False,False
2019-03-31,90,79,88,82,57,0,51,18,55,48,45,13,58,51,53,73,26,77,77,63,50,n/a,False,False
2019-04-07,86,79,83,75,55,0,47,24,47,54,75,13,47,51,45,94,17,69,77,17,56,n/a,False,False
2019-04-14,81,78,90,70,52,0,53,13,57,49,100,12,47,52,63,73,55,82,85,53,46,n/a,False,False
2019-04-21,91,79,87,91,64,0,46,34,57,52,46,12,54,45,49,86,49,83,97,35,46,n/a,False,False
2019-04-28,88,81,89,100,75,0,47,19,59,42,45,12,38,56,50,79,44,79,88,51,48,n/a,False,False
2019-05-05,81,77,77,79,63,0,43,18,60,60,52,14,40,38,51,76,39,46,82,28,44,n/a,False,False
2019-05-12,86,81,86,87,70,0,48,18,54,53,22,11,29,50,53,85,33,78,88,28,52,n/a,False,False
2019-05-19,85,80,84,80,76,0,33,12,58,54,29,14,48,48,48,83,47,54,95,100,64,n/a,False,False
2019-05-26,85,86,75,64,75,0,50,21,59,55,30,12,45,53,48,87,56,46,79,39,60,n/a,False,False
2019-06-02,83,80,85,64,49,0,50,18,59,47,36,12,45,43,58,87,36,73,70,28,47,n/a,False,False
2019-06-09,84,85,88,66,52,0,40,6,54,50,29,14,43,39,54,86,27,36,73,61,59,n/a,False,False
2019-06-16,83,87,93,55,55,0,42,9,67,47,75,11,40,52,53,78,41,69,83,28,73,n/a,False,False
2019-06-23,81,89,83,55,54,1,41,9,67,51,44,10,38,41,47,83,45,79,73,22,67,n/a,False,False
2019-06-30,88,91,96,58,57,0,47,24,64,35,22,9,47,49,56,75,32,46,76,23,87,n/a,False,False
2019-07-07,89,96,92,54,54,0,47,6,69,50,44,11,48,57,60,74,36,68,86,39,59,n/a,False,False
2019-07-14,89,91,94,48,75,0,49,25,62,39,15,11,55,49,58,85,26,67,75,34,66,n/a,False,False
2019-07-21,91,94,97,57,68,0,59,19,60,47,46,12,68,54,71,82,38,87,89,23,62,n/a,False,False
2019-07-28,93,94,93,55,76,1,46,6,52,43,38,12,53,44,60,80,49,56,87,58,68,n/a,False,False
2019-08-04,88,98,90,61,79,0,50,16,58,55,61,9,38,56,65,85,44,100,75,23,69,n/a,False,False
2019-08-11,90,97,97,61,70,0,53,34,74,48,37,8,53,48,65,86,39,38,85,40,62,n/a,False,False
2019-08-18,88,98,97,47,44,0,48,24,65,48,7,9,41,45,56,69,43,86,79,28,66,n/a,False,False
2019-08-25,84,98,87,56,68,0,54,18,68,44,36,10,41,44,69,73,41,62,79,16,55,n/a,False,False
2019-09-01,86,100,89,70,60,0,51,18,75,54,57,8,43,50,55,86,19,55,87,21,70,n/a,False,False
2019-09-08,87,99,80,76,51,1,52,26,71,49,43,8,44,44,100,87,50,77,81,32,48,n/a,False,False
2019-09-15,89,98,81,73,58,0,48,12,51,47,56,11,41,47,77,77,21,97,95,37,43,n/a,False,False
2019-09-22,92,93,78,83,69,0,66,14,61,39,21,10,34,50,82,93,47,84,84,53,49,n/a,False,False
2019-09-29,86,77,82,72,84,0,59,17,53,41,70,12,45,44,60,76,47,84,77,27,56,n/a,False,False
2019-10-06,89,76,69,64,76,0,51,23,65,43,41,13,50,38,54,87,35,84,73,47,65,n/a,False,False
2019-10-13,82,70,78,64,72,1,63,9,50,44,21,11,42,50,54,80,41,52,71,63,60,n/a,False,False
2019-10-20,85,76,82,71,58,1,45,23,47,45,42,10,44,40,62,83,30,70,78,52,52,n/a,False,False
2019-10-27,88,72,78,77,62,0,50,23,61,50,62,12,35,41,58,81,59,78,84,37,64,n/a,False,False
2019-11-03,83,72,80,76,63,2,49,14,68,35,55,12,39,48,47,76,46,50,79,79,77,n/a,False,False
2019-11-10,89,71,85,69,57,0,47,11,59,55,41,10,38,33,64,77,100,56,85,62,74,n/a,False,False
2019-11-17,90,73,81,74,56,1,56,26,48,37,55,13,27,34,53,85,51,78,83,26,70,n/a,False,False
2019-11-24,86,68,81,48,48,0,55,8,64,58,34,8,32,40,73,74,63,55,67,57,71,n/a,False,False
2019-12-01,83,69,82,67,53,0,44,11,60,54,35,9,27,32,63,69,76,69,76,31,100,n/a,False,False
2019-12-08,84,70,77,70,54,1,49,3,58,55,70,9,33,52,63,74,57,54,80,42,57,n/a,False,False
2019-12-15,86,62,82,72,51,1,72,12,57,44,57,9,46,50,62,83,61,54,79,85,74,n/a,False,False
2019-12-22,93,68,81,53,53,0,54,6,77,77,23,8,30,63,77,80,65,56,81,29,55,n/a,False,False
2019-12-29,92,70,99,53,64,0,63,3,84,63,44,9,30,47,65,81,64,54,86,28,90,n/a,False,False
2020-01-05,87,64,93,68,75,0,58,17,59,51,20,11,56,50,57,76,47,58,93,36,70,n/a,False,False
2020-01-12,84,67,85,57,50,1,45,26,62,52,45,12,34,46,46,73,43,55,81,34,100,n/a,False,False
2020-01-19,85,66,84,73,59,0,37,36,72,46,27,17,53,50,53,82,35,60,90,21,62,n/a,False,False
2020-01-26,81,70,81,70,59,0,51,19,55,48,46,26,49,61,54,80,58,31,82,45,48,n/a,False,False
2020-02-02,84,71,82,68,48,4,56,11,66,46,33,18,38,49,48,71,38,66,78,25,84,n/a,False,False
2020-02-09,85,70,83,65,55,2,47,3,56,41,33,19,32,40,64,61,45,45,76,20,76,n/a,False,False
2020-02-16,80,71,85,48,53,2,53,11,63,68,33,17,39,42,49,71,32,38,81,20,53,n/a,False,False
2020-02-23,82,78,86,73,45,3,42,21,56,45,83,28,39,42,51,73,34,57,78,29,70,n/a,False,False
2020-03-01,80,75,84,75,51,8,47,24,55,51,51,44,36,37,60,71,50,47,78,19,50,n/a,False,False
2020-03-08,81,67,86,66,45,1,50,33,56,46,37,75,41,38,41,66,53,41,80,47,47,0.0,False,False
2020-03-15,84,56,86,61,63,1,59,10,79,72,56,100,33,34,42,79,45,65,73,84,47,3.0,False,False
2020-03-22,92,64,82,66,66,0,58,15,77,66,54,78,40,32,53,85,44,19,80,76,48,89.0,False,False
2020-03-29,100,65,83,68,74,0,52,22,100,78,59,69,45,38,58,98,64,12,85,81,47,253.0,False,False
2020-04-05,90,66,84,65,53,0,50,10,74,78,67,66,37,37,52,88,66,21,89,66,55,470.0,True,False
