time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,98,66,90,83,72,0,71,25,83,52,59,7,56,78,57,90,60,79,87,55,39,n/a,False,False
2019-01-13,91,69,84,86,76,0,67,21,73,44,55,7,48,71,57,85,40,53,85,51,52,n/a,False,False
2019-01-20,89,65,86,78,66,0,63,23,76,51,45,6,49,76,55,82,58,56,82,49,62,n/a,False,False
2019-01-27,88,63,83,66,72,0,65,26,81,55,50,6,52,71,45,85,49,48,80,65,100,n/a,False,False
2019-02-03,89,66,84,74,63,0,65,28,69,53,57,7,47,75,51,83,53,49,83,49,57,n/a,False,False
2019-02-10,88,65,82,78,62,0,61,25,68,48,50,7,47,76,55,82,47,48,80,50,60,n/a,False,False
2019-02-17,90,67,85,75,65,0,76,36,66,45,51,7,48,71,55,80,54,48,77,58,49,n/a,False,False
2019-02-24,95,66,84,77,61,0,65,30,63,44,71,6,51,78,58,84,45,54,82,59,50,n/a,False,False
2019-03-03,91,70,85,77,58,0,54,52,65,47,44,7,51,78,57,83,49,49,92,64,41,n/a,False,False
2019-03-10,89,71,83,80,59,0,60,29,65,42,54,7,46,82,56,82,43,85,85,61,44,n/a,False,False
2019-03-17,88,71,82,81,60,0,52,24,65,44,58,7,46,94,51,79,44,71,76,60,27,n/a,False,False
2019-03-24,83,72,80,74,59,0,56,25,60,39,60,9,42,100,50,78,52,62,69,45,28,n/a,False,False
2019-03-31,85,68,79,70,59,0,52,18,63,38,64,8,52,74,46,74,42,65,73,48,30,n/a,False,False
2019-04-07,84,74,79,81,65,0,48,22,60,39,50,8,47,77,43,81,45,61,75,50,42,n/a,False,False
2019-04-14,89,72,82,100,67,0,56,24,71,45,54,8,45,77,51,84,47,59,87,62,48,n/a,False,False
2019-04-21,88,74,79,90,78,0,53,18,66,39,53,8,44,77,50,83,48,70,82,48,42,n/a,False,False
2019-04-28,91,70,83,92,80,0,54,21,67,41,46,7,43,79,51,77,46,71,85,51,45,n/a,False,False
2019-05-05,86,71,81,84,70,0,52,18,62,41,32,6,46,75,47,82,44,58,81,43,45,n/a,False,False
2019-05-12,88,73,78,88,61,0,51,18,61,41,47,6,45,82,46,84,39,54,84,48,46,n/a,False,False
2019-05-19,87,79,84,94,70,1,53,22,66,43,56,7,53,79,49,88,48,59,89,84,66,n/a,False,False
2019-05-26,84,74,80,75,68,0,52,19,68,43,32,6,46,85,46,86,45,46,77,35,62,n/a,False,False
2019-06-02,83,74,80,72,55,0,51,19,70,40,55,6,42,95,52,86,47,52,76,54,45,n/a,False,False
2019-06-09,83,75,82,62,63,0,58,17,62,52,37,6,42,79,54,82,37,61,70,43,55,n/a,False,False
2019-06-16,82,74,81,57,60,0,55,12,63,42,26,6,45,78,50,82,41,59,71,43,45,n/a,False,False
2019-06-23,81,75,81,55,56,1,55,18,56,38,54,5,42,76,50,77,40,65,73,49,47,n/a,False,False
2019-06-30,86,76,76,53,59,0,54,18,64,43,40,5,48,79,54,76,40,57,67,48,56,n/a,False,False
2019-07-07,88,80,80,55,57,0,54,13,63,40,45,6,50,79,52,72,48,53,77,63,35,n/a,False,False
2019-07-14,90,82,81,57,69,0,57,24,72,41,48,6,38,79,59,78,44,48,75,49,65,n/a,False,False
2019-07-21,87,80,81,59,63,0,56,21,71,40,34,5,56,78,56,77,45,46,77,54,39,n/a,False,False
2019-07-28,85,81,84,58,66,1,51,17,65,41,49,6,52,78,53,80,32,48,80,89,35,n/a,False,False
2019-08-04,84,78,83,57,60,0,55,19,68,47,48,6,44,77,58,78,40,60,77,82,34,n/a,False,False
2019-08-11,84,81,82,58,62,0,54,16,65,37,56,6,46,79,56,79,36,48,72,63,36,n/a,False,False
2019-08-18,86,84,80,57,57,0,51,17,69,40,44,6,46,76,56,81,54,50,73,53,36,n/a,False,False
2019-08-25,84,86,77,59,63,0,53,14,67,41,42,6,47,70,55,86,40,63,75,48,37,n/a,False,False
2019-09-01,84,94,76,69,68,0,53,17,75,51,38,6,43,72,55,83,42,78,78,38,42,n/a,False,False
2019-09-08,89,100,81,81,66,1,60,21,70,42,67,7,50,72,100,95,43,61,81,49,50,n/a,False,False
2019-09-15,90,95,76,76,68,0,55,16,66,42,49,7,52,73,73,86,36,66,100,44,30,n/a,False,False
2019-09-22,88,83,75,73,71,0,66,20,65,42,48,7,49,70,73,84,44,66,82,70,38,n/a,False,False
2019-09-29,83,69,75,75,96,0,57,15,60,41,47,7,46,69,63,84,44,60,76,54,48,n/a,False,False
2019-10-06,85,68,71,73,100,0,58,21,61,39,48,7,48,68,62,84,44,71,75,62,43,n/a,False,False
2019-10-13,85,69,72,78,76,1,56,26,59,41,54,7,46,66,60,83,45,75,76,48,43,n/a,False,False
2019-10-20,88,67,73,78,78,1,52,24,68,38,64,7,44,72,59,84,44,74,72,50,45,n/a,False,False
2019-10-27,87,65,74,78,66,0,58,20,68,40,68,6,47,65,52,86,47,100,71,43,46,n/a,False,False
2019-11-03,86,68,76,83,60,2,58,22,71,44,72,7,46,71,58,80,45,65,79,57,38,n/a,False,False
2019-11-10,90,71,78,76,70,0,62,22,72,42,68,8,51,70,60,88,90,62,83,71,56,n/a,False,False
2019-11-17,93,73,84,83,68,1,59,18,66,47,65,8,53,80,68,87,98,61,82,61,35,n/a,False,False
2019-11-24,90,62,84,69,63,0,58,17,76,67,41,6,43,75,72,83,82,56,72,57,39,n/a,False,False
2019-12-01,94,67,92,82,66,0,57,24,70,62,61,8,47,82,71,85,79,62,77,58,35,n/a,False,False
2019-12-08,96,67,91,83,62,0,62,20,70,62,61,7,49,88,60,89,90,54,83,86,38,n/a,False,False
2019-12-15,96,65,91,81,66,0,95,20,69,62,47,8,50,96,68,85,84,66,81,76,36,n/a,False,False
2019-12-22,92,65,88,61,67,0,65,12,88,74,25,7,47,87,72,83,99,57,75,41,34,n/a,False,False
2019-12-29,100,69,96,62,77,0,67,18,96,57,46,9,51,89,63,86,80,68,87,45,41,n/a,False,False
2020-01-05,92,65,88,75,78,0,75,15,82,49,46,8,53,80,57,82,61,52,91,46,55,n/a,False,False
2020-01-12,87,65,84,76,75,1,61,14,76,42,50,8,46,78,50,79,54,43,80,39,52,n/a,False,False
2020-01-19,90,66,87,76,79,0,61,24,76,39,52,12,47,79,54,81,53,55,81,36,38,n/a,False,False
2020-01-26,84,65,82,78,68,0,59,17,61,37,81,16,44,89,54,78,48,51,80,51,27,n/a,False,False
2020-02-02,87,64,80,72,70,3,71,31,63,38,55,12,44,75,51,80,48,56,76,46,42,n/a,False,False
2020-02-09,84,63,83,75,71,1,60,27,69,40,57,12,44,74,54,75,41,54,74,42,46,n/a,False,False
2020-02-16,86,66,85,74,66,1,49,25,64,42,73,10,51,74,54,77,46,45,75,40,34,n/a,False,False
2020-02-23,82,67,84,80,53,2,48,25,63,44,59,17,40,70,54,77,46,54,76,59,48,n/a,False,False
2020-03-01,79,67,82,74,65,4,48,25,61,42,38,22,45,73,56,73,49,51,76,46,38,14.0,False,False
2020-03-08,81,64,79,70,57,4,64,33,58,40,75,65,45,71,48,73,45,43,73,61,34,251.0,False,False
2020-03-15,88,57,80,67,64,1,70,18,85,65,74,100,44,65,49,85,58,51,76,100,33,2188.0,False,False
2020-03-22,96,55,77,73,75,0,72,18,100,70,84,88,58,70,50,93,61,44,84,97,35,7822.0,False,False
2020-03-29,92,56,76,75,69,0,67,18,99,68,91,68,58,62,50,91,55,32,81,82,36,15784.0,True,False
2020-04-05,92,60,73,73,67,0,61,17,91,76,96,59,49,64,50,89,67,35,86,73,44,24458.0,True,False
2020-04-12,100,66,89,81,87,0,69,22,97,87,91,50,56,66,67,90,72,42,97,67,38,31666.0,True,False
2020-04-19,94,63,83,81,75,0,68,21,94,77,93,40,45,64,56,91,66,57,86,65,39,37557.0,False,False
2020-04-26,90,69,80,73,71,0,60,18,78,70,100,27,48,65,54,84,56,42,85,64,43,43789.0,False,False
2020-05-03,94,76,79,72,70,0,56,18,78,60,83,26,49,66,53,79,67,30,84,66,43,49029.0,False,False
2020-05-10,90,75,85,73,65,0,62,18,77,62,67,23,47,66,58,85,55,31,85,58,51,53033.0,False,False
2020-05-17,84,77,82,68,74,0,57,20,69,64,51,20,46,68,58,77,56,27,84,77,55,58278.0,False,False
2020-05-24,82,78,80,65,75,0,62,37,72,51,64,16,77,73,50,74,53,27,72,44,63,61457.0,False,False
2020-05-31,79,80,77,66,70,1,69,82,62,44,45,15,100,68,48,75,42,26,66,50,50,63568.0,False,False
2020-06-07,80,84,87,61,61,0,59,71,69,64,32,15,82,73,55,71,54,31,72,53,60,64969.0,False,False
2020-06-14,78,83,100,59,70,0,62,54,66,49,35,14,78,65,57,67,43,28,70,43,39,66054.0,False,False
2020-06-21,81,88,97,62,66,1,62,100,68,50,64,17,62,68,57,70,43,38,74,39,61,67711.0,False,False
2020-06-28,79,83,88,56,65,0,69,30,63,46,40,18,54,66,58,71,48,33,67,33,35,69946.0,False,False
2020-07-05,83,86,86,60,70,0,72,38,65,43,52,21,55,66,54,75,43,40,69,44,58,72941.0,False,False
2020-07-12,86,87,87,58,63,1,77,29,64,49,53,21,51,66,57,71,59,33,73,50,44,76776.0,False,False
2020-07-19,81,83,86,57,74,1,65,26,66,52,50,18,56,68,58,79,42,39,80,41,48,81868.0,False,False
2020-07-26,86,87,88,61,72,1,64,31,64,48,59,16,51,67,59,80,46,49,76,34,50,86661.0,False,False
2020-08-02,84,86,86,60,64,3,68,34,66,47,49,15,53,72,60,71,56,44,74,46,45,91761.0,False,False
2020-08-09,80,79,78,56,62,1,58,40,64,45,46,14,50,63,56,71,47,41,74,31,48,96726.0,False,False
2020-08-16,79,80,78,58,64,1,66,31,62,47,51,12,45,65,57,73,38,58,68,40,36,102259.0,False,False
2020-08-23,80,74,76,60,69,1,74,30,65,48,52,11,55,61,58,75,46,49,71,38,56,106808.0,False,False
2020-08-30,86,77,81,66,78,1,61,28,65,50,64,11,53,69,52,91,48,54,71,45,44,112526.0,False,False
2020-09-06,84,71,80,79,76,1,60,22,76,55,55,11,51,63,51,97,66,55,75,31,51,117191.0,False,False
2020-09-13,83,69,81,75,69,1,56,22,72,60,40,11,44,66,55,100,62,59,73,41,35,123058.0,False,False
2020-09-20,80,69,78,81,59,2,51,30,69,59,67,11,48,59,54,89,50,50,69,36,31,128087.0,False,False
2020-09-27,82,65,76,73,61,3,93,29,62,47,55,10,41,63,49,85,43,54,75,40,45,134373.0,False,False
2020-10-04,82,65,74,70,60,3,90,31,59,41,48,10,50,60,49,79,49,56,69,33,33,141271.0,False,False
2020-10-11,76,63,72,63,59,2,59,23,55,44,57,11,40,66,70,72,50,45,71,32,41,149464.0,False,False
2020-10-18,76,63,74,64,59,3,66,26,53,42,59,11,45,66,59,74,45,42,68,52,43,159119.0,False,False
2020-10-25,76,58,73,63,96,3,59,30,59,40,53,13,41,64,55,70,59,56,68,46,31,175612.0,False,False
2020-11-01,68,49,60,52,63,100,100,32,54,39,39,10,40,64,44,64,47,39,59,33,27,197406.0,False,False
2020-11-08,79,57,70,62,57,9,94,26,61,100,36,15,52,68,50,73,59,42,89,39,34,229003.0,False,False
2020-11-15,75,58,73,63,57,3,66,24,63,78,52,16,45,66,52,73,67,45,70,39,31,275792.0,False,False
2020-11-22,78,55,74,59,64,1,64,17,72,89,36,11,39,67,56,65,80,48,74,52,29,329021.0,False,False
2020-11-29,80,56,83,62,62,1,57,15,63,78,59,13,46,69,51,69,75,42,69,65,29,378152.0,False,False
2020-12-06,79,57,78,68,64,1,60,20,68,69,61,14,43,73,52,72,79,43,76,57,26,426576.0,False,False
2020-12-13,80,57,77,66,61,1,64,16,64,73,55,15,47,73,50,73,90,50,73,63,32,465159.0,False,False
2020-12-20,84,58,80,61,70,0,65,13,74,82,34,13,40,82,53,76,100,45,78,42,35,496056.0,False,False
