time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,83,65,80,85,74,1,76,39,70,60,53,11,48,51,66,90,50,70,85,60,82,n/a,False,False
2019-01-13,82,64,83,85,76,1,71,38,74,54,52,10,49,43,65,85,53,58,88,56,92,n/a,False,False
2019-01-20,83,64,85,80,84,1,66,38,64,58,67,10,55,51,60,86,57,54,91,48,67,n/a,False,False
2019-01-27,81,66,84,82,75,2,69,56,71,57,64,10,54,48,64,85,56,57,88,68,77,n/a,False,False
2019-02-03,86,68,86,81,60,1,70,37,63,54,68,10,46,54,63,87,53,48,87,61,78,n/a,False,False
2019-02-10,88,68,80,93,66,1,70,44,75,60,60,12,49,52,65,79,47,52,86,48,96,n/a,False,False
2019-02-17,89,68,86,84,74,1,80,38,70,56,67,11,45,53,71,76,56,45,84,51,79,n/a,False,False
2019-02-24,87,72,89,85,70,2,71,45,68,52,58,10,46,58,64,79,41,58,87,69,72,n/a,False,False
2019-03-03,87,74,85,90,79,1,67,80,72,56,81,11,42,59,65,83,49,51,96,73,71,n/a,False,False
2019-03-10,85,72,82,79,76,1,65,42,62,54,56,9,49,74,61,83,41,81,91,56,56,n/a,False,False
2019-03-17,76,72,80,70,62,1,52,27,63,48,52,9,51,81,61,75,45,61,80,63,35,n/a,False,False
2019-03-24,82,72,82,79,64,1,62,36,64,55,55,9,45,100,56,85,46,68,84,66,50,n/a,False,False
2019-03-31,83,68,80,88,79,2,55,48,60,48,54,9,52,52,62,81,42,69,85,47,42,n/a,False,False
2019-04-07,82,73,79,86,69,2,49,36,49,48,65,10,45,48,57,85,44,77,78,50,49,n/a,False,False
2019-04-14,83,73,79,100,80,1,59,28,63,59,54,9,50,52,60,82,40,62,88,70,53,n/a,False,False
2019-04-21,81,71,81,93,80,1,55,32,52,45,42,10,57,62,53,82,46,73,78,67,49,n/a,False,False
