time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,91,73,90,80,64,0,65,29,84,54,36,9,47,43,80,78,44,60,89,50,64,n/a,False,False
2019-01-13,85,75,87,79,58,0,62,22,62,47,62,8,47,48,62,82,47,73,83,43,95,n/a,False,False
2019-01-20,82,74,84,68,69,0,52,35,76,53,44,9,54,37,67,71,28,46,84,67,77,n/a,False,False
2019-01-27,83,74,87,76,83,0,58,29,68,47,26,11,53,39,67,84,40,45,86,25,71,n/a,False,False
2019-02-03,85,75,88,72,49,0,54,25,69,46,44,10,45,44,67,80,39,51,85,24,58,n/a,False,False
2019-02-10,87,72,88,74,55,0,56,28,66,39,43,10,25,50,56,80,48,32,81,61,76,n/a,False,False
2019-02-17,90,78,89,72,64,0,61,50,73,49,43,10,35,51,70,86,37,46,82,91,62,n/a,False,False
2019-02-24,89,75,83,56,59,0,54,18,61,50,17,9,44,51,67,73,31,43,73,72,68,n/a,False,False
2019-03-03,87,78,90,75,50,0,56,70,69,59,70,10,31,55,68,85,36,61,96,49,60,n/a,False,False
2019-03-10,84,79,86,74,49,1,56,16,59,53,52,9,29,69,58,92,41,75,89,49,51,n/a,False,False
2019-03-17,83,85,86,72,50,0,46,13,55,42,18,8,45,79,61,75,32,54,80,61,39,n/a,False,False
2019-03-24,83,84,90,72,64,0,44,31,48,41,53,12,68,100,53,71,36,67,78,0,34,n/a,False,False
2019-03-31,83,85,85,80,71,0,41,16,59,46,35,8,54,43,55,82,21,49,80,49,39,n/a,False,False
2019-04-07,79,83,82,79,46,0,43,22,49,37,36,11,66,47,64,73,47,45,75,68,43,n/a,False,False
2019-04-14,84,82,85,91,67,0,40,33,67,44,92,14,34,47,66,78,19,89,100,26,58,n/a,False,False
2019-04-21,79,83,77,74,67,0,45,16,62,43,36,10,49,46,54,77,37,67,71,57,48,n/a,False,False
2019-04-28,85,77,83,100,77,0,39,32,54,33,53,10,51,44,53,74,33,64,89,37,43,n/a,False,False
2019-05-05,80,81,87,82,61,0,39,16,65,50,79,10,52,44,58,84,38,66,87,31,43,n/a,False,False
2019-05-12,77,86,81,85,62,0,44,16,53,47,35,8,39,51,69,88,22,61,89,43,59,n/a,False,False
2019-05-19,78,81,79,82,60,1,40,22,58,32,52,12,43,59,63,79,32,44,84,49,61,n/a,False,False
2019-05-26,78,91,74,70,49,0,44,19,64,45,43,11,45,65,65,78,48,33,88,43,50,n/a,False,False
2019-06-02,79,90,82,70,50,0,43,16,69,43,95,9,56,73,55,92,32,55,68,54,49,n/a,False,False
2019-06-09,77,87,74,63,55,0,40,31,60,44,52,9,45,39,45,85,21,57,73,30,52,n/a,False,False
2019-06-16,76,86,87,55,57,0,55,35,78,46,26,8,42,48,43,80,40,59,73,31,59,n/a,False,False
2019-06-23,75,92,77,46,52,1,49,16,60,46,35,6,48,37,61,72,42,51,76,36,58,n/a,False,False
2019-06-30,86,91,77,45,43,0,55,13,63,53,9,7,50,46,68,72,48,66,70,49,61,n/a,False,False
2019-07-07,85,91,88,51,59,0,54,22,73,44,35,8,44,48,60,73,30,58,80,55,49,n/a,False,False
2019-07-14,85,87,81,50,63,0,53,45,52,50,44,8,42,43,53,75,49,43,84,50,57,n/a,False,False
2019-07-21,87,95,80,58,60,0,51,53,64,39,36,8,72,51,57,75,19,39,85,51,49,n/a,False,False
2019-07-28,83,89,87,49,59,1,41,26,84,40,55,8,43,44,60,80,35,41,79,44,56,n/a,False,False
2019-08-04,82,89,87,56,56,0,55,16,66,48,73,7,57,40,56,76,31,57,77,56,54,n/a,False,False
2019-08-11,86,94,82,57,62,0,53,13,67,36,18,8,57,54,74,82,31,24,80,31,51,n/a,False,False
2019-08-18,86,91,83,59,39,0,53,9,68,49,35,8,47,40,80,68,50,49,73,37,65,n/a,False,False
2019-08-25,80,95,80,56,69,0,54,34,64,31,43,8,48,48,65,84,37,67,77,30,43,n/a,False,False
2019-09-01,81,97,76,64,60,0,43,6,65,46,25,8,38,50,68,78,29,65,71,47,56,n/a,False,False
2019-09-08,79,94,78,73,67,1,42,12,67,44,51,8,65,45,100,80,27,74,71,76,41,n/a,False,False
2019-09-15,81,94,70,72,52,0,54,12,69,42,42,7,43,38,94,78,26,54,85,41,32,n/a,False,False
2019-09-22,82,83,74,66,61,0,56,18,47,43,59,10,41,46,81,74,34,69,88,58,45,n/a,False,False
2019-09-29,79,82,70,70,68,0,54,21,43,44,67,10,45,41,70,85,18,57,72,63,54,n/a,False,False
2019-10-06,80,78,78,72,78,0,52,24,59,38,75,9,44,37,72,78,32,55,80,40,61,n/a,False,False
2019-10-13,83,72,80,68,60,1,54,18,53,44,66,10,41,47,68,63,41,76,73,81,48,n/a,False,False
2019-10-20,80,79,75,74,73,1,52,18,63,45,50,9,40,43,62,84,37,96,70,46,49,n/a,False,False
2019-10-27,83,72,79,84,63,0,58,21,62,35,33,9,38,46,63,89,33,94,76,52,48,n/a,False,False
2019-11-03,78,72,72,71,49,1,50,18,63,48,33,8,37,43,65,75,30,43,78,23,57,n/a,False,False
2019-11-10,82,76,76,66,54,0,51,20,71,38,40,9,35,38,70,66,76,52,79,68,58,n/a,False,False
2019-11-17,78,78,82,65,67,1,46,27,60,51,58,9,29,44,76,80,66,66,81,69,58,n/a,False,False
2019-11-24,85,73,75,50,61,0,46,20,68,64,41,8,31,42,83,77,64,47,73,34,59,n/a,False,False
2019-12-01,78,71,76,60,45,0,44,18,60,71,16,10,32,51,65,71,40,50,67,51,100,n/a,False,False
2019-12-08,82,68,78,74,54,0,54,18,59,62,74,10,33,53,58,80,56,55,73,64,59,n/a,False,False
2019-12-15,84,67,76,67,52,1,62,18,70,60,25,7,37,61,70,78,68,53,74,52,68,n/a,False,False
2019-12-22,93,77,95,53,71,0,55,10,88,82,27,10,50,63,76,78,100,48,85,19,42,n/a,False,False
2019-12-29,95,78,100,55,72,1,58,19,77,55,43,9,43,50,62,80,62,51,90,6,74,n/a,False,False
2020-01-05,84,70,88,77,60,0,64,17,67,44,40,9,61,50,58,75,46,66,86,62,53,n/a,False,False
2020-01-12,83,75,91,65,71,1,58,8,77,38,46,11,28,54,55,80,44,61,80,21,77,n/a,False,False
2020-01-19,85,72,85,67,67,1,51,14,71,50,55,15,41,56,58,70,57,58,80,50,52,n/a,False,False
2020-01-26,80,74,83,70,64,1,53,14,59,43,47,26,45,64,52,81,42,42,70,38,38,n/a,False,False
2020-02-02,83,73,84,65,53,7,66,39,50,48,55,17,34,47,49,78,33,35,83,65,66,n/a,False,False
2020-02-09,87,70,88,63,47,8,58,36,67,37,32,17,39,46,70,79,31,41,75,48,64,n/a,False,False
2020-02-16,86,79,89,82,42,1,45,19,66,53,62,14,49,38,73,80,32,43,86,59,51,n/a,False,False
2020-02-23,76,76,89,60,40,2,43,16,72,50,85,23,46,48,56,61,22,40,73,42,44,n/a,False,False
2020-03-01,76,74,90,68,61,5,40,27,65,48,68,38,40,33,53,76,48,42,80,42,49,n/a,False,False
2020-03-08,79,74,81,61,56,2,61,27,54,47,23,61,42,40,52,78,33,43,77,41,44,4.0,False,False
2020-03-15,86,62,79,60,53,1,54,16,79,55,51,100,49,42,53,93,49,58,77,66,45,13.0,False,False
2020-03-22,92,64,82,75,59,1,60,26,100,74,78,81,32,37,55,96,52,40,79,81,44,65.0,False,False
2020-03-29,94,68,86,85,68,1,47,23,93,73,85,66,56,37,71,91,37,38,79,79,43,214.0,True,False
