time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,92,78,89,79,78,0,76,22,73,53,35,10,49,57,71,76,47,62,93,49,48,n/a,False,False
2019-01-13,94,77,84,78,73,0,64,31,82,43,35,8,48,46,56,80,43,76,86,41,63,n/a,False,False
2019-01-20,85,73,85,76,70,0,61,25,95,53,64,9,44,37,62,77,44,72,84,48,45,n/a,False,False
2019-01-27,87,74,82,77,65,0,63,24,90,50,39,11,33,60,59,71,45,51,89,48,49,n/a,False,False
2019-02-03,90,74,81,81,72,0,66,14,82,50,80,10,41,41,67,78,39,66,87,44,71,n/a,False,False
2019-02-10,92,73,80,81,60,0,61,29,83,57,34,9,38,54,66,69,29,57,91,66,85,n/a,False,False
2019-02-17,92,76,81,69,66,0,73,33,69,46,47,11,44,38,62,76,40,55,91,55,100,n/a,False,False
2019-02-24,97,81,85,84,68,0,69,32,71,47,84,8,41,48,63,74,52,62,85,83,57,n/a,False,False
2019-03-03,95,78,85,84,70,0,56,66,78,59,56,11,34,49,64,73,48,59,96,63,61,n/a,False,False
2019-03-10,91,79,85,73,73,0,63,17,85,43,30,10,42,45,61,71,27,81,96,59,53,n/a,False,False
2019-03-17,87,78,85,76,62,0,51,9,71,45,43,9,39,55,60,68,41,71,83,52,39,n/a,False,False
2019-03-24,89,80,89,78,71,0,51,26,79,41,43,9,42,100,65,75,38,66,86,37,32,n/a,False,False
2019-03-31,95,79,87,79,76,0,58,29,78,38,69,8,36,51,59,73,33,72,84,51,27,n/a,False,False
2019-04-07,93,80,84,88,77,0,51,20,77,42,61,10,40,47,65,75,30,65,88,67,39,n/a,False,False
2019-04-14,90,81,85,74,70,0,55,17,73,47,22,9,40,50,59,68,47,89,100,47,39,n/a,False,False
2019-04-21,93,77,81,95,80,0,50,24,74,44,71,10,39,52,61,83,41,100,88,45,28,n/a,False,False
2019-04-28,93,76,82,93,96,0,52,17,82,42,44,9,38,51,60,66,36,94,90,67,39,n/a,False,False
2019-05-05,90,77,81,87,91,0,46,31,77,52,43,10,38,46,54,77,46,85,95,78,39,n/a,False,False
2019-05-12,93,79,85,100,78,0,58,29,77,52,39,9,42,62,57,79,41,87,97,56,42,n/a,False,False
2019-05-19,94,79,85,86,75,0,52,14,81,45,26,8,49,62,54,79,34,74,98,84,51,n/a,False,False
2019-05-26,91,79,85,63,81,0,51,24,82,41,39,7,36,74,62,73,41,81,87,59,41,n/a,False,False
2019-06-02,87,80,88,60,72,0,57,18,75,48,34,8,26,75,51,72,33,80,77,76,25,n/a,False,False
2019-06-09,86,76,86,59,71,0,55,23,70,56,46,8,35,55,48,76,30,84,86,50,30,n/a,False,False
2019-06-16,84,82,86,60,65,0,61,17,75,47,39,7,40,45,56,71,29,60,78,41,26,n/a,False,False
2019-06-23,86,80,83,56,77,1,52,17,69,44,68,7,29,42,53,72,29,68,77,65,25,n/a,False,False
2019-06-30,90,82,80,52,80,0,53,24,77,43,30,6,34,55,55,71,32,74,85,48,20,n/a,False,False
2019-07-07,94,79,89,54,68,0,58,21,76,43,26,8,40,49,55,68,37,77,89,66,22,n/a,False,False
2019-07-14,92,83,85,54,75,0,55,35,68,47,40,8,34,48,53,71,37,78,88,45,23,n/a,False,False
2019-07-21,92,82,87,57,74,0,47,17,77,49,63,7,55,45,63,65,36,79,90,46,31,n/a,False,False
2019-07-28,91,84,86,61,81,1,57,12,77,48,31,7,44,52,58,70,35,62,84,57,29,n/a,False,False
2019-08-04,92,81,90,57,71,0,57,27,72,51,57,8,43,39,60,69,48,75,87,90,28,n/a,False,False
2019-08-11,92,84,90,63,77,0,55,17,67,40,39,9,40,41,58,75,35,73,84,93,24,n/a,False,False
2019-08-18,92,95,90,68,81,0,52,25,64,41,43,10,41,49,63,85,55,86,90,33,21,n/a,False,False
2019-08-25,94,91,85,68,70,0,52,18,84,47,59,7,38,40,72,79,36,82,89,62,25,n/a,False,False
2019-09-01,94,100,84,78,83,0,59,17,97,54,33,9,44,48,59,74,33,87,83,74,31,n/a,False,False
2019-09-08,93,100,87,75,65,1,52,19,77,42,83,8,38,45,100,77,39,86,89,53,23,n/a,False,False
2019-09-15,94,99,82,83,79,0,57,22,90,52,20,7,42,55,82,83,28,81,97,50,30,n/a,False,False
2019-09-22,93,88,76,69,80,0,67,16,82,42,53,9,35,45,79,78,39,85,93,66,34,n/a,False,False
2019-09-29,88,78,82,79,100,0,69,14,76,37,57,8,39,36,66,75,32,86,79,62,38,n/a,False,False
2019-10-06,90,75,79,71,100,0,59,24,69,42,44,10,41,39,61,74,39,84,82,52,43,n/a,False,False
2019-10-13,91,79,84,79,94,1,61,14,78,45,69,10,53,40,68,76,34,77,82,73,40,n/a,False,False
2019-10-20,91,75,81,74,87,1,51,19,66,46,33,10,32,47,60,70,50,82,82,69,32,n/a,False,False
2019-10-27,91,76,81,77,78,0,49,16,77,41,40,9,45,48,67,73,45,93,82,41,54,n/a,False,False
2019-11-03,88,80,82,78,60,1,55,18,80,45,56,9,45,40,64,73,37,60,92,51,33,n/a,False,False
2019-11-10,92,77,81,71,64,0,54,11,72,46,64,11,45,38,74,69,77,69,85,75,35,n/a,False,False
2019-11-17,88,76,84,76,71,1,50,26,71,51,28,12,43,45,69,73,76,71,85,62,63,n/a,False,False
2019-11-24,85,70,81,57,66,0,56,19,90,60,56,9,34,39,62,69,63,58,74,54,81,n/a,False,False
2019-12-01,90,70,84,73,61,0,50,26,80,62,40,10,44,48,69,72,57,75,82,68,60,n/a,False,False
2019-12-08,89,71,86,81,69,0,49,28,75,55,41,9,43,50,61,72,58,63,86,56,41,n/a,False,False
