time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,91,56,83,71,66,0,71,27,78,48,66,10,46,66,58,87,59,73,83,60,62,n/a,False,False
2019-01-13,94,66,92,77,71,0,71,29,79,49,65,10,46,67,63,88,58,70,85,65,92,n/a,False,False
2019-01-20,92,65,91,74,76,0,63,33,80,49,73,10,46,69,61,89,64,74,88,77,85,n/a,False,False
2019-01-27,90,64,86,72,64,0,65,32,74,52,73,11,42,69,56,84,66,69,83,91,100,n/a,False,False
2019-02-03,96,75,98,80,72,0,62,32,69,51,93,12,45,70,61,90,69,74,84,80,67,n/a,False,False
2019-02-10,94,64,90,79,63,0,67,36,70,48,78,11,51,69,60,86,58,61,86,73,80,n/a,False,False
2019-02-17,90,61,88,64,65,0,81,36,74,45,61,10,42,70,53,83,63,61,77,63,75,n/a,False,False
2019-02-24,96,59,83,78,60,1,72,38,63,40,62,9,40,72,58,84,55,67,83,60,77,n/a,False,False
2019-03-03,100,73,95,80,69,0,60,81,72,51,70,11,45,71,64,86,60,66,100,79,75,n/a,False,False
2019-03-10,97,76,96,75,64,0,64,27,72,50,82,10,47,80,63,87,54,100,89,82,57,n/a,False,False
2019-03-17,86,60,74,71,60,0,50,30,68,35,58,8,39,82,49,82,55,76,74,66,48,n/a,False,False
2019-03-24,86,72,86,76,61,0,54,26,65,44,75,10,49,100,53,81,61,75,79,63,45,n/a,False,False
2019-03-31,94,77,96,84,70,0,52,29,69,48,92,10,49,72,57,82,56,76,81,80,57,n/a,False,False
2019-04-07,86,66,86,79,69,0,50,26,64,44,75,12,44,73,55,86,55,79,78,68,63,n/a,False,False
2019-04-14,86,61,79,89,61,0,52,24,66,39,51,10,45,69,49,84,60,88,88,69,72,n/a,False,False
2019-04-21,92,66,84,77,76,0,53,26,69,41,56,10,40,71,48,86,59,90,82,68,61,n/a,False,False
2019-04-28,98,77,99,100,86,0,55,31,71,48,93,12,50,76,60,87,66,86,87,82,64,n/a,False,False
2019-05-05,92,70,87,90,71,0,57,26,69,46,77,10,40,71,54,86,56,91,84,73,64,n/a,False,False
2019-05-12,88,62,78,87,66,0,57,33,65,41,55,9,39,77,51,88,54,80,83,70,65,n/a,False,False
2019-05-19,82,63,76,84,59,1,50,26,61,34,52,9,42,74,50,87,54,76,83,66,69,n/a,False,False
2019-05-26,83,60,77,65,61,0,52,22,64,39,62,8,40,76,51,85,49,72,74,53,70,n/a,False,False
2019-06-02,87,66,82,68,64,0,53,22,70,41,57,9,43,85,51,95,48,77,75,61,58,n/a,False,False
2019-06-09,89,74,86,72,62,0,53,25,70,51,59,10,44,71,55,93,54,80,78,71,64,n/a,False,False
2019-06-16,95,84,100,70,65,0,58,25,86,53,75,10,48,73,61,91,51,76,82,72,80,n/a,False,False
2019-06-23,79,63,78,55,57,2,50,25,64,36,62,8,37,72,46,81,44,81,72,59,56,n/a,False,False
2019-06-30,82,63,77,50,55,0,50,22,62,36,44,8,36,68,48,76,51,75,67,52,58,n/a,False,False
2019-07-07,88,71,84,54,55,0,54,21,67,40,59,9,43,72,51,85,53,79,73,53,49,n/a,False,False
2019-07-14,98,86,97,62,74,0,57,28,75,47,78,10,45,73,55,83,59,71,79,73,66,n/a,False,False
2019-07-21,96,78,90,58,73,0,56,31,72,45,63,9,56,75,54,83,57,69,78,62,61,n/a,False,False
2019-07-28,89,70,83,56,68,1,53,24,68,41,73,9,44,72,56,82,53,71,78,88,50,n/a,False,False
2019-08-04,93,75,86,59,64,0,56,24,65,43,65,9,46,73,57,78,50,78,77,86,57,n/a,False,False
2019-08-11,94,79,93,60,66,0,57,28,71,45,62,9,49,75,59,84,56,66,79,86,54,n/a,False,False
2019-08-18,91,79,91,57,67,0,51,21,72,40,66,9,49,70,57,81,56,74,76,73,55,n/a,False,False
2019-08-25,85,73,79,55,66,0,52,20,72,40,50,8,40,70,51,79,52,78,72,66,47,n/a,False,False
2019-09-01,86,77,80,62,64,0,52,25,72,48,63,8,41,67,58,82,47,87,72,60,60,n/a,False,False
2019-09-08,84,77,74,71,63,1,56,23,71,38,67,9,44,73,100,85,48,79,75,64,48,n/a,False,False
2019-09-15,96,100,94,76,72,1,53,28,76,48,82,12,48,72,86,91,54,97,93,83,39,n/a,False,False
2019-09-22,87,72,75,74,71,0,66,26,67,40,59,10,44,71,81,85,55,74,81,73,41,n/a,False,False
2019-09-29,88,62,77,70,93,0,62,26,71,39,71,10,50,72,67,87,46,82,75,66,57,n/a,False,False
2019-10-06,84,59,73,68,100,1,57,23,69,39,59,10,40,70,60,82,53,80,74,62,72,n/a,False,False
2019-10-13,90,62,75,69,85,1,58,26,64,40,61,10,43,70,63,82,55,79,76,60,66,n/a,False,False
2019-10-20,92,66,85,73,81,1,56,25,70,42,79,10,47,70,64,84,54,91,79,64,61,n/a,False,False
2019-10-27,88,57,77,72,73,1,57,21,66,40,60,10,43,70,60,85,58,95,75,52,72,n/a,False,False
2019-11-03,85,62,79,75,65,3,56,26,70,43,73,10,50,69,62,82,49,67,75,61,64,n/a,False,False
2019-11-10,91,67,83,72,64,0,57,30,70,46,73,10,42,72,68,84,96,65,80,79,74,n/a,False,False
2019-11-17,87,61,77,73,64,1,55,29,73,47,68,10,44,71,60,85,94,69,78,69,56,n/a,False,False
2019-11-24,83,53,78,58,57,0,49,24,69,50,49,8,36,68,62,78,83,70,66,49,59,n/a,False,False
2019-12-01,86,62,83,72,61,0,52,28,67,54,66,10,45,73,65,84,87,67,72,58,80,n/a,False,False
2019-12-08,90,65,91,75,57,1,54,31,70,61,74,10,46,76,64,86,83,70,76,68,73,n/a,False,False
2019-12-15,88,58,81,67,62,1,73,23,75,52,54,9,42,76,60,84,88,67,72,78,74,n/a,False,False
2019-12-22,88,57,81,52,62,0,54,21,86,63,34,9,35,77,63,78,100,60,75,46,47,n/a,False,False
2019-12-29,90,60,83,56,70,0,65,25,89,51,53,10,41,77,55,86,97,63,83,49,58,n/a,False,False
2020-01-05,86,63,82,70,65,0,71,24,74,42,68,11,44,72,58,82,69,72,86,55,58,n/a,False,False
2020-01-12,90,73,91,70,72,1,55,28,74,46,70,12,45,71,57,79,62,69,82,65,74,n/a,False,False
2020-01-19,86,63,86,63,68,0,58,29,76,42,58,17,44,69,56,78,61,67,78,54,55,n/a,False,False
2020-01-26,83,59,76,66,65,1,52,24,59,36,72,27,42,74,52,75,58,64,72,51,43,n/a,False,False
2020-02-02,85,58,77,68,65,4,66,31,65,34,74,21,41,70,54,79,48,66,75,55,65,n/a,False,False
2020-02-09,86,64,82,69,65,2,62,35,67,39,77,19,45,69,56,78,50,56,73,61,59,n/a,False,False
2020-02-16,90,69,87,61,67,2,52,31,69,42,69,15,42,67,53,74,58,64,79,60,49,n/a,False,False
2020-02-23,81,64,80,80,57,2,47,36,67,41,74,29,43,66,57,78,58,59,77,60,58,n/a,False,False
2020-03-01,83,63,76,72,63,5,49,37,63,39,71,51,42,67,57,77,59,65,76,62,55,n/a,False,False
2020-03-08,82,67,79,65,59,1,61,55,68,41,84,82,38,67,50,77,52,55,74,78,55,60.0,False,False
2020-03-15,80,54,71,57,56,1,60,24,89,55,72,100,38,57,50,88,53,49,67,100,47,648.0,False,False
2020-03-22,82,47,62,66,65,0,56,21,98,62,79,81,38,48,48,100,56,36,74,90,47,15168.0,False,False
2020-03-29,84,52,68,69,64,0,54,21,100,60,100,66,38,45,49,98,69,32,79,86,42,59513.0,False,False
2020-04-05,85,54,71,68,71,0,53,21,90,71,87,61,37,46,47,98,73,25,80,86,43,122031.0,False,False
2020-04-12,91,58,76,72,66,0,62,25,86,74,91,50,35,46,58,94,76,37,84,82,48,188694.0,True,True
2020-04-19,86,56,72,72,71,0,60,27,92,61,99,41,33,48,53,93,68,44,77,69,50,242786.0,True,True
2020-04-26,85,58,72,72,65,0,58,23,85,63,96,29,37,47,53,91,64,35,82,67,51,288045.0,True,True
2020-05-03,90,67,79,73,64,0,51,26,83,59,89,28,42,48,52,92,66,30,81,79,55,316415.0,False,False
2020-05-10,82,64,74,68,64,0,57,22,77,55,74,25,36,53,53,91,64,33,85,67,58,335395.0,False,False
2020-05-17,80,67,72,66,63,0,50,29,75,54,68,22,34,52,53,89,60,29,75,75,55,350121.0,False,False
2020-05-24,78,68,74,63,63,0,60,41,74,48,67,18,60,53,50,80,54,29,72,46,62,361515.0,False,False
2020-05-31,79,74,79,70,67,1,65,100,69,50,76,17,100,54,53,83,56,34,67,61,64,370770.0,False,False
2020-06-07,81,80,85,68,61,1,57,80,75,64,61,16,74,61,54,82,61,36,74,66,53,378097.0,False,False
2020-06-14,76,75,78,57,64,1,55,59,68,52,56,16,57,56,51,79,55,35,67,58,47,383324.0,False,False
2020-06-21,78,74,83,60,62,2,55,93,71,46,59,17,46,58,53,78,54,44,69,60,57,387936.0,False,False
2020-06-28,76,76,82,53,65,1,65,36,69,47,56,19,45,62,51,72,52,42,66,62,64,392539.0,False,False
2020-07-05,81,83,90,57,64,1,65,45,74,48,60,20,44,55,54,75,55,44,70,62,75,397131.0,False,False
2020-07-12,80,85,90,56,63,1,70,38,72,53,73,20,42,58,52,77,58,51,74,63,55,401706.0,False,False
2020-07-19,79,77,81,54,59,0,58,33,68,45,63,17,39,59,52,75,47,57,74,54,62,406807.0,False,False
2020-07-26,78,79,81,51,58,1,55,36,63,47,48,17,43,63,51,76,55,64,73,56,57,411736.0,False,False
2020-08-02,78,80,83,55,58,1,59,29,67,45,55,14,39,60,56,77,57,61,70,57,77,416298.0,False,False
2020-08-09,81,81,88,53,65,1,54,47,68,45,59,15,38,60,56,76,52,63,71,71,54,420860.0,False,False
2020-08-16,77,76,85,56,61,1,63,31,69,48,70,13,40,61,52,77,54,76,66,54,54,425508.0,False,False
2020-08-23,76,72,79,53,68,1,64,31,67,46,59,12,42,60,51,74,58,59,69,50,71,429737.0,False,False
2020-08-30,78,74,82,57,68,1,53,30,67,49,56,13,41,60,51,78,59,71,71,65,51,434100.0,False,False
2020-09-06,82,78,85,66,67,1,54,28,72,55,66,13,42,58,53,83,78,79,73,64,50,439501.0,False,False
2020-09-13,78,66,74,70,61,1,49,27,72,60,60,13,39,57,51,92,67,73,69,55,44,444365.0,False,False
2020-09-20,76,67,73,73,56,2,46,29,68,56,64,12,38,57,50,91,58,69,66,53,41,449900.0,False,False
2020-09-27,78,66,77,65,57,3,85,34,65,47,65,14,30,59,52,87,51,74,67,44,54,455626.0,False,False
2020-10-04,79,69,81,67,57,3,76,35,64,48,70,14,36,59,50,82,54,66,72,60,44,464582.0,False,False
2020-10-11,76,69,76,60,56,2,55,27,58,48,73,13,34,59,79,75,59,60,72,56,55,474286.0,False,False
2020-10-18,72,63,72,57,55,3,58,28,57,40,67,12,32,61,61,76,59,54,67,55,48,484281.0,False,False
2020-10-25,73,63,69,55,87,5,53,38,61,42,54,13,35,59,54,78,72,52,64,55,58,495464.0,False,False
2020-11-01,68,62,69,53,62,100,100,36,54,45,59,11,32,64,53,70,65,48,61,47,42,509735.0,False,False
2020-11-08,75,65,75,57,59,10,88,40,66,100,65,16,36,64,57,80,73,41,85,57,51,529036.0,False,False
2020-11-15,72,59,71,54,54,3,58,29,60,74,57,16,35,62,53,76,69,47,66,53,48,560200.0,False,False
2020-11-22,72,56,68,51,58,1,56,19,69,83,42,13,33,63,52,69,75,52,68,44,43,596214.0,False,False
2020-11-29,75,60,77,57,55,1,53,21,61,69,65,15,30,63,54,77,78,46,68,67,50,641161.0,False,False
2020-12-06,76,61,80,63,59,1,54,24,64,66,61,17,32,67,52,78,87,48,71,57,45,705827.0,False,False
2020-12-13,76,63,78,59,56,1,54,20,66,66,67,18,32,64,51,80,92,50,69,71,84,775160.0,False,False
2020-12-20,77,55,76,53,60,0,57,15,71,68,44,16,30,69,53,77,96,56,72,47,55,848042.0,False,False
