time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,94,75,82,84,68,0,69,25,76,53,57,9,47,82,62,88,41,66,88,40,76,,False,False
2019-01-13,93,75,85,83,73,0,70,25,78,45,53,8,40,81,58,84,57,70,85,47,100,,False,False
2019-01-20,90,75,86,84,78,0,62,34,71,42,41,9,46,82,55,88,49,63,88,45,58,,False,False
2019-01-27,87,77,82,76,64,0,64,29,76,60,40,9,48,83,56,83,52,71,82,61,100,,False,False
2019-02-03,87,81,86,85,71,1,63,33,57,44,77,11,42,74,57,86,48,70,89,43,57,,False,False
2019-02-10,96,85,84,87,70,0,62,39,67,51,75,11,48,76,52,85,55,77,90,41,79,,False,False
2019-02-17,100,85,94,83,79,0,84,35,72,52,64,11,48,82,59,83,48,62,92,67,97,,False,False
2019-02-24,99,87,88,92,60,1,71,33,67,44,70,11,41,84,57,86,53,56,92,71,73,,False,False
2019-03-03,94,81,85,89,66,0,59,66,72,52,60,10,43,81,59,86,50,65,100,62,71,,False,False
2019-03-10,87,80,84,82,60,0,60,27,63,48,48,10,50,84,51,78,46,100,84,52,49,,False,False
2019-03-17,86,85,83,81,56,0,53,21,64,40,33,9,44,88,50,78,44,72,78,50,42,,False,False
2019-03-24,84,85,83,82,58,0,52,30,62,39,49,9,47,100,56,80,48,66,83,55,43,,False,False
2019-03-31,91,84,82,88,70,0,47,27,59,41,67,10,47,79,50,76,48,68,86,62,46,,False,False
2019-04-07,84,80,81,88,63,0,41,32,56,39,45,11,43,75,44,84,50,74,80,51,54,,False,False
2019-04-14,86,83,85,89,62,0,48,29,69,44,61,10,39,79,52,84,47,77,89,59,64,,False,False
2019-04-21,87,80,80,92,72,0,45,19,61,38,46,10,41,71,50,76,52,98,83,51,49,,False,False
2019-04-28,88,79,83,100,79,0,46,26,59,41,59,11,42,79,48,81,58,79,85,51,58,,False,False
2019-05-05,85,81,84,94,71,0,49,27,62,40,50,10,41,73,56,79,50,80,94,43,53,,False,False
2019-05-12,85,82,86,98,68,0,53,26,63,49,37,10,40,80,52,84,40,74,85,62,49,,False,False
