time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,98,71,93,92,74,0,70,22,82,63,90,8,42,52,68,85,53,78,91,59,31,n/a,True,False
2019-01-13,97,73,96,93,74,0,74,17,80,59,81,10,45,49,62,79,58,57,80,35,32,n/a,True,False
2019-01-20,91,72,91,90,80,0,61,19,79,65,63,13,38,46,60,89,52,74,84,38,27,n/a,True,False
2019-01-27,93,72,88,85,65,0,64,19,75,60,83,17,46,60,59,79,53,67,83,60,37,n/a,True,True
2019-02-03,89,74,87,79,66,0,61,20,73,59,71,12,44,57,65,87,45,82,84,46,100,n/a,True,True
2019-02-10,95,71,91,91,74,0,63,23,69,57,84,12,44,60,59,87,51,55,85,48,64,n/a,True,True
2019-02-17,91,74,92,83,68,0,76,32,79,54,63,10,39,66,63,78,50,68,83,58,43,n/a,True,True
2019-02-24,100,72,91,82,64,0,63,20,67,59,54,9,39,63,61,84,42,66,83,26,87,n/a,True,True
2019-03-03,95,78,93,90,66,0,60,51,77,57,67,12,42,65,64,77,49,63,91,66,53,n/a,False,False
2019-03-10,90,77,92,80,66,0,60,26,66,54,75,10,38,67,63,81,42,75,81,50,29,n/a,False,False
2019-03-17,88,77,86,83,65,0,48,13,74,49,53,10,48,71,53,80,41,56,77,58,26,n/a,False,False
2019-03-24,80,77,93,67,73,0,47,15,80,55,59,9,40,100,56,72,40,55,70,48,25,n/a,False,False
2019-03-31,91,79,90,87,74,0,48,19,87,50,98,8,38,65,60,78,40,76,82,54,25,n/a,False,False
2019-04-07,94,76,87,89,86,0,46,22,72,48,76,9,47,67,57,86,54,67,81,68,29,n/a,False,False
2019-04-14,93,78,93,100,65,0,54,19,78,53,46,9,39,48,56,88,60,91,100,51,30,n/a,False,False
2019-04-21,92,79,89,96,64,0,51,20,73,48,66,9,35,53,52,80,35,84,80,54,24,n/a,False,False
2019-04-28,89,76,86,99,77,0,45,19,67,46,84,9,45,43,62,78,40,100,84,57,19,n/a,False,False
2019-05-05,87,78,85,88,69,0,49,22,66,52,69,9,36,54,60,78,40,85,80,78,20,n/a,False,False
2019-05-12,92,77,84,97,76,0,50,16,82,55,78,9,41,53,56,88,41,80,91,62,30,n/a,False,False
2019-05-19,91,78,89,98,76,1,51,18,71,47,47,8,36,45,56,86,51,80,83,86,34,n/a,False,False
2019-05-26,91,76,87,82,68,0,51,15,77,52,55,8,47,54,50,87,43,68,79,58,26,n/a,False,False
2019-06-02,90,83,87,82,66,0,58,23,82,51,49,10,41,76,60,82,46,53,81,42,27,n/a,False,False
2019-06-09,88,80,88,74,67,0,47,12,71,67,51,9,37,49,61,85,48,66,77,55,31,n/a,False,False
2019-06-16,86,82,89,62,70,0,56,16,80,53,45,7,37,45,56,89,40,77,72,35,24,n/a,False,False
2019-06-23,86,81,89,67,72,1,51,11,82,51,74,8,45,50,58,75,44,69,77,42,29,n/a,False,False
2019-06-30,92,80,83,62,63,0,54,16,70,49,50,7,38,53,63,77,56,57,72,37,23,n/a,False,False
2019-07-07,90,85,90,64,61,0,53,12,72,58,72,8,47,49,60,77,51,84,78,48,25,n/a,False,False
2019-07-14,89,88,90,64,78,0,56,20,72,52,63,8,51,44,61,77,47,71,77,41,25,n/a,False,False
2019-07-21,93,87,90,64,81,0,48,18,72,49,55,8,59,46,58,77,44,66,79,34,24,n/a,False,False
2019-07-28,92,86,91,62,79,1,49,18,80,53,66,8,44,54,59,82,39,90,82,56,22,n/a,False,False
2019-08-04,89,85,87,70,65,0,51,21,75,54,62,8,33,47,65,84,42,57,76,40,32,n/a,False,False
2019-08-11,91,87,93,64,76,0,53,24,71,51,59,7,47,51,61,83,44,61,76,37,22,n/a,False,False
2019-08-18,89,90,88,62,63,0,45,23,66,46,74,7,43,47,63,80,49,57,74,40,25,n/a,False,False
2019-08-25,91,92,88,60,74,0,56,12,75,54,54,7,46,44,63,77,60,69,74,50,30,n/a,False,False
2019-09-01,86,98,82,71,66,0,50,14,77,56,72,6,42,51,59,85,45,79,72,48,27,n/a,False,False
2019-09-08,88,100,85,73,69,1,50,7,80,49,53,9,35,51,100,88,49,94,75,46,32,n/a,False,False
2019-09-15,90,98,87,75,70,0,51,17,71,49,66,8,43,50,85,84,38,66,92,37,31,n/a,False,False
2019-09-22,88,86,82,75,80,0,65,12,75,45,42,8,34,47,78,82,48,66,83,49,29,n/a,False,False
2019-09-29,87,72,77,73,86,0,61,15,84,48,63,8,41,52,73,86,43,76,76,76,32,n/a,False,False
2019-10-06,86,71,86,72,94,0,60,17,70,47,44,9,41,47,67,84,40,84,78,44,33,n/a,False,False
2019-10-13,89,68,83,81,83,1,58,15,72,53,63,9,42,63,70,83,41,80,80,51,31,n/a,False,False
2019-10-20,90,68,84,77,71,1,51,18,73,53,76,10,44,52,67,85,53,89,73,61,28,n/a,False,False
2019-10-27,88,67,83,76,81,0,53,16,71,50,83,9,37,43,64,81,45,96,74,60,28,n/a,False,False
2019-11-03,86,70,83,87,64,1,57,14,69,53,61,8,37,51,66,79,52,68,79,30,25,n/a,False,False
2019-11-10,90,68,87,72,64,0,59,16,75,56,72,9,26,55,66,84,95,72,84,43,27,n/a,False,False
2019-11-17,92,69,84,83,75,1,53,19,73,57,67,9,43,54,66,82,85,63,79,60,30,n/a,False,False
2019-11-24,90,69,83,68,61,0,54,14,65,73,49,7,32,47,77,85,94,72,75,50,50,n/a,False,False
2019-12-01,90,67,87,82,68,0,55,16,74,60,86,10,36,56,73,86,81,67,75,50,36,n/a,False,False
2019-12-08,93,65,84,77,65,0,54,20,63,67,89,9,48,51,65,75,77,72,74,53,30,n/a,False,False
2019-12-15,91,64,88,72,71,1,73,15,70,62,69,8,45,59,63,80,77,83,74,86,33,n/a,False,False
2019-12-22,94,65,88,66,79,0,65,13,80,69,57,9,34,78,70,85,82,73,82,42,28,n/a,False,False
2019-12-29,95,69,97,67,78,0,63,7,100,62,57,10,45,72,63,84,100,80,86,46,31,n/a,False,False
2020-01-05,91,68,92,77,76,0,65,17,72,55,84,10,39,67,59,74,65,71,82,53,46,n/a,False,False
2020-01-12,87,70,89,76,77,1,55,18,84,53,92,10,45,55,58,78,49,71,81,30,72,n/a,False,False
2020-01-19,89,69,90,79,81,0,57,25,85,56,68,15,33,47,64,81,62,50,81,37,29,n/a,False,False
2020-01-26,89,68,86,80,73,0,50,19,76,47,92,23,33,60,57,79,65,68,78,57,31,n/a,False,False
2020-02-02,90,67,83,74,65,4,61,16,73,44,69,17,34,55,61,76,56,59,74,50,33,n/a,False,False
2020-02-09,87,68,83,79,69,1,54,17,73,43,84,18,41,49,60,73,48,59,77,56,25,n/a,False,False
2020-02-16,85,74,90,77,67,1,49,26,67,46,96,15,40,46,57,67,58,48,80,32,26,n/a,False,False
2020-02-23,81,72,86,84,56,2,44,17,66,46,72,31,35,50,58,79,53,48,76,48,28,n/a,False,False
2020-03-01,83,72,88,75,76,4,47,27,72,51,95,46,37,43,60,74,59,55,80,40,27,n/a,False,False
2020-03-08,89,69,87,72,63,2,57,36,66,43,94,66,33,47,59,77,46,47,76,44,33,14.0,False,False
2020-03-15,82,58,80,63,66,1,58,15,85,63,100,100,42,55,56,75,54,47,71,95,23,36.0,False,False
2020-03-22,90,59,76,68,80,0,60,13,95,75,77,84,41,40,53,83,51,42,81,70,24,161.0,False,False
2020-03-29,92,60,81,76,66,0,58,12,99,79,80,67,38,35,55,90,55,30,84,100,26,548.0,False,False
2020-04-05,90,65,85,78,70,0,54,15,81,84,67,64,41,47,56,100,61,33,79,64,23,1068.0,False,False
2020-04-12,92,70,86,80,72,0,57,11,90,87,56,48,39,42,65,96,73,28,89,51,24,1527.0,False,False
2020-04-19,95,72,86,85,75,0,60,17,89,81,99,37,39,47,67,88,71,48,90,67,27,1910.0,False,False
2020-04-26,96,74,87,86,61,0,61,15,83,77,79,28,49,48,65,89,57,39,87,50,29,2311.0,False,False
2020-05-03,91,75,83,82,74,0,50,16,79,68,84,27,39,46,59,90,56,37,81,75,32,2680.0,False,False
2020-05-10,90,76,91,79,72,1,58,16,82,61,68,26,43,44,66,95,64,33,90,41,33,3228.0,False,False
2020-05-17,94,79,95,77,85,1,56,24,86,65,84,22,39,49,56,79,66,32,84,78,36,3623.0,False,False
2020-05-24,90,82,94,79,77,0,64,33,85,60,58,19,58,54,54,85,52,39,79,32,39,3927.0,False,False
2020-05-31,87,81,88,84,71,1,73,100,68,55,85,16,94,57,57,84,58,32,77,34,34,4243.0,False,False
2020-06-07,91,82,100,83,70,0,63,76,78,71,100,19,100,61,62,80,57,49,82,46,40,4808.0,False,False
2020-06-14,85,86,91,70,74,0,67,62,75,72,71,18,64,45,63,71,55,42,75,23,38,5636.0,False,False
2020-06-21,82,85,93,65,69,0,65,94,72,59,38,18,63,45,60,79,45,44,72,31,36,6937.0,False,False
2020-06-28,84,82,90,62,69,0,69,38,82,59,59,20,45,47,62,68,61,45,74,34,31,8341.0,False,False
2020-07-05,83,85,85,64,69,0,65,33,71,58,48,21,52,52,61,81,59,36,76,28,27,10230.0,False,False
2020-07-12,86,89,86,66,69,0,76,35,62,61,59,22,57,44,57,79,65,48,78,32,27,12170.0,False,False
