time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,93,69,100,89,58,0,64,14,59,46,49,10,59,54,68,91,39,48,96,8,73,n/a,False,False
2019-01-13,87,73,86,92,62,0,61,14,84,65,49,7,39,41,44,88,47,77,76,32,91,n/a,False,False
2019-01-20,89,68,82,81,62,0,67,27,55,51,0,9,41,55,63,71,47,52,90,24,100,n/a,False,False
2019-01-27,88,72,81,88,42,0,49,21,43,77,64,9,84,60,63,95,42,35,89,48,83,n/a,False,False
2019-02-03,88,74,80,86,47,1,42,41,59,39,32,9,41,42,60,85,47,29,96,24,67,n/a,False,False
2019-02-10,92,72,78,79,39,0,49,14,63,43,63,8,44,62,43,83,33,75,94,24,70,n/a,False,False
2019-02-17,95,81,95,81,58,0,57,41,65,55,32,9,41,57,85,75,59,58,94,24,60,n/a,False,False
2019-02-24,92,76,81,71,33,0,47,13,66,50,31,9,16,58,67,84,25,46,83,62,65,n/a,False,False
2019-03-03,92,76,91,97,68,1,51,97,46,58,16,7,42,60,75,75,56,82,98,56,45,n/a,False,False
2019-03-10,83,72,84,78,53,0,52,28,59,56,32,10,32,67,56,90,42,76,97,32,50,n/a,False,False
2019-03-17,89,82,78,75,61,0,47,28,53,46,65,8,45,79,69,99,34,23,79,32,54,n/a,False,False
2019-03-24,88,83,81,86,39,0,38,27,76,37,33,9,41,100,89,88,69,41,84,0,36,n/a,False,False
2019-03-31,87,79,84,67,46,0,43,27,68,72,16,9,67,38,68,77,30,81,89,24,39,n/a,False,False
2019-04-07,81,80,90,84,42,0,35,28,55,44,82,12,45,53,73,92,21,35,73,8,38,n/a,False,False
2019-04-14,84,81,85,87,53,0,44,43,54,39,17,12,54,73,62,77,63,92,90,17,52,n/a,False,False
2019-04-21,76,84,73,82,62,0,43,28,45,53,0,13,43,37,53,81,44,96,82,41,43,n/a,False,False
2019-04-28,84,82,74,100,59,0,23,7,56,42,16,7,46,44,52,78,70,77,98,32,47,n/a,False,False
2019-05-05,78,84,82,88,42,0,43,7,38,37,81,8,39,84,54,75,38,100,73,24,42,n/a,False,False
2019-05-12,82,84,77,78,40,0,35,14,50,29,32,10,45,48,69,85,43,77,93,16,43,n/a,False,False
2019-05-19,78,73,72,86,52,1,37,55,84,35,64,10,32,57,36,84,55,81,86,63,60,n/a,False,False
2019-05-26,78,81,75,73,44,0,47,27,43,51,0,8,48,62,53,87,38,70,71,32,53,n/a,False,False
2019-06-02,82,78,76,65,74,0,41,20,55,65,16,8,38,97,73,84,30,75,73,8,44,n/a,False,False
2019-06-09,78,88,72,64,68,0,39,7,51,51,94,9,53,59,58,84,47,51,57,8,42,n/a,False,False
2019-06-16,75,75,74,52,61,0,40,28,64,44,81,5,61,74,50,77,30,59,74,16,55,n/a,False,False
2019-06-23,74,76,69,62,76,1,33,14,28,39,32,7,54,49,77,98,21,34,78,39,38,n/a,False,False
2019-06-30,84,80,74,47,52,0,45,7,46,50,16,6,48,31,65,81,22,53,70,32,69,n/a,False,False
2019-07-07,84,84,80,55,56,0,40,7,58,37,48,7,41,52,70,69,51,75,74,48,50,n/a,False,False
2019-07-14,80,90,81,53,51,0,45,7,44,33,83,6,42,51,62,70,35,35,74,24,54,n/a,False,False
2019-07-21,81,89,85,60,53,0,37,22,60,65,34,10,94,48,76,76,26,43,75,25,52,n/a,False,False
2019-07-28,81,84,84,62,32,2,48,21,62,41,33,4,56,50,65,95,22,91,81,25,50,n/a,False,False
2019-08-04,79,87,81,55,54,1,46,28,66,38,82,5,46,61,59,64,53,60,64,41,51,n/a,False,False
2019-08-11,82,89,77,66,47,0,42,14,48,42,0,8,71,46,62,91,43,29,74,16,48,n/a,False,False
2019-08-18,79,95,75,52,69,1,45,41,44,56,16,8,29,45,57,67,30,41,69,56,44,n/a,False,False
2019-08-25,82,96,75,61,50,0,57,14,57,55,47,10,44,52,59,69,38,29,69,24,36,n/a,False,False
