time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,95,78,100,77,72,0,73,16,88,62,43,8,58,57,61,85,55,47,97,55,52,n/a,False,False
2019-01-13,94,74,91,85,92,0,67,10,100,57,54,10,55,44,63,99,54,65,87,47,73,n/a,False,False
2019-01-20,92,74,96,74,80,0,61,25,94,62,37,9,52,51,65,87,66,69,87,32,53,n/a,False,False
2019-01-27,92,74,94,79,66,0,71,14,74,54,75,9,51,46,59,83,56,64,87,79,56,n/a,False,False
2019-02-03,96,74,95,76,84,0,65,22,78,57,58,10,60,55,62,88,60,66,91,53,66,n/a,False,False
2019-02-10,95,75,91,76,61,0,72,19,70,50,47,9,63,49,58,87,52,43,87,60,72,n/a,False,False
2019-02-17,93,79,100,73,88,0,79,25,69,51,79,10,64,62,69,81,59,51,84,60,81,n/a,False,False
2019-02-24,100,81,98,88,69,0,66,29,72,59,68,11,57,63,63,89,50,46,87,35,64,n/a,False,False
2019-03-03,94,82,95,84,79,0,60,35,82,58,70,12,67,60,68,79,46,49,100,68,62,n/a,False,False
2019-03-10,84,75,91,52,80,0,57,16,64,54,48,10,48,58,61,69,53,66,87,65,43,n/a,False,False
2019-03-17,89,86,90,72,82,0,51,22,64,53,32,10,62,73,55,96,51,78,72,57,35,n/a,False,False
2019-03-24,88,83,99,84,84,0,62,17,68,55,70,9,75,100,68,84,65,70,78,57,41,n/a,False,False
2019-03-31,94,82,92,85,81,0,50,25,59,51,54,10,55,54,58,82,49,49,82,68,35,n/a,False,False
2019-04-07,87,84,90,85,89,0,48,24,68,56,27,9,50,55,48,83,46,66,75,54,44,n/a,False,False
2019-04-14,86,84,91,90,81,0,51,22,71,53,50,9,66,60,50,79,60,66,82,64,48,n/a,False,False
2019-04-21,88,78,87,81,77,0,47,18,72,46,55,9,60,50,59,83,45,75,79,51,37,n/a,False,False
2019-04-28,92,82,93,100,85,0,55,34,85,49,76,11,60,53,68,81,49,61,86,62,54,n/a,False,False
2019-05-05,88,79,94,82,87,0,57,35,74,52,37,8,63,47,61,81,46,75,91,72,64,n/a,False,False
2019-05-12,85,82,91,83,74,0,56,26,74,40,54,8,71,45,69,83,55,72,81,80,46,n/a,False,False
2019-05-19,80,83,86,71,80,0,50,16,63,51,53,7,70,47,53,81,40,37,81,96,100,n/a,False,False
2019-05-26,80,78,87,51,81,0,56,8,69,50,59,8,47,54,58,73,52,49,69,32,75,n/a,False,False
2019-06-02,83,84,85,55,77,0,59,14,67,50,26,8,58,80,58,77,37,54,73,53,37,n/a,False,False
2019-06-09,78,81,87,49,76,0,50,14,65,63,37,7,47,44,59,76,38,51,69,49,38,n/a,False,False
2019-06-16,81,80,90,45,81,0,62,24,66,47,27,7,58,41,64,78,52,49,68,43,52,n/a,False,False
2019-06-23,80,82,88,49,62,1,54,23,60,57,32,7,44,50,58,86,29,62,72,63,38,n/a,False,False
2019-06-30,83,79,87,48,68,0,52,22,58,54,32,8,35,44,55,63,39,51,72,36,36,n/a,False,False
2019-07-07,85,84,86,49,69,0,52,13,71,54,48,7,53,43,64,69,56,64,81,71,27,n/a,False,False
2019-07-14,84,83,90,45,79,0,59,21,67,51,38,7,58,43,62,78,44,44,80,65,26,n/a,False,False
2019-07-21,82,85,88,48,65,0,54,27,74,52,45,8,84,53,72,73,50,52,82,30,25,n/a,False,False
2019-07-28,82,83,88,46,87,1,55,13,80,52,44,7,52,50,58,83,41,51,79,100,34,n/a,False,False
2019-08-04,83,83,85,48,77,0,62,10,78,57,55,8,58,49,60,85,23,64,78,80,33,n/a,False,False
2019-08-11,85,85,90,60,82,0,53,16,72,49,49,8,76,42,73,88,39,46,76,83,39,n/a,False,False
2019-08-18,90,89,90,68,70,0,54,24,86,49,64,8,67,54,61,98,55,46,79,82,45,n/a,False,False
2019-08-25,91,96,84,68,78,0,57,14,97,50,37,8,64,39,75,100,64,76,85,35,44,n/a,False,False
2019-09-01,88,99,85,72,77,0,56,12,75,50,62,9,56,41,67,90,46,83,78,55,24,n/a,False,False
2019-09-08,87,100,82,71,85,1,55,27,80,42,67,10,64,44,100,90,45,84,83,34,29,n/a,False,False
2019-09-15,86,96,92,78,66,0,60,23,70,49,66,9,75,42,85,93,52,82,99,38,29,n/a,False,False
2019-09-22,88,89,77,78,75,0,66,15,75,46,55,10,63,41,69,88,41,94,83,71,41,n/a,False,False
2019-09-29,89,77,83,76,96,0,63,16,61,48,45,9,51,42,80,81,36,56,81,67,51,n/a,False,False
2019-10-06,87,77,79,68,87,0,55,15,60,53,65,9,45,39,74,78,69,73,74,34,55,n/a,False,False
2019-10-13,85,75,83,72,82,1,55,19,64,47,35,8,47,35,64,79,51,70,76,44,40,n/a,False,False
2019-10-20,86,74,77,68,81,0,55,21,74,49,41,9,64,41,71,78,53,86,72,57,45,n/a,False,False
2019-10-27,86,72,85,68,70,1,53,13,68,49,70,8,57,52,70,86,66,100,74,80,64,n/a,False,False
2019-11-03,84,73,84,80,75,2,60,23,61,56,44,11,54,41,72,81,59,58,75,50,39,n/a,False,False
2019-11-10,90,73,84,71,82,0,61,20,61,61,59,8,46,43,75,78,88,53,79,56,46,n/a,False,False
2019-11-17,92,79,93,79,78,1,52,22,64,62,45,10,49,51,74,84,83,60,81,57,45,n/a,False,False
2019-11-24,83,71,85,49,73,0,58,9,72,73,40,7,46,45,71,82,73,52,64,43,50,n/a,False,False
2019-12-01,84,68,95,78,68,0,55,16,59,69,45,9,59,55,93,79,94,52,75,50,33,n/a,False,False
2019-12-08,87,67,94,77,61,0,53,22,64,70,51,10,52,53,75,82,84,62,76,78,42,n/a,False,False
2019-12-15,90,69,90,68,68,0,79,10,84,78,46,9,73,59,83,83,82,62,83,75,52,n/a,False,False
2019-12-22,90,70,96,48,84,0,65,11,86,81,22,9,42,61,79,89,80,41,79,33,37,n/a,False,False
2019-12-29,86,76,97,48,91,0,65,6,87,59,26,10,62,85,77,76,87,48,83,28,38,n/a,False,False
2020-01-05,85,70,95,57,77,0,70,23,82,51,59,10,65,56,73,81,78,53,95,39,54,n/a,False,False
2020-01-12,84,72,94,65,90,0,59,8,77,54,37,9,61,46,62,77,64,61,86,34,62,n/a,False,False
2020-01-19,86,71,91,64,74,0,59,17,85,53,53,17,49,56,64,82,43,75,83,55,62,n/a,False,False
2020-01-26,87,72,85,77,85,0,62,27,70,37,67,26,57,62,70,82,51,60,77,35,39,n/a,False,False
2020-02-02,87,72,84,68,72,3,64,24,61,46,62,18,50,47,67,85,54,61,76,32,50,n/a,False,False
2020-02-09,87,72,93,73,75,1,69,18,53,54,57,17,54,48,65,79,57,52,76,53,49,n/a,False,False
2020-02-16,85,79,96,71,76,1,58,32,78,44,71,15,64,39,72,78,53,40,90,63,39,n/a,False,False
2020-02-23,85,81,90,78,80,1,45,22,62,56,79,23,62,35,70,76,62,51,80,49,44,n/a,False,False
2020-03-01,82,82,92,73,77,3,49,26,66,47,60,26,46,45,62,62,65,46,80,62,34,n/a,False,False
