category,category_id
Arts & Entertainment,3
Autos & Vehicles,47
Beauty & Fitness,44
Books & Literature,22
Business & Industrial,12
Computers & Electronics,5
Finance,7
Food & Drink,71
Games,8
Health,45
Hobbies & Leisure,65
Home & Garden,11
Internet & Telecom,13
Jobs & Education,958
Law & Government,19
News,16
Online Communities,299
People & Society,14
Pets & Animals,66
Real Estate,29
Reference,533
Science,174
Shopping,18
Sports,20
Travel,67
Celebrities & Entertainment News,184
Comics & Animation,316
Entertainment Industry,612
Events & Listings,569
Fun & Trivia,539
Humor,182
Movies,34
Music & Audio,35
Offbeat,33
Online Media,613
Performing Arts,23
TV & Video,36
Visual Art & Design,24
Automotive Industry,1190
Bicycles & Accessories,1191
Boats & Watercraft,1140
Campers & RVs,1213
Classic Vehicles,1013
Commercial Vehicles,1214
Custom & Performance Vehicles,806
Hybrid & Alternative Vehicles,810
Microcars & City Cars,1317
Motorcycles,273
Off-Road Vehicles,148
Personal Aircraft,1147
Scooters & Mopeds,1212
Trucks & SUVs,610
Vehicle Brands,815
Vehicle Codes & Driving Laws,1294
Vehicle Licensing & Registration,170
Vehicle Maintenance,138
Vehicle Parts & Accessories,89
Vehicle Shopping,473
Vehicle Shows,803
Beauty Pageants,1219
Body Art,239
Cosmetic Procedures,1220
Cosmetology & Beauty Professionals,147
Face & Body Care,143
Fashion & Style,185
Fitness,94
Hair Care,146
Spas & Beauty Services,145
Weight Loss,236
Biographies & Quotations,690
Book Retailers,355
Children's Literature,1183
E-Books,608
Fan Fiction,540
Literary Classics,1184
Magazines,412
Poetry,565
Writers Resources,1177
Advertising & Marketing,25
Aerospace & Defense,356
Agriculture & Forestry,46
Business Education,799
Business Finance,1138
Business News,784
Business Operations,1159
Business Services,329
Chemicals Industry,288
Construction & Maintenance,48
Energy & Utilities,233
Enterprise Technology,77
Hospitality Industry,955
Industrial Materials & Equipment,287
Manufacturing,49
Metals & Mining,606
Pharmaceuticals & Biotech,255
Printing & Publishing,1176
Professional & Trade Associations,1199
Retail Trade,841
Small Business,551
Textiles & Nonwovens,566
Transportation & Logistics,50
CAD & CAM,1300
Computer Hardware,30
Computer Security,314
Consumer Electronics,78
Electronics & Electrical,434
Networking,311
Programming,31
Software,32
Technical Support,567
Technology News,785
Accounting & Auditing,278
Banking,37
Credit & Lending,279
Currencies & Foreign Exchange,814
Financial Planning,903
Grants & Financial Assistance,1282
Insurance,38
Investing,107
Retirement & Pension,619
Alcoholic Beverages,277
Candy & Sweets,906
Cooking & Recipes,122
Culinary Training,297
Grocery & Food Retailers,121
Non-Alcoholic Beverages,560
Restaurants,276
Arcade & Coin-Op Games,919
Board Games,920
Card Games,39
Computer & Video Games,41
Family-Oriented Games & Activities,1290
Online Games,105
Party Games,936
Puzzles & Brainteasers,937
Roleplaying Games,622
Table Games,938
Aging & Geriatrics,623
Alternative & Natural Medicine,499
Health Conditions,419
Health Education & Medical Training,254
Health Foundations & Medical Research,252
Health News,1253
Medical Devices & Equipment,251
Medical Facilities & Services,256
Medical Literature & Resources,253
Men's Health,636
Mental Health,437
Nursing,418
Nutrition,456
Oral & Dental Care,245
Pediatrics,645
Pharmacy,248
Public Health,947
Reproductive Health,195
Substance Abuse,257
Vision Care,246
Women's Health,648
Antiques & Collectibles,64
Bowling,1016
Clubs & Nightlife,188
Clubs & Organizations,189
"Contests, Awards & Prizes",1276
Crafts,284
Cycling,458
Outdoors,688
Paintball,786
Photographic & Digital Arts,439
Radio Control & Modeling,787
Recreational Aviation,999
Running & Walking,541
Special Occasions,977
Subcultures & Niche Interests,502
Water Activities,1002
Bed & Bath,948
Domestic Services,472
Gardening & Landscaping,269
Home Appliances,271
Home Furnishings,270
Home Improvement,158
Home Storage & Shelving,1348
Homemaking & Interior Decor,137
HVAC & Climate Control,828
Kitchen & Dining,951
Laundry,1364
Nursery & Playroom,1372
Pest Control,471
Swimming Pools & Spas,952
Yard & Patio,953
Communications Equipment,385
Email & Messaging,394
Mobile & Wireless,382
Search Engines,485
Service Providers,383
Teleconferencing,392
Web Apps & Online Tools,1142
Web Portals,301
Web Services,302
Education,74
Jobs,60
Government,76
Legal,75
Military,366
Public Safety,166
Social Services,508
Broadcast & Network News,112
Gossip & Tabloid News,507
Journalism & News Industry,1204
Local News,572
Newspapers,408
Politics,396
Sports News,1077
Weather,63
World News,1209
Blogging Resources & Services,504
Dating & Personals,55
File Sharing & Hosting,321
Forum & Chat Providers,191
Online Goodies,43
Online Journals & Personal Sites,582
Photo & Video Sharing,275
Social Networks,529
Virtual Worlds,972
Disabled & Special Needs,677
Ethnic & Identity Groups,56
Family & Relationships,1131
Kids & Teens,154
Religion & Belief,59
Seniors & Retirement,298
Social Issues & Advocacy,54
Social Sciences,509
Animal Products & Services,882
Pets,563
Wildlife,119
Apartments & Residential Rentals,378
Commercial & Investment Real Estate,1178
Property Development,687
Property Inspections & Appraisals,463
Property Management,425
Real Estate Agencies,96
Real Estate Listings,1080
Timeshares & Vacation Properties,1081
Directories & Listings,527
General Reference,980
Geographic Reference,1084
Humanities,474
Language Resources,108
Libraries & Museums,375
Technical Reference,1233
Astronomy,435
Biological Sciences,440
Chemistry,505
Computer Science,1227
Earth Sciences,1168
Ecology & Environment,442
Engineering & Technology,231
Mathematics,436
Physics,444
Scientific Equipment,445
Scientific Institutions,446
Apparel,68
Auctions,292
Classifieds,61
Consumer Resources,69
Entertainment Media,1143
Gifts & Special Event Items,70
Luxury Goods,696
Mass Merchants & Department Stores,73
Photo & Video Services,576
Shopping Portals & Search Engines,531
Sporting Goods,263
Swap Meets & Outdoor Markets,1210
Ticket Sales,614
Tobacco Products,123
Toys,432
Wholesalers & Liquidators,1225
College Sports,1073
Combat Sports,514
Extreme Sports,554
Fantasy Sports,998
Individual Sports,1000
Live Sporting Events,1273
Motor Sports,180
Sports Coaching & Training,1082
Team Sports,1001
Water Sports,118
Winter Sports,265
World Sports Competitions,1198
Air Travel,203
Bus & Rail,708
Car Rental & Taxi Services,205
Carpooling & Ridesharing,1339
Cruises & Charters,206
Hotels & Accommodations,179
Luggage & Travel Accessories,1003
Specialty Travel,1004
Tourist Destinations,208
Travel Agencies & Services,1010
Travel Guides & Travelogues,1011
Animated Films,1104
Anime & Manga,317
Cartoons,319
Comics,318
Film & TV Industry,1116
Recording Industry,1115
Concerts & Music Festivals,891
Film Festivals,1086
Movie Listings & Theater Showtimes,1085
Dress-Up & Fashion Games,1173
Flash-Based Entertainment,447
Fun Tests & Silly Surveys,1174
Comedy Films,1095
Live Comedy,895
Political Humor,1180
Spoofs & Satire,1244
TV Comedies,1047
Action & Adventure Films,1097
Bollywood & South Asian Film,360
Classic Films,1102
Cult & Indie Films,1103
Documentary Films,1072
Drama Films,1094
