time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,77,83,97,97,97,95,92,95,90,92,88,95,93,85,93,93,91,87,93,95,90,96,97,84,62,84,90,94,94,90,92,95,90,95,91,98,80,92,92,94,94,91,82,90,97,87,98,96,91,98,94
2019-01-13,75,83,94,95,97,93,89,93,92,89,92,94,92,89,92,92,91,84,95,90,89,90,89,80,62,83,87,94,93,87,91,93,90,90,85,96,81,91,91,88,93,94,80,89,95,86,98,93,95,93,84
2019-01-20,72,83,92,95,88,93,87,84,89,88,90,91,87,89,91,89,93,82,91,89,85,92,88,81,60,83,86,92,89,87,85,91,90,89,89,95,80,92,87,89,91,88,76,85,93,87,95,93,89,90,84
2019-01-27,73,78,91,90,90,93,85,86,91,88,95,91,86,87,93,92,90,84,93,89,88,88,88,78,60,83,89,92,88,86,85,91,86,84,84,93,77,89,86,95,89,90,77,85,92,83,95,90,91,88,88
2019-02-03,76,80,97,97,92,96,85,89,94,89,87,90,90,88,94,94,94,87,93,90,92,91,88,80,63,86,87,96,92,84,87,94,94,91,91,97,79,93,88,89,92,92,78,87,92,88,94,92,91,89,91
2019-02-10,75,80,97,99,96,96,88,93,99,90,87,94,91,93,95,93,93,88,95,93,96,94,91,82,63,88,84,96,95,87,91,93,93,100,87,97,79,96,92,93,93,97,84,89,94,89,93,95,92,93,88
2019-02-17,75,78,99,99,92,96,90,90,91,91,87,94,90,90,97,92,94,87,96,87,97,90,91,81,64,85,87,94,95,87,91,94,88,99,89,97,82,95,92,95,93,92,81,95,92,93,95,94,92,93,91
2019-02-24,74,81,99,99,100,100,98,100,100,97,94,97,97,100,97,98,100,91,100,100,100,100,93,85,67,91,92,100,98,88,94,100,96,99,96,97,88,100,100,99,100,98,84,100,99,88,99,98,95,98,98
2019-03-03,71,81,96,100,95,99,90,96,98,95,91,98,90,93,95,96,96,88,93,96,94,96,90,81,64,90,90,95,95,91,92,95,95,93,89,94,84,95,91,100,94,94,82,94,98,87,99,97,94,92,100
2019-03-10,71,78,91,95,91,93,88,85,90,93,85,92,85,91,89,90,82,79,94,89,85,91,88,77,61,84,87,87,87,85,89,89,95,85,82,92,77,86,85,91,89,85,76,84,93,83,93,88,81,90,86
2019-03-17,69,78,91,83,91,87,83,91,91,93,81,85,84,89,89,80,88,83,91,87,85,92,86,77,61,79,85,87,90,82,87,91,82,87,84,88,69,85,88,90,91,87,74,86,89,88,91,87,85,88,86
2019-03-24,67,80,93,90,89,88,86,90,90,89,83,93,85,88,86,88,89,83,91,90,81,91,85,76,60,82,85,92,91,85,86,90,89,83,89,87,91,83,88,91,89,94,75,90,91,84,92,88,84,86,85
2019-03-31,72,86,96,96,94,93,90,88,98,95,86,90,92,92,91,91,91,79,98,93,89,98,85,81,67,84,86,92,99,87,94,96,95,92,90,89,100,95,91,94,94,88,80,95,88,85,96,90,85,93,85
2019-04-07,71,80,91,93,91,91,82,86,90,88,84,93,86,88,87,90,86,82,93,90,82,88,84,81,63,81,86,91,92,82,83,95,85,96,90,83,94,92,83,89,89,92,78,90,86,81,93,91,85,91,91
2019-04-14,72,82,96,98,91,90,84,90,90,89,90,92,89,86,94,89,85,85,92,87,83,87,93,80,62,82,85,89,89,85,85,90,85,95,84,88,89,95,90,88,89,87,80,87,90,74,90,92,84,91,86
2019-04-21,74,82,96,94,94,92,94,86,95,91,95,94,88,92,94,90,89,85,90,96,85,93,89,78,61,85,85,92,92,82,87,92,86,85,85,91,79,92,90,97,90,91,80,92,95,80,100,94,89,89,88
2019-04-28,76,79,93,98,97,94,89,91,97,88,100,98,88,94,97,93,92,87,98,91,87,94,89,84,64,88,85,94,96,88,92,97,100,88,94,97,83,92,93,95,91,93,78,91,91,86,96,92,89,96,94
2019-05-05,71,79,90,95,91,90,84,90,89,82,100,83,81,88,88,87,85,83,93,88,84,85,83,75,60,85,79,89,92,83,88,92,87,83,87,93,75,86,86,90,85,90,78,86,85,73,95,89,83,88,92
2019-05-12,70,74,88,87,90,87,86,86,84,82,88,87,87,89,85,85,87,81,90,86,84,85,82,76,57,82,82,85,90,81,87,91,85,85,80,91,74,89,85,85,87,89,74,85,86,73,92,87,85,85,83
2019-05-19,65,72,85,86,90,91,82,85,82,83,79,88,90,85,84,88,83,74,87,84,81,82,89,78,57,80,79,85,90,81,86,91,83,84,80,85,69,90,83,81,82,86,70,84,87,75,88,86,78,88,88
2019-05-26,67,76,86,78,93,86,84,88,80,82,81,90,87,89,83,84,77,79,84,90,82,82,85,73,56,80,80,81,91,86,86,94,81,82,75,80,70,89,82,82,87,80,73,86,85,76,89,87,84,87,84
2019-06-02,68,74,88,87,89,87,83,85,82,81,93,82,81,83,80,75,82,78,87,89,83,81,85,72,58,81,82,82,88,80,85,87,86,84,76,82,71,87,83,84,85,78,76,85,82,75,89,92,81,89,84
2019-06-09,65,75,86,79,89,83,79,86,82,83,84,79,82,85,81,77,79,77,86,83,83,84,88,74,54,75,79,84,86,80,86,89,89,81,77,84,69,88,81,86,82,80,76,84,85,73,87,93,76,87,78
2019-06-16,70,79,88,86,91,90,85,91,81,83,82,85,83,89,82,82,82,78,89,90,83,85,83,75,58,81,83,84,88,84,88,93,95,83,82,81,72,85,82,90,83,82,79,87,87,76,87,92,83,88,84
2019-06-23,69,82,88,84,88,87,80,88,84,83,79,85,81,87,81,77,80,76,89,83,81,80,82,75,58,78,81,83,87,77,84,95,83,79,79,81,74,84,82,77,85,78,77,90,86,70,84,87,80,88,79
2019-06-30,69,80,90,86,84,87,83,96,78,83,93,87,84,85,82,80,81,78,91,94,86,83,84,74,57,82,84,84,91,86,86,98,81,84,74,91,73,88,84,81,90,84,77,87,87,79,89,89,84,89,90
2019-07-07,76,82,91,88,92,90,83,93,85,90,95,91,89,87,85,81,86,82,91,94,86,91,90,80,60,83,87,86,93,85,88,99,86,85,87,87,76,93,85,85,93,86,80,84,90,78,93,96,88,86,86
2019-07-14,75,85,91,89,93,93,85,93,84,89,87,89,89,90,85,78,82,79,91,92,86,87,89,81,61,82,84,83,91,86,85,94,91,85,80,90,78,91,85,84,91,85,79,84,92,76,90,94,85,91,85
2019-07-21,74,86,92,86,95,92,85,95,88,92,91,89,88,88,85,79,82,79,92,100,85,88,88,76,59,82,87,85,92,88,90,95,90,84,81,85,77,89,84,90,92,86,79,86,89,79,90,99,85,90,92
2019-07-28,71,86,92,88,93,92,83,92,82,87,88,90,86,84,86,84,82,80,90,92,85,87,86,78,60,80,85,85,93,82,88,100,87,85,82,83,77,91,84,89,87,83,86,85,90,83,89,96,86,88,86
2019-08-04,69,81,95,89,89,89,78,93,77,89,89,89,87,85,85,81,82,80,89,95,80,83,87,78,59,79,85,81,92,86,83,94,87,86,80,80,79,89,84,85,86,86,90,84,87,76,87,96,80,83,89
2019-08-11,73,86,93,87,90,95,79,94,81,88,94,90,86,91,100,83,87,80,87,100,84,87,86,76,59,82,87,86,90,88,89,98,92,88,84,82,76,87,84,82,87,87,83,83,91,77,89,92,84,84,86
2019-08-18,74,83,93,92,89,89,84,88,81,88,96,91,87,87,100,79,89,85,92,93,80,82,83,75,60,85,83,92,92,87,82,97,85,87,82,83,78,86,85,80,87,83,84,86,88,78,88,89,88,87,87
2019-08-25,73,87,95,95,89,93,84,92,83,83,90,88,87,88,92,89,88,85,92,90,81,85,85,74,60,86,85,93,96,84,83,97,82,87,90,86,81,88,85,86,91,91,87,86,90,81,88,92,88,87,85
2019-09-01,73,83,94,91,89,90,85,90,79,84,89,89,85,85,89,88,87,84,90,91,78,87,88,75,60,84,81,87,94,84,82,94,82,85,88,85,77,87,88,83,86,89,76,88,89,78,88,88,85,87,87
2019-09-08,71,80,93,92,88,90,82,88,85,85,88,84,85,89,91,89,88,83,89,92,82,86,91,77,63,84,86,92,93,80,83,96,84,92,93,85,79,88,88,87,93,87,76,88,88,78,94,93,86,88,80
2019-09-15,75,86,95,98,89,93,83,87,86,84,92,84,90,90,90,94,87,85,94,92,84,86,88,79,62,84,88,91,96,82,85,97,91,90,92,86,79,91,91,88,92,91,78,92,90,78,91,93,87,95,90
2019-09-22,72,80,90,96,91,92,83,92,86,85,92,86,89,90,89,96,87,87,91,93,85,85,92,78,59,85,86,87,92,85,86,94,88,89,94,83,80,89,89,92,92,99,78,92,91,84,92,91,89,91,86
2019-09-29,70,83,92,92,88,90,85,93,86,84,91,84,88,87,88,96,91,86,92,90,83,89,90,79,61,80,87,90,92,78,84,96,87,90,92,89,78,87,85,93,91,91,80,87,92,78,89,87,89,92,87
2019-10-06,71,80,92,94,89,90,83,90,86,88,87,84,87,87,89,92,88,95,94,87,84,90,87,78,58,84,88,92,93,83,84,94,85,86,88,90,76,89,89,93,90,89,75,85,89,79,87,86,88,87,87
2019-10-13,70,81,95,89,93,92,84,89,82,87,90,85,85,87,84,95,86,92,90,87,84,89,87,77,61,82,87,89,94,87,85,94,88,87,89,86,73,91,88,91,88,93,78,88,93,80,93,88,89,90,83
2019-10-20,74,80,92,95,89,91,84,94,86,85,87,83,87,87,88,95,86,99,92,89,80,89,89,84,73,84,85,87,91,83,84,93,90,87,85,89,78,90,90,90,94,94,87,86,92,79,91,90,88,91,86
2019-10-27,74,83,91,95,89,91,86,88,88,87,86,88,87,80,90,93,87,86,91,92,86,91,90,84,100,92,85,90,92,85,85,93,86,89,98,87,79,89,90,94,91,94,87,87,94,78,92,87,88,87,90
2019-11-03,69,100,92,93,88,86,82,87,86,86,90,86,87,79,86,92,88,84,90,86,84,84,88,83,73,94,83,89,92,82,80,93,87,85,87,87,81,88,89,88,89,88,78,86,87,77,89,88,90,88,83
2019-11-10,74,94,100,97,89,92,86,87,85,88,89,87,92,82,91,97,90,89,92,91,85,90,89,85,91,91,88,96,95,84,83,91,89,88,91,91,83,88,91,94,93,95,80,91,91,83,90,91,94,92,87
2019-11-17,73,79,93,96,88,94,86,90,87,85,85,88,90,83,97,95,87,86,90,90,82,87,96,80,72,100,89,88,88,82,85,89,85,89,96,88,79,93,90,97,89,95,85,86,89,82,94,91,91,91,83
2019-11-24,66,79,90,91,85,85,84,86,67,83,79,83,88,81,90,92,82,85,84,83,82,80,89,75,58,90,85,87,87,84,83,89,80,88,86,89,77,90,85,84,87,88,75,82,88,75,90,91,85,87,85
2019-12-01,73,77,88,92,88,88,87,90,87,83,85,87,86,90,91,96,84,87,90,89,84,84,95,78,64,85,84,86,90,84,88,93,82,93,87,89,78,87,89,89,90,92,75,84,90,81,90,91,92,88,80
2019-12-08,74,79,92,94,89,92,87,88,82,89,95,88,90,85,92,95,86,88,92,88,86,89,99,82,64,86,83,95,89,82,83,92,87,86,92,88,77,92,93,95,89,90,77,87,92,79,93,92,92,92,83
2019-12-15,73,78,92,97,85,95,90,90,80,89,89,88,93,88,91,99,88,89,95,92,88,88,96,86,63,89,89,92,86,87,87,92,83,95,87,92,80,93,91,90,91,96,83,88,93,79,95,93,97,93,87
2019-12-22,77,82,100,99,91,96,94,98,56,100,91,95,96,84,92,98,90,93,99,98,91,88,95,100,69,92,90,95,100,98,94,98,86,92,91,100,82,95,97,94,100,95,100,88,97,93,93,98,98,98,90
2019-12-29,76,83,99,96,89,95,93,98,72,95,93,98,99,91,94,100,89,93,98,95,93,90,100,88,66,91,92,94,99,95,92,100,89,100,92,93,82,95,99,94,95,94,87,88,100,100,95,100,100,100,92
2020-01-05,75,78,96,93,88,94,90,92,81,88,86,94,93,90,93,96,87,91,94,92,87,87,95,80,65,88,91,91,93,90,84,97,90,98,94,95,78,93,93,92,92,94,79,84,96,84,93,93,93,91,87
2020-01-12,76,82,94,94,84,92,83,91,84,87,89,87,87,83,90,94,87,85,92,85,85,84,89,89,65,84,86,88,87,88,84,89,88,92,91,97,81,90,89,87,92,92,85,88,91,81,89,91,92,90,85
2020-01-19,73,77,93,95,88,89,86,89,81,90,94,86,92,81,90,91,85,87,95,85,83,87,91,80,64,91,85,90,90,88,84,95,85,86,86,95,79,90,90,90,93,88,83,83,92,80,89,89,95,90,86
2020-01-26,81,78,90,91,83,85,85,84,81,83,87,82,88,84,91,89,83,82,88,89,82,82,86,75,62,80,84,86,88,83,80,88,82,82,83,91,75,85,86,87,90,91,73,81,87,85,87,88,91,89,83
2020-02-02,100,78,91,93,85,90,87,89,86,89,89,83,91,87,91,96,86,86,92,85,85,84,89,76,64,83,91,93,89,86,84,95,85,87,90,97,80,88,88,93,93,92,79,83,91,86,86,88,92,90,87
2020-02-09,95,77,94,96,90,90,87,90,89,91,88,84,91,89,93,96,86,89,93,85,85,90,90,80,63,83,93,94,91,89,86,90,87,88,89,96,80,90,90,94,94,92,81,89,94,83,89,93,91,91,89
2020-02-16,84,78,93,92,87,92,85,87,79,89,85,90,92,87,91,92,86,83,93,85,87,85,83,74,65,85,84,90,88,86,83,95,85,94,86,91,78,86,88,90,95,90,75,85,89,87,87,87,94,88,89
2020-02-23,71,75,91,90,85,84,84,87,81,83,82,85,87,84,88,87,82,100,85,84,88,84,85,73,61,79,82,87,85,78,77,90,83,85,85,90,77,83,85,90,88,90,75,82,87,77,82,85,92,87,83
2020-03-01,70,71,91,88,84,84,81,87,79,85,89,86,85,81,86,88,80,91,90,83,84,82,82,71,59,76,82,83,88,82,77,90,78,84,86,90,75,81,83,86,87,85,72,81,86,75,80,84,90,85,83
2020-03-08,69,72,90,87,87,84,79,81,73,85,89,84,82,81,86,86,78,81,88,80,83,81,84,71,56,76,84,86,88,77,80,89,81,79,87,88,75,84,79,84,85,85,70,80,87,72,80,87,85,85,83
2020-03-15,69,75,88,88,86,84,83,86,66,80,91,90,85,87,85,83,80,82,86,86,81,85,86,76,57,76,80,85,83,87,84,91,78,81,78,86,73,83,82,81,85,88,73,81,85,82,86,83,87,85,83
2020-03-22,70,81,91,91,89,88,92,92,67,85,94,90,90,86,90,91,86,85,94,93,88,87,97,80,61,82,90,90,89,95,93,91,81,86,91,85,77,89,87,94,90,95,76,83,95,87,87,90,92,91,93
2020-03-29,70,86,98,95,90,95,94,100,66,90,92,88,100,86,90,92,91,86,93,100,91,92,97,86,63,81,99,88,93,97,94,91,82,87,100,89,81,94,89,98,92,100,78,89,94,93,89,98,93,98,96
2020-04-05,73,88,98,92,92,87,92,94,65,90,94,92,94,87,87,91,88,84,91,91,88,91,92,83,62,79,93,87,90,98,91,94,85,87,96,91,78,93,91,94,93,96,76,87,91,89,87,91,91,93,98
2020-04-12,74,88,93,95,95,98,95,97,66,90,97,93,94,88,95,94,90,90,92,99,92,95,98,84,63,84,100,93,89,100,95,95,85,89,98,94,82,89,95,99,90,97,77,87,95,92,88,95,95,95,96
2020-04-19,74,86,92,94,89,89,96,97,66,90,89,94,91,85,90,91,86,85,91,90,93,91,95,81,64,82,91,84,89,96,97,92,80,95,91,94,76,94,92,96,94,88,75,84,94,85,91,92,92,92,93
2020-04-26,71,83,96,94,96,90,100,100,70,88,94,100,92,89,92,92,87,89,92,98,98,96,92,80,60,79,91,83,92,99,100,97,87,95,92,94,77,93,95,99,92,95,77,87,91,92,94,97,92,94,92
2020-05-03,73,76,96,89,91,89,96,100,69,88,94,92,90,85,90,94,86,85,90,93,94,90,90,79,61,83,89,88,89,97,97,93,86,87,89,92,74,91,94,96,91,93,75,86,91,91,90,93,91,90,91
2020-05-10,68,75,90,93,88,87,90,91,67,84,88,90,88,86,86,91,85,81,88,91,87,89,87,78,57,83,89,85,84,95,93,92,80,82,85,89,74,92,90,90,85,89,70,84,85,86,87,89,83,85,83
2020-05-17,71,77,92,88,93,85,93,100,66,90,90,92,94,88,86,91,81,82,88,88,92,86,86,79,58,80,84,84,85,88,94,92,78,87,79,87,73,94,90,93,93,83,73,84,89,78,91,90,85,91,84
2020-05-24,69,73,89,84,86,84,91,94,62,88,90,84,83,78,79,88,82,75,87,87,91,88,84,74,57,77,82,81,84,86,88,89,76,86,75,82,72,89,84,92,92,77,73,81,83,77,88,91,82,83,83
