time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,80,80,98,96,98,97,93,95,91,93,85,100,92,91,90,92,95,84,95,90,94,96,98,87,63,83,89,95,92,91,98,93,91,95,96,97,82,98,96,90,96,93,83,91,98,93,97,99,91,96,92
2019-01-13,80,90,95,97,96,93,87,88,90,89,85,98,91,92,88,91,94,81,93,86,93,89,91,81,65,82,89,98,94,85,95,95,94,91,100,100,81,97,94,89,95,93,82,92,93,87,96,95,94,92,95
2019-01-20,75,79,95,94,88,93,88,82,89,89,85,92,89,89,89,87,92,82,89,89,90,93,89,77,62,83,87,95,85,82,89,92,92,88,87,92,81,91,89,92,88,91,79,91,92,89,96,93,90,85,89
2019-01-27,74,81,93,91,93,90,85,84,90,87,89,93,89,91,91,88,92,80,84,84,87,88,88,77,58,81,85,91,87,83,88,92,90,84,89,97,79,93,89,92,93,88,75,90,92,88,92,92,89,93,86
2019-02-03,76,82,95,92,89,92,87,86,93,88,83,94,89,90,90,90,96,82,92,88,87,90,89,77,61,86,85,95,90,85,91,91,96,87,87,96,78,89,85,86,92,93,77,91,93,88,90,93,89,93,93
2019-02-10,77,80,98,98,96,94,91,90,94,92,80,96,90,92,92,90,95,84,94,89,96,96,88,79,65,88,88,95,92,87,93,93,94,98,88,99,80,95,91,93,95,97,83,96,95,92,88,95,87,90,94
2019-02-17,76,87,100,99,96,97,91,88,92,93,84,96,92,96,93,94,93,84,93,86,100,92,90,78,64,89,87,98,92,90,93,96,90,99,87,97,84,91,95,93,95,96,79,97,97,95,93,96,92,90,85
2019-02-24,78,82,100,99,99,100,93,91,100,96,87,99,97,100,96,100,100,89,94,91,99,100,95,86,67,87,93,100,97,89,97,96,96,95,93,95,85,100,100,100,100,98,82,100,98,92,95,99,92,96,95
2019-03-03,74,83,96,100,100,99,93,90,97,100,86,99,89,96,94,93,94,87,92,90,94,96,91,84,66,87,93,99,95,87,96,92,100,91,94,96,84,95,92,95,97,93,81,99,98,92,100,98,92,97,94
2019-03-10,73,77,95,95,94,94,86,90,87,95,81,94,86,94,89,90,84,78,92,85,87,94,89,82,59,85,86,89,91,84,92,94,97,85,87,94,79,90,88,88,93,90,78,88,93,83,92,94,84,91,94
2019-03-17,71,78,92,82,88,89,87,88,89,92,78,86,82,92,88,79,89,80,92,84,86,92,88,75,57,76,79,86,87,83,88,90,86,85,88,87,70,88,89,89,90,91,72,89,88,89,91,88,85,89,84
2019-03-24,70,79,92,92,89,88,85,83,90,93,79,94,86,89,84,87,88,81,91,84,84,96,83,77,60,82,84,94,89,83,89,88,86,82,92,86,91,80,86,86,92,92,74,93,90,88,89,91,84,87,85
2019-03-31,75,80,98,94,93,94,89,89,97,97,79,94,86,93,88,90,94,77,100,90,91,97,85,82,65,83,81,94,95,83,93,93,94,92,93,90,100,91,92,94,95,88,77,97,85,87,95,91,85,93,89
2019-04-07,74,79,93,93,92,90,85,86,88,87,79,94,85,91,87,87,87,81,94,86,84,89,84,81,64,82,86,96,93,79,87,92,86,94,96,87,95,94,85,90,93,94,76,94,87,81,93,92,85,92,89
2019-04-14,75,87,96,92,90,93,85,86,91,92,84,93,85,91,92,88,86,83,89,81,86,87,89,77,61,83,84,92,90,84,90,90,86,92,85,86,89,93,90,88,88,87,77,93,90,84,92,97,85,87,85
2019-04-21,75,83,93,94,95,92,88,82,91,91,88,98,89,95,93,89,88,83,92,91,87,91,88,80,62,81,84,89,93,79,86,92,92,83,87,92,80,92,93,93,94,90,80,93,97,76,97,95,89,90,90
2019-04-28,76,83,96,95,95,96,94,86,93,90,97,99,88,94,95,95,92,87,95,88,88,91,91,83,63,85,85,95,93,85,94,97,98,88,98,97,81,89,91,94,91,94,80,94,90,84,96,93,87,96,90
2019-05-05,74,80,89,95,94,89,83,84,88,84,100,88,87,93,84,89,88,79,93,81,85,86,86,79,63,81,79,91,90,80,91,92,92,84,88,96,78,87,88,88,89,91,79,89,87,78,94,87,81,91,91
2019-05-12,73,80,89,91,90,88,87,85,86,87,81,92,89,93,86,84,85,78,89,86,85,87,88,76,60,79,82,92,93,77,90,92,88,86,86,97,74,92,85,84,86,90,74,88,89,82,95,94,84,90,90
2019-05-19,68,75,87,83,91,88,80,84,79,80,76,90,89,88,82,85,80,75,86,85,83,85,87,79,57,77,80,86,94,78,87,89,82,82,84,86,72,91,84,80,90,87,70,90,90,78,86,90,78,87,92
2019-05-26,68,78,87,81,91,88,84,85,79,85,77,89,84,91,80,81,80,76,85,85,84,83,84,73,56,78,82,86,91,78,89,92,83,83,75,83,71,91,83,83,87,81,70,89,85,78,87,88,80,87,93
2019-06-02,70,76,88,83,89,87,83,81,79,82,85,88,84,86,77,77,83,75,85,83,84,83,83,73,59,80,82,81,87,79,88,91,87,83,81,85,72,90,80,84,87,74,74,88,84,82,89,92,80,86,84
2019-06-09,68,77,89,78,87,86,83,79,85,83,78,84,80,88,79,77,78,74,85,84,85,82,83,72,54,79,75,84,86,77,88,87,89,81,82,83,71,88,83,80,81,76,73,86,82,78,86,90,77,83,76
2019-06-16,70,81,88,83,88,91,84,82,80,84,78,89,83,86,80,78,81,74,84,83,84,85,82,74,57,80,84,86,84,76,89,90,95,82,83,82,73,86,84,85,85,81,75,90,86,75,83,91,81,85,84
2019-06-23,71,83,87,84,90,88,80,84,83,81,77,91,81,85,77,77,80,75,86,81,83,82,81,73,57,81,81,85,86,75,85,90,79,79,79,84,74,86,80,78,85,77,74,92,83,74,83,91,78,86,83
2019-06-30,73,84,91,84,88,88,84,86,78,87,87,92,82,85,80,83,83,77,91,88,88,87,86,77,57,78,83,88,90,86,91,97,82,83,77,94,78,92,86,83,93,85,79,90,90,84,88,91,83,92,81
2019-07-07,76,89,91,90,93,93,84,89,85,90,90,93,85,85,80,80,85,82,92,89,88,88,88,79,62,83,87,87,94,85,90,96,88,84,81,90,78,90,85,86,93,86,80,89,93,84,93,96,86,91,90
2019-07-14,76,81,91,89,93,90,84,92,85,91,81,91,88,90,83,83,84,81,92,89,87,87,90,79,62,80,85,89,92,85,88,92,98,84,84,93,79,89,84,83,89,85,79,88,91,80,90,96,84,92,90
2019-07-21,75,85,91,88,96,94,82,95,86,91,85,90,89,94,83,82,82,81,91,91,87,89,87,77,60,78,88,88,92,87,90,97,96,84,85,88,77,93,86,87,89,82,77,90,93,81,90,97,83,88,94
2019-07-28,72,87,91,84,93,92,87,90,82,90,85,93,83,90,85,82,82,80,88,93,85,88,85,78,57,79,87,87,91,83,91,95,89,84,85,84,79,92,84,86,89,81,84,87,94,81,88,98,83,89,88
2019-08-04,71,84,94,85,86,91,80,90,77,88,87,96,84,88,84,80,83,75,88,88,85,87,84,79,56,79,82,82,92,82,86,93,93,83,84,81,78,89,82,83,89,86,85,89,88,79,85,94,79,83,83
2019-08-11,76,84,97,89,92,92,82,90,81,87,89,97,90,92,96,85,85,81,89,90,84,89,84,79,61,81,85,89,92,86,89,96,94,85,93,85,79,91,84,84,91,86,82,87,89,82,86,95,85,86,86
