time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,71,73,75,73,82,66,78,65,79,79,68,84,60,63,67,69,78,68,79,70,75,78,66,65,60,65,63,65,78,73,78,65,56,74,66,68,69,71,68,66,78,62,68,73,64,69,77,70,76,66,63
2019-01-13,73,72,78,74,81,68,81,69,76,81,71,82,64,67,68,65,74,70,82,71,75,77,69,65,62,64,68,65,77,75,81,68,66,71,74,71,72,73,68,66,76,67,69,74,63,73,80,72,76,64,67
2019-01-20,73,68,77,71,78,66,75,73,72,79,73,84,64,67,69,69,74,65,76,69,75,74,65,63,60,64,65,62,73,74,79,70,65,68,70,71,70,72,64,64,80,65,68,71,62,68,77,69,71,61,67
2019-01-27,72,68,77,76,78,67,74,68,86,77,75,82,65,66,67,70,74,68,78,68,77,77,63,67,63,66,68,65,74,74,75,68,64,68,75,69,73,72,66,65,76,65,68,72,61,72,78,70,71,67,63
2019-02-03,74,65,76,77,79,70,80,77,84,78,73,89,66,72,74,73,74,70,81,71,81,79,66,65,61,68,64,66,74,75,81,69,75,73,72,76,74,74,69,65,78,60,70,73,64,74,76,72,76,64,68
2019-02-10,72,68,77,76,78,67,75,76,84,77,69,78,61,71,71,70,75,71,80,70,85,79,65,67,63,68,67,67,73,72,78,69,64,75,74,73,71,71,68,67,80,57,69,70,60,72,75,69,75,66,62
2019-02-17,75,69,80,78,83,68,82,79,80,82,72,84,65,72,76,73,79,73,84,70,85,80,67,68,67,68,70,67,76,78,83,73,61,79,67,75,75,74,73,72,82,60,72,76,65,81,73,72,76,69,67
2019-02-24,79,75,78,80,82,70,80,78,86,87,77,85,67,73,79,76,81,77,89,74,87,80,66,67,72,72,71,65,81,75,81,73,59,77,68,71,77,72,73,76,84,68,73,81,67,76,81,75,80,70,71
2019-03-03,73,78,82,79,86,72,81,78,76,88,76,85,70,74,78,81,82,73,83,73,81,80,70,70,69,74,71,69,78,78,82,72,73,77,78,74,78,78,71,75,82,70,72,76,69,76,80,75,78,71,72
2019-03-10,75,69,75,79,83,71,85,76,82,91,74,91,68,75,79,74,75,73,88,73,80,84,71,69,68,72,79,66,79,79,85,71,76,71,68,77,77,77,74,75,83,62,73,75,68,72,85,76,76,69,68
2019-03-17,77,78,81,79,83,71,81,83,88,90,74,81,72,76,78,78,86,78,86,81,85,88,71,76,68,72,83,71,78,85,86,74,60,75,79,74,75,77,76,76,83,76,75,79,70,82,80,80,83,75,76
2019-03-24,75,79,80,81,82,74,87,74,83,85,76,86,74,76,77,81,83,76,88,79,85,90,72,77,70,72,80,73,80,84,86,78,72,70,78,73,94,77,74,78,85,74,74,83,71,83,85,78,80,75,73
