time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,76,79,89,88,95,97,87,78,95,87,83,100,91,92,92,83,100,82,85,92,82,100,90,100,69,80,95,94,89,90,84,86,83,93,96,91,85,93,87,88,70,89,83,87,96,100,98,91,93,100,95
2019-01-13,78,81,86,89,89,96,82,78,91,89,88,96,86,97,90,79,91,78,82,87,85,97,84,95,70,83,85,98,84,87,83,85,92,93,94,95,83,96,86,85,73,91,83,83,96,86,97,90,96,95,95
2019-01-20,73,85,83,86,90,94,84,75,87,85,85,89,87,95,87,82,96,76,77,82,86,96,86,80,69,85,89,89,85,84,82,76,91,84,88,90,80,91,85,80,71,90,78,84,89,82,95,86,86,80,90
2019-01-27,73,87,84,88,89,91,80,78,94,83,87,90,84,94,87,77,94,79,79,84,82,92,83,83,68,84,89,99,82,87,78,83,86,80,79,92,84,88,82,85,70,87,75,83,91,81,92,86,85,76,91
2019-02-03,77,77,86,88,88,91,81,76,92,84,83,96,86,97,92,75,95,78,82,89,86,92,84,81,65,86,86,92,81,88,80,80,98,84,81,93,77,87,86,82,72,90,76,88,91,80,92,79,82,80,83
2019-02-10,73,72,83,89,84,89,79,82,96,84,78,91,81,96,87,72,91,76,80,81,84,93,82,78,63,80,78,89,80,88,78,77,90,89,87,93,80,91,84,81,68,78,77,86,91,78,85,83,80,79,84
2019-02-17,75,77,85,87,88,93,91,87,93,89,84,93,88,96,90,83,100,79,81,87,94,95,85,82,71,86,87,89,81,89,83,84,88,96,80,92,84,92,91,85,76,83,79,90,91,95,90,88,87,80,94
2019-02-24,74,76,86,90,86,91,84,87,100,91,85,90,87,93,94,80,98,81,83,87,88,95,84,81,67,89,84,89,85,83,82,85,83,90,85,86,79,91,89,84,73,83,80,92,92,81,89,87,90,80,91
2019-03-03,71,88,85,90,92,93,83,83,91,93,84,96,84,96,97,82,95,80,79,96,85,94,85,79,65,85,91,97,85,90,81,86,95,87,90,87,86,93,89,86,72,82,79,86,93,91,94,87,87,82,91
2019-03-10,73,80,83,87,90,90,82,75,89,90,82,100,84,97,86,76,91,74,84,90,84,93,83,82,66,82,83,96,85,86,79,81,96,86,83,86,79,92,79,84,68,76,79,85,87,84,93,84,84,82,92
2019-03-17,75,74,83,80,91,90,77,74,90,88,81,95,75,99,86,76,90,78,81,82,83,97,82,79,70,80,85,85,85,86,82,86,74,82,85,86,76,86,84,84,72,93,76,86,90,78,93,88,91,79,83
2019-03-24,70,76,88,85,86,91,87,79,89,90,80,94,80,96,85,80,99,75,84,87,83,93,80,82,65,82,80,94,89,90,79,86,86,84,94,82,100,93,85,91,72,82,81,87,90,81,93,88,91,81,90
2019-03-31,72,79,84,88,89,87,85,72,91,89,78,93,76,97,87,80,92,72,83,88,82,99,79,78,66,80,80,93,87,85,80,79,96,82,93,85,98,90,85,81,73,84,77,88,86,84,89,84,83,81,100
2019-04-07,73,81,85,84,86,87,85,73,92,82,78,94,80,96,86,78,90,74,78,83,81,89,79,79,64,79,78,89,84,82,79,82,86,92,82,80,96,87,81,81,69,77,76,87,89,90,94,82,79,83,86
2019-04-14,74,86,89,91,89,91,83,83,87,84,86,98,80,96,90,79,91,81,79,90,85,93,82,80,67,79,74,87,85,85,80,82,79,91,92,84,92,93,89,86,72,83,78,90,88,85,94,86,84,79,76
2019-04-21,70,84,83,84,90,85,81,78,89,81,87,91,79,92,82,73,87,75,82,87,80,93,79,79,63,81,78,92,81,77,80,84,84,79,74,81,80,89,85,82,73,80,75,84,87,73,91,81,82,76,77
2019-04-28,70,69,85,84,90,90,82,81,90,84,93,95,76,97,90,77,93,75,80,89,83,92,83,82,71,84,76,90,82,83,83,79,99,83,92,94,76,86,87,86,71,88,75,84,84,74,91,84,89,78,87
2019-05-05,73,78,85,80,90,88,84,82,93,83,96,92,79,96,85,73,94,74,87,77,84,91,81,77,65,77,83,87,81,87,80,78,87,85,81,89,77,85,83,90,70,77,77,82,86,82,93,87,78,77,90
2019-05-12,68,72,81,83,87,88,81,81,82,80,81,93,81,96,81,70,91,70,75,86,86,93,78,77,62,76,73,85,85,81,83,77,78,83,73,86,74,84,82,80,64,83,74,82,86,77,88,83,75,78,87
2019-05-19,67,79,80,79,83,86,78,86,89,79,75,86,79,92,81,72,86,70,78,84,83,88,84,77,63,80,75,87,85,79,81,79,76,78,71,81,71,89,78,76,70,75,72,82,82,72,84,82,79,74,91
2019-05-26,67,86,83,75,90,84,80,81,87,79,81,86,74,96,82,72,87,71,77,75,83,89,80,76,61,78,76,91,85,74,81,80,77,82,75,77,72,87,82,72,70,72,74,83,84,75,85,80,67,78,83
