time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,73,90,77,82,80,82,85,74,70,79,72,90,86,71,82,81,77,74,78,83,84,78,83,88,59,85,98,81,79,80,85,88,71,93,85,82,74,92,78,81,87,95,84,76,94,89,83,83,85,89,83
2019-01-13,82,76,88,87,82,89,84,66,71,83,85,91,82,82,86,79,85,74,84,84,83,76,86,89,64,85,77,87,78,79,82,95,77,86,81,88,75,93,80,77,87,85,90,84,86,92,88,91,89,87,77
2019-01-20,82,85,82,81,79,83,75,67,75,85,82,89,93,80,83,74,74,67,89,75,84,68,78,77,63,80,85,77,76,68,81,87,74,82,72,81,81,90,80,72,81,88,89,82,86,81,82,87,89,76,80
2019-01-27,79,76,83,88,82,90,79,65,76,81,85,92,88,69,79,71,79,73,86,70,76,76,66,74,63,82,87,82,77,76,76,89,72,83,74,76,77,85,74,82,83,91,84,82,87,88,78,77,80,71,72
2019-02-03,84,95,87,88,81,86,76,68,78,83,80,91,86,78,90,82,76,75,91,72,85,77,74,79,66,81,70,90,81,72,80,89,80,85,76,89,74,79,80,77,88,77,90,84,81,86,78,74,92,82,74
2019-02-10,79,80,87,90,84,91,79,67,79,86,78,84,83,81,89,82,76,78,90,71,87,80,78,80,66,93,78,74,81,74,79,84,79,91,85,85,80,91,72,84,92,82,91,90,89,79,80,74,96,82,75
2019-02-17,84,90,84,86,79,89,77,75,79,81,72,81,86,79,86,84,73,76,87,56,83,63,75,79,71,84,83,73,69,72,77,78,64,91,81,84,83,83,78,74,90,74,84,82,84,81,79,75,86,82,69
2019-02-24,89,77,82,91,90,88,87,84,76,89,84,84,99,81,87,85,88,78,92,74,92,80,77,83,71,85,82,92,84,56,88,91,78,95,85,85,82,82,85,85,94,86,92,91,90,71,87,80,89,91,70
2019-03-03,79,84,83,88,88,87,79,70,76,84,83,83,89,83,89,91,84,73,70,76,89,78,77,80,63,90,89,85,84,75,88,82,80,86,70,83,86,90,78,85,93,90,87,86,92,97,87,79,85,94,78
2019-03-10,71,73,73,89,82,80,80,72,63,81,71,85,91,78,79,73,52,64,90,75,82,74,80,77,43,79,76,69,73,74,81,78,75,80,64,82,77,80,76,76,86,72,77,60,84,78,82,81,85,87,81
2019-03-17,78,77,74,47,83,77,75,80,80,75,76,70,75,78,82,62,72,74,85,72,81,77,81,86,66,70,80,77,76,72,84,76,71,86,77,78,54,83,84,85,85,89,75,79,82,75,87,77,96,85,67
2019-03-24,65,77,82,75,79,69,81,70,66,78,74,86,72,63,64,88,84,76,85,75,82,80,74,74,64,79,69,86,78,72,85,80,76,76,74,72,95,67,80,86,83,83,77,87,84,86,84,80,79,68,75
2019-03-31,80,88,81,87,81,86,82,77,74,87,60,88,94,79,79,86,85,58,93,82,88,85,70,83,66,88,81,80,79,80,86,91,84,90,88,81,98,87,83,92,91,83,85,92,78,67,85,69,88,90,78
2019-04-07,84,86,85,86,83,87,83,89,65,88,78,96,92,82,89,85,85,75,94,75,88,86,81,88,73,86,92,84,88,79,85,95,79,98,83,87,95,89,87,92,92,91,91,88,94,84,92,81,92,93,78
2019-04-14,98,93,99,95,89,100,78,87,92,100,97,100,89,90,100,96,90,89,90,70,89,77,100,96,71,100,94,98,74,91,92,92,89,93,100,88,100,100,92,82,74,98,100,95,100,87,95,100,74,97,100
2019-04-21,90,88,92,90,89,96,95,62,92,92,90,95,94,88,89,93,81,78,83,91,92,92,90,93,66,93,90,89,95,74,77,100,77,81,81,87,86,96,94,100,86,97,92,95,95,82,98,92,98,96,86
2019-04-28,95,89,100,100,100,98,100,100,100,93,100,96,93,100,97,100,100,90,100,100,100,100,92,100,72,100,100,100,93,100,100,98,100,100,93,100,86,99,100,98,100,94,99,100,95,100,100,94,96,98,87
2019-05-05,80,99,95,87,92,96,90,91,86,85,96,99,86,88,84,88,82,79,87,79,94,89,84,94,67,93,95,94,87,82,92,94,90,91,84,91,80,88,90,88,89,100,86,89,88,88,96,90,89,100,81
2019-05-12,76,81,91,80,98,96,90,90,89,88,83,99,91,90,91,88,83,73,86,87,98,88,88,93,58,89,78,90,100,85,94,90,87,87,84,96,77,97,91,95,85,92,88,89,97,78,92,97,77,95,91
2019-05-19,66,82,86,68,100,95,86,80,85,89,67,97,95,87,87,88,71,67,79,80,92,85,94,97,52,78,88,76,86,82,90,84,84,89,83,87,69,98,87,81,80,91,77,87,87,86,93,93,81,94,99
2019-05-26,51,60,60,48,77,65,74,61,64,65,55,80,72,66,60,67,51,53,59,64,76,69,75,73,40,57,67,58,63,70,74,58,65,70,49,61,52,82,69,77,68,51,60,61,74,73,70,77,61,78,60
2019-06-02,53,67,59,49,70,60,74,61,57,61,57,68,60,58,54,59,55,52,58,64,77,68,72,64,42,59,63,49,60,70,75,60,68,62,53,52,52,82,67,61,61,53,63,59,65,65,68,84,64,77,69
2019-06-09,55,65,57,49,63,58,63,49,57,61,54,65,52,54,49,51,49,48,55,66,70,64,62,52,43,50,65,50,59,63,72,63,72,57,60,52,49,74,56,59,52,47,57,55,61,64,57,72,51,57,50
2019-06-16,49,62,55,54,60,59,49,42,52,59,55,58,53,54,52,53,45,47,54,55,59,56,57,58,42,59,63,54,60,55,60,56,70,54,50,52,49,62,51,55,52,52,56,61,64,52,53,69,53,56,54
2019-06-23,52,54,61,51,59,59,50,53,59,60,49,66,54,50,52,54,49,46,55,55,57,52,55,51,40,53,55,49,56,46,54,63,55,55,45,52,50,67,53,48,52,43,56,55,63,62,50,57,59,59,50
2019-06-30,54,58,58,48,54,55,45,52,45,58,56,64,60,46,48,48,48,50,54,58,55,49,53,57,41,56,59,48,52,45,48,62,50,51,45,53,48,62,52,49,52,58,60,53,60,47,54,59,59,59,58
2019-07-07,53,67,55,46,57,55,47,50,59,59,57,70,60,50,53,49,49,51,57,54,60,51,55,53,43,56,52,45,54,51,52,59,54,56,49,48,47,64,52,51,53,52,61,54,61,55,53,59,59,53,61
2019-07-14,53,55,57,51,56,56,50,54,52,62,52,64,61,50,50,47,45,51,55,48,60,54,57,58,42,58,59,47,54,50,52,68,62,57,51,55,50,64,54,53,56,44,62,56,65,53,54,58,61,54,60
2019-07-21,54,67,59,55,59,59,50,53,62,63,54,68,55,51,50,50,48,47,57,57,61,53,59,53,43,57,49,43,57,58,53,65,58,55,50,51,47,64,53,53,57,47,64,56,62,60,54,61,56,56,51
2019-07-28,55,79,61,53,56,58,51,50,49,62,60,67,58,50,50,50,46,51,59,55,57,57,58,54,43,57,60,50,61,49,55,59,56,55,47,50,46,62,54,51,53,43,66,57,65,62,49,61,63,58,46
2019-08-04,63,55,70,55,60,64,56,56,56,64,67,72,61,53,60,49,48,54,68,61,61,57,57,57,47,59,59,51,57,56,54,65,59,59,51,52,60,70,55,48,57,53,78,61,63,55,54,60,54,51,48
2019-08-11,66,71,79,60,63,72,51,50,55,70,74,81,58,59,73,51,60,60,70,61,59,56,58,54,56,66,59,61,63,57,56,68,60,61,66,59,58,64,55,53,59,56,78,65,65,66,57,65,64,59,47
2019-08-18,77,76,80,73,70,70,49,55,57,73,77,74,60,65,86,51,68,66,81,47,60,56,57,53,56,78,69,74,68,59,53,75,57,66,66,66,62,62,60,45,68,60,80,71,72,52,60,61,77,59,68
2019-08-25,76,63,79,79,73,70,61,60,65,72,75,73,66,66,77,67,68,70,76,56,61,57,59,56,56,77,74,73,68,56,54,83,55,73,67,71,70,60,68,54,81,72,88,76,73,61,67,61,83,59,75
2019-09-01,70,62,78,73,71,78,64,62,60,67,73,79,73,63,76,74,72,70,73,70,68,63,69,67,58,75,67,71,78,64,66,84,62,72,64,71,65,71,73,68,71,74,80,80,76,85,65,64,77,71,52
2019-09-08,80,83,82,75,77,79,77,72,70,78,81,76,71,72,79,83,71,75,83,76,79,72,81,78,65,79,74,79,75,73,77,93,71,92,85,76,72,73,80,83,85,92,82,83,84,84,80,71,85,81,75
2019-09-15,74,90,81,79,79,79,75,73,67,76,77,82,77,71,85,81,78,67,79,73,78,71,76,82,67,79,86,78,83,72,74,83,76,84,80,72,70,75,74,82,85,87,77,84,85,88,79,73,84,82,68
2019-09-22,80,78,76,84,75,80,74,69,64,81,78,84,73,71,79,85,78,71,75,83,79,76,73,78,65,77,70,79,69,66,76,79,74,87,83,75,82,75,75,80,84,86,81,84,83,82,79,73,80,75,65
2019-09-29,76,83,76,83,78,81,75,66,63,76,77,82,77,72,78,90,76,72,81,72,81,72,75,80,65,79,73,74,79,70,74,87,70,82,74,78,76,73,75,81,85,77,83,81,84,72,76,71,97,81,70
2019-10-06,71,88,62,79,79,81,73,60,63,78,70,69,87,72,75,86,68,70,77,64,81,74,73,78,59,77,69,73,71,72,71,78,68,84,74,79,72,72,73,82,84,88,66,79,82,88,79,72,92,80,78
2019-10-13,75,76,75,74,79,77,70,70,68,73,73,83,79,68,67,86,72,73,71,64,72,69,78,72,57,76,73,68,79,68,72,82,69,81,79,75,66,81,71,71,79,78,71,75,81,67,77,76,87,82,65
2019-10-20,79,72,75,75,78,82,77,71,72,78,73,73,82,72,75,80,68,84,77,71,79,73,78,83,72,82,92,79,74,74,76,87,73,85,70,73,71,77,78,87,78,75,88,81,79,78,81,77,86,80,74
2019-10-27,78,65,77,81,76,78,74,69,72,79,75,87,78,71,78,81,68,74,82,77,84,72,78,86,100,91,82,82,77,84,76,78,72,83,77,75,71,76,79,88,83,83,89,82,82,77,84,73,91,82,61
2019-11-03,84,100,84,86,87,90,77,74,72,83,82,80,87,72,86,83,80,73,87,76,85,77,83,83,76,95,84,80,78,71,72,89,75,86,99,84,82,87,80,84,87,90,85,86,91,95,78,83,90,92,75
2019-11-10,73,89,77,74,76,81,74,76,68,74,74,70,87,65,82,82,71,71,80,69,80,68,76,81,82,86,78,80,71,66,78,76,72,80,77,72,71,72,75,75,79,78,78,80,82,81,79,74,89,81,73
2019-11-17,74,85,80,78,80,86,78,70,69,79,75,74,81,72,82,87,79,71,82,74,80,71,83,82,73,96,74,79,76,65,75,87,73,87,80,80,79,83,77,81,85,73,89,81,84,82,81,77,87,86,61
2019-11-24,52,61,62,49,56,55,60,55,49,58,49,69,60,54,62,67,49,56,60,48,65,55,69,62,40,70,60,59,57,50,61,68,58,66,59,60,53,68,59,57,60,71,59,53,67,54,61,63,69,66,54
2019-12-01,74,85,78,83,78,79,71,79,69,73,75,87,80,74,80,86,78,69,77,67,79,66,82,77,63,80,82,71,73,60,72,86,72,88,86,77,72,82,75,77,80,81,82,80,82,73,81,75,87,81,69
2019-12-08,76,81,84,82,81,85,73,68,69,78,81,86,83,74,87,87,77,76,82,70,84,76,83,83,63,84,74,85,81,74,76,88,75,80,86,79,72,77,76,82,84,84,83,83,87,88,82,76,93,85,69
2019-12-15,65,64,74,72,71,77,67,68,59,72,69,79,77,71,77,82,68,68,72,72,74,69,81,86,54,70,70,78,75,67,71,70,67,75,83,71,67,72,73,68,74,68,73,72,82,74,78,73,77,85,64
2019-12-22,48,56,56,53,53,62,50,45,29,63,50,62,58,48,52,53,48,52,57,53,56,49,61,69,43,61,54,50,55,53,51,60,52,52,48,56,56,66,56,41,53,58,65,55,66,55,51,59,69,57,44
2019-12-29,54,66,59,54,55,63,62,55,45,64,52,64,58,53,58,62,48,60,60,53,67,55,62,65,45,63,72,50,62,55,61,65,56,62,59,55,54,67,64,52,57,64,63,55,68,81,54,62,72,65,57
2020-01-05,69,61,70,72,65,67,75,67,48,73,66,70,73,69,67,83,57,71,72,68,77,70,75,74,54,71,84,71,65,77,69,65,70,82,65,70,66,77,75,68,76,80,73,66,79,74,68,73,76,78,58
2020-01-12,74,70,75,73,70,75,74,64,57,78,72,73,82,70,76,71,65,71,78,57,80,69,76,83,64,73,79,73,71,65,74,73,70,81,74,78,73,76,74,70,79,71,83,75,80,85,75,72,87,77,73
2020-01-19,75,72,78,69,72,75,66,64,64,75,79,77,84,69,84,72,64,69,81,73,82,65,76,79,62,77,84,76,72,67,68,81,63,76,82,78,70,79,77,74,80,80,87,78,82,88,75,81,92,78,64
2020-01-26,91,82,77,84,73,80,78,69,68,78,80,80,83,73,79,79,77,76,75,70,75,66,78,73,63,77,81,79,69,70,73,82,66,77,78,80,72,80,75,67,78,74,77,78,81,67,71,76,97,83,73
