time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,80,71,76,73,60,0,67,16,90,54,37,11,54,52,67,92,93,59,81,45,48,,,
2019-01-13,80,73,78,82,72,0,67,14,89,59,39,10,63,45,68,84,53,58,84,44,66,,,
2019-01-20,75,73,73,82,67,0,57,11,94,52,26,10,53,49,64,91,76,51,78,50,72,,,
2019-01-27,74,72,73,79,68,0,60,18,93,55,52,13,56,44,61,79,49,53,80,46,100,,,
2019-02-03,76,74,77,84,58,0,64,17,78,49,51,14,53,48,56,82,47,82,82,48,54,,,
2019-02-10,77,72,73,79,67,0,64,20,84,57,43,12,58,52,61,87,57,46,84,43,59,,,
2019-02-17,76,75,75,84,64,0,80,21,86,49,54,12,56,49,62,87,49,39,79,43,82,,,
2019-02-24,78,79,74,89,68,0,61,21,64,55,33,10,58,47,65,77,58,29,82,53,69,,,
2019-03-03,74,73,71,79,70,0,57,29,77,47,34,10,50,49,68,76,51,37,86,62,88,,,
2019-03-10,73,75,73,71,59,0,62,19,75,50,47,11,52,58,58,78,61,43,76,62,81,,,
2019-03-17,71,77,75,78,54,0,57,20,70,46,16,10,57,80,55,78,43,53,78,51,31,,,
2019-03-24,70,75,70,65,61,0,52,12,58,44,42,9,51,100,55,73,39,59,68,50,39,,,
2019-03-31,75,77,72,80,64,0,50,18,65,46,39,10,45,50,56,77,48,42,75,35,46,,,
2019-04-07,74,76,73,84,63,0,49,13,85,46,42,9,54,49,59,83,50,46,75,46,60,,,
2019-04-14,75,76,74,98,69,0,55,15,59,53,33,10,62,55,57,88,66,51,83,58,87,,,
2019-04-21,75,75,70,90,71,0,51,15,66,42,21,13,56,54,54,84,54,53,77,72,35,,,
2019-04-28,76,76,70,95,81,0,50,16,70,37,45,14,51,54,59,82,63,54,76,44,38,,,
2019-05-05,74,75,73,80,63,0,55,11,69,51,31,10,50,53,52,89,41,40,79,71,51,,,
2019-05-12,73,72,68,76,68,0,55,12,60,51,47,9,57,54,54,94,51,43,78,53,35,,,
2019-05-19,68,73,67,66,58,0,48,17,68,39,21,8,58,46,55,85,53,47,73,100,22,,,
2019-05-26,68,76,67,51,61,0,51,9,79,49,26,10,50,51,56,79,37,54,73,28,20,,,
2019-06-02,70,77,71,53,56,0,57,11,80,43,49,9,51,64,55,68,45,57,70,30,48,,,
2019-06-09,68,79,74,55,64,0,57,11,67,59,41,8,52,53,56,80,39,62,73,30,29,,,
2019-06-16,70,78,72,49,60,0,60,12,76,54,45,10,52,50,51,77,57,65,66,40,48,,,
2019-06-23,71,78,73,52,58,1,56,13,68,51,44,8,49,50,58,75,52,37,76,39,42,,,
2019-06-30,73,76,71,54,62,0,51,12,85,52,13,7,48,54,53,76,39,41,72,42,28,,,
2019-07-07,76,78,72,53,66,0,55,11,75,55,29,8,47,56,61,77,45,43,80,46,57,,,
2019-07-14,76,83,72,53,73,0,52,13,82,55,37,9,70,53,55,79,38,43,76,44,43,,,
2019-07-21,75,82,73,54,82,0,63,24,77,46,14,9,69,49,60,82,52,47,78,37,28,,,
2019-07-28,72,78,72,55,66,1,49,11,83,48,24,8,54,63,61,78,40,50,81,70,29,,,
2019-08-04,71,78,72,63,63,0,54,15,81,56,40,9,62,48,57,76,56,39,72,58,32,,,
2019-08-11,76,80,71,66,66,0,54,17,71,49,47,9,62,47,56,83,46,36,83,66,27,,,
2019-08-18,77,85,70,77,61,0,53,17,79,47,29,9,68,51,59,96,55,62,83,41,36,,,
2019-08-25,77,87,68,76,59,0,52,16,83,43,36,9,51,54,56,91,59,74,75,45,44,,,
2019-09-01,74,100,68,70,60,0,49,11,77,54,33,9,54,51,63,83,45,66,76,27,26,,,
2019-09-08,74,96,69,80,60,1,57,12,68,51,45,11,63,49,100,84,48,68,79,42,23,,,
