time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,96,73,88,82,74,0,70,15,83,59,58,16,73,50,71,84,63,56,80,52,63,,,
2019-01-13,97,74,89,87,64,0,65,24,71,70,33,11,63,39,66,88,51,69,88,52,81,,,
2019-01-20,94,71,86,81,69,0,70,27,79,60,28,12,69,46,62,85,54,52,79,65,75,,,
2019-01-27,91,76,88,88,58,0,72,14,65,61,51,14,71,57,63,78,66,56,78,66,68,,,
2019-02-03,92,77,88,88,66,0,64,22,58,61,28,14,70,56,61,90,48,73,79,87,80,,,
2019-02-10,98,76,89,90,70,0,76,30,72,62,28,14,69,48,55,83,45,68,76,76,79,,,
2019-02-17,99,78,87,86,64,0,82,25,68,62,9,16,63,51,66,85,39,63,80,65,97,,,
2019-02-24,99,80,90,91,76,0,71,27,62,45,37,16,69,49,65,72,58,62,85,53,71,,,
2019-03-03,100,79,90,88,73,0,64,42,63,57,43,14,82,45,63,80,46,45,90,57,100,,,
2019-03-10,95,79,87,89,61,0,63,29,72,50,38,16,61,52,65,82,44,56,84,66,74,,,
2019-03-17,82,79,80,47,58,0,50,16,59,55,34,9,57,63,49,68,38,55,63,43,42,,,
2019-03-24,92,81,85,75,69,0,62,33,61,58,19,12,63,100,67,78,58,60,81,48,57,,,
2019-03-31,94,78,88,87,72,0,55,24,58,56,48,13,89,48,52,80,47,54,77,71,63,,,
2019-04-07,93,76,84,86,71,0,49,24,65,58,24,10,72,46,49,83,53,62,68,49,77,,,
2019-04-14,92,80,91,95,68,0,59,19,66,54,85,12,79,44,65,81,40,67,86,69,74,,,
2019-04-21,94,77,84,90,76,0,61,25,62,51,29,12,67,39,62,85,69,64,74,52,55,,,
2019-04-28,95,79,84,100,79,0,59,16,61,54,58,13,61,54,58,76,39,62,81,89,92,,,
2019-05-05,95,76,80,87,74,0,55,24,57,52,19,11,49,51,62,91,46,71,82,57,73,,,
2019-05-12,91,77,83,80,87,0,53,15,50,54,33,11,75,55,58,81,46,61,77,54,55,,,
2019-05-19,83,77,79,68,68,0,51,13,69,46,23,10,70,45,47,76,52,55,74,70,73,,,
2019-05-26,81,73,75,48,59,0,61,10,64,49,57,11,66,47,51,74,49,51,67,42,57,,,
2019-06-02,83,76,80,49,61,0,64,8,72,58,47,11,66,59,66,76,57,81,72,39,59,,,
2019-06-09,78,77,83,49,52,0,51,13,65,67,52,11,67,47,60,82,36,75,65,64,33,,,
2019-06-16,83,83,87,54,72,0,55,5,68,51,33,11,61,37,55,75,29,67,69,48,57,,,
2019-06-23,84,80,84,51,47,1,56,16,61,52,33,10,62,37,59,73,49,66,75,17,52,,,
2019-06-30,84,76,80,48,52,0,53,14,54,53,38,10,69,38,71,71,48,36,63,57,44,,,
2019-07-07,90,78,85,46,62,0,60,13,52,50,24,10,62,38,61,73,60,53,80,34,48,,,
2019-07-14,89,81,83,51,69,0,66,16,55,48,29,12,77,40,60,70,55,46,69,63,36,,,
2019-07-21,88,81,86,55,66,0,58,22,60,58,44,11,82,37,64,77,49,38,76,57,28,,,
2019-07-28,84,82,87,53,76,0,53,22,58,47,30,8,79,35,63,74,44,57,78,76,36,,,
2019-08-04,85,79,85,55,69,0,52,18,57,57,25,11,69,47,70,75,34,38,75,70,45,,,
2019-08-11,89,81,86,60,73,0,59,21,59,48,29,10,74,44,58,83,52,45,71,52,28,,,
2019-08-18,96,88,80,73,76,0,58,13,64,53,29,12,78,44,57,88,61,71,75,51,51,,,
2019-08-25,95,86,78,79,71,0,60,32,58,61,47,10,73,43,67,88,55,81,79,45,45,,,
2019-09-01,92,100,81,73,72,0,59,18,75,65,18,12,73,45,63,86,49,70,75,66,26,,,
2019-09-08,95,100,81,75,63,1,56,18,59,50,69,14,70,41,100,85,40,82,84,82,27,,,
2019-09-15,96,95,84,79,84,0,53,14,59,51,41,13,69,43,92,85,62,75,100,80,34,,,
2019-09-22,92,88,77,84,80,0,67,17,63,62,18,12,70,41,84,85,50,74,81,56,46,,,
2019-09-29,91,78,81,83,75,0,68,6,56,49,45,12,66,46,74,83,36,61,76,85,40,,,
2019-10-06,91,75,74,79,95,0,65,17,56,49,45,11,72,30,76,81,48,62,70,54,84,,,
2019-10-13,87,75,77,74,76,0,54,18,65,44,49,13,69,37,68,77,51,66,74,57,63,,,
2019-10-20,93,73,73,75,78,0,53,27,64,60,40,13,67,38,65,78,43,71,65,66,79,,,
2019-10-27,94,70,78,81,77,0,65,13,79,49,63,13,57,38,68,84,67,72,72,74,70,,,
2019-11-03,91,71,77,86,69,1,71,19,72,65,53,12,70,43,70,75,47,65,76,100,68,,,
2019-11-10,98,72,77,74,65,0,64,18,60,66,61,12,57,36,69,84,84,63,77,76,84,,,
2019-11-17,92,74,80,78,70,1,61,21,66,58,49,13,75,34,70,88,80,65,79,69,57,,,
2019-11-24,87,66,75,49,61,0,62,7,62,77,26,13,51,36,81,67,74,65,66,81,76,,,
2019-12-01,93,72,86,83,68,0,55,16,69,73,27,12,63,52,73,78,84,65,74,82,51,,,
2019-12-08,95,70,85,82,64,0,63,23,65,82,45,13,76,54,68,77,74,74,73,84,61,,,
2019-12-15,96,68,87,72,64,1,83,18,68,78,9,12,68,60,73,77,90,100,77,67,60,,,
2019-12-22,93,73,86,53,74,0,65,15,80,91,44,12,64,56,76,76,95,49,76,38,48,,,
2019-12-29,93,76,93,54,70,0,73,17,77,64,19,14,75,55,80,77,100,84,81,73,54,,,
2020-01-05,92,73,88,72,85,0,73,19,64,64,31,13,86,53,70,78,80,57,87,47,96,,,
2020-01-12,94,75,89,73,82,1,65,8,68,65,38,14,68,48,75,91,68,52,75,45,68,,,
2020-01-19,92,71,89,69,71,0,68,22,71,54,13,19,73,50,69,79,56,71,76,47,83,,,
2020-01-26,92,74,88,84,78,0,60,13,65,49,64,35,76,57,63,75,60,66,78,48,57,,,
2020-02-02,91,76,84,76,76,3,69,20,63,56,59,22,70,48,66,79,51,96,80,55,85,,,
2020-02-09,90,77,82,75,62,1,65,21,64,55,34,20,59,48,61,72,80,50,80,42,64,,,
2020-02-16,92,81,91,78,63,1,58,23,62,47,50,17,61,52,64,80,48,68,79,60,66,,,
2020-02-23,89,81,91,90,52,2,52,37,80,48,75,28,61,37,71,75,57,39,81,44,59,,,
2020-03-01,84,82,89,80,64,5,58,14,64,48,61,36,72,48,70,74,50,69,82,69,65,,,
2020-03-08,87,73,85,78,58,1,68,26,51,53,65,76,66,35,65,70,67,50,77,36,80,,,
2020-03-15,88,66,79,68,70,1,73,16,77,65,48,100,56,42,58,82,54,49,73,73,74,,,
2020-03-22,90,69,76,51,94,0,68,9,82,62,42,80,48,36,64,73,51,29,73,79,63,,,
2020-03-29,93,72,74,67,86,0,68,12,90,79,42,67,52,29,62,79,49,28,72,62,66,,,
2020-04-05,93,73,79,72,94,0,54,20,70,80,31,64,57,33,58,79,65,28,76,68,69,,,
2020-04-12,94,80,80,69,84,0,67,21,79,83,74,53,51,33,75,85,69,33,76,79,75,,,
2020-04-19,90,85,85,71,74,0,67,26,100,84,100,45,59,35,69,81,66,41,77,53,85,,,
2020-04-26,90,85,83,67,76,0,57,17,75,73,91,30,53,35,60,77,60,23,76,69,62,,,
2020-05-03,90,81,98,68,72,0,57,21,74,71,38,24,54,44,62,79,65,24,72,80,63,,,
2020-05-10,89,86,100,57,68,0,66,22,64,64,31,24,58,42,60,74,72,27,79,72,76,,,
2020-05-17,89,83,95,54,77,0,59,12,75,85,51,22,72,45,52,69,60,33,74,77,74,,,
2020-05-24,85,91,92,49,81,0,67,32,75,72,40,19,86,37,52,68,50,28,72,47,77,,,
2020-05-31,79,85,87,52,70,1,68,64,65,49,34,15,98,47,66,59,47,19,64,48,56,,,
2020-06-07,83,89,95,55,80,0,66,62,75,71,31,16,100,46,59,71,62,36,72,58,58,,,
2020-06-14,82,86,92,53,76,0,66,45,60,62,32,16,68,42,56,61,53,31,66,43,40,,,
