time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,98,82,95,80,70,0,71,24,86,58,67,10,41,50,53,84,56,87,92,64,66,,,
2019-01-13,96,81,89,82,72,0,66,27,78,57,62,9,39,45,52,86,56,74,88,59,82,,,
2019-01-20,88,78,90,79,67,0,58,29,74,54,59,9,36,43,50,83,54,71,87,51,37,,,
2019-01-27,93,78,89,82,65,0,63,32,70,58,64,10,41,48,52,82,55,74,85,67,75,,,
2019-02-03,89,79,88,81,61,0,60,25,67,53,57,11,34,48,49,81,51,73,85,62,88,,,
2019-02-10,96,78,84,84,59,0,62,31,71,53,60,10,36,51,49,83,58,63,87,60,100,,,
2019-02-17,96,83,88,79,66,0,78,30,73,51,63,10,37,50,54,79,54,65,85,67,72,,,
2019-02-24,99,82,86,90,61,0,70,35,69,51,56,10,39,53,53,80,53,68,92,63,66,,,
2019-03-03,100,86,92,88,63,0,58,77,71,54,57,11,38,56,51,80,55,76,100,73,76,,,
2019-03-10,94,83,90,82,60,0,62,29,70,51,61,11,36,58,49,80,52,90,90,64,46,,,
2019-03-17,88,83,91,83,62,0,53,23,71,51,60,10,36,73,48,79,50,77,84,61,52,,,
2019-03-24,89,82,86,79,57,0,52,24,71,46,55,11,38,100,48,80,48,72,80,52,39,,,
2019-03-31,93,80,89,81,66,0,50,22,68,44,56,10,38,46,46,75,50,75,81,60,42,,,
2019-04-07,92,81,86,83,67,0,47,25,66,46,60,10,35,45,46,79,53,74,81,58,33,,,
2019-04-14,90,83,89,89,66,0,53,23,64,49,61,10,36,47,48,82,57,88,91,62,34,,,
2019-04-21,95,84,90,89,70,0,52,23,71,46,55,13,41,49,45,83,55,94,84,61,28,,,
2019-04-28,95,83,90,100,79,0,51,26,69,45,55,13,39,50,48,82,56,88,89,61,31,,,
2019-05-05,94,82,90,92,71,0,56,25,65,56,55,12,39,54,48,82,52,94,92,63,37,,,
2019-05-12,90,83,87,98,69,0,57,27,70,54,55,10,38,52,49,86,48,84,93,66,53,,,
2019-05-19,91,84,83,100,66,1,52,25,73,51,48,10,35,57,48,86,52,80,93,84,61,,,
2019-05-26,91,86,90,77,66,0,55,23,78,51,45,9,38,62,47,86,55,73,86,50,39,,,
2019-06-02,89,83,88,70,64,0,54,18,77,50,58,9,37,77,50,86,49,78,82,54,30,,,
2019-06-09,87,83,87,63,63,0,55,20,68,60,56,9,39,51,46,84,49,83,83,51,42,,,
2019-06-16,88,86,88,60,59,0,55,17,71,52,45,9,40,42,46,85,52,82,80,53,28,,,
2019-06-23,90,81,89,59,56,1,53,18,65,48,53,9,37,43,45,80,45,78,82,45,25,,,
2019-06-30,88,82,85,54,59,0,51,19,71,46,49,8,34,42,44,74,46,83,76,53,21,,,
2019-07-07,93,84,89,57,60,0,55,19,68,51,50,9,39,45,47,79,49,86,88,55,24,,,
2019-07-14,93,87,90,56,74,0,58,25,68,52,49,9,37,45,49,76,49,68,82,58,24,,,
2019-07-21,96,85,92,59,74,0,57,22,69,50,58,8,52,43,51,79,52,64,85,55,33,,,
2019-07-28,93,87,90,56,69,1,52,22,69,48,59,9,40,45,48,78,48,73,89,89,25,,,
2019-08-04,86,84,91,60,67,0,55,21,69,51,56,9,39,42,50,76,47,76,85,89,22,,,
2019-08-11,92,90,92,63,63,0,54,21,69,46,59,9,39,41,51,80,46,67,86,64,27,,,
2019-08-18,92,91,87,70,62,0,51,22,72,47,54,9,39,43,50,82,52,76,85,56,23,,,
2019-08-25,89,90,85,73,64,0,54,21,71,46,56,9,42,41,52,85,57,81,84,55,24,,,
2019-09-01,91,96,84,71,65,0,51,19,74,55,52,9,36,43,50,80,47,84,81,53,28,,,
2019-09-08,92,96,88,77,62,1,54,23,68,47,58,9,38,41,100,83,47,84,81,54,25,,,
2019-09-15,90,100,85,79,62,0,55,23,69,50,60,10,38,45,74,82,51,78,96,52,30,,,
2019-09-22,90,87,80,75,71,0,64,19,71,47,57,10,42,45,71,80,48,84,89,60,37,,,
2019-09-29,87,81,81,78,87,0,60,24,68,43,57,10,37,39,60,82,52,77,81,55,30,,,
2019-10-06,88,77,81,79,100,0,56,22,66,49,57,10,36,36,58,79,48,86,82,51,35,,,
2019-10-13,87,78,80,79,81,1,58,22,66,46,60,10,35,40,56,78,51,83,85,51,32,,,
2019-10-20,90,80,85,78,76,1,53,24,66,51,57,10,38,40,54,82,48,89,81,51,35,,,
2019-10-27,88,73,81,76,75,0,52,21,66,49,61,10,36,41,51,77,53,100,78,57,38,,,
2019-11-03,89,76,82,87,64,1,55,25,69,46,62,10,37,43,53,83,48,75,88,53,28,,,
2019-11-10,89,77,81,76,63,0,54,22,73,48,59,10,36,45,56,79,97,73,84,63,31,,,
2019-11-17,89,81,82,80,64,1,53,24,66,52,63,10,35,44,57,80,97,67,82,53,52,,,
2019-11-24,87,75,80,56,60,0,51,16,70,61,43,8,31,45,60,71,83,73,75,46,72,,,
2019-12-01,87,75,88,78,59,0,51,25,72,63,60,10,36,47,62,78,86,76,79,61,72,,,
2019-12-08,88,72,86,81,57,1,52,26,63,62,59,10,37,61,55,78,80,73,78,54,47,,,
2019-12-15,87,72,87,71,59,1,72,19,67,58,51,9,37,56,54,77,88,72,75,71,44,,,
2019-12-22,91,72,85,53,65,0,55,13,82,69,37,9,30,52,62,74,100,66,81,40,63,,,
2019-12-29,92,78,90,55,65,0,60,17,82,52,41,10,32,51,52,75,91,69,82,39,38,,,
2020-01-05,87,74,88,65,63,0,70,17,70,48,59,11,34,46,51,74,64,68,88,47,37,,,
2020-01-12,86,77,81,70,65,1,52,19,69,47,54,11,36,45,46,71,59,69,83,46,45,,,
2020-01-19,87,80,84,72,66,0,57,25,68,45,67,19,34,51,47,77,56,73,80,42,37,,,
2020-01-26,81,76,79,73,60,0,49,20,64,43,68,33,33,58,45,73,54,68,76,46,30,,,
2020-02-02,85,73,81,74,59,3,58,26,60,41,73,22,33,43,46,72,51,67,76,38,36,,,
2020-02-09,90,76,83,74,59,2,58,28,66,41,66,22,34,46,47,70,51,59,77,40,35,,,
2020-02-16,89,83,86,71,60,1,49,24,68,45,70,17,35,38,49,72,52,63,81,45,34,,,
2020-02-23,85,80,83,86,55,2,47,29,64,44,82,30,36,38,46,79,59,64,78,49,32,,,
2020-03-01,83,80,84,79,60,7,46,33,70,45,71,42,35,41,47,72,59,65,81,45,44,,,
2020-03-08,90,75,85,69,59,2,60,51,70,47,71,69,35,36,45,75,51,58,86,50,67,,,
2020-03-15,84,62,80,66,60,1,61,19,94,68,87,100,35,34,43,81,56,60,80,100,50,,,
2020-03-22,88,63,76,69,62,0,55,19,99,76,78,81,36,33,45,86,58,40,84,91,40,,,
2020-03-29,88,63,80,75,64,0,54,18,100,75,84,70,35,32,45,90,58,35,85,79,29,,,
2020-04-05,97,63,81,74,72,0,55,20,93,93,81,73,33,33,44,93,75,37,93,76,54,,,
2020-04-12,93,71,87,76,67,0,60,22,85,88,90,56,35,34,54,90,80,38,91,70,33,,,
2020-04-19,90,73,88,79,68,0,61,23,93,81,95,46,35,32,51,93,63,57,88,70,29,,,
2020-04-26,94,76,87,79,63,0,57,21,82,76,100,32,37,36,51,88,65,40,91,64,26,,,
2020-05-03,92,79,87,77,65,0,53,25,80,72,85,29,36,36,50,90,65,36,88,65,26,,,
2020-05-10,92,82,88,77,61,0,56,23,81,71,77,28,36,34,50,86,63,36,94,63,29,,,
2020-05-17,89,86,90,75,69,0,54,23,76,70,72,25,35,37,49,83,62,37,87,74,32,,,
2020-05-24,91,88,93,71,66,0,65,40,77,65,68,20,58,40,50,80,62,36,86,55,38,,,
2020-05-31,86,82,87,69,63,1,72,100,72,61,59,18,100,38,46,78,52,38,81,45,36,,,
2020-06-07,85,88,100,65,64,0,59,75,73,79,55,17,66,42,47,75,54,40,84,50,34,,,
2020-06-14,88,87,97,64,65,0,61,53,71,68,60,18,55,35,53,74,53,43,78,48,28,,,
2020-06-21,85,92,95,64,63,1,63,90,75,61,65,21,43,34,50,73,52,50,82,48,29,,,
2020-06-28,85,88,91,60,63,0,68,40,75,61,58,22,40,33,45,73,50,52,81,55,27,,,
2020-07-05,88,89,89,61,65,0,68,41,73,54,64,23,38,35,47,75,51,50,77,50,28,,,
2020-07-12,92,93,92,62,64,0,76,38,72,59,54,24,37,36,47,78,58,53,86,49,29,,,
2020-07-19,87,92,89,61,64,0,61,30,74,60,58,20,39,36,48,77,53,61,85,47,24,,,
2020-07-26,89,92,90,60,64,1,60,35,71,60,59,18,37,37,50,76,61,67,88,50,27,,,
2020-08-02,87,91,87,60,61,1,65,24,70,59,60,16,37,34,50,78,57,68,82,48,25,,,
2020-08-09,86,88,85,64,60,1,59,46,73,58,58,15,36,33,51,84,54,68,81,52,36,,,
2020-08-16,87,87,85,75,62,1,66,32,72,59,51,16,36,32,49,95,56,83,79,52,53,,,
