time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,93,78,87,85,64,0,69,17,69,47,63,11,51,54,62,79,59,54,89,44,51,,False,False
2019-01-13,87,81,82,84,70,0,71,23,72,49,60,12,37,48,58,91,50,68,83,38,100,,False,False
2019-01-20,88,75,84,75,61,0,65,24,73,47,64,9,49,45,61,80,59,52,84,30,76,,False,False
2019-01-27,85,74,80,79,59,0,62,25,66,50,55,12,49,57,54,85,56,74,83,47,87,,False,False
2019-02-03,87,80,81,76,56,0,59,27,55,38,59,11,41,50,55,80,50,62,79,48,50,,False,False
2019-02-10,91,75,79,79,69,0,58,25,68,44,59,11,37,53,51,87,50,62,82,52,76,,False,False
2019-02-17,91,82,91,77,57,0,76,19,75,37,57,10,40,54,55,74,54,58,81,41,73,,False,False
2019-02-24,93,80,84,87,54,0,71,33,66,46,49,10,45,60,60,83,48,62,85,44,90,,False,False
2019-03-03,93,81,83,79,65,0,57,54,64,39,49,12,43,59,56,73,46,69,100,38,72,,False,False
2019-03-10,86,85,82,80,64,0,58,23,61,42,42,11,45,63,52,76,39,98,88,51,48,,False,False
2019-03-17,87,81,77,75,59,0,49,33,66,39,49,10,40,67,51,75,56,81,80,41,39,,False,False
2019-03-24,85,87,87,81,60,0,52,23,64,41,56,11,44,100,53,73,55,80,78,56,36,,False,False
2019-03-31,89,88,85,82,70,0,51,28,71,36,58,9,51,52,50,79,52,72,74,32,48,,False,False
2019-04-07,85,85,85,83,60,0,44,23,57,34,54,12,40,58,49,80,45,90,80,34,52,,False,False
2019-04-14,85,87,83,78,72,0,46,22,54,38,36,10,47,59,54,76,64,85,89,31,55,,False,False
2019-04-21,88,86,81,95,74,0,50,30,62,42,55,10,49,53,48,80,50,88,86,40,58,,False,False
2019-04-28,94,84,82,100,93,0,52,34,61,38,47,12,43,61,53,76,60,100,82,38,57,,False,False
2019-05-05,83,87,84,90,75,0,51,26,62,39,48,10,36,59,55,84,53,86,83,36,51,,False,False
2019-05-12,87,84,81,90,67,0,58,16,63,41,53,11,42,56,53,80,63,73,85,41,56,,False,False
2019-05-19,80,88,78,86,61,1,41,18,59,37,37,9,37,57,45,76,40,71,77,56,55,,False,False
2019-05-26,84,84,80,74,74,0,53,18,67,39,46,10,38,64,51,78,46,65,81,41,56,,False,False
2019-06-02,83,87,82,74,67,0,52,17,62,38,36,10,43,77,55,82,52,90,78,28,48,,False,False
2019-06-09,83,84,76,63,52,0,49,13,73,44,45,9,41,48,54,81,40,68,70,31,53,,False,False
2019-06-16,84,87,83,49,60,0,51,14,74,48,37,8,41,54,54,74,44,69,73,30,60,,False,False
2019-06-23,80,88,78,50,53,1,43,16,59,36,37,9,40,54,49,73,40,62,71,37,48,,False,False
2019-06-30,84,84,77,45,66,0,49,14,65,37,28,8,39,47,45,68,49,60,64,41,52,,False,False
2019-07-07,84,88,80,47,61,0,54,9,62,42,58,9,40,45,48,69,54,81,73,31,39,,False,False
2019-07-14,84,90,77,50,68,0,53,18,67,41,31,8,43,57,46,68,37,58,71,45,53,,False,False
2019-07-21,82,90,83,50,72,0,47,22,64,47,39,9,63,56,53,78,55,62,83,33,54,,False,False
2019-07-28,87,89,83,51,65,1,44,15,57,33,45,8,39,53,52,71,35,61,79,50,46,,False,False
2019-08-04,80,89,80,56,59,0,53,17,62,43,33,9,44,51,49,64,44,66,73,52,47,,False,False
2019-08-11,82,91,83,51,58,0,49,17,56,36,54,8,40,53,43,67,39,60,69,36,44,,False,False
2019-08-18,82,93,80,49,64,0,52,14,71,42,46,8,44,49,54,76,60,74,68,31,55,,False,False
2019-08-25,79,95,78,61,61,0,52,19,67,38,34,8,41,46,50,77,50,89,69,57,42,,False,False
2019-09-01,83,99,79,64,63,0,53,18,68,47,44,9,34,56,60,73,53,74,73,25,60,,False,False
2019-09-08,82,98,79,77,69,1,53,14,73,38,64,10,47,55,100,79,45,91,79,39,42,,False,False
2019-09-15,83,100,74,75,61,0,47,11,55,39,35,10,42,46,79,79,55,89,83,31,31,,False,False
2019-09-22,84,86,75,74,69,0,58,18,54,37,76,11,43,56,73,83,48,72,83,39,34,,False,False
2019-09-29,83,80,73,75,85,0,58,16,61,32,52,13,45,48,63,79,49,73,72,37,48,,False,False
2019-10-06,86,78,73,73,100,0,55,19,64,35,71,10,42,52,63,74,50,86,78,33,61,,False,False
2019-10-13,85,78,72,70,84,1,52,20,63,41,57,9,37,50,67,73,51,80,75,48,50,,False,False
2019-10-20,83,79,75,77,72,1,48,17,60,39,48,11,38,51,55,78,48,73,69,44,45,,False,False
2019-10-27,86,79,75,74,72,0,49,21,60,44,60,10,43,59,56,80,63,91,77,65,54,,False,False
2019-11-03,81,80,75,77,59,3,57,24,69,38,51,10,43,53,57,81,72,61,75,29,56,,False,False
2019-11-10,84,80,78,74,65,0,53,16,66,47,47,10,29,46,68,74,85,62,74,50,58,,False,False
2019-11-17,85,82,80,78,59,1,52,20,64,34,73,10,37,52,58,76,77,54,76,44,46,,False,False
2019-11-24,82,76,79,60,57,0,50,13,63,54,49,8,33,51,72,68,95,61,73,51,58,,False,False
2019-12-01,83,80,82,71,63,0,54,20,65,48,45,10,46,52,76,70,53,65,72,48,91,,False,False
2019-12-08,89,75,82,73,62,1,57,23,68,62,31,10,42,50,62,73,77,74,81,44,66,,False,False
2019-12-15,87,78,86,67,60,1,68,14,78,57,51,9,31,62,63,78,86,62,73,69,76,,False,False
2019-12-22,94,80,90,50,69,0,60,11,82,77,31,10,35,59,69,77,95,57,83,40,41,,False,False
2019-12-29,93,79,91,62,70,0,59,18,90,51,57,12,36,55,65,75,100,60,88,35,49,,False,False
2020-01-05,91,77,86,75,73,0,65,21,79,46,55,11,52,52,64,76,48,62,89,39,47,,False,False
2020-01-12,84,77,86,74,71,1,53,15,74,35,66,12,38,57,57,69,49,75,85,32,65,,False,False
2020-01-19,87,80,86,66,78,0,56,25,71,41,42,17,43,61,59,73,48,74,74,36,46,,False,False
2020-01-26,86,79,82,78,69,0,50,21,64,37,52,26,35,56,54,79,77,57,76,35,38,,False,False
2020-02-02,88,77,83,74,64,4,65,20,70,34,35,20,40,46,54,71,49,58,77,31,56,,False,False
2020-02-09,89,75,82,73,72,2,58,21,66,34,49,19,47,60,61,72,60,62,75,29,46,,False,False
2020-02-16,84,81,87,67,71,1,47,22,67,40,69,15,51,48,60,68,49,63,83,36,40,,False,False
2020-02-23,84,79,82,87,66,2,49,31,54,36,78,30,38,51,53,70,60,59,76,47,41,,False,False
2020-03-01,84,80,83,82,63,5,47,38,59,39,59,46,43,49,60,71,56,61,76,37,44,,False,False
2020-03-08,80,74,76,66,57,1,61,43,60,35,53,71,40,50,54,71,45,55,78,30,42,,False,False
2020-03-15,84,66,76,61,61,1,59,24,86,62,73,100,41,40,52,80,56,58,78,93,40,,False,False
2020-03-22,90,65,77,79,75,0,65,18,93,64,100,80,42,38,54,98,58,38,89,100,42,,False,False
2020-03-29,100,66,79,89,68,0,60,22,100,67,81,69,42,36,61,100,71,40,88,65,39,,False,False
2020-04-05,95,70,84,81,77,1,55,23,97,69,75,66,40,37,52,95,79,30,90,66,44,,False,False
2020-04-12,96,78,88,77,77,0,60,24,94,77,88,51,41,41,54,88,84,33,92,73,47,,False,False
2020-04-19,96,74,88,85,83,0,66,16,91,71,97,43,48,41,65,91,73,48,89,51,49,,False,False
2020-04-26,97,76,86,84,61,0,66,21,93,72,100,29,47,35,59,90,71,39,97,47,50,,False,False
2020-05-03,94,85,88,86,76,0,54,29,78,52,67,29,41,47,56,87,64,39,88,63,55,,False,False
2020-05-10,90,89,86,79,71,0,59,26,81,55,62,26,42,41,62,87,72,33,96,66,60,,False,False
2020-05-17,92,94,90,74,67,0,55,26,77,58,64,23,41,45,50,90,69,31,87,44,48,,False,False
2020-05-24,88,93,83,74,82,0,64,37,70,48,83,19,69,41,59,80,51,41,87,37,54,,False,False
2020-05-31,85,91,91,78,71,1,71,100,71,49,39,18,100,45,62,79,52,42,75,28,64,,False,False
2020-06-07,85,97,95,73,75,1,59,61,71,64,58,17,77,49,60,80,68,36,80,24,51,,False,False
2020-06-14,84,94,100,62,72,0,64,50,67,59,49,15,73,43,55,65,56,34,72,42,41,,False,False
2020-06-21,81,98,89,58,69,1,63,94,69,47,38,18,51,38,52,68,56,46,79,43,59,,False,False
2020-06-28,84,92,89,59,76,1,72,35,71,47,39,19,53,47,47,67,67,46,75,30,77,,False,False
2020-07-05,88,98,87,59,71,1,66,27,70,46,44,19,54,45,58,66,53,59,76,34,73,,False,False
2020-07-12,86,98,86,55,71,1,73,32,76,49,69,21,51,48,52,72,53,41,78,29,53,,False,False
2020-07-19,86,96,89,59,74,1,54,29,61,40,53,17,43,50,53,69,38,47,76,28,57,,False,False
2020-07-26,82,100,83,55,70,1,58,36,65,44,70,17,56,45,49,72,68,55,77,44,57,,False,False
2020-08-02,69,85,74,49,57,1,53,28,56,45,42,14,39,39,57,60,49,56,65,34,77,,False,False
2020-08-09,77,92,81,53,62,1,59,44,61,43,70,15,46,46,60,65,45,57,73,30,47,,False,False
2020-08-16,79,92,86,53,56,1,71,26,59,43,60,14,49,42,57,68,52,83,71,29,48,,False,False
2020-08-23,81,88,79,55,79,1,65,26,63,50,51,14,51,44,57,71,33,57,71,33,74,,False,False
2020-08-30,83,84,83,66,77,1,55,30,56,44,56,14,37,38,52,77,56,73,73,35,44,,False,False
