time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,91,79,95,70,70,2,96,66,88,74,79,12,61,73,60,78,60,48,82,23,68,,,
2019-01-13,90,76,91,71,82,2,83,40,100,69,56,10,64,76,49,82,48,81,85,56,90,,,
2019-01-20,89,72,87,75,64,2,81,42,73,53,44,11,51,58,55,72,59,43,90,45,50,,,
2019-01-27,90,86,94,76,77,3,93,42,73,61,50,11,60,79,58,83,51,53,89,74,100,,,
2019-02-03,93,84,92,78,63,3,85,55,78,46,93,15,60,74,58,73,44,40,80,52,61,,,
2019-02-10,94,84,96,79,71,2,74,45,69,48,81,12,65,66,56,88,54,38,81,47,69,,,
2019-02-17,92,80,93,79,71,2,95,68,85,51,60,12,58,65,61,70,47,67,87,73,88,,,
2019-02-24,100,86,100,76,72,2,93,63,76,71,49,13,69,82,74,90,61,68,84,62,61,,,
2019-03-03,97,76,91,76,88,2,67,100,76,42,67,14,68,72,65,89,63,52,100,56,63,,,
2019-03-10,87,82,89,63,60,2,94,31,54,57,56,11,52,84,55,80,62,73,90,45,52,,,
2019-03-17,89,88,90,80,73,2,58,46,61,48,100,13,71,78,53,86,63,71,86,19,51,,,
2019-03-24,90,83,89,66,66,2,67,55,69,56,95,14,68,100,52,77,48,54,79,38,47,,,
2019-03-31,97,93,91,74,88,2,68,44,50,31,56,14,76,78,61,83,86,47,77,42,61,,,
2019-04-07,88,90,92,65,69,2,58,54,80,50,62,14,70,65,56,85,45,53,83,56,59,,,
2019-04-14,91,97,87,92,70,2,65,32,65,61,46,15,70,72,58,88,62,100,87,66,65,,,
2019-04-21,91,92,89,92,85,2,68,39,66,48,69,15,61,64,56,94,73,94,83,74,53,,,
2019-04-28,93,87,90,100,100,2,63,60,66,46,17,15,57,73,46,78,56,74,90,57,62,,,
2019-05-05,88,85,93,86,62,1,66,36,68,35,78,11,53,70,64,100,77,61,85,45,56,,,
