time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,92,69,83,81,58,0,76,14,82,57,75,11,49,46,59,84,62,66,79,28,49,,False,False
2019-01-13,91,65,79,79,66,0,69,24,84,49,35,14,42,37,54,82,52,60,82,38,86,,False,False
2019-01-20,87,69,82,74,58,0,66,13,77,58,47,10,43,40,60,85,69,57,84,23,93,,False,False
2019-01-27,88,70,77,71,58,0,68,20,90,63,48,13,44,36,61,89,65,59,83,36,100,,False,False
2019-02-03,90,73,75,82,49,0,66,22,69,60,47,11,48,39,65,87,57,65,84,30,78,,False,False
2019-02-10,90,70,72,82,59,0,64,21,82,58,85,11,53,34,56,90,66,48,81,38,77,,False,False
2019-02-17,94,73,83,84,61,0,76,20,84,58,60,11,50,42,71,89,59,52,78,43,99,,False,False
2019-02-24,100,76,80,85,54,0,65,18,83,57,34,13,56,53,57,82,47,57,80,47,68,,False,False
2019-03-03,93,81,82,91,58,0,57,55,78,59,65,14,44,57,63,89,58,51,88,36,69,,False,False
2019-03-10,90,74,76,73,56,0,65,24,68,52,48,14,39,56,69,80,47,60,82,25,50,,False,False
2019-03-17,79,78,76,62,42,0,53,11,63,56,61,10,41,78,60,81,57,72,66,30,26,,False,False
2019-03-24,87,81,80,88,54,0,51,28,69,48,48,13,53,100,58,88,58,71,76,35,33,,False,False
2019-03-31,90,81,80,86,69,0,45,21,68,53,83,10,43,42,54,83,61,77,72,38,36,,False,False
2019-04-07,87,78,78,85,59,0,50,24,68,55,70,11,55,40,58,83,56,51,75,20,53,,False,False
2019-04-14,88,80,79,96,65,0,55,17,64,51,72,14,45,47,62,87,68,54,79,27,39,,False,False
2019-04-21,89,76,73,93,58,0,55,23,66,47,67,12,42,44,54,87,45,73,73,52,49,,False,False
2019-04-28,95,76,77,100,67,0,50,30,64,48,66,11,42,51,68,81,52,93,82,46,48,,False,False
2019-05-05,89,77,73,88,57,0,56,30,78,44,61,11,45,43,58,85,51,64,87,41,50,,False,False
2019-05-12,84,75,70,88,51,0,57,12,66,46,43,11,46,48,59,86,47,65,77,36,63,,False,False
2019-05-19,85,80,72,88,58,0,56,27,64,54,35,9,43,41,55,84,55,50,81,35,77,,False,False
2019-05-26,81,77,72,67,58,0,47,14,65,46,61,10,38,55,60,80,36,78,70,38,78,,False,False
2019-06-02,77,75,69,59,49,0,53,13,64,48,60,10,38,73,54,73,53,51,64,25,38,,False,False
2019-06-09,77,76,73,51,49,0,56,6,48,55,34,9,35,49,54,73,39,56,62,17,50,,False,False
2019-06-16,78,80,79,53,49,0,59,8,68,49,39,9,53,49,62,79,53,70,67,41,58,,False,False
2019-06-23,77,79,72,54,50,1,50,19,71,54,65,9,40,42,56,68,45,62,62,20,62,,False,False
2019-06-30,83,79,69,48,42,0,46,5,61,40,39,7,37,43,60,75,44,61,64,18,59,,False,False
2019-07-07,80,81,74,49,44,0,58,14,51,43,43,8,38,41,54,82,41,75,70,28,28,,False,False
2019-07-14,83,83,74,47,54,0,61,10,64,46,31,11,40,41,60,76,43,48,67,26,57,,False,False
2019-07-21,82,78,68,50,51,0,55,15,80,45,32,7,65,47,55,83,48,48,71,42,33,,False,False
2019-07-28,82,82,71,50,54,1,45,10,67,50,54,8,36,41,58,75,47,71,77,42,29,,False,False
2019-08-04,80,83,75,49,46,0,50,10,63,48,49,7,35,40,62,79,31,53,68,44,29,,False,False
2019-08-11,85,83,75,51,54,0,54,8,64,49,57,9,60,33,59,76,47,48,68,43,41,,False,False
2019-08-18,83,85,78,51,50,0,54,7,74,49,73,7,38,39,58,83,51,59,67,33,43,,False,False
2019-08-25,87,92,70,67,51,0,56,13,85,41,72,9,47,41,60,98,48,80,73,27,38,,False,False
2019-09-01,87,98,69,74,52,0,53,9,89,64,75,10,36,34,59,92,57,88,77,37,33,,False,False
2019-09-08,89,98,75,83,49,1,60,17,72,46,79,12,46,42,100,97,53,92,81,39,60,,False,False
2019-09-15,91,92,76,81,51,0,65,18,78,56,86,12,40,44,81,97,40,89,100,32,51,,False,False
2019-09-22,91,92,77,85,55,0,66,22,61,49,41,10,56,46,79,85,33,100,86,36,54,,False,False
2019-09-29,92,78,78,90,75,0,66,14,69,53,53,15,45,44,83,93,36,79,84,50,67,,False,False
2019-10-06,92,79,75,86,78,0,64,17,75,51,61,13,40,48,80,98,43,57,80,36,56,,False,False
2019-10-13,89,75,72,86,67,1,53,15,62,55,86,12,49,40,70,86,51,73,75,31,42,,False,False
2019-10-20,92,75,75,80,64,1,59,18,62,56,58,12,41,39,75,87,55,78,72,33,50,,False,False
2019-10-27,94,72,76,81,57,1,57,25,71,53,65,12,50,47,73,99,43,92,73,36,54,,False,False
2019-11-03,89,71,73,83,60,2,60,23,68,60,44,12,48,45,70,81,65,55,77,26,42,,False,False
2019-11-10,97,74,76,82,59,0,69,13,70,58,40,14,46,44,69,81,95,76,82,47,56,,False,False
2019-11-17,92,77,81,87,68,1,62,20,61,58,73,13,41,53,73,88,95,76,86,40,39,,False,False
2019-11-24,91,71,75,67,62,0,62,9,85,80,52,10,43,50,87,79,88,63,77,40,65,,False,False
2019-12-01,93,72,81,86,66,1,58,24,76,74,65,11,44,45,91,91,93,74,72,26,39,,False,False
2019-12-08,96,72,79,87,54,0,61,28,66,75,37,11,47,69,74,84,100,74,82,46,46,,False,False
2019-12-15,96,70,82,82,60,1,90,18,88,75,71,11,41,55,70,85,87,77,76,62,35,,False,False
2019-12-22,95,73,82,53,71,0,61,12,100,79,27,11,31,61,76,94,84,77,72,31,35,,False,False
