time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,92,60,91,86,68,0,72,15,74,69,18,9,67,73,64,84,49,57,89,53,53,,False,False
2019-01-13,91,64,86,82,87,0,80,18,75,56,71,10,71,61,53,87,48,48,87,48,65,,False,False
2019-01-20,89,64,87,93,79,0,57,26,78,50,9,11,59,56,57,80,43,47,79,33,48,,False,False
2019-01-27,89,65,84,88,71,0,65,32,76,68,35,16,66,46,72,87,46,54,84,24,49,,False,False
2019-02-03,89,66,86,86,69,0,60,20,76,62,87,12,69,48,61,78,55,53,85,32,81,,False,False
2019-02-10,90,61,81,83,78,0,68,32,56,51,86,14,82,41,56,82,47,56,85,28,100,,False,False
2019-02-17,92,65,88,86,82,0,72,26,83,40,70,12,80,53,67,87,56,47,89,61,86,,False,False
2019-02-24,97,67,87,99,76,0,68,34,84,58,43,11,67,64,69,81,41,49,78,37,83,,False,False
2019-03-03,89,70,84,89,72,0,50,29,70,57,18,11,72,83,60,77,28,45,85,52,51,,False,False
2019-03-10,86,68,84,91,59,0,64,23,75,43,80,10,64,75,57,73,53,56,85,52,52,,False,False
2019-03-17,82,72,75,75,55,0,42,26,64,46,71,8,81,71,53,70,29,79,78,42,38,,False,False
2019-03-24,86,74,80,72,59,0,44,12,75,50,36,8,69,100,59,76,47,50,71,42,38,,False,False
2019-03-31,86,77,76,94,76,0,49,23,55,44,44,10,77,48,61,73,36,45,87,23,42,,False,False
2019-04-07,85,72,80,92,86,0,50,35,64,45,54,9,81,57,61,84,44,51,76,47,51,,False,False
2019-04-14,85,72,80,89,73,0,49,27,65,45,37,9,78,59,52,89,54,50,97,30,48,,False,False
2019-04-21,89,73,79,94,68,0,53,27,52,54,100,8,67,59,55,69,29,72,85,39,42,,False,False
2019-04-28,88,71,76,93,75,0,49,9,65,48,54,11,77,49,57,80,60,80,83,67,39,,False,False
2019-05-05,87,69,79,86,68,0,46,23,57,53,71,9,75,46,56,92,40,57,81,57,33,,False,False
2019-05-12,89,74,81,91,81,0,61,29,50,47,97,8,69,54,50,81,54,62,82,38,57,,False,False
2019-05-19,89,79,79,95,82,0,53,17,67,42,18,8,72,60,63,87,35,64,84,56,65,,False,False
2019-05-26,84,73,74,72,69,0,52,14,95,52,18,6,81,66,59,87,31,50,77,42,53,,False,False
2019-06-02,84,72,72,60,66,0,60,9,50,51,70,10,70,95,63,85,36,64,76,42,49,,False,False
2019-06-09,80,76,77,52,66,0,45,28,51,54,52,7,62,49,42,78,51,50,72,37,33,,False,False
2019-06-16,83,74,75,53,55,0,55,20,69,45,53,6,73,39,67,66,30,59,65,47,41,,False,False
2019-06-23,81,76,76,54,59,1,44,28,62,40,26,7,72,40,62,66,35,53,77,65,36,,False,False
2019-06-30,82,75,73,60,65,0,47,17,76,53,18,9,79,43,50,67,20,85,66,23,33,,False,False
2019-07-07,85,79,88,60,75,0,66,29,66,39,18,7,69,69,74,80,32,39,79,14,35,,False,False
2019-07-14,88,76,79,61,75,0,46,32,61,50,54,7,78,40,61,87,42,66,77,28,35,,False,False
2019-07-21,89,79,82,55,88,0,65,18,68,51,55,10,77,31,61,74,38,71,78,59,38,,False,False
2019-07-28,83,81,83,58,76,1,52,12,57,50,55,8,72,45,67,71,26,61,84,63,26,,False,False
2019-08-04,84,81,84,61,64,0,58,21,71,42,45,9,73,43,62,73,27,46,87,72,46,,False,False
2019-08-11,90,79,77,58,75,0,65,20,96,51,18,9,72,44,67,78,42,40,82,52,31,,False,False
2019-08-18,86,84,76,60,78,0,51,20,61,41,44,7,81,56,65,90,40,76,77,47,27,,False,False
2019-08-25,87,91,81,66,68,0,57,17,74,53,60,9,72,41,57,82,34,86,81,28,32,,False,False
2019-09-01,82,95,75,73,73,0,49,25,77,73,34,8,73,50,69,81,33,87,77,32,41,,False,False
2019-09-08,87,100,76,71,72,1,51,11,55,55,51,8,62,50,100,92,24,94,77,36,45,,False,False
2019-09-15,90,95,81,77,66,0,56,14,64,50,59,10,77,56,83,90,40,82,100,50,49,,False,False
2019-09-22,85,81,77,73,87,0,63,36,51,53,83,10,80,52,89,86,30,69,86,27,47,,False,False
2019-09-29,86,69,75,77,89,0,55,16,63,48,41,9,70,47,68,85,35,69,80,31,57,,False,False
2019-10-06,84,67,69,87,96,0,58,11,64,43,49,9,71,44,79,77,38,74,78,27,61,,False,False
2019-10-13,87,70,74,79,82,1,58,25,69,47,59,12,62,48,68,91,33,64,80,18,62,,False,False
2019-10-20,89,63,77,82,69,0,52,8,70,47,34,9,78,43,72,85,28,100,75,22,58,,False,False
2019-10-27,88,67,78,78,85,0,51,14,76,49,49,8,63,38,64,71,59,76,69,26,65,,False,False
2019-11-03,83,64,80,87,59,2,60,13,63,46,41,9,69,51,72,79,31,65,76,22,39,,False,False
2019-11-10,92,63,80,87,64,0,66,30,81,50,57,9,60,44,73,90,77,68,77,100,42,,False,False
2019-11-17,88,67,79,81,58,0,57,14,63,59,25,9,61,45,76,88,87,61,81,71,48,,False,False
2019-11-24,87,62,79,60,60,0,59,8,75,67,8,8,71,58,76,72,60,67,77,39,77,,False,False
2019-12-01,87,60,81,80,73,0,56,13,57,59,58,11,67,47,72,70,82,81,70,48,65,,False,False
2019-12-08,91,58,79,83,64,0,57,5,67,56,92,8,74,57,76,76,64,61,80,58,59,,False,False
2019-12-15,94,64,79,77,77,0,87,3,69,59,93,9,73,81,73,87,69,64,81,80,57,,False,False
2019-12-22,100,63,83,58,76,0,62,12,79,75,46,8,74,81,82,83,100,64,94,44,58,,False,False
2019-12-29,99,69,91,58,79,0,63,9,83,76,17,10,57,81,61,81,75,67,91,32,67,,False,False
2020-01-05,90,63,87,73,81,0,80,13,72,48,48,9,63,67,73,83,70,57,86,39,75,,False,False
2020-01-12,87,63,84,82,74,1,54,10,73,50,92,11,62,50,57,76,61,47,81,65,84,,False,False
2020-01-19,89,63,81,84,80,0,60,18,78,51,48,17,64,46,61,82,52,69,85,26,50,,False,False
2020-01-26,86,63,81,83,76,0,52,13,57,55,56,23,62,58,73,80,42,75,80,46,51,,False,False
2020-02-02,89,59,81,77,75,3,73,10,64,42,55,19,52,68,65,73,36,27,80,37,67,,False,False
2020-02-09,86,63,78,82,78,1,65,18,65,44,55,18,62,45,66,74,37,49,80,41,48,,False,False
2020-02-16,88,69,80,77,74,1,45,28,71,48,55,16,75,30,51,76,38,52,89,21,46,,False,False
2020-02-23,88,69,83,100,66,1,46,15,70,58,46,26,54,55,57,74,41,63,83,61,41,,False,False
2020-03-01,83,68,81,77,56,3,46,35,71,51,76,35,66,42,48,78,44,51,80,24,47,,False,False
2020-03-08,85,65,82,72,76,2,54,39,64,47,67,71,70,59,50,75,45,57,81,24,46,,False,False
2020-03-15,84,59,87,58,78,1,67,31,86,64,74,100,71,39,59,84,45,49,73,55,40,,False,False
2020-03-22,87,59,75,64,83,0,63,17,89,74,58,75,72,38,50,90,43,30,82,77,43,,False,False
2020-03-29,95,61,76,76,87,0,62,14,100,76,49,62,63,39,58,88,58,32,86,38,47,,False,False
2020-04-05,94,67,76,80,72,0,59,36,81,81,73,67,65,46,72,91,45,28,86,35,47,,False,False
2020-04-12,94,71,77,68,77,0,67,19,89,90,79,48,80,44,65,97,53,35,81,42,47,,False,False
2020-04-19,90,77,78,85,84,0,67,12,80,75,70,37,73,40,61,90,50,48,73,49,49,,False,False
2020-04-26,90,78,82,81,75,0,55,23,82,76,64,27,79,48,71,90,78,36,82,64,57,,False,False
2020-05-03,89,78,89,75,71,0,56,16,66,69,78,23,75,39,68,100,71,20,74,38,53,,False,False
2020-05-10,86,84,85,80,69,0,60,7,85,64,36,23,75,32,69,87,38,23,87,57,60,,False,False
2020-05-17,87,82,100,65,84,0,59,21,79,58,80,19,77,50,68,73,49,37,78,77,76,,False,False
2020-05-24,79,88,89,68,65,0,62,21,77,59,44,15,74,42,65,69,50,35,71,43,57,,False,False
2020-05-31,82,82,81,73,66,1,68,100,56,61,21,15,92,61,59,65,35,27,65,26,69,,False,False
2020-06-07,83,80,90,67,69,0,63,67,76,60,36,14,100,58,72,78,45,30,100,15,73,,False,False
2020-06-14,85,82,88,64,76,0,68,56,63,55,44,15,74,38,50,64,35,35,78,31,70,,False,False
2020-06-21,79,83,83,58,70,0,66,87,63,62,76,16,76,37,53,71,31,48,74,16,53,,False,False
2020-06-28,82,85,82,62,76,0,74,37,61,60,53,18,69,34,69,63,46,48,74,28,59,,False,False
2020-07-05,80,83,84,56,68,0,61,47,56,45,99,20,81,33,52,71,48,39,70,32,45,,False,False
2020-07-12,81,85,80,64,63,0,67,41,68,59,31,19,81,49,60,70,59,42,82,21,38,,False,False
2020-07-19,82,84,78,55,63,0,66,31,73,59,63,15,92,53,64,72,45,60,77,25,46,,False,False
2020-07-26,85,83,81,62,78,0,65,23,60,47,39,16,60,39,70,75,42,28,76,38,51,,False,False
