time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,90,67,92,82,72,0,66,25,82,53,79,9,63,51,61,85,56,100,87,63,57,,,
2019-01-13,88,68,90,86,77,0,67,13,86,49,57,9,63,46,62,84,55,78,87,43,84,,,
2019-01-20,89,69,87,83,68,0,63,24,83,50,58,9,57,45,58,84,52,77,87,61,69,,,
2019-01-27,91,67,87,79,71,0,67,30,81,62,52,9,60,49,58,81,68,64,88,57,100,,,
2019-02-03,90,74,92,90,63,0,62,36,73,56,62,11,60,56,64,86,38,76,84,63,55,,,
2019-02-10,92,71,87,89,62,0,68,25,74,49,63,9,61,55,65,79,64,55,87,37,56,,,
2019-02-17,93,76,90,86,73,0,78,29,77,49,70,10,47,61,65,81,57,59,86,70,50,,,
2019-02-24,96,79,94,87,65,0,62,31,80,50,53,11,65,58,69,86,52,79,91,72,47,,,
2019-03-03,94,78,97,89,66,0,57,55,72,54,45,12,54,59,63,81,52,82,100,78,55,,,
2019-03-10,89,79,86,79,61,0,62,24,67,48,69,11,50,63,62,82,42,93,85,64,53,,,
2019-03-17,88,78,86,82,61,0,51,18,62,40,39,9,55,77,66,78,52,89,80,62,35,,,
2019-03-24,84,77,85,64,62,0,53,21,72,46,50,10,58,100,53,73,43,82,74,52,38,,,
2019-03-31,88,76,87,79,72,0,51,19,71,42,37,9,60,53,61,75,51,74,81,72,35,,,
2019-04-07,87,76,86,89,69,0,49,20,64,49,39,9,49,49,55,83,45,84,79,60,51,,,
2019-04-14,92,82,90,100,72,0,50,24,69,48,54,10,59,49,60,84,53,71,97,63,52,,,
2019-04-21,93,79,82,89,79,0,53,33,68,39,65,10,60,52,57,83,43,77,85,58,53,,,
2019-04-28,95,77,90,97,90,1,56,17,70,39,55,10,64,59,63,81,48,86,87,57,56,,,
2019-05-05,84,76,85,84,68,1,50,26,66,50,50,9,56,51,56,79,45,80,84,71,50,,,
2019-05-12,86,77,81,91,63,0,55,22,64,46,37,8,53,55,60,77,45,79,86,48,51,,,
2019-05-19,82,77,81,87,64,1,45,15,70,42,60,7,52,57,57,83,41,60,85,72,69,,,
2019-05-26,80,77,82,60,70,0,50,11,73,52,30,7,59,58,60,80,53,85,73,40,74,,,
2019-06-02,77,76,79,54,62,0,51,23,66,42,41,7,47,71,60,72,35,78,67,45,47,,,
2019-06-09,79,76,79,49,62,0,54,13,67,55,30,7,47,51,59,75,39,74,68,76,55,,,
2019-06-16,80,77,83,52,63,0,60,15,57,45,33,7,55,48,54,77,44,86,68,32,67,,,
2019-06-23,77,79,84,52,54,1,48,17,58,45,47,8,49,46,55,74,38,70,76,55,47,,,
2019-06-30,80,76,78,48,66,0,52,11,75,39,32,6,56,48,55,68,33,63,68,55,52,,,
2019-07-07,80,82,79,53,60,0,50,10,68,42,52,7,51,53,60,68,37,72,74,58,29,,,
2019-07-14,83,85,85,50,68,0,50,25,74,43,44,6,56,48,56,72,29,70,72,48,44,,,
2019-07-21,83,83,84,50,74,0,55,22,64,42,23,8,83,51,59,71,35,64,77,57,33,,,
2019-07-28,85,82,82,50,66,1,51,20,68,48,58,8,55,49,63,76,37,71,82,80,25,,,
2019-08-04,84,80,83,60,58,0,55,21,75,42,53,8,47,55,63,81,45,75,75,67,26,,,
2019-08-11,96,93,90,73,63,0,57,17,87,49,39,9,64,51,68,93,52,70,84,57,38,,,
2019-08-18,100,98,95,86,75,0,58,19,86,42,39,9,61,52,68,98,59,86,95,58,49,,,
2019-08-25,89,92,79,77,78,0,52,17,80,42,78,9,61,49,70,89,40,88,87,59,35,,,
2019-09-01,87,100,79,76,69,0,54,16,72,53,52,9,54,46,63,89,45,89,80,47,36,,,
2019-09-08,87,98,83,79,67,1,56,17,66,43,52,8,48,48,100,91,49,89,86,44,29,,,
2019-09-15,88,98,81,85,67,0,52,20,67,45,55,9,51,46,85,85,44,81,97,53,24,,,
2019-09-22,86,83,76,79,71,1,65,25,61,46,63,10,59,45,79,80,40,73,92,43,34,,,
2019-09-29,84,71,79,78,83,0,57,15,72,41,69,10,56,41,68,79,50,75,80,50,38,,,
2019-10-06,86,69,73,75,98,0,56,20,60,41,48,9,48,40,66,77,46,79,76,65,48,,,
2019-10-13,82,67,73,67,69,1,54,20,67,40,61,8,53,46,65,74,38,66,75,52,45,,,
2019-10-20,86,69,78,75,74,1,52,28,76,43,43,8,48,48,66,75,45,83,75,51,49,,,
2019-10-27,88,69,79,78,74,1,58,20,68,47,46,8,49,46,71,81,54,86,76,59,53,,,
2019-11-03,85,68,79,86,68,2,58,25,71,48,58,9,60,43,70,81,52,78,80,72,39,,,
2019-11-10,88,69,78,82,73,1,57,22,61,49,60,9,46,39,74,76,84,73,84,91,55,,,
2019-11-17,92,75,88,82,77,1,58,17,68,50,61,11,59,46,73,87,100,95,86,75,40,,,
2019-11-24,89,68,84,62,64,0,55,13,73,70,50,8,52,49,78,76,80,87,71,57,38,,,
2019-12-01,89,64,86,80,63,0,58,19,76,59,55,10,54,51,74,79,69,81,75,51,32,,,
2019-12-08,90,65,83,87,62,1,59,23,68,55,61,9,52,54,71,78,79,70,81,85,39,,,
2019-12-15,90,66,84,77,69,1,78,15,73,59,52,9,57,58,71,79,77,78,78,85,49,,,
2019-12-22,88,69,93,52,79,0,56,14,83,75,42,8,44,51,78,78,92,65,79,51,34,,,
2019-12-29,95,69,93,58,78,0,65,15,98,61,30,10,59,59,68,77,81,80,87,61,45,,,
2020-01-05,90,71,85,67,70,0,70,19,83,51,41,9,60,49,66,79,57,79,95,56,42,,,
2020-01-12,90,68,88,76,78,1,57,16,77,45,76,9,54,45,64,78,69,69,83,52,47,,,
2020-01-19,91,70,95,84,71,0,58,37,86,46,49,16,57,51,60,78,57,79,83,45,46,,,
