time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,84,68,82,74,71,0,71,18,86,52,37,10,63,67,63,75,48,73,86,35,64,,,
2019-01-13,81,70,78,74,69,0,76,17,78,47,43,11,52,58,68,78,48,73,82,47,69,,,
2019-01-20,82,65,76,67,70,0,63,20,82,51,32,11,57,61,56,73,59,61,84,58,80,,,
2019-01-27,80,68,79,73,66,0,71,18,70,64,35,13,51,58,58,69,41,54,78,41,100,,,
2019-02-03,82,70,78,75,73,0,68,24,79,50,32,11,45,56,58,76,42,63,81,50,61,,,
2019-02-10,84,71,76,78,63,0,68,25,78,49,25,11,58,60,60,73,37,54,84,60,66,,,
2019-02-17,84,73,79,76,72,0,80,27,89,50,34,11,60,63,60,71,47,60,79,58,66,,,
2019-02-24,89,77,81,78,59,0,69,22,76,44,44,11,43,69,62,73,40,44,87,52,62,,,
2019-03-03,87,73,80,73,59,0,65,48,71,55,43,11,44,69,62,71,39,54,89,83,77,,,
2019-03-10,78,73,74,64,61,0,65,18,70,52,39,10,52,61,54,72,41,69,82,63,63,,,
2019-03-17,80,78,78,74,61,0,61,19,62,45,37,11,56,74,56,68,46,93,78,61,40,,,
2019-03-24,81,76,75,76,54,0,67,19,69,45,31,9,56,100,66,74,40,67,76,55,51,,,
2019-03-31,77,72,72,58,78,0,57,15,72,43,28,10,53,60,55,60,51,60,66,48,46,,,
2019-04-07,81,73,74,75,67,0,56,16,76,44,44,9,48,61,48,70,41,60,76,44,52,,,
2019-04-14,83,75,81,89,66,0,56,18,71,42,25,10,56,58,59,70,55,44,86,79,68,,,
2019-04-21,83,78,75,78,68,0,57,22,71,38,45,11,34,60,57,74,34,72,77,85,60,,,
2019-04-28,87,74,75,90,69,0,57,23,69,47,17,11,47,62,53,70,41,77,85,64,64,,,
2019-05-05,79,70,74,79,57,0,65,19,65,50,19,10,43,64,50,70,32,80,81,66,49,,,
2019-05-12,78,74,70,73,65,0,60,21,67,46,35,8,56,62,52,72,45,69,83,56,47,,,
2019-05-19,75,75,70,67,55,2,51,19,80,39,30,8,52,62,49,66,33,58,78,99,48,,,
2019-05-26,76,76,71,53,61,0,53,12,78,47,24,8,44,66,48,68,34,43,73,39,56,,,
2019-06-02,75,72,75,52,56,0,62,15,78,38,23,8,45,72,52,74,32,58,73,21,58,,,
2019-06-09,74,74,71,48,60,0,61,9,79,55,34,9,49,63,53,63,32,64,67,33,49,,,
