time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,95,79,85,78,85,0,78,15,75,56,84,12,84,51,67,93,72,64,75,70,33,,,
2019-01-13,93,82,82,84,73,0,76,15,78,50,84,15,69,58,73,99,48,65,81,46,46,,,
2019-01-20,89,76,77,89,78,0,72,18,59,48,54,15,59,51,68,92,58,63,77,53,46,,,
2019-01-27,84,78,79,86,74,0,75,16,66,48,71,15,60,61,70,86,52,52,74,67,50,,,
2019-02-03,92,81,82,91,76,0,63,19,57,48,65,14,63,54,65,89,59,91,84,49,40,,,
2019-02-10,94,80,80,90,75,0,72,27,66,46,69,16,54,59,58,93,48,65,80,66,43,,,
2019-02-17,93,84,81,87,78,0,94,33,69,43,45,14,62,60,70,91,58,51,79,67,63,,,
2019-02-24,94,89,83,92,78,0,74,25,68,47,85,12,61,58,70,83,44,42,84,77,57,,,
2019-03-03,92,83,79,70,76,0,69,39,69,43,67,13,48,62,66,85,53,56,87,66,52,,,
2019-03-10,92,88,84,90,73,0,71,17,79,41,50,12,52,68,60,93,57,72,86,56,41,,,
2019-03-17,92,86,81,85,70,0,56,30,90,44,92,15,60,77,65,83,33,77,77,53,22,,,
2019-03-24,91,88,84,85,60,0,66,25,69,44,50,12,61,100,60,84,42,54,75,47,24,,,
2019-03-31,100,81,83,93,84,0,60,18,80,41,58,12,58,62,59,89,57,45,74,47,45,,,
2019-04-07,94,84,78,94,90,0,60,20,64,42,51,14,56,57,67,84,47,54,79,50,50,,,
2019-04-14,89,82,79,90,74,0,58,23,74,47,91,13,56,58,60,86,64,59,82,81,50,,,
2019-04-21,92,86,82,83,77,0,60,9,55,44,51,13,54,63,62,83,53,70,78,65,25,,,
2019-04-28,95,87,80,100,94,0,59,19,68,47,80,13,50,60,65,89,57,84,79,86,30,,,
2019-05-05,93,83,87,87,82,0,63,12,60,48,50,12,52,66,64,92,50,59,85,73,53,,,
2019-05-12,89,85,75,86,80,0,67,14,68,44,29,11,62,63,64,94,60,68,86,86,23,,,
2019-05-19,86,82,78,79,73,0,58,16,66,43,54,12,65,61,63,84,50,66,96,100,24,,,
2019-05-26,85,82,77,59,71,0,58,13,68,43,33,12,58,69,58,79,36,55,71,53,15,,,
2019-06-02,85,80,80,58,76,0,64,19,69,43,57,11,49,74,65,84,45,78,66,64,38,,,
2019-06-09,85,84,78,55,71,0,64,11,72,54,41,10,52,61,58,83,39,74,65,35,15,,,
2019-06-16,84,85,80,54,70,0,68,14,73,48,59,11,56,58,68,82,37,73,72,73,26,,,
2019-06-23,86,87,79,55,70,1,56,16,64,50,66,12,54,62,60,73,41,54,75,52,32,,,
2019-06-30,91,87,79,54,80,0,58,23,68,41,33,13,56,62,67,78,36,60,76,59,20,,,
2019-07-07,92,78,73,57,71,0,72,16,72,49,29,9,64,57,72,79,44,68,81,35,100,,,
2019-07-14,92,82,82,55,96,0,69,27,82,50,60,9,57,59,58,85,62,43,76,78,37,,,
2019-07-21,91,88,84,57,79,0,58,19,72,51,39,12,82,63,58,80,52,45,79,76,28,,,
2019-07-28,88,85,83,59,85,1,63,11,72,53,26,11,49,56,63,84,45,68,85,59,27,,,
2019-08-04,88,85,88,68,78,0,64,18,60,47,38,13,62,63,60,76,49,74,75,79,19,,,
2019-08-11,89,87,82,70,71,0,66,13,67,45,42,13,67,60,59,88,33,48,79,80,21,,,
2019-08-18,92,92,80,81,59,0,59,23,70,42,58,10,65,53,64,94,44,62,84,75,29,,,
2019-08-25,92,89,76,76,78,0,63,15,83,51,69,13,53,55,64,90,44,70,79,60,31,,,
2019-09-01,88,100,74,73,77,0,61,12,73,53,56,12,56,54,72,86,39,88,79,65,18,,,
2019-09-08,89,98,78,83,69,1,63,27,69,40,64,13,50,53,100,100,48,78,80,66,16,,,
2019-09-15,91,98,79,79,75,0,56,14,59,43,87,14,65,54,86,91,54,72,100,90,25,,,
2019-09-22,90,91,75,75,78,1,74,21,61,40,78,13,63,57,88,76,44,54,81,86,11,,,
2019-09-29,87,78,76,81,88,1,64,29,50,40,63,13,56,56,73,81,45,51,79,65,19,,,
2019-10-06,89,79,70,77,95,2,68,20,58,39,70,12,64,51,64,84,42,72,74,67,37,,,
2019-10-13,87,76,73,71,90,4,64,15,64,45,67,14,70,56,76,83,48,84,77,73,47,,,
2019-10-20,89,75,71,77,90,1,56,23,69,47,99,12,48,54,70,84,43,100,73,57,60,,,
2019-10-27,91,72,71,82,75,1,68,12,79,45,54,14,58,52,65,85,50,92,73,79,51,,,
2019-11-03,85,75,70,87,65,1,69,15,73,50,92,12,47,58,73,86,43,64,78,44,40,,,
2019-11-10,90,74,69,80,71,1,62,18,61,47,61,13,52,51,69,85,82,83,77,68,55,,,
