time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,96,78,100,78,76,0,74,24,94,56,64,10,46,64,55,81,54,76,90,67,57,,,
2019-01-13,89,77,97,76,82,0,73,27,82,49,40,11,45,60,60,87,56,67,86,72,91,,,
2019-01-20,93,74,96,68,84,0,63,32,88,49,54,10,47,61,54,87,54,68,87,53,75,,,
2019-01-27,88,77,92,76,65,0,63,40,77,53,54,12,42,61,57,91,55,61,86,51,82,,,
2019-02-03,90,79,92,77,68,0,59,39,70,48,58,11,50,62,52,92,59,78,86,62,55,,,
2019-02-10,96,79,93,80,68,0,63,30,74,49,54,11,37,59,50,87,60,67,87,56,83,,,
2019-02-17,92,80,95,63,66,0,76,32,81,42,59,10,43,64,56,85,65,63,80,62,65,,,
2019-02-24,100,80,95,80,69,0,76,37,80,46,47,10,40,68,58,92,45,65,89,63,90,,,
2019-03-03,96,80,94,78,64,0,52,84,77,51,55,11,46,71,55,83,53,66,100,64,70,,,
2019-03-10,94,84,93,74,69,0,62,36,76,46,52,10,48,76,51,92,54,95,94,60,53,,,
2019-03-17,92,88,97,77,77,0,54,30,75,49,63,10,48,90,50,91,55,85,81,66,41,,,
2019-03-24,96,90,93,80,65,0,56,27,75,44,60,10,45,100,52,90,58,77,83,52,40,,,
2019-03-31,97,89,99,85,78,0,55,31,78,43,45,13,52,66,55,85,49,90,86,48,49,,,
2019-04-07,89,86,89,86,78,0,54,21,70,42,48,11,46,67,49,87,55,71,88,41,54,,,
2019-04-14,87,84,93,77,66,0,52,23,78,41,53,10,41,62,46,87,59,95,95,54,61,,,
2019-04-21,91,85,93,92,73,0,53,29,79,38,63,11,40,68,46,88,48,91,89,61,64,,,
2019-04-28,91,84,92,100,83,0,57,31,82,44,60,10,41,67,50,87,55,86,91,67,55,,,
2019-05-05,86,79,91,89,80,0,52,28,73,44,47,11,42,71,50,91,55,100,91,79,54,,,
2019-05-12,87,81,93,88,74,0,54,23,72,45,67,10,43,69,49,91,53,84,90,62,58,,,
2019-05-19,85,83,88,85,69,1,49,31,64,35,46,10,40,69,54,84,50,78,88,70,60,,,
2019-05-26,83,86,89,69,67,0,52,20,75,40,40,10,41,75,49,87,46,66,78,52,52,,,
2019-06-02,83,87,91,68,67,0,53,22,72,45,31,9,41,84,48,88,40,76,76,47,50,,,
2019-06-09,82,87,86,64,63,0,50,26,74,56,40,8,40,67,46,89,52,72,72,42,52,,,
2019-06-16,85,86,96,56,66,0,58,26,92,48,40,9,43,62,51,85,40,77,78,59,67,,,
2019-06-23,82,85,87,52,65,1,54,22,73,37,59,9,46,63,50,85,43,76,75,52,57,,,
2019-06-30,87,83,84,49,59,0,49,22,80,37,37,8,38,60,43,73,40,73,72,52,55,,,
2019-07-07,88,88,92,51,67,0,54,19,72,42,51,8,44,62,48,77,49,71,77,51,45,,,
2019-07-14,87,88,89,54,71,0,58,31,78,36,40,8,38,65,54,79,54,61,76,56,62,,,
2019-07-21,89,90,94,53,73,0,52,25,81,36,39,8,62,69,53,84,44,63,79,58,57,,,
2019-07-28,88,94,92,57,69,1,55,24,82,37,48,8,45,61,55,82,48,68,85,69,53,,,
2019-08-04,87,93,94,57,65,0,58,20,75,40,47,8,45,66,56,75,37,69,80,100,50,,,
2019-08-11,89,94,95,56,67,0,56,17,75,43,47,9,43,64,54,77,47,62,80,70,44,,,
2019-08-18,86,92,95,56,68,0,50,22,84,38,39,9,43,64,53,77,49,62,78,46,54,,,
2019-08-25,84,94,88,57,72,0,55,18,78,37,32,10,45,61,53,82,52,76,76,45,48,,,
2019-09-01,84,100,86,63,77,0,53,20,81,58,44,8,39,64,57,79,50,80,74,60,58,,,
2019-09-08,87,100,87,72,69,1,56,23,77,38,49,10,42,65,100,86,47,79,77,46,45,,,
2019-09-15,89,97,85,71,73,1,54,26,72,41,61,10,41,65,75,89,43,87,91,51,37,,,
2019-09-22,86,90,85,76,76,1,70,22,71,39,66,11,48,63,75,85,44,69,88,49,41,,,
2019-09-29,87,83,81,72,89,0,61,29,73,37,62,10,47,59,68,86,43,77,81,64,55,,,
2019-10-06,87,80,82,74,94,0,57,22,77,41,50,11,43,63,63,88,39,85,85,57,70,,,
