time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,87,65,100,88,99,0,71,20,85,49,54,7,38,43,56,86,44,66,92,42,32,,,
2019-01-13,81,65,95,89,86,0,69,27,80,62,62,8,40,41,50,85,41,57,91,50,36,,,
2019-01-20,77,63,80,77,76,0,62,24,81,63,43,8,35,39,51,82,40,46,87,59,59,,,
2019-01-27,77,67,83,74,78,0,67,18,79,69,49,8,40,36,51,83,38,44,87,77,100,,,
2019-02-03,77,65,81,79,85,0,59,19,63,58,46,7,48,39,51,80,44,49,90,53,76,,,
2019-02-10,79,67,78,80,73,1,64,32,68,52,34,8,40,32,48,84,43,44,87,49,63,,,
2019-02-17,78,68,82,79,79,0,73,20,67,58,73,8,42,38,50,75,39,35,83,50,71,,,
2019-02-24,86,67,81,83,68,0,64,30,67,52,48,8,63,46,60,80,39,47,87,69,64,,,
2019-03-03,84,70,79,80,67,0,53,51,72,53,23,8,37,39,58,86,42,46,95,53,67,,,
2019-03-10,82,69,82,77,74,0,59,31,71,59,56,8,36,44,52,85,46,58,90,49,52,,,
2019-03-17,75,76,79,86,76,0,47,18,65,54,49,8,36,63,53,81,39,67,83,49,23,,,
2019-03-24,77,77,82,74,77,0,52,27,59,51,56,7,36,100,53,81,45,51,76,67,24,,,
2019-03-31,82,75,78,83,82,0,51,17,67,51,72,7,32,53,48,81,47,65,87,34,28,,,
2019-04-07,81,71,79,88,79,0,52,23,72,56,52,8,51,43,50,81,43,60,84,41,77,,,
2019-04-14,77,77,80,96,72,0,58,23,62,50,60,9,36,41,53,82,44,75,98,60,33,,,
2019-04-21,80,74,79,93,82,0,53,22,67,50,70,8,28,57,45,86,43,70,85,62,42,,,
2019-04-28,83,74,82,100,96,0,53,32,71,52,50,9,33,46,48,88,40,83,94,72,34,,,
2019-05-05,79,72,77,94,76,0,55,16,60,50,58,8,35,44,53,82,42,72,91,51,40,,,
2019-05-12,76,75,77,93,77,0,57,20,66,55,35,7,33,46,49,79,44,75,90,68,46,,,
2019-05-19,79,74,77,97,70,1,53,23,70,47,39,7,31,47,50,81,38,71,85,85,49,,,
2019-05-26,73,75,76,73,77,0,52,14,60,53,39,7,33,53,52,89,35,70,82,46,41,,,
2019-06-02,73,76,80,64,69,0,53,11,65,46,45,7,29,67,51,79,29,65,74,44,42,,,
2019-06-09,72,75,78,52,71,0,53,12,70,63,60,6,29,50,53,80,40,55,72,51,52,,,
2019-06-16,74,79,80,58,64,0,54,18,69,56,41,6,32,41,48,75,29,69,76,43,45,,,
2019-06-23,73,76,82,51,70,1,55,13,65,44,43,6,30,39,46,76,31,75,79,44,50,,,
2019-06-30,77,76,77,57,68,0,54,19,70,46,41,6,29,36,54,70,40,61,77,33,62,,,
2019-07-07,79,79,80,53,69,0,54,17,66,48,53,7,31,49,53,78,36,67,80,52,41,,,
2019-07-14,79,81,81,58,90,0,56,28,65,53,40,6,41,46,56,82,30,60,78,62,79,,,
2019-07-21,77,82,78,53,74,0,55,23,69,50,60,7,53,41,49,80,32,74,88,38,34,,,
2019-07-28,78,84,80,54,80,1,55,24,68,57,51,7,37,38,65,80,42,77,89,73,35,,,
2019-08-04,79,80,83,57,72,0,55,19,81,50,72,7,29,44,56,79,33,89,81,98,41,,,
2019-08-11,79,84,83,54,86,0,52,15,62,50,75,6,36,40,55,77,35,76,83,66,39,,,
2019-08-18,78,84,80,53,66,0,50,15,67,43,49,7,30,40,59,77,37,78,83,52,33,,,
2019-08-25,77,87,77,56,68,0,50,15,69,52,54,6,33,34,58,91,40,91,77,49,38,,,
2019-09-01,75,95,75,67,79,0,51,12,67,63,39,6,29,37,55,87,28,96,77,36,41,,,
2019-09-08,82,100,78,78,68,1,58,19,66,55,61,8,32,43,100,92,35,96,80,55,50,,,
2019-09-15,78,97,80,82,77,0,53,11,68,47,60,7,34,40,74,95,36,100,98,54,41,,,
2019-09-22,78,81,74,78,82,0,64,22,63,48,52,7,35,41,73,81,41,89,88,53,35,,,
2019-09-29,81,69,74,80,92,0,60,30,60,45,48,8,33,41,64,89,29,85,82,45,49,,,
2019-10-06,79,69,74,78,99,0,73,20,61,51,52,8,31,38,57,87,30,70,79,51,55,,,
2019-10-13,78,65,75,72,94,1,57,20,65,51,47,8,29,38,60,85,47,57,80,65,38,,,
2019-10-20,85,73,79,83,100,1,59,23,74,49,59,8,32,40,58,88,39,67,90,60,39,,,
