time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,63,60,69,59,45,0,52,18,66,51,100,12,59,29,76,71,50,74,68,16,51,,False,False
2019-01-13,65,62,70,64,64,0,76,28,81,51,25,13,60,24,69,76,38,50,64,40,70,,False,False
2019-01-20,62,60,69,63,67,0,52,28,72,43,58,15,53,26,67,77,56,47,67,11,71,,False,False
2019-01-27,58,63,68,63,68,0,67,26,81,53,43,15,63,24,73,65,51,51,65,21,89,,False,False
2019-02-03,61,61,65,66,46,0,70,23,69,40,63,15,57,25,69,79,40,88,70,24,56,,False,False
2019-02-10,65,63,63,66,55,0,53,45,66,51,72,17,59,23,73,71,33,31,67,21,64,,False,False
2019-02-17,64,67,71,71,62,0,82,33,61,44,19,16,57,21,76,75,44,43,65,18,93,,False,False
2019-02-24,67,72,67,71,59,0,60,41,64,45,58,11,55,25,74,75,53,42,75,41,76,,False,False
2019-03-03,66,69,65,63,41,0,63,30,66,42,44,15,62,36,70,68,39,39,76,27,84,,False,False
2019-03-10,59,68,66,43,51,0,61,16,65,53,19,12,54,33,59,70,32,40,66,40,73,,False,False
2019-03-17,57,68,70,66,61,0,54,26,55,38,30,13,60,42,75,64,39,49,63,29,30,,False,False
2019-03-24,60,70,65,64,54,0,57,29,62,39,59,14,50,59,70,68,47,43,62,29,43,,False,False
2019-03-31,65,69,66,66,63,0,60,36,61,44,34,13,39,30,71,78,39,51,71,34,58,,False,False
2019-04-07,64,62,64,73,54,0,56,38,70,43,30,12,55,29,68,76,57,30,64,40,78,,False,False
2019-04-14,61,66,67,71,56,0,47,21,65,41,31,11,54,24,57,77,33,53,64,33,100,,False,False
2019-04-21,62,66,63,66,68,0,55,30,57,40,90,12,73,29,53,69,38,56,65,35,39,,False,False
2019-04-28,63,67,71,72,64,0,55,24,63,51,49,14,57,25,68,70,29,63,67,38,42,,False,False
2019-05-05,63,66,65,67,54,0,66,14,81,45,44,12,73,25,50,66,28,53,72,37,69,,False,False
2019-05-12,60,66,62,58,57,0,51,10,64,42,10,11,61,26,62,79,43,44,63,48,33,,False,False
2019-05-19,57,66,63,52,67,0,54,12,54,40,5,11,57,23,45,74,35,48,60,39,31,,False,False
2019-05-26,56,62,61,40,45,0,57,12,55,45,29,10,58,31,46,66,30,36,57,24,22,,False,False
2019-06-02,59,65,67,42,70,0,59,12,80,39,34,12,57,36,47,72,35,74,58,18,49,,False,False
2019-06-09,54,65,62,43,66,0,55,23,63,47,19,10,61,28,45,66,35,72,56,18,23,,False,False
2019-06-16,57,69,68,42,52,0,63,14,69,49,10,9,65,24,44,63,35,69,55,19,48,,False,False
2019-06-23,57,67,63,40,65,1,61,19,62,38,15,13,50,21,42,67,43,39,55,29,48,,False,False
