time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,89,63,95,98,52,0,71,9,73,50,44,9,45,41,71,84,53,63,72,39,36,,,
2019-01-13,89,68,85,77,62,0,69,9,72,46,54,8,40,35,65,90,29,69,81,29,47,,,
2019-01-20,87,65,89,85,52,0,56,9,78,38,32,10,31,36,81,99,43,64,72,66,53,,,
2019-01-27,85,68,89,87,68,0,53,14,79,50,32,11,38,46,62,93,29,47,67,28,53,,,
2019-02-03,85,64,86,70,63,0,55,9,65,50,53,12,48,36,65,85,34,64,85,57,83,,,
2019-02-10,88,67,78,78,56,0,64,22,90,34,74,16,53,29,83,82,28,42,72,9,72,,,
2019-02-17,87,70,87,83,70,0,74,13,69,42,21,12,48,36,79,83,43,44,79,38,64,,,
2019-02-24,93,71,84,82,72,0,62,13,64,35,63,12,43,48,68,73,42,46,73,28,100,,,
2019-03-03,93,71,91,89,58,0,60,45,58,40,43,10,42,44,59,76,55,88,84,67,77,,,
2019-03-10,86,79,83,76,60,0,51,36,72,57,85,11,42,35,76,73,40,66,82,86,37,,,
2019-03-17,79,83,85,80,63,0,51,23,71,39,33,9,58,38,59,74,40,57,74,67,29,,,
2019-03-24,84,80,80,69,58,0,49,13,60,49,97,11,33,53,68,95,40,50,70,77,29,,,
2019-03-31,81,80,80,81,50,0,49,27,58,43,43,11,35,42,63,80,37,38,80,68,28,,,
2019-04-07,86,81,78,92,60,0,52,14,50,40,44,8,47,40,55,90,38,48,84,29,33,,,
2019-04-14,84,75,74,94,48,0,51,19,81,47,34,9,37,50,65,84,54,72,86,60,33,,,
2019-04-21,84,80,78,90,59,0,54,18,59,48,66,10,43,36,50,82,38,93,76,89,38,,,
2019-04-28,85,76,76,100,70,0,48,32,67,43,65,10,36,56,51,94,44,58,85,59,43,,,
2019-05-05,79,77,83,95,58,0,48,27,68,32,32,11,56,51,69,90,23,71,81,67,30,,,
2019-05-12,82,82,73,78,64,0,49,18,62,45,43,9,52,20,78,85,35,67,73,38,41,,,
2019-05-19,80,77,75,88,64,0,49,9,55,49,42,8,55,54,62,81,26,54,80,48,42,,,
2019-05-26,82,73,76,67,50,0,51,22,54,33,21,11,55,51,60,86,46,59,69,28,34,,,
2019-06-02,82,77,73,63,67,0,49,0,64,38,64,9,44,45,63,93,34,51,61,66,45,,,
2019-06-09,75,79,79,65,40,0,46,22,64,40,11,7,37,29,63,95,34,61,62,57,33,,,
2019-06-16,84,85,78,63,57,0,54,14,68,51,43,7,49,31,70,85,37,55,76,29,54,,,
2019-06-23,81,80,79,55,52,1,51,27,58,30,54,8,33,25,66,79,37,66,80,29,47,,,
2019-06-30,83,83,79,59,74,0,49,9,56,42,43,6,56,40,52,78,29,43,69,29,47,,,
2019-07-07,87,84,76,52,58,0,53,27,65,55,54,7,59,33,42,72,40,66,87,48,43,,,
2019-07-14,85,82,83,59,71,0,54,27,43,43,11,5,54,52,85,69,35,46,73,77,45,,,
2019-07-21,88,93,80,49,70,0,51,24,45,39,100,7,46,46,78,74,33,49,81,20,31,,,
2019-07-28,87,86,79,60,49,1,44,14,53,44,67,5,51,47,68,72,21,44,76,40,29,,,
2019-08-04,82,90,90,59,63,0,56,9,89,40,45,7,43,36,80,90,35,58,67,89,40,,,
2019-08-11,85,90,85,59,46,0,53,27,76,50,22,9,49,31,65,81,29,58,71,68,50,,,
2019-08-18,83,93,85,69,67,0,46,22,65,47,43,6,53,29,86,70,40,66,79,68,30,,,
2019-08-25,81,100,81,74,60,0,49,4,78,39,42,7,50,27,66,84,40,82,68,38,31,,,
2019-09-01,82,100,79,67,51,0,57,26,87,52,31,5,41,32,70,98,41,100,72,27,35,,,
2019-09-08,85,98,78,74,59,1,55,22,69,38,31,8,36,42,83,83,27,75,72,46,34,,,
2019-09-15,91,96,91,86,65,0,49,4,70,48,61,10,62,30,80,95,30,77,100,82,40,,,
2019-09-22,83,85,71,70,53,0,69,9,62,42,51,6,50,35,90,86,24,78,79,45,51,,,
2019-09-29,84,73,73,73,64,0,57,17,75,42,31,11,31,15,60,81,38,58,79,46,52,,,
2019-10-06,82,71,77,69,72,0,55,21,68,53,71,7,31,15,79,91,43,80,79,45,68,,,
2019-10-13,81,72,72,73,57,1,52,4,58,35,50,9,55,38,65,90,24,63,71,45,44,,,
2019-10-20,84,69,74,92,51,0,49,13,61,42,30,9,35,46,74,78,38,71,86,27,52,,,
2019-10-27,84,67,75,82,66,0,48,25,58,41,91,6,50,22,65,85,35,71,77,63,60,,,
2019-11-03,79,67,77,84,47,1,59,21,58,53,50,8,53,35,66,83,19,93,75,36,50,,,
2019-11-10,82,66,78,78,46,0,56,8,82,35,99,8,25,37,58,93,74,61,74,18,43,,,
2019-11-17,81,68,83,74,58,0,56,13,57,60,60,10,46,57,72,86,100,60,80,18,41,,,
2019-11-24,83,64,74,60,55,0,66,25,73,73,69,6,31,67,90,76,53,66,69,71,55,,,
2019-12-01,85,64,79,82,45,0,52,21,49,67,50,8,29,78,91,84,67,84,55,71,40,,,
2019-12-08,83,62,79,74,43,0,56,17,58,53,60,9,36,49,77,80,60,76,79,54,47,,,
2019-12-15,85,66,78,70,60,0,77,4,63,58,30,7,50,54,84,92,68,67,78,81,36,,,
2019-12-22,93,68,83,54,65,0,60,14,78,67,33,7,55,100,56,82,59,27,80,79,34,,,
2019-12-29,95,64,87,72,59,0,66,22,88,53,74,8,48,61,62,85,74,73,87,48,47,,,
2020-01-05,84,63,83,84,78,0,64,12,100,55,59,8,41,32,65,76,58,43,92,35,52,,,
2020-01-12,86,62,86,79,55,1,48,16,69,51,57,8,44,25,74,81,30,46,84,59,62,,,
2020-01-19,87,72,94,84,72,0,54,45,60,37,77,17,69,38,69,79,45,58,84,35,30,,,
2020-01-26,82,65,87,81,58,0,51,16,66,32,48,22,46,41,72,96,33,36,67,17,35,,,
2020-02-02,85,68,78,73,57,3,64,12,56,43,38,16,39,37,68,75,56,50,82,34,59,,,
2020-02-09,82,69,90,78,63,1,57,12,61,43,19,14,35,42,79,81,43,40,79,51,45,,,
2020-02-16,85,75,82,81,45,1,51,20,72,44,47,13,55,35,76,61,45,60,80,8,42,,,
2020-02-23,80,72,81,81,52,1,43,12,55,36,28,23,54,35,58,100,32,43,79,25,44,,,
2020-03-01,83,71,91,82,51,3,48,16,48,43,92,35,61,28,77,80,52,45,85,49,34,,,
2020-03-08,85,69,86,75,59,1,60,19,51,32,92,72,43,31,57,84,46,42,72,16,46,,,
2020-03-15,82,59,80,53,60,1,58,4,79,48,36,100,54,20,56,94,31,39,69,56,36,,,
2020-03-22,92,63,77,74,59,0,64,15,54,79,35,86,46,19,79,88,45,38,65,100,35,,,
2020-03-29,97,64,85,82,58,0,62,29,94,56,69,62,52,38,82,95,49,27,84,70,38,,,
2020-04-05,91,72,83,85,62,1,56,11,63,65,44,60,37,32,57,91,43,35,87,72,42,,,
2020-04-12,100,80,91,85,72,0,66,18,79,87,70,45,55,22,100,93,73,41,96,24,41,,,
2020-04-19,90,82,80,80,62,0,60,4,89,83,78,39,57,38,74,98,42,55,84,31,40,,,
2020-04-26,89,86,89,76,64,0,58,18,70,49,60,23,66,15,53,83,32,42,76,77,47,,,
2020-05-03,86,85,88,83,65,0,55,18,75,64,68,22,32,31,68,78,44,17,70,54,48,,,
2020-05-10,87,90,100,79,68,1,57,22,63,60,52,21,45,27,73,83,49,35,85,39,40,,,
2020-05-17,83,85,91,70,65,0,50,18,65,45,26,19,49,21,84,84,45,37,72,78,58,,,
2020-05-24,77,89,83,60,66,0,58,19,74,43,72,15,51,41,80,63,40,23,71,24,42,,,
2020-05-31,78,88,82,62,57,2,66,87,63,37,34,11,93,47,49,79,37,25,66,0,50,,,
2020-06-07,82,89,91,71,62,0,56,78,74,48,17,13,82,25,68,68,31,27,75,55,53,,,
2020-06-14,80,88,90,61,72,0,58,56,70,51,45,13,100,32,74,75,29,30,76,32,53,,,
2020-06-21,77,92,81,52,42,0,55,100,65,47,27,16,47,42,57,65,42,36,80,33,47,,,
2020-06-28,80,87,81,60,59,0,69,27,59,52,37,16,41,26,52,66,27,28,75,57,60,,,
2020-07-05,81,90,80,56,70,0,68,43,68,42,46,19,44,30,73,77,62,33,76,41,49,,,
2020-07-12,80,91,81,64,60,0,74,16,63,40,38,19,56,43,80,81,48,42,68,42,37,,,
2020-07-19,82,98,76,51,46,0,59,20,56,48,38,17,47,29,66,64,36,38,77,34,44,,,
2020-07-26,81,93,80,64,52,1,62,40,59,41,9,16,58,23,78,81,49,57,88,43,42,,,
2020-08-02,82,93,77,53,71,1,68,40,69,36,47,14,47,16,69,83,28,31,79,25,43,,,
2020-08-09,81,93,84,60,36,0,63,47,68,43,65,14,42,38,67,77,32,31,70,41,35,,,
2020-08-16,78,90,85,64,60,1,67,70,66,38,38,13,50,33,96,77,30,58,66,25,40,,,
2020-08-23,84,94,89,77,73,1,75,15,75,49,64,13,61,31,98,83,32,55,78,41,43,,,
2020-08-30,82,79,79,84,76,1,59,42,65,52,81,10,45,25,73,90,34,40,76,16,36,,,
2020-09-06,83,78,79,77,76,1,56,27,71,60,54,12,47,31,59,83,34,44,88,65,43,,,
