time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,95,74,93,93,70,0,73,19,94,61,35,11,59,56,71,81,72,85,89,56,68,n/a,False,False
2019-01-13,91,71,93,86,73,0,68,18,81,51,38,11,56,59,70,80,53,70,85,58,66,n/a,False,False
2019-01-20,88,68,84,82,66,0,59,22,85,50,34,11,50,59,66,77,60,60,79,46,66,n/a,False,False
2019-01-27,84,68,80,83,64,0,63,24,77,54,53,12,48,53,62,74,59,67,82,63,69,n/a,False,False
2019-02-03,87,73,84,85,61,0,61,23,72,49,46,13,56,59,64,76,48,76,83,60,51,n/a,False,False
2019-02-10,98,75,89,91,65,0,66,25,77,51,43,14,56,57,66,76,46,73,90,58,59,n/a,False,False
2019-02-17,99,79,96,91,67,0,83,26,84,52,49,14,59,61,71,81,64,58,88,64,77,n/a,False,False
2019-02-24,95,77,90,95,66,0,65,27,70,49,45,12,51,65,71,79,55,67,88,64,70,n/a,False,False
2019-03-03,91,77,87,86,62,0,58,47,75,49,39,11,49,66,66,72,51,67,97,62,67,n/a,False,False
2019-03-10,85,71,86,80,63,0,58,22,72,51,38,11,48,62,63,77,56,91,86,63,52,n/a,False,False
2019-03-17,85,75,82,86,61,0,52,22,72,42,34,10,47,80,61,73,46,80,78,53,39,n/a,False,False
2019-03-24,82,70,84,76,65,0,52,20,65,43,49,10,50,100,58,73,62,74,75,62,39,n/a,False,False
2019-03-31,92,72,82,90,69,0,53,17,63,42,58,9,52,59,58,70,55,79,78,63,56,n/a,False,False
2019-04-07,94,78,92,98,77,0,49,17,68,45,49,12,60,59,64,86,63,83,88,54,69,n/a,False,False
2019-04-14,92,75,91,93,65,0,53,18,73,51,47,10,54,56,59,81,62,74,88,59,79,n/a,False,False
2019-04-21,83,71,79,81,69,0,47,20,67,41,27,10,52,52,56,70,58,86,75,60,44,n/a,False,False
2019-04-28,88,72,83,100,72,0,47,18,64,43,41,10,50,56,61,79,56,91,80,68,40,n/a,False,False
2019-05-05,84,71,85,91,70,0,52,19,68,46,50,11,50,59,64,72,62,71,86,59,45,n/a,False,False
2019-05-12,86,74,83,87,68,0,50,13,67,47,27,9,46,59,65,75,49,72,85,56,38,n/a,False,False
2019-05-19,82,73,78,89,69,1,48,18,67,39,23,9,49,62,57,77,54,73,83,89,30,n/a,False,False
2019-05-26,83,72,82,70,60,0,48,12,71,45,36,10,47,65,55,73,48,67,76,53,35,n/a,False,False
2019-06-02,83,73,81,62,69,0,51,11,81,46,43,10,52,91,65,80,49,95,72,54,49,n/a,False,False
2019-06-09,81,71,77,57,66,0,55,11,69,60,43,8,54,57,55,72,47,81,70,54,44,n/a,False,False
2019-06-16,82,72,82,54,54,0,58,13,70,49,25,9,51,50,55,72,54,67,69,48,44,n/a,False,False
2019-06-23,79,73,78,55,64,1,49,20,65,46,32,8,51,54,56,67,48,54,73,51,27,n/a,False,False
2019-06-30,83,71,78,51,58,0,54,10,73,42,21,8,45,55,53,68,44,71,69,52,40,n/a,False,False
2019-07-07,84,74,82,56,68,0,53,15,69,47,31,9,50,57,54,69,54,73,80,53,46,n/a,False,False
2019-07-14,84,73,81,57,76,0,57,20,69,50,43,8,53,55,52,70,51,65,72,53,33,n/a,False,False
2019-07-21,84,75,81,55,72,0,53,23,75,45,30,9,66,56,59,71,51,58,76,61,35,n/a,False,False
2019-07-28,84,76,85,55,67,1,52,16,70,51,46,9,47,51,57,71,44,61,84,80,37,n/a,False,False
2019-08-04,83,76,81,59,68,0,54,19,74,50,42,8,54,51,52,69,46,73,76,79,34,n/a,False,False
2019-08-11,85,76,81,61,70,0,58,14,73,44,39,9,53,55,58,77,40,61,76,59,40,n/a,False,False
2019-08-18,83,82,84,66,61,0,54,15,71,44,34,9,50,51,57,76,43,71,80,51,48,n/a,False,False
2019-08-25,84,82,77,73,60,0,54,21,73,45,44,9,45,42,59,76,47,81,77,59,41,n/a,False,False
2019-09-01,85,92,75,72,68,0,50,15,81,61,47,9,46,45,64,75,55,86,73,58,71,n/a,False,False
2019-09-08,88,100,80,92,69,1,57,18,78,48,36,11,58,47,100,83,52,89,84,52,31,n/a,False,False
2019-09-15,88,95,76,84,68,0,55,15,68,47,41,10,55,48,86,77,57,89,100,42,28,n/a,False,False
2019-09-22,87,81,73,87,74,0,61,18,68,42,39,12,53,46,83,82,58,74,88,61,24,n/a,False,False
2019-09-29,88,70,76,82,86,0,55,18,66,43,38,11,47,45,72,74,41,72,81,50,37,n/a,False,False
2019-10-06,84,68,69,84,89,1,54,17,68,44,42,11,50,41,72,73,49,80,77,58,47,n/a,False,False
2019-10-13,85,64,76,81,73,1,56,19,66,41,38,10,52,46,71,74,55,74,78,53,65,n/a,False,False
2019-10-20,87,68,75,85,72,1,56,19,73,44,44,10,51,45,64,73,53,80,75,46,63,n/a,False,False
2019-10-27,86,65,75,83,74,1,55,15,71,46,39,10,49,46,62,75,55,87,75,50,69,n/a,False,False
2019-11-03,83,65,74,86,60,2,57,17,69,48,49,10,54,48,67,77,49,73,80,59,53,n/a,False,False
2019-11-10,87,65,74,80,65,0,58,18,70,47,43,10,47,42,68,73,100,67,79,66,74,n/a,False,False
2019-11-17,88,66,76,87,60,1,52,21,68,55,46,10,50,50,73,74,84,71,82,54,51,n/a,False,False
2019-11-24,92,69,84,66,64,0,59,14,70,68,39,10,44,52,77,71,100,77,77,45,48,n/a,False,False
2019-12-01,91,70,85,88,65,0,59,20,76,65,54,12,58,56,82,78,90,81,79,57,49,n/a,False,False
2019-12-08,87,63,81,80,58,0,53,19,66,64,50,10,57,59,73,74,84,68,78,75,64,n/a,False,False
2019-12-15,94,70,87,75,64,1,86,15,77,61,43,11,54,58,77,76,93,100,78,71,51,n/a,False,False
2019-12-22,89,66,84,52,71,0,57,10,86,80,28,10,42,63,78,75,95,60,75,45,45,n/a,False,False
2019-12-29,97,74,100,62,70,0,69,15,100,67,32,11,53,65,75,79,99,82,86,54,58,n/a,False,False
2020-01-05,100,72,90,82,68,0,78,17,93,51,51,12,66,60,68,76,73,75,98,47,58,n/a,False,False
2020-01-12,88,69,83,81,76,1,59,22,79,46,35,11,56,54,67,74,66,75,83,54,66,n/a,False,False
2020-01-19,82,67,86,76,69,0,58,23,81,43,48,19,52,57,61,71,63,68,81,49,56,n/a,False,False
2020-01-26,82,67,81,77,61,0,52,18,67,46,43,24,51,62,64,68,53,60,75,47,51,n/a,False,False
2020-02-02,83,66,79,77,71,3,66,20,65,40,45,18,46,48,62,68,56,66,79,43,78,n/a,False,False
2020-02-09,83,67,83,83,60,2,58,19,74,41,54,18,49,46,60,67,44,51,76,42,62,n/a,False,False
2020-02-16,91,75,91,79,66,2,54,25,77,48,47,16,56,49,66,72,60,62,86,46,100,n/a,False,False
2020-02-23,86,72,86,96,61,3,47,24,69,44,58,24,53,45,65,71,63,58,82,62,55,n/a,False,False
2020-03-01,82,70,80,84,60,7,52,27,67,48,54,38,44,49,67,65,61,57,81,52,58,n/a,False,False
2020-03-08,76,66,78,70,54,1,59,27,69,45,45,64,47,43,55,63,46,55,76,65,46,2.0,False,False
2020-03-15,80,56,72,58,59,1,61,16,85,58,47,100,46,41,53,72,58,55,71,70,47,32.0,False,False
2020-03-22,84,58,74,72,70,0,56,13,96,66,65,85,44,41,54,79,56,41,72,100,46,255.0,False,False
2020-03-29,86,60,68,78,62,0,55,16,91,65,70,65,51,38,55,79,61,32,74,74,43,1040.0,False,False
2020-04-05,86,63,74,74,67,0,54,14,89,71,87,64,47,38,54,81,72,33,80,68,47,2585.0,False,False
2020-04-12,86,68,75,69,66,0,64,15,81,82,77,51,49,38,67,75,77,36,79,74,62,4520.0,False,False
2020-04-19,91,75,87,85,78,0,64,18,97,77,100,45,49,41,67,84,78,66,85,58,58,6493.0,False,False
2020-04-26,92,77,83,76,70,0,64,17,88,66,100,29,51,42,62,77,71,47,83,67,53,8830.0,False,False
2020-05-03,84,71,80,69,66,0,53,18,81,71,66,26,55,43,56,72,67,36,74,52,54,11664.0,False,False
2020-05-10,82,73,76,69,63,0,54,16,80,64,64,24,47,43,60,69,60,37,80,59,41,14764.0,False,False
2020-05-17,84,76,93,63,76,0,53,16,84,67,59,23,42,47,59,71,56,34,78,91,74,18512.0,False,False
2020-05-24,84,78,96,65,77,0,61,24,78,59,42,17,69,46,59,67,70,40,79,42,72,23222.0,False,False
2020-05-31,78,72,84,63,69,1,67,70,70,52,42,16,100,53,58,63,55,39,66,57,46,28589.0,False,False
2020-06-07,79,78,94,62,64,1,59,71,71,70,37,17,81,48,59,63,50,39,75,41,58,35546.0,False,False
2020-06-14,82,76,89,62,71,0,61,48,75,60,37,17,86,45,57,66,55,40,71,49,69,44119.0,False,False
2020-06-21,78,77,84,59,69,1,58,100,71,56,37,19,61,47,59,60,56,45,71,53,46,52801.0,False,False
2020-06-28,82,75,83,57,69,0,72,35,69,55,38,18,57,41,58,64,64,47,70,48,44,62142.0,False,False
2020-07-05,81,76,82,59,70,0,70,36,73,55,33,20,50,42,54,62,55,42,69,44,49,72983.0,False,False
2020-07-12,82,80,82,59,65,0,77,29,70,55,34,19,51,50,58,62,50,48,71,49,42,85701.0,False,False
2020-07-19,84,77,83,58,68,0,61,19,75,56,36,17,52,49,58,65,61,44,73,60,50,99778.0,False,False
2020-07-26,79,80,83,60,65,1,62,26,72,53,25,17,54,43,57,63,59,63,76,53,50,112713.0,False,False
2020-08-02,79,76,82,64,69,1,65,15,71,50,31,15,47,42,65,62,54,54,74,47,67,125219.0,False,False
2020-08-09,80,73,80,60,70,1,64,37,81,57,35,16,52,44,61,69,55,54,75,62,50,136218.0,False,False
2020-08-16,87,76,80,83,71,1,65,23,81,56,33,14,55,46,59,94,66,83,72,51,47,144952.0,False,False
2020-08-23,90,73,77,90,73,1,69,33,79,61,45,13,60,41,61,92,63,66,79,47,46,155113.0,False,False
2020-08-30,88,70,83,93,79,1,58,29,75,56,38,14,54,38,66,94,62,65,73,60,38,166127.0,False,False
2020-09-06,87,74,82,90,79,1,60,23,77,66,43,13,57,41,59,96,83,80,79,48,47,176901.0,False,False
2020-09-13,88,68,77,99,68,1,54,24,78,66,34,13,55,38,61,100,66,71,80,49,54,184936.0,False,False
2020-09-20,82,69,76,92,66,2,51,24,75,60,49,13,47,41,59,92,59,67,76,42,46,193581.0,False,False
2020-09-27,79,68,75,80,56,3,90,24,66,48,47,13,47,37,51,81,63,65,68,38,42,207380.0,False,False
2020-10-04,81,66,73,76,64,3,84,28,67,52,46,13,44,43,47,72,61,69,74,50,41,217496.0,False,False
2020-10-11,75,64,72,63,58,3,56,22,57,53,36,12,44,43,81,65,56,66,73,38,45,231471.0,False,False
2020-10-18,72,64,72,60,57,4,64,22,54,44,33,12,45,36,62,62,56,58,65,40,35,246028.0,False,False
2020-10-25,75,62,72,59,100,4,61,29,55,48,45,12,45,41,60,67,86,57,65,48,54,260099.0,False,False
2020-11-01,66,53,61,53,66,100,100,28,49,48,37,10,36,45,51,57,59,43,58,45,36,276692.0,False,False
2020-11-08,76,63,75,62,55,10,90,31,67,100,38,13,49,50,56,63,74,49,85,26,51,293339.0,False,False
2020-11-15,72,61,74,60,57,3,63,23,55,82,39,14,45,45,60,63,75,42,67,47,37,312235.0,False,False
2020-11-22,72,63,72,53,56,1,58,15,70,90,33,11,44,45,60,60,81,44,67,48,40,336775.0,False,False
2020-11-29,75,62,75,61,60,1,58,17,63,74,44,14,44,47,60,64,81,52,65,66,48,361778.0,False,False
2020-12-06,76,61,74,61,62,1,57,14,68,74,35,17,48,43,56,63,84,51,70,58,40,394990.0,False,False
2020-12-13,75,62,77,58,62,1,54,11,72,80,47,18,53,50,54,67,100,56,70,75,59,436595.0,False,False
2020-12-20,79,60,77,49,63,0,62,10,78,90,25,16,41,56,65,66,97,66,73,39,56,n/a,False,False
