time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,98,78,84,85,70,0,68,30,77,51,48,8,47,72,60,87,62,76,91,50,62,n/a,True,True
2019-01-13,95,81,83,82,71,0,64,24,71,48,43,8,51,66,59,90,55,74,86,39,100,n/a,True,True
2019-01-20,89,79,82,81,67,0,58,32,66,52,54,7,44,66,58,87,56,74,85,49,75,n/a,True,True
2019-01-27,88,75,78,76,64,0,60,27,70,51,50,9,41,67,53,87,47,65,78,62,94,n/a,True,True
2019-02-03,91,81,80,80,54,0,60,29,60,47,70,9,47,67,56,84,56,75,76,62,60,n/a,True,True
2019-02-10,93,78,78,79,54,0,61,33,62,47,50,8,43,69,54,86,45,59,83,48,87,n/a,True,True
2019-02-17,93,83,83,77,68,0,75,36,61,47,58,8,45,68,62,84,60,58,79,48,86,n/a,True,True
2019-02-24,97,81,82,88,59,0,70,31,61,46,56,9,48,73,57,85,50,69,86,61,68,n/a,True,True
2019-03-03,96,82,81,88,58,0,58,92,62,50,57,9,49,75,59,82,54,63,100,54,80,n/a,False,False
2019-03-10,92,85,79,81,60,0,61,27,63,47,37,8,45,77,60,82,46,99,88,50,54,n/a,False,False
2019-03-17,88,86,82,84,59,0,51,31,57,43,59,8,42,91,50,86,49,81,76,57,44,n/a,False,False
2019-03-24,89,86,79,85,56,0,55,30,56,41,53,9,49,100,54,83,42,72,77,51,42,n/a,False,False
2019-03-31,93,84,80,86,66,0,50,29,60,41,54,7,45,71,52,86,49,80,78,46,53,n/a,False,False
2019-04-07,87,83,79,85,60,0,45,29,61,42,55,8,47,70,51,83,51,86,73,43,59,n/a,False,False
2019-04-14,90,85,80,92,59,0,51,25,60,45,60,7,45,74,52,85,50,91,89,57,71,n/a,False,False
2019-04-21,86,80,80,77,75,0,51,26,56,36,67,9,47,70,47,83,49,100,78,49,55,n/a,False,False
2019-04-28,94,83,83,100,82,0,51,30,58,43,45,9,41,75,52,82,58,89,83,54,63,n/a,False,False
2019-05-05,91,83,80,92,70,0,52,26,56,44,44,8,47,70,52,82,57,81,90,50,57,n/a,False,False
2019-05-12,90,83,83,94,75,0,54,28,62,40,44,7,42,76,56,92,50,94,86,50,58,n/a,False,False
2019-05-19,87,87,81,90,64,2,49,27,59,41,43,7,42,70,53,85,43,74,86,67,58,n/a,False,False
2019-05-26,89,87,81,74,63,0,53,22,67,42,37,7,42,78,56,89,56,79,82,42,76,n/a,False,False
2019-06-02,88,88,85,75,57,1,51,22,61,41,47,8,52,90,52,93,48,83,78,47,51,n/a,False,False
2019-06-09,88,88,79,72,63,0,53,18,67,51,38,8,45,75,54,93,62,76,76,56,58,n/a,False,False
2019-06-16,89,91,87,60,57,0,58,20,73,45,37,7,44,74,54,91,44,82,78,53,76,n/a,False,False
2019-06-23,85,88,80,54,53,1,50,15,63,38,49,7,43,66,52,80,43,67,73,37,48,n/a,False,False
2019-06-30,91,90,81,48,58,0,49,15,61,43,32,7,48,72,52,78,46,80,69,50,56,n/a,False,False
2019-07-07,90,87,79,52,62,0,51,15,61,46,40,7,46,70,49,79,51,84,82,43,50,n/a,False,False
2019-07-14,88,90,83,52,63,0,57,26,67,42,43,7,47,73,50,80,44,66,75,55,59,n/a,False,False
2019-07-21,90,92,82,53,69,0,53,28,67,43,43,7,61,73,54,80,44,76,79,59,56,n/a,False,False
2019-07-28,91,89,82,55,60,1,50,20,64,43,53,7,42,73,53,77,44,70,81,73,50,n/a,False,False
2019-08-04,86,86,81,54,64,0,52,22,61,43,35,7,47,71,55,75,52,79,79,78,52,n/a,False,False
2019-08-11,89,91,86,56,55,0,54,18,55,43,41,6,49,67,52,79,38,68,75,71,48,n/a,False,False
2019-08-18,86,93,80,53,60,0,50,19,64,40,46,7,47,70,54,78,48,84,76,66,49,n/a,False,False
2019-08-25,83,93,79,54,57,0,55,16,59,39,35,7,47,71,50,77,53,81,73,43,42,n/a,False,False
2019-09-01,81,99,74,66,58,0,51,16,66,49,28,6,40,66,56,75,40,72,72,45,54,n/a,False,False
2019-09-08,84,100,73,77,59,1,52,24,62,41,40,7,42,66,100,85,45,77,75,53,43,n/a,False,False
