time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,93,65,86,88,68,0,65,26,78,50,32,10,54,67,67,80,41,58,91,35,58,n/a,True,False
2019-01-13,95,68,85,95,68,0,68,36,79,43,37,11,57,52,61,84,44,53,83,35,58,n/a,True,False
2019-01-20,92,70,76,87,82,0,53,21,73,50,43,10,30,61,63,78,46,63,91,29,49,n/a,True,False
2019-01-27,92,68,83,89,54,0,66,28,77,49,55,10,40,54,47,72,48,42,74,39,44,n/a,True,False
2019-02-03,91,69,80,89,67,0,53,35,67,52,12,9,51,41,57,83,47,56,81,58,54,n/a,True,False
2019-02-10,93,69,77,84,67,0,61,42,72,57,55,11,48,48,57,74,41,52,78,48,62,n/a,False,False
2019-02-17,96,73,84,78,71,0,70,37,60,44,80,12,40,48,55,69,43,37,88,73,100,n/a,False,False
2019-02-24,96,73,85,91,60,0,65,14,61,44,30,10,44,55,63,78,42,41,84,71,47,n/a,False,False
2019-03-03,92,72,86,82,70,0,52,50,71,43,31,10,38,60,60,75,55,64,89,54,64,n/a,False,False
2019-03-10,94,71,81,78,63,0,54,33,71,50,43,8,43,49,51,73,27,57,85,54,79,n/a,False,False
2019-03-17,90,74,86,76,75,0,51,28,75,42,32,11,62,68,53,75,23,79,68,54,41,n/a,False,False
2019-03-24,88,78,86,80,60,0,49,28,59,47,38,9,47,100,59,72,44,41,77,48,29,n/a,False,False
2019-03-31,93,75,79,91,70,0,48,35,50,48,62,10,42,50,62,81,45,55,85,44,42,n/a,False,False
2019-04-07,92,73,82,95,61,0,47,12,70,46,19,9,44,52,57,86,50,53,81,25,48,n/a,False,False
2019-04-14,90,76,82,92,62,0,49,27,47,47,85,8,44,38,52,77,47,81,93,51,39,n/a,False,False
2019-04-21,92,69,84,100,60,0,41,14,74,45,25,8,56,43,43,76,49,77,80,45,35,n/a,False,False
2019-04-28,97,74,79,98,74,0,45,17,70,38,44,10,57,37,58,76,56,69,86,49,27,n/a,False,False
2019-05-05,92,71,78,94,76,0,56,19,64,49,37,11,41,46,57,84,40,57,93,83,46,n/a,False,False
2019-05-12,92,74,77,90,78,0,57,21,71,58,50,7,41,60,60,80,52,82,84,44,32,n/a,False,False
2019-05-19,89,71,79,84,75,0,46,19,73,34,49,7,48,55,58,82,46,85,89,82,51,n/a,False,False
2019-05-26,92,75,80,58,66,0,47,19,91,46,37,7,53,54,49,78,51,46,80,29,39,n/a,False,False
2019-06-02,91,75,89,60,67,0,46,21,84,48,43,8,41,73,49,75,54,76,80,43,37,n/a,False,False
2019-06-09,87,77,79,63,72,0,46,16,66,63,61,8,46,53,50,75,42,60,78,43,32,n/a,False,False
2019-06-16,90,79,79,56,66,0,51,14,80,57,43,7,52,43,44,72,45,57,85,39,27,n/a,False,False
2019-06-23,90,76,80,63,68,1,54,21,77,60,37,9,46,32,57,67,47,76,77,38,26,n/a,False,False
2019-06-30,97,78,82,62,71,0,57,12,73,46,19,7,43,37,52,67,32,71,75,29,29,n/a,False,False
2019-07-07,96,79,86,59,65,0,54,23,80,50,43,10,48,50,47,79,49,52,82,58,28,n/a,False,False
2019-07-14,92,81,88,68,79,0,60,31,65,44,19,7,51,55,51,71,52,53,79,44,32,n/a,False,False
2019-07-21,97,83,92,65,75,0,54,15,75,51,13,6,91,37,60,83,47,48,87,66,36,n/a,False,False
2019-07-28,95,81,85,59,71,1,56,22,74,52,78,8,64,50,50,73,46,48,92,61,28,n/a,False,False
2019-08-04,93,78,90,65,67,0,50,24,62,51,26,7,61,55,60,73,36,54,91,100,33,n/a,False,False
2019-08-11,96,78,82,68,62,0,55,26,78,37,44,8,48,38,61,83,39,58,80,64,26,n/a,False,False
2019-08-18,96,83,81,75,63,0,48,14,69,52,31,8,51,41,62,85,49,68,86,44,25,n/a,False,False
2019-08-25,94,91,84,83,79,0,52,14,79,47,55,8,52,37,64,82,48,100,90,53,30,n/a,False,False
2019-09-01,94,97,81,84,67,0,51,34,73,58,30,8,56,37,65,85,38,51,74,47,21,n/a,False,False
2019-09-08,92,100,84,93,55,1,56,18,65,41,84,8,42,46,100,82,38,65,78,47,25,n/a,False,False
2019-09-15,98,99,81,83,75,0,58,27,65,47,53,9,53,40,74,82,45,62,100,38,27,n/a,False,False
2019-09-22,89,86,80,79,75,0,66,20,66,40,42,9,55,39,76,79,42,79,80,55,23,n/a,False,False
2019-09-29,94,74,77,87,95,0,59,15,67,48,53,9,50,41,66,85,45,56,76,46,52,n/a,False,False
2019-10-06,88,75,74,78,100,0,59,11,80,39,35,8,50,40,64,75,39,87,86,37,59,n/a,False,False
2019-10-13,93,69,75,82,75,1,49,24,52,43,58,8,42,39,66,77,41,69,87,37,40,n/a,False,False
2019-10-20,93,71,74,87,75,1,56,26,68,42,41,9,50,55,50,75,37,90,74,23,59,n/a,False,False
2019-10-27,91,70,72,78,62,0,53,13,60,48,41,8,33,52,50,71,56,74,75,55,70,n/a,False,False
2019-11-03,93,68,78,89,73,2,56,13,75,46,63,12,37,57,61,82,46,49,80,27,60,n/a,False,False
2019-11-10,93,67,82,76,65,0,56,20,78,45,51,8,55,74,61,82,71,47,82,68,46,n/a,False,False
2019-11-17,89,71,77,87,74,1,51,37,65,48,52,9,50,41,62,77,92,52,79,69,63,n/a,False,False
2019-11-24,88,66,73,68,60,0,50,13,73,64,40,7,46,38,67,69,66,61,77,40,99,n/a,False,False
2019-12-01,90,64,80,86,54,0,55,22,59,56,70,9,40,49,74,77,54,74,75,54,48,n/a,False,False
