time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,82,69,85,74,69,0,74,17,81,64,48,11,51,40,69,92,63,100,81,77,33,,,
2019-01-13,81,72,83,75,91,0,73,23,87,57,48,11,55,38,66,87,59,99,84,53,42,,,
2019-01-20,81,70,80,81,76,0,69,28,77,52,43,13,44,41,52,89,58,77,86,48,37,,,
2019-01-27,79,73,84,77,70,0,69,16,80,58,35,13,59,36,57,93,55,64,80,48,38,,,
2019-02-03,78,74,77,74,69,0,60,19,86,59,47,16,38,37,54,90,40,66,88,27,45,,,
2019-02-10,80,71,80,80,80,1,64,17,79,55,59,15,47,42,61,81,66,52,83,36,38,,,
2019-02-17,84,75,84,83,81,0,80,26,87,53,43,16,48,30,65,89,46,48,81,57,54,,,
2019-02-24,85,77,79,82,64,0,72,19,75,60,55,14,52,48,72,87,53,59,85,78,53,,,
2019-03-03,84,78,86,86,71,0,64,41,72,62,78,15,52,43,61,79,48,59,99,65,53,,,
2019-03-10,79,77,79,77,76,0,68,15,79,52,56,14,47,44,53,91,39,68,84,46,43,,,
2019-03-17,70,75,76,54,70,0,54,13,71,52,26,11,55,56,60,76,60,47,68,37,28,,,
2019-03-24,91,94,100,95,78,0,67,14,95,52,57,14,68,100,69,94,49,81,93,84,35,,,
2019-03-31,100,95,98,98,96,1,73,18,89,54,83,12,67,43,75,94,89,80,95,59,38,,,
2019-04-07,95,94,96,95,86,0,63,16,92,54,48,14,60,43,71,100,50,80,90,53,37,,,
2019-04-14,89,87,92,100,84,0,58,12,66,51,54,14,58,44,71,95,61,96,96,67,44,,,
2019-04-21,80,77,80,86,72,0,53,10,68,50,62,13,52,44,57,96,61,70,86,42,33,,,
2019-04-28,81,75,76,86,87,0,60,15,74,50,57,13,64,44,60,88,52,65,82,46,60,,,
2019-05-05,78,73,77,80,70,0,55,21,68,55,52,12,48,49,62,87,51,83,83,83,43,,,
2019-05-12,74,73,74,77,68,0,58,10,66,53,22,14,51,45,60,83,49,61,82,60,35,,,
2019-05-19,72,73,71,69,63,0,54,8,73,52,73,11,64,46,56,90,58,61,81,100,100,,,
2019-05-26,71,71,72,52,69,0,59,10,72,52,48,11,46,55,59,86,44,63,72,36,58,,,
2019-06-02,72,76,78,52,76,0,59,10,62,55,26,10,45,54,66,76,59,80,78,45,38,,,
2019-06-09,71,76,73,49,63,0,59,11,67,56,34,10,45,43,59,85,49,61,67,38,28,,,
2019-06-16,73,78,79,49,65,0,64,7,68,53,48,11,56,42,53,89,38,73,77,28,34,,,
2019-06-23,74,80,78,50,64,1,60,19,71,50,30,11,55,37,59,81,50,48,79,29,24,,,
2019-06-30,78,75,72,48,80,0,52,11,64,50,30,10,60,42,65,81,50,71,75,44,24,,,
2019-07-07,78,78,75,47,70,0,58,12,67,53,43,11,63,40,69,74,51,69,82,45,21,,,
