time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,96,68,87,78,70,0,62,22,80,48,39,10,50,61,61,91,56,70,92,46,56,,,
2019-01-13,94,68,86,80,70,0,60,24,76,46,55,9,42,55,59,92,52,63,88,51,100,,,
2019-01-20,89,64,85,80,72,0,59,26,79,47,53,9,45,53,57,91,59,62,92,42,69,,,
2019-01-27,89,66,82,74,67,0,58,25,79,50,44,9,51,54,57,87,57,45,85,62,94,,,
2019-02-03,85,69,86,80,59,0,55,24,70,45,48,11,48,58,55,88,49,66,86,47,52,,,
2019-02-10,91,68,84,72,65,0,59,30,70,45,53,10,48,60,57,88,53,49,90,49,75,,,
2019-02-17,95,73,91,78,67,0,72,26,79,45,43,10,46,60,62,88,53,52,89,49,76,,,
2019-02-24,100,73,89,85,60,0,62,24,71,47,40,10,47,59,61,93,51,57,88,55,64,,,
2019-03-03,92,71,89,78,62,0,50,51,66,44,40,10,48,70,63,89,48,60,100,53,67,,,
2019-03-10,88,74,79,76,62,0,56,23,67,41,53,10,49,69,57,88,42,87,88,57,47,,,
2019-03-17,89,76,84,84,60,0,51,26,65,43,59,11,47,82,55,87,48,74,84,60,37,,,
2019-03-24,86,74,85,80,64,0,50,24,66,39,49,11,45,100,54,85,51,67,82,54,40,,,
2019-03-31,92,72,85,83,65,0,46,19,59,42,50,9,47,58,56,86,47,64,86,42,40,,,
2019-04-07,85,74,81,87,64,0,41,24,61,39,48,10,47,57,52,89,50,56,80,51,49,,,
2019-04-14,90,78,89,92,63,0,48,22,64,43,48,10,43,60,59,91,60,80,96,60,63,,,
2019-04-21,93,77,85,94,74,0,50,23,72,43,60,11,44,61,54,92,64,81,89,56,52,,,
2019-04-28,91,74,87,100,74,0,47,24,66,39,58,11,43,65,55,86,52,78,91,56,57,,,
2019-05-05,88,73,83,90,66,0,48,17,63,41,43,9,44,60,54,89,54,65,89,67,52,,,
2019-05-12,85,73,82,91,72,0,50,18,57,37,52,9,47,61,53,90,52,70,87,55,50,,,
2019-05-19,84,75,78,87,60,2,45,18,57,33,35,9,46,64,52,87,51,57,87,87,58,,,
2019-05-26,83,73,82,69,60,0,44,16,63,39,41,8,45,68,53,91,49,54,79,43,69,,,
2019-06-02,80,73,79,67,60,0,47,13,64,39,37,8,41,77,55,92,44,64,75,43,44,,,
