time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,90,66,88,81,69,0,60,24,86,46,18,11,45,54,68,76,39,35,84,21,52,,False,False
2019-01-13,89,66,85,77,80,0,56,21,91,41,63,13,57,62,64,87,47,38,93,15,79,,False,False
2019-01-20,92,64,80,72,70,0,59,9,70,50,53,11,58,65,69,74,44,44,90,45,72,,False,False
2019-01-27,92,65,85,82,69,0,64,24,59,43,35,15,63,75,55,84,29,48,87,41,73,,False,False
2019-02-03,86,65,82,77,44,0,47,21,59,44,36,13,49,60,49,66,38,48,85,20,55,,False,False
2019-02-10,93,67,81,84,56,0,56,35,73,37,70,13,36,60,51,77,34,56,92,25,78,,False,False
2019-02-17,93,72,85,74,57,0,74,27,55,36,44,11,38,63,54,68,63,43,80,35,74,,False,False
2019-02-24,100,76,84,85,51,0,65,23,81,40,26,11,64,71,57,68,43,45,90,30,96,,False,False
2019-03-03,95,75,86,85,63,0,64,84,55,44,45,14,39,63,69,88,29,46,98,31,79,,False,False
2019-03-10,88,75,84,76,47,0,52,24,62,42,36,11,44,75,59,83,26,70,89,46,44,,False,False
2019-03-17,89,76,84,85,66,0,56,24,78,31,73,14,43,77,59,81,53,75,84,36,44,,False,False
2019-03-24,86,78,91,86,63,0,42,15,59,38,54,14,41,100,61,72,47,61,90,15,37,,False,False
2019-03-31,94,79,81,92,80,0,48,33,79,38,54,15,53,64,53,87,36,84,79,30,43,,False,False
2019-04-07,90,73,81,92,69,0,54,18,68,48,0,16,61,68,59,87,35,69,72,31,50,,False,False
2019-04-14,88,73,86,82,56,0,41,28,66,39,37,12,48,69,57,72,68,50,87,27,58,,False,False
2019-04-21,93,76,82,100,59,0,51,21,89,34,64,15,51,71,66,81,55,100,94,37,56,,False,False
2019-04-28,94,74,86,98,74,0,44,15,91,32,63,12,48,75,57,84,42,67,95,26,51,,False,False
2019-05-05,88,77,90,88,70,0,48,21,55,41,62,13,54,66,56,78,32,76,87,26,53,,False,False
2019-05-12,84,72,80,95,57,0,67,33,72,29,36,10,36,77,44,88,38,58,88,46,60,,False,False
2019-05-19,80,77,76,81,49,1,52,0,55,36,18,11,52,96,49,80,32,56,87,45,60,,False,False
