time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,96,78,70,87,68,0,65,22,68,49,53,10,65,59,60,92,66,80,91,37,59,n/a,False,False
2019-01-13,95,76,73,87,74,0,66,10,83,54,39,10,55,58,61,87,54,48,79,35,68,n/a,False,False
2019-01-20,88,80,71,81,69,0,61,18,73,44,49,10,54,59,62,83,55,54,89,41,68,n/a,False,False
2019-01-27,93,76,70,83,71,0,66,17,80,43,63,13,51,54,61,94,43,44,83,48,69,n/a,False,False
2019-02-03,92,78,72,88,65,0,61,26,60,47,41,13,55,58,61,81,42,73,89,58,57,n/a,False,False
2019-02-10,95,80,68,92,58,0,63,20,72,47,35,13,54,63,64,91,51,47,78,43,70,n/a,False,False
2019-02-17,95,82,76,90,66,0,78,23,67,47,69,12,58,65,67,91,40,40,83,53,80,n/a,False,False
2019-02-24,100,84,73,94,64,0,69,25,68,50,51,11,60,63,64,87,55,45,86,70,74,n/a,False,False
2019-03-03,97,82,72,93,63,0,59,46,75,53,41,10,54,70,70,89,51,39,91,52,76,n/a,False,False
2019-03-10,93,83,68,86,55,0,68,22,66,53,28,10,56,74,64,84,46,63,84,55,58,n/a,False,False
2019-03-17,90,83,72,85,54,0,53,19,70,43,53,9,41,82,62,83,47,57,83,49,43,n/a,False,False
2019-03-24,92,85,72,83,70,0,56,17,69,44,36,9,52,100,69,90,46,51,78,47,44,n/a,False,False
2019-03-31,95,82,73,91,70,0,53,22,65,46,39,10,54,64,60,86,49,59,87,36,62,n/a,False,False
2019-04-07,93,82,69,92,76,0,51,14,62,45,47,9,47,66,54,91,36,58,83,40,73,n/a,False,False
2019-04-14,88,80,72,74,63,0,50,18,64,49,38,9,48,74,57,85,48,59,85,52,82,n/a,False,False
2019-04-21,94,82,73,86,70,0,52,15,68,44,29,11,50,68,58,92,49,70,84,49,39,n/a,False,False
2019-04-28,91,81,71,100,77,0,55,18,58,41,34,10,54,69,56,87,55,60,79,52,46,n/a,False,False
2019-05-05,89,81,70,89,72,0,57,10,70,43,41,9,55,67,60,82,57,58,86,48,45,n/a,False,False
2019-05-12,86,86,64,85,57,0,55,15,56,39,41,9,50,67,61,86,56,46,82,42,36,n/a,False,False
2019-05-19,90,84,70,80,66,0,52,13,64,49,48,10,57,69,59,87,61,52,79,100,28,n/a,False,False
2019-05-26,87,83,70,68,61,0,55,10,66,45,20,7,45,76,61,88,52,54,75,40,28,n/a,False,False
2019-06-02,87,84,72,61,56,0,61,15,79,41,41,9,37,88,61,85,49,65,71,21,53,n/a,False,False
2019-06-09,81,81,71,52,59,0,59,11,65,58,41,9,53,75,56,78,46,64,65,39,48,n/a,False,False
2019-06-16,85,83,73,52,58,0,56,15,67,47,49,9,62,72,61,78,45,61,73,44,51,n/a,False,False
2019-06-23,85,84,74,52,60,1,60,13,62,49,36,8,56,59,58,78,44,51,73,43,31,n/a,False,False
2019-06-30,93,86,72,52,72,0,54,14,75,50,28,8,51,61,54,90,54,50,72,46,47,n/a,False,False
2019-07-07,93,88,73,53,66,0,58,12,78,47,41,9,54,72,57,84,47,68,87,36,50,n/a,False,False
2019-07-14,89,87,71,56,72,0,58,9,71,55,37,8,56,66,60,85,45,37,73,29,36,n/a,False,False
2019-07-21,89,85,70,57,70,0,68,26,80,44,21,9,67,71,66,79,49,46,79,38,35,n/a,False,False
2019-07-28,89,88,72,53,64,1,56,12,74,41,49,8,60,64,64,81,32,47,79,57,37,n/a,False,False
2019-08-04,89,84,72,57,70,0,59,20,66,50,43,9,60,65,66,84,36,60,78,72,30,n/a,False,False
2019-08-11,91,87,77,59,68,0,63,18,72,45,29,9,58,66,60,82,45,58,76,58,44,n/a,False,False
2019-08-18,91,89,69,68,57,0,56,18,74,45,26,9,46,55,61,92,42,54,78,32,46,n/a,False,False
2019-08-25,90,92,68,81,70,0,53,15,78,44,33,8,52,64,65,91,63,64,81,54,54,n/a,False,False
2019-09-01,87,96,63,71,66,0,54,13,83,59,22,8,46,56,64,87,47,62,77,48,76,n/a,False,False
2019-09-08,93,100,69,85,60,1,60,19,69,48,47,9,48,59,100,91,38,56,83,36,29,n/a,False,False
2019-09-15,98,95,66,85,69,0,54,12,59,47,54,10,49,60,78,100,36,56,100,35,29,n/a,False,False
2019-09-22,94,90,66,84,73,0,63,11,67,42,77,12,52,56,91,86,44,59,89,56,22,n/a,False,False
2019-09-29,88,82,66,85,76,0,58,21,62,48,47,11,48,55,76,92,38,46,81,57,38,n/a,False,False
2019-10-06,88,78,66,84,85,0,64,14,64,50,39,10,56,56,62,88,40,54,83,48,49,n/a,False,False
2019-10-13,93,79,66,79,78,1,62,15,65,46,34,10,46,53,66,88,43,61,77,41,77,n/a,False,False
2019-10-20,91,78,66,78,81,0,53,16,70,44,32,11,48,50,68,88,43,67,79,48,69,n/a,False,False
2019-10-27,92,77,63,83,68,0,54,14,75,45,44,10,51,55,65,85,34,69,78,30,75,n/a,False,False
2019-11-03,90,74,67,87,66,2,61,18,64,47,36,10,50,62,73,87,49,64,77,39,60,n/a,False,False
2019-11-10,93,75,63,79,67,0,60,14,64,50,40,10,53,56,72,90,100,59,85,65,85,n/a,False,False
2019-11-17,97,76,67,85,63,1,57,16,59,48,63,11,53,60,67,90,77,62,79,72,56,n/a,False,False
2019-11-24,88,77,66,60,63,0,52,10,74,57,26,9,55,62,79,83,78,48,66,40,49,n/a,False,False
2019-12-01,91,74,69,80,58,0,56,21,68,54,53,11,49,68,69,84,69,50,72,49,53,n/a,False,False
2019-12-08,95,76,71,84,58,0,62,19,68,59,44,9,60,74,74,94,73,62,77,47,65,n/a,False,False
2019-12-15,95,79,70,74,65,0,81,17,86,63,39,9,50,68,77,87,80,100,74,77,61,n/a,False,False
2019-12-22,95,79,76,53,82,0,66,14,92,77,29,10,38,71,88,85,85,52,74,29,62,n/a,False,False
2019-12-29,95,84,82,57,71,0,69,14,91,59,25,10,57,68,75,83,97,57,77,32,67,n/a,False,False
2020-01-05,90,77,78,76,67,0,81,15,76,49,38,11,66,63,69,84,56,50,89,40,59,n/a,False,False
2020-01-12,92,81,73,79,77,1,60,18,84,40,48,10,49,70,66,85,63,52,86,40,74,n/a,False,False
2020-01-19,92,82,72,80,80,0,66,28,70,43,51,16,54,66,64,78,46,51,86,42,65,n/a,False,False
2020-01-26,91,80,70,78,65,1,58,14,64,49,71,21,53,73,63,85,52,45,81,44,56,n/a,False,False
2020-02-02,95,83,71,75,75,3,74,20,76,40,55,16,47,65,62,78,58,62,81,39,94,n/a,False,False
2020-02-09,92,77,73,87,66,1,65,28,78,43,46,18,45,60,63,82,46,49,80,45,73,n/a,False,False
2020-02-16,94,83,77,80,67,1,59,18,70,43,61,13,48,61,70,83,59,47,77,38,100,n/a,False,False
2020-02-23,88,85,73,90,65,3,52,15,68,51,52,23,54,69,72,85,69,58,80,44,64,n/a,False,False
2020-03-01,88,83,75,92,70,4,55,24,64,45,40,38,59,52,70,78,61,45,81,51,74,n/a,False,False
2020-03-08,88,80,70,75,63,1,61,30,63,44,49,61,48,56,57,75,49,38,81,40,57,2.0,False,False
2020-03-15,85,72,66,68,63,1,66,17,90,59,52,100,49,58,53,86,42,38,66,43,52,19.0,False,False
2020-03-22,92,72,67,74,62,0,60,11,91,69,71,90,49,55,59,91,56,29,74,81,54,195.0,False,False
2020-03-29,91,71,67,74,71,0,63,21,100,60,82,68,44,51,56,87,53,30,78,63,49,774.0,False,False
2020-04-05,95,73,68,74,73,0,61,14,89,68,72,65,44,57,57,89,85,26,83,66,44,2049.0,False,False
2020-04-12,97,81,67,70,74,0,63,21,75,83,80,48,45,51,68,90,63,27,79,75,75,3319.0,True,False
2020-04-19,93,85,75,82,84,0,61,24,81,76,100,42,50,54,72,83,59,34,81,60,78,4377.0,True,False
2020-04-26,93,90,76,80,60,0,64,15,85,70,70,27,42,55,70,84,57,32,79,35,55,5490.0,True,False
2020-05-03,93,89,78,71,67,0,58,14,87,70,90,25,42,53,65,76,52,20,78,66,60,6626.0,True,False
2020-05-10,88,93,76,71,70,0,62,12,85,61,57,24,48,61,63,77,50,29,78,71,41,7653.0,True,False
2020-05-17,93,96,100,66,74,0,64,10,76,66,53,21,47,60,58,79,62,26,80,98,89,8816.0,True,False
2020-05-24,90,93,85,62,88,0,73,36,89,67,69,17,86,63,63,71,59,28,83,53,90,10096.0,True,False
2020-05-31,83,93,76,58,72,1,76,71,71,49,29,16,100,59,64,69,45,26,67,33,53,11861.0,True,False
2020-06-07,89,96,83,61,71,3,63,67,76,72,42,17,93,65,70,71,56,35,75,42,66,14286.0,True,False
2020-06-14,89,97,83,62,73,0,67,50,78,69,62,19,84,60,65,74,47,29,69,52,68,18795.0,True,False
2020-06-21,85,94,78,59,73,1,61,100,78,62,46,20,48,51,68,75,63,35,74,40,55,24693.0,True,False
2020-06-28,84,90,77,59,70,0,87,39,83,55,36,19,64,53,63,66,57,35,72,52,53,33320.0,True,False
2020-07-05,88,91,74,55,73,0,73,29,74,54,56,22,52,60,71,70,59,32,74,44,58,44847.0,True,False
2020-07-12,91,94,71,60,72,0,80,24,75,52,43,20,56,62,66,71,43,38,76,45,40,56648.0,True,False
2020-07-19,87,90,74,58,68,0,67,19,77,65,55,18,54,56,67,71,49,31,77,34,50,69986.0,True,False
2020-07-26,85,93,74,56,71,1,65,27,69,63,32,17,49,59,61,71,64,35,80,56,57,81199.0,True,False
2020-08-02,87,92,74,64,63,1,73,20,75,57,36,15,50,58,65,72,54,48,78,42,71,91788.0,True,False
2020-08-09,83,89,70,53,74,1,66,39,76,53,58,15,53,52,65,74,50,50,76,44,56,100435.0,True,False
2020-08-16,87,87,68,61,70,1,71,27,65,54,27,13,44,53,62,79,56,55,69,38,53,106497.0,True,False
2020-08-23,88,85,70,70,77,1,80,23,82,53,48,13,49,54,60,84,53,38,79,29,51,111988.0,True,False
2020-08-30,88,84,71,78,81,1,61,27,74,53,59,13,43,50,61,89,65,54,77,32,38,118324.0,True,False
2020-09-06,90,82,68,82,74,1,56,19,67,55,39,14,43,51,59,91,60,62,77,36,50,124952.0,True,False
2020-09-13,87,77,68,90,69,1,57,24,73,68,55,13,56,53,59,94,55,60,81,30,66,131864.0,True,False
2020-09-20,84,80,64,86,70,2,56,24,72,63,58,12,46,49,65,87,53,52,74,43,50,137708.0,True,False
2020-09-27,84,79,65,75,64,3,86,22,64,47,40,12,45,55,59,84,53,65,71,41,49,145887.0,True,False
2020-10-04,85,79,66,72,60,3,86,31,59,51,64,12,57,49,59,80,47,52,74,34,48,151582.0,True,False
2020-10-11,81,78,67,61,66,2,62,21,60,53,42,12,42,56,89,72,45,59,78,28,50,157406.0,True,False
2020-10-18,81,79,63,60,62,3,71,17,63,43,61,12,43,51,61,69,56,37,67,56,40,163990.0,True,False
2020-10-25,81,78,65,61,100,4,58,21,64,44,42,12,36,57,57,73,66,37,67,36,61,170678.0,True,False
2020-11-01,70,65,53,54,75,100,100,37,54,51,33,10,40,47,53,63,64,27,60,30,45,178023.0,True,False
2020-11-08,84,74,65,59,64,10,96,30,62,100,37,13,51,52,63,79,62,33,85,31,59,185688.0,True,False
2020-11-15,78,75,63,65,57,3,65,20,68,70,28,13,42,59,61,70,63,35,68,41,42,195507.0,True,False
2020-11-22,80,70,63,55,69,1,64,11,72,97,30,13,38,53,63,70,75,42,71,17,47,206295.0,True,False
2020-11-29,80,73,68,60,56,1,61,13,63,75,50,13,44,56,65,72,74,43,69,73,59,216129.0,True,False
2020-12-06,83,76,67,55,65,1,59,14,66,76,69,15,43,58,62,68,72,46,75,68,44,232099.0,True,False
2020-12-13,82,74,68,59,59,1,67,18,68,73,35,17,42,68,62,79,94,54,74,58,68,252206.0,True,False
2020-12-20,89,76,71,53,74,0,66,13,70,95,51,17,38,80,65,77,95,43,71,39,66,n/a,True,False
