time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,93,62,89,95,90,0,74,37,73,59,55,9,70,51,60,86,41,70,77,10,30,,,
2019-01-13,93,67,91,85,78,0,63,82,49,39,11,11,49,51,78,100,56,48,74,29,57,,,
2019-01-20,91,65,90,88,70,0,53,36,59,51,32,11,62,52,54,83,40,34,70,48,56,,,
2019-01-27,88,65,87,91,100,0,78,27,53,48,43,11,52,32,72,74,71,26,74,57,76,,,
2019-02-03,93,60,90,77,69,0,54,18,50,40,32,16,49,41,57,75,70,72,77,58,63,,,
2019-02-10,97,57,78,82,49,0,63,36,74,65,42,14,64,33,79,91,55,38,78,37,54,,,
2019-02-17,96,60,83,74,69,0,57,18,52,36,32,12,48,52,68,71,20,43,80,9,76,,,
2019-02-24,98,68,83,86,61,0,79,18,62,51,42,12,61,59,55,68,64,33,85,85,61,,,
2019-03-03,93,70,82,90,61,0,58,64,72,44,22,10,75,38,69,69,20,39,93,58,78,,,
2019-03-10,90,62,76,72,68,0,54,9,40,54,33,12,52,53,76,75,25,86,79,19,87,,,
2019-03-17,91,76,93,89,65,0,59,72,47,58,33,9,86,76,74,79,46,82,69,29,24,,,
2019-03-24,92,74,82,83,73,0,50,27,66,38,11,11,56,100,73,76,30,47,79,58,29,,,
2019-03-31,88,73,84,83,82,0,58,18,57,42,22,9,100,31,70,89,71,64,77,59,32,,,
2019-04-07,94,65,77,91,67,0,58,45,77,46,44,9,46,25,58,91,31,43,74,58,100,,,
2019-04-14,87,68,83,98,61,0,55,19,48,59,23,11,48,31,52,69,37,59,80,40,30,,,
2019-04-21,90,76,80,97,63,0,59,37,48,39,11,13,51,34,71,70,36,62,81,50,38,,,
2019-04-28,94,71,88,94,90,0,59,46,75,29,11,10,60,49,55,74,36,100,79,69,39,,,
2019-05-05,91,68,77,100,78,0,55,27,70,46,22,9,56,51,58,93,36,34,81,48,38,,,
2019-05-12,90,67,83,92,75,0,55,27,76,47,44,8,36,53,79,69,31,52,79,58,49,,,
2019-05-19,87,75,75,91,64,0,47,18,57,47,33,8,94,48,57,81,20,64,82,86,52,,,
2019-05-26,81,67,72,51,75,0,58,9,55,30,0,7,45,79,53,60,35,38,69,85,53,,,
2019-06-02,74,67,75,53,72,0,45,0,44,39,43,6,45,60,62,60,25,46,61,0,45,,,
2019-06-09,76,70,83,47,70,0,64,26,54,57,21,6,59,37,59,74,49,42,59,0,44,,,
2019-06-16,81,74,91,52,67,0,67,18,45,37,33,10,60,40,76,75,25,21,64,39,50,,,
2019-06-23,77,73,79,43,56,1,43,27,63,56,43,8,39,35,55,57,45,59,65,38,43,,,
2019-06-30,85,70,74,58,63,0,48,9,74,38,22,11,66,25,53,57,41,34,59,58,69,,,
2019-07-07,86,73,70,52,62,0,66,9,55,41,22,7,65,39,68,71,35,51,72,38,43,,,
2019-07-14,85,83,85,44,69,0,56,46,37,49,33,6,66,42,62,73,46,39,69,39,61,,,
2019-07-21,82,83,84,47,87,0,51,19,66,51,11,8,54,31,54,77,37,49,69,20,30,,,
2019-07-28,81,85,91,43,73,1,57,28,44,52,22,6,64,22,58,80,52,27,67,60,44,,,
2019-08-04,86,100,79,53,58,0,59,9,65,58,11,6,57,28,74,75,62,66,82,20,49,,,
2019-08-11,86,76,86,56,90,0,43,9,77,45,11,6,90,23,50,86,36,30,72,29,47,,,
2019-08-18,85,86,83,60,85,0,42,36,63,44,43,9,73,44,52,83,45,38,70,0,34,,,
2019-08-25,92,89,79,72,65,0,59,36,68,46,42,12,68,48,47,76,35,34,63,47,33,,,
2019-09-01,93,90,81,74,65,0,49,9,73,58,31,10,81,38,74,81,44,70,77,9,32,,,
2019-09-08,88,86,82,92,67,1,51,43,77,45,10,9,56,46,100,86,53,61,79,28,64,,,
2019-09-15,92,86,72,87,73,0,53,9,54,48,52,10,59,34,73,88,54,91,100,37,34,,,
2019-09-22,96,75,68,86,87,0,79,77,66,50,10,10,56,54,82,79,62,57,79,54,31,,,
2019-09-29,92,69,78,77,81,0,54,42,66,38,41,11,53,31,89,90,28,44,68,55,47,,,
2019-10-06,87,64,81,88,82,0,55,26,57,50,30,11,56,28,89,85,38,73,79,82,78,,,
2019-10-13,97,63,80,78,82,0,50,17,62,46,31,7,83,32,76,92,53,61,77,36,40,,,
2019-10-20,97,64,69,75,85,0,59,42,60,36,31,11,52,51,55,91,57,84,75,27,45,,,
2019-10-27,96,63,87,83,62,0,51,34,59,55,30,7,67,43,80,85,47,92,75,27,39,,,
2019-11-03,91,66,81,90,70,0,62,25,51,69,60,12,46,31,74,79,42,40,78,54,43,,,
2019-11-10,97,67,83,78,78,0,55,33,64,42,30,13,57,31,73,83,89,87,72,18,40,,,
2019-11-17,95,66,70,73,79,1,54,34,49,64,10,10,43,61,92,88,76,24,81,36,32,,,
2019-11-24,91,56,78,71,56,0,60,33,74,72,10,9,91,50,97,75,70,59,69,36,85,,,
2019-12-01,89,63,87,81,54,0,52,34,54,69,20,8,52,55,75,75,85,80,74,36,40,,,
2019-12-08,92,61,85,84,56,0,53,34,58,67,51,11,58,46,68,73,53,57,81,27,41,,,
2019-12-15,97,56,88,68,95,1,86,17,69,50,21,11,37,38,44,87,86,28,75,100,31,,,
2019-12-22,94,58,82,58,75,0,67,19,63,71,22,8,54,52,83,79,99,53,71,20,57,,,
2019-12-29,100,63,100,64,68,0,63,44,100,61,32,11,72,56,62,85,100,38,76,38,44,,,
2020-01-05,93,58,86,80,79,0,77,25,50,50,40,12,51,48,70,75,46,55,79,18,36,,,
2020-01-12,93,62,85,71,71,0,49,24,83,37,38,10,52,35,66,74,62,63,81,25,65,,,
2020-01-19,93,68,88,80,50,0,55,41,63,50,29,19,90,32,64,88,64,59,84,26,36,,,
2020-01-26,87,60,86,74,53,0,53,16,44,37,10,26,59,51,71,85,32,42,80,43,31,,,
2020-02-02,91,65,82,79,72,3,79,64,73,52,19,18,70,41,47,76,49,26,80,77,43,,,
2020-02-09,93,65,84,75,61,1,61,32,70,47,10,19,44,50,73,79,40,23,79,51,45,,,
2020-02-16,93,72,92,71,75,1,51,32,56,45,29,16,55,33,72,78,67,38,89,25,35,,,
2020-02-23,89,67,92,71,70,1,45,23,40,40,66,23,48,33,57,74,48,37,75,58,39,,,
2020-03-01,88,65,90,92,72,3,41,47,51,48,47,32,56,40,66,63,48,37,79,41,38,,,
2020-03-08,87,66,78,70,73,1,58,53,63,43,46,56,30,21,61,68,38,33,77,16,44,,,
2020-03-15,92,55,83,66,77,0,74,8,83,63,100,100,38,38,72,86,89,46,78,64,37,,,
2020-03-22,98,60,82,77,68,0,65,7,81,49,18,83,45,22,62,86,100,32,71,93,31,,,
2020-03-29,99,62,83,83,80,0,72,22,85,58,35,78,45,19,54,89,41,24,71,54,43,,,
2020-04-05,94,65,92,72,67,0,59,15,74,68,72,75,52,19,59,96,71,28,83,24,42,,,
