time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,91,73,87,76,72,0,71,21,81,61,64,11,55,53,56,77,58,81,84,64,59,n/a,False,False
2019-01-13,92,74,83,84,77,0,65,23,79,55,69,11,57,53,58,79,50,75,83,59,73,n/a,False,False
2019-01-20,91,71,84,82,73,0,61,22,77,54,63,11,49,53,55,75,50,77,84,57,73,n/a,False,False
2019-01-27,90,72,83,82,70,0,64,26,78,59,73,14,55,52,54,78,50,66,79,68,74,n/a,False,False
2019-02-03,91,73,88,84,70,0,63,28,72,58,71,15,52,55,54,79,53,90,86,67,77,n/a,False,False
2019-02-10,96,70,86,90,68,0,64,30,72,52,75,14,51,55,53,77,47,63,81,56,68,n/a,False,False
2019-02-17,97,76,90,82,72,0,79,29,77,54,66,14,55,56,60,74,48,61,82,67,85,n/a,False,False
2019-02-24,100,81,92,91,68,0,72,34,72,57,64,13,51,57,61,76,51,67,91,75,79,n/a,False,False
2019-03-03,99,76,86,86,68,0,60,71,73,55,66,13,55,62,57,73,45,69,94,68,95,n/a,False,False
2019-03-10,88,75,85,60,64,0,62,23,73,52,60,11,48,65,53,70,44,91,80,61,74,n/a,False,False
2019-03-17,89,79,86,79,67,0,52,23,71,51,65,12,53,76,49,70,44,77,81,66,46,n/a,False,False
2019-03-24,93,83,87,87,67,0,56,23,72,53,65,12,54,100,53,73,51,81,84,69,45,n/a,False,False
2019-03-31,97,78,88,92,77,0,53,21,73,49,81,12,52,55,51,74,46,87,87,61,61,n/a,False,False
2019-04-07,94,81,87,88,77,0,51,28,71,52,64,12,55,55,53,76,50,78,83,56,65,n/a,False,False
2019-04-14,93,76,90,95,74,0,53,20,69,51,65,12,48,55,53,75,54,82,88,68,71,n/a,False,False
2019-04-21,93,77,84,95,77,0,53,22,68,51,62,13,51,52,52,76,52,85,85,69,52,n/a,False,False
2019-04-28,94,76,84,100,89,0,52,22,66,50,63,12,45,57,52,76,51,94,84,65,75,n/a,False,False
2019-05-05,89,69,82,89,75,0,54,19,64,53,63,11,49,54,51,75,51,80,84,64,88,n/a,False,False
2019-05-12,88,73,82,89,70,0,56,20,70,54,55,10,49,62,52,78,48,78,88,73,51,n/a,False,False
2019-05-19,90,73,82,87,69,1,52,19,68,49,57,10,50,55,53,76,51,75,84,88,47,n/a,False,False
2019-05-26,89,73,83,61,67,0,53,14,77,54,52,10,50,65,53,79,48,69,75,55,47,n/a,False,False
2019-06-02,88,76,86,59,71,0,56,16,76,53,50,11,53,78,56,76,43,79,77,65,54,n/a,False,False
2019-06-09,86,76,86,55,69,0,56,16,71,64,47,10,53,56,51,73,48,82,81,52,40,n/a,False,False
2019-06-16,90,79,90,61,67,0,62,20,77,57,55,10,56,52,53,73,46,79,80,62,57,n/a,False,False
2019-06-23,92,79,88,55,69,1,58,20,72,51,55,10,47,49,54,70,43,81,83,61,57,n/a,False,False
2019-06-30,90,77,83,53,75,0,52,17,73,53,54,10,50,49,53,67,46,83,76,48,40,n/a,False,False
2019-07-07,89,76,82,54,70,0,56,19,75,54,53,10,55,50,55,69,42,86,83,67,48,n/a,False,False
2019-07-14,88,77,84,56,78,0,58,24,74,53,56,11,49,53,54,66,43,63,81,69,30,n/a,False,False
2019-07-21,90,80,85,56,77,0,60,25,77,52,43,11,68,54,54,70,46,66,85,61,29,n/a,False,False
2019-07-28,87,78,87,57,75,1,53,21,75,54,47,10,52,54,55,70,46,70,87,94,28,n/a,False,False
2019-08-04,89,79,87,61,72,0,55,23,73,52,57,11,56,52,57,69,43,69,80,96,24,n/a,False,False
2019-08-11,87,82,88,65,67,0,56,15,79,50,51,10,54,50,56,72,43,74,82,79,29,n/a,False,False
2019-08-18,89,84,80,71,66,0,51,20,79,50,68,10,54,48,56,76,52,73,80,67,29,n/a,False,False
2019-08-25,91,87,81,76,71,0,57,19,75,51,62,10,49,49,54,81,47,97,83,58,43,n/a,False,False
2019-09-01,94,99,81,80,75,0,58,22,75,63,66,10,51,51,59,78,48,90,80,76,29,n/a,False,False
2019-09-08,90,99,81,83,72,1,55,21,71,49,67,11,52,51,100,78,44,81,83,68,30,n/a,False,False
2019-09-15,95,100,84,84,76,0,57,22,76,53,71,12,52,51,82,80,48,88,100,73,58,n/a,False,False
2019-09-22,95,87,83,84,74,0,66,23,68,49,71,12,54,55,78,80,43,87,88,76,28,n/a,False,False
2019-09-29,91,74,81,81,91,0,59,23,66,49,70,11,57,45,68,77,47,82,78,70,35,n/a,False,False
2019-10-06,89,68,75,79,100,0,55,19,65,47,60,11,51,46,62,74,47,85,78,72,75,n/a,False,False
2019-10-13,93,73,80,75,84,1,59,21,66,47,61,12,50,48,60,74,46,96,80,68,76,n/a,False,False
2019-10-20,92,70,79,81,81,1,54,21,70,48,62,12,53,49,58,76,45,97,77,64,95,n/a,False,False
2019-10-27,91,70,76,82,74,1,53,23,68,48,58,12,47,49,55,76,59,100,74,62,87,n/a,False,False
2019-11-03,88,71,79,86,72,2,57,20,71,51,58,12,50,48,56,77,43,86,84,61,81,n/a,False,False
2019-11-10,92,69,77,80,70,0,54,21,68,52,67,12,47,48,62,73,87,75,82,70,100,n/a,False,False
2019-11-17,90,72,80,81,75,1,55,23,71,55,81,13,54,51,63,75,85,72,78,67,71,n/a,False,False
2019-11-24,86,68,80,53,67,0,54,14,74,68,45,10,44,52,68,64,86,76,70,55,67,n/a,False,False
2019-12-01,86,68,85,80,64,0,49,21,67,66,81,12,51,53,65,71,89,82,75,73,54,n/a,False,False
2019-12-08,92,68,83,83,63,0,54,22,70,65,65,12,54,63,62,76,80,78,75,72,66,n/a,False,False
2019-12-15,90,70,87,72,66,0,81,19,70,68,61,11,48,61,65,75,82,97,78,80,76,n/a,False,False
2019-12-22,92,71,91,55,75,0,58,16,93,82,39,12,47,56,74,73,100,68,79,46,56,n/a,False,False
2019-12-29,92,72,92,55,77,0,60,18,93,61,45,12,49,59,61,72,93,84,86,48,59,n/a,False,False
2020-01-05,89,70,84,66,72,0,70,19,77,52,64,12,56,56,55,68,65,67,88,60,89,n/a,False,False
2020-01-12,92,73,85,75,79,1,55,18,81,49,65,13,54,52,57,71,59,73,80,58,74,n/a,False,False
2020-01-19,87,72,83,78,78,0,58,27,77,50,68,22,50,55,54,69,55,73,81,58,65,n/a,False,False
2020-01-26,85,71,81,78,72,0,54,18,68,44,70,28,48,61,53,72,52,68,76,52,63,n/a,False,False
2020-02-02,87,71,79,76,68,2,64,24,63,46,79,21,48,49,52,67,50,77,79,55,85,n/a,False,False
2020-02-09,88,70,81,82,70,1,56,27,72,46,75,23,49,51,55,67,49,60,81,52,81,n/a,False,False
2020-02-16,87,74,84,77,68,1,50,26,69,48,66,18,54,48,58,69,46,60,80,55,75,n/a,False,False
2020-02-23,86,73,85,89,64,2,47,29,65,47,87,30,51,45,56,70,51,66,78,62,65,n/a,False,False
2020-03-01,85,73,84,80,71,6,48,27,67,48,81,41,51,48,57,66,55,57,78,54,67,n/a,False,False
2020-03-08,81,70,78,60,62,1,59,37,70,45,68,68,42,46,50,61,47,57,76,56,59,5.0,False,False
2020-03-15,82,60,75,57,66,1,64,17,91,67,84,100,45,41,47,67,49,59,74,100,66,56.0,False,False
2020-03-22,87,60,73,69,67,0,58,18,97,73,89,87,45,42,51,81,57,44,77,93,45,263.0,False,False
2020-03-29,90,60,72,77,69,0,59,20,100,75,100,67,48,40,49,80,54,39,83,81,58,2552.0,False,False
2020-04-05,90,64,78,78,74,0,57,17,94,89,96,70,46,40,50,79,75,37,85,79,57,6793.0,True,False
2020-04-12,90,69,80,80,74,0,61,24,86,91,92,54,46,40,61,78,73,38,84,72,56,13484.0,True,False
2020-04-19,90,71,85,78,73,0,59,22,92,83,97,43,50,41,57,78,68,53,79,73,55,18923.0,True,False
2020-04-26,90,74,84,78,69,0,55,20,85,74,91,29,51,44,55,74,62,44,79,70,44,24631.0,True,False
2020-05-03,88,78,93,76,69,0,53,22,78,71,79,28,48,44,56,70,62,36,80,67,46,31548.0,False,False
2020-05-10,88,76,93,71,66,0,55,18,81,69,70,26,49,45,57,73,55,37,88,69,65,38869.0,False,False
2020-05-17,87,82,100,66,76,0,55,20,82,72,64,23,48,48,55,67,56,37,81,82,55,47784.0,False,False
2020-05-24,86,80,91,60,75,0,63,33,80,67,57,18,77,50,53,63,54,36,81,63,77,55348.0,False,False
2020-05-31,79,79,87,60,73,1,66,83,74,64,63,16,100,49,55,61,51,38,74,60,51,64287.0,False,False
2020-06-07,83,82,89,62,68,0,57,72,75,81,56,18,81,52,54,61,50,37,78,60,38,74978.0,False,False
2020-06-14,82,81,88,56,69,0,60,57,72,72,64,19,76,42,55,60,48,37,76,55,41,87854.0,False,False
2020-06-21,83,81,88,60,69,0,63,100,76,65,57,23,58,45,54,61,58,41,78,57,68,111601.0,False,False
2020-06-28,88,76,87,57,68,1,72,37,76,66,68,24,55,44,54,62,48,47,78,60,38,148723.0,False,False
2020-07-05,88,78,87,59,72,1,70,36,76,61,58,25,50,44,53,63,57,48,78,61,44,195239.0,False,False
2020-07-12,91,82,85,58,67,1,80,34,74,64,71,24,52,46,53,62,50,52,82,64,39,258658.0,False,False
2020-07-19,87,80,87,56,69,0,62,27,77,63,63,20,51,46,55,64,48,55,82,60,60,325030.0,False,False
2020-07-26,83,78,84,56,69,1,63,27,75,60,63,19,50,47,54,65,50,60,80,50,60,381656.0,False,False
2020-08-02,83,80,86,61,65,0,64,23,74,62,59,18,49,45,57,65,50,63,81,64,34,436711.0,False,False
2020-08-09,85,77,84,63,68,1,61,45,73,57,64,16,52,45,56,69,49,64,79,68,33,486362.0,False,False
2020-08-16,86,76,82,72,68,1,64,32,73,63,63,15,56,44,54,88,55,78,79,63,46,535042.0,False,False
2020-08-23,88,75,80,81,74,1,70,34,79,62,59,14,58,42,57,92,52,76,78,63,73,577537.0,False,False
2020-08-30,92,75,86,87,87,1,59,27,74,61,80,15,51,48,52,93,49,75,76,60,64,610354.0,False,False
2020-09-06,91,72,79,90,80,1,58,29,82,67,63,15,60,51,53,97,64,76,81,60,64,638310.0,False,False
2020-09-13,89,71,81,95,72,1,52,26,77,72,79,14,57,50,57,100,67,77,79,63,47,659434.0,False,False
2020-09-20,87,70,76,93,65,2,50,31,73,66,65,15,51,49,58,93,52,73,76,53,58,688534.0,False,False
2020-09-27,84,72,75,82,59,3,83,35,66,53,63,15,46,48,50,85,52,75,71,51,36,735132.0,False,False
2020-10-04,82,67,73,79,63,3,75,30,65,53,69,14,47,43,48,78,52,76,73,52,37,765894.0,False,False
2020-10-11,77,67,75,65,61,4,55,26,57,52,65,14,41,40,79,67,51,71,75,50,40,792478.0,False,False
2020-10-18,76,68,74,65,60,3,61,25,57,48,61,13,42,40,60,65,49,64,72,56,48,823779.0,False,False
2020-10-25,77,68,73,66,87,3,53,30,57,49,65,13,42,44,54,66,75,71,71,53,69,862375.0,False,False
2020-11-01,73,59,64,58,69,100,100,40,50,49,65,12,44,39,50,63,61,55,63,44,33,972330.0,False,False
2020-11-08,79,68,76,65,63,9,83,37,66,100,69,16,52,44,59,72,67,52,84,58,38,1034115.0,False,False
2020-11-15,76,66,76,67,61,2,63,22,59,80,73,17,51,43,56,68,69,46,74,50,37,1108402.0,False,False
2020-11-22,79,63,77,52,60,1,58,15,72,90,61,13,45,43,57,61,72,53,74,44,56,1193616.0,False,False
2020-11-29,81,64,79,65,60,1,55,17,66,79,71,16,41,47,56,67,73,59,71,68,58,1266707.0,False,False
2020-12-06,83,66,78,68,67,1,54,19,69,75,66,18,45,48,54,68,80,61,76,61,49,1375313.0,False,False
2020-12-13,81,66,82,64,63,1,55,19,69,80,58,20,42,53,54,69,88,77,71,71,63,1472711.0,False,False
2020-12-20,84,67,82,50,69,0,61,12,73,90,44,19,43,61,60,67,93,59,76,46,52,n/a,False,False
