time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,98,64,96,94,57,0,57,20,85,61,82,11,66,63,58,85,47,65,91,26,57,n/a,False,False
2019-01-13,93,63,96,86,71,0,58,29,78,53,45,12,62,52,60,84,44,66,88,26,66,n/a,False,False
2019-01-20,92,62,89,86,72,0,57,32,76,57,60,10,42,43,58,74,39,55,85,31,58,n/a,False,False
2019-01-27,92,61,91,87,53,0,64,32,81,66,53,14,47,49,51,75,35,54,81,57,53,n/a,False,False
2019-02-03,93,64,91,81,70,0,58,27,72,49,76,13,52,49,49,73,47,73,86,53,91,n/a,False,False
2019-02-10,95,60,91,89,63,0,52,40,77,51,51,13,47,52,58,82,45,60,86,47,93,n/a,False,False
2019-02-17,97,65,91,84,77,0,59,23,83,57,56,14,53,57,70,79,48,61,85,48,73,n/a,False,False
2019-02-24,98,67,92,90,69,0,60,47,72,48,36,11,54,58,64,76,62,48,90,74,65,n/a,False,False
2019-03-03,98,69,93,92,67,0,51,58,77,56,81,13,47,44,57,80,43,66,100,60,76,n/a,False,False
2019-03-10,93,68,87,84,70,0,53,37,72,51,49,12,41,60,54,76,47,85,90,60,62,n/a,False,False
2019-03-17,88,70,90,82,66,0,42,19,73,50,61,13,48,62,58,82,39,71,83,40,46,n/a,False,False
2019-03-24,90,71,90,84,64,0,47,23,70,47,70,11,53,100,61,74,34,60,83,50,46,n/a,False,False
2019-03-31,85,71,86,78,71,0,48,19,62,45,69,9,47,62,56,68,45,74,77,48,49,n/a,False,False
2019-04-07,87,68,89,94,81,0,44,28,64,54,74,10,54,47,52,80,45,79,83,68,65,n/a,False,False
2019-04-14,90,72,88,100,73,0,51,23,72,55,59,10,45,58,56,84,40,62,91,65,54,n/a,False,False
2019-04-21,97,73,87,95,70,0,48,16,71,36,67,11,48,55,53,88,41,75,84,55,47,n/a,False,False
2019-04-28,90,70,84,95,100,0,45,24,82,46,57,12,35,51,53,78,46,62,86,31,51,n/a,False,False
2019-05-05,87,69,86,88,74,0,48,25,63,50,65,12,61,61,58,77,38,65,84,48,49,n/a,False,False
2019-05-12,89,73,86,97,73,0,48,21,74,46,37,11,41,56,60,80,44,52,88,71,52,n/a,False,False
2019-05-19,90,71,82,87,67,0,45,15,76,40,53,10,57,73,50,86,40,52,86,70,82,n/a,False,False
2019-05-26,85,70,84,74,70,0,48,16,68,47,45,9,41,67,55,85,43,49,81,39,59,n/a,False,False
2019-06-02,84,71,86,65,65,0,47,12,71,47,56,10,44,68,54,86,41,58,78,44,45,n/a,False,False
2019-06-09,82,72,86,61,65,0,42,9,70,55,59,9,48,61,48,79,26,47,75,30,32,n/a,False,False
2019-06-16,86,74,86,64,63,0,50,26,68,51,69,11,47,60,50,79,47,58,77,23,37,n/a,False,False
2019-06-23,83,75,86,63,72,1,43,19,78,42,32,9,54,61,56,73,43,63,78,39,24,n/a,False,False
2019-06-30,90,73,85,60,52,0,48,17,73,47,41,8,57,49,50,74,39,77,75,45,32,n/a,False,False
2019-07-07,93,77,87,61,60,0,53,7,71,45,36,9,47,59,54,75,28,60,78,59,30,n/a,False,False
2019-07-14,91,77,90,65,75,0,51,27,72,53,29,9,47,58,56,79,38,51,85,66,25,n/a,False,False
2019-07-21,93,74,89,62,90,0,49,13,86,47,34,10,59,58,60,76,43,55,80,44,35,n/a,False,False
2019-07-28,94,79,92,65,82,1,52,17,64,44,50,8,54,56,64,77,34,52,90,85,30,n/a,False,False
2019-08-04,88,75,90,63,65,0,48,13,69,49,54,9,46,47,60,77,46,58,78,87,40,n/a,False,False
2019-08-11,89,78,89,65,66,0,53,20,81,50,45,10,39,49,56,87,31,34,76,68,22,n/a,False,False
2019-08-18,91,82,88,72,64,0,42,25,86,40,40,8,55,56,58,80,42,76,86,53,19,n/a,False,False
2019-08-25,89,88,83,73,75,0,52,19,86,44,63,12,45,56,65,82,44,98,81,64,23,n/a,False,False
2019-09-01,88,100,78,76,76,0,52,28,71,66,58,8,49,60,55,80,36,79,77,46,32,n/a,False,False
2019-09-08,89,100,90,84,69,0,47,20,69,43,70,11,48,45,100,88,36,67,80,68,46,n/a,False,False
2019-09-15,91,96,86,85,71,0,47,24,71,43,38,10,53,51,85,87,36,51,97,71,45,n/a,False,False
2019-09-22,87,81,80,83,68,0,56,14,66,45,57,10,50,50,79,81,34,72,86,62,42,n/a,False,False
2019-09-29,89,67,79,84,90,0,53,26,61,49,57,9,38,49,69,79,44,54,76,61,45,n/a,False,False
2019-10-06,90,67,79,82,94,0,52,18,70,37,57,12,41,43,74,79,40,89,81,56,64,n/a,False,False
2019-10-13,90,65,79,81,85,1,55,18,70,53,46,8,52,42,70,82,41,69,82,48,54,n/a,False,False
2019-10-20,92,65,82,79,77,0,50,21,68,42,69,11,46,44,59,77,50,100,79,42,48,n/a,False,False
2019-10-27,93,64,84,82,80,0,50,14,73,39,83,11,52,48,62,78,43,82,80,53,71,n/a,False,False
2019-11-03,88,65,82,91,66,1,54,22,68,48,90,10,38,51,58,82,45,87,84,44,38,n/a,False,False
2019-11-10,91,64,83,82,60,0,53,24,70,53,64,12,35,46,77,76,81,65,84,73,37,n/a,False,False
2019-11-17,92,67,86,84,74,1,49,27,63,49,64,10,55,43,71,79,85,78,78,51,60,n/a,False,False
2019-11-24,89,62,80,67,62,0,47,15,75,60,56,8,34,52,64,67,85,62,78,44,100,n/a,False,False
2019-12-01,88,62,86,82,58,0,49,24,69,66,87,12,46,48,73,73,56,61,75,63,52,n/a,False,False
2019-12-08,90,61,88,87,55,0,49,25,69,65,61,9,54,60,70,80,79,51,79,54,56,n/a,False,False
2019-12-15,96,61,85,82,67,0,74,14,68,68,74,10,42,67,71,77,74,99,79,72,47,n/a,False,False
