time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,97,77,98,83,72,0,72,25,86,53,45,9,46,89,61,88,48,86,95,51,91,n/a,False,False
2019-01-13,96,80,97,88,83,0,71,28,88,51,55,9,56,84,55,93,50,72,89,52,100,n/a,False,False
2019-01-20,96,77,95,82,78,0,68,30,80,50,51,9,45,92,54,89,49,69,89,42,65,n/a,False,False
2019-01-27,92,78,92,78,71,1,66,31,76,52,58,10,47,95,56,90,52,70,86,55,93,n/a,False,False
2019-02-03,90,76,92,78,61,1,59,24,63,47,67,10,41,81,54,81,53,79,89,56,60,n/a,False,False
2019-02-10,88,75,85,80,61,0,62,31,70,44,56,10,54,75,52,84,40,57,84,53,71,n/a,False,False
2019-02-17,93,73,90,79,69,0,80,31,75,45,56,10,52,74,59,85,49,65,86,47,90,n/a,False,False
2019-02-24,95,81,89,87,58,0,68,38,71,52,63,10,45,78,61,84,51,58,88,59,73,n/a,False,False
2019-03-03,100,80,94,87,63,0,58,66,73,47,64,10,43,81,60,82,44,73,99,62,74,n/a,False,False
2019-03-10,92,85,93,82,59,0,64,30,67,46,50,10,46,82,60,84,42,96,91,67,56,n/a,False,False
2019-03-17,91,80,93,87,64,0,53,30,72,45,46,9,47,92,58,86,49,84,85,52,51,n/a,False,False
2019-03-24,89,85,93,84,68,0,55,32,63,47,63,9,51,100,51,84,49,72,82,51,48,n/a,False,False
2019-03-31,95,82,89,85,65,0,54,22,72,46,71,9,48,80,56,83,50,70,91,54,58,n/a,False,False
2019-04-07,93,83,94,92,70,0,53,33,71,45,38,10,46,74,56,88,49,60,86,47,63,n/a,False,False
2019-04-14,92,82,94,95,66,0,55,23,70,44,51,10,56,81,58,86,54,71,91,52,81,n/a,False,False
2019-04-21,97,82,91,98,75,0,52,27,69,42,36,10,43,80,52,87,57,86,89,66,54,n/a,False,False
2019-04-28,96,82,91,100,84,0,53,27,64,45,50,10,52,74,56,87,55,77,89,47,56,n/a,False,False
2019-05-05,94,85,93,96,76,0,54,30,69,49,45,11,50,82,57,88,52,82,97,53,55,n/a,False,False
2019-05-12,95,84,88,92,79,0,57,19,70,50,54,9,45,82,58,91,45,69,95,56,51,n/a,False,False
2019-05-19,86,82,84,93,66,1,49,21,69,44,47,9,46,78,49,87,47,65,87,61,41,n/a,False,False
2019-05-26,87,82,85,70,66,0,47,18,74,40,34,8,48,79,55,84,48,67,81,49,53,n/a,False,False
2019-06-02,89,87,87,68,55,0,56,22,72,42,52,9,49,96,56,89,49,71,81,48,54,n/a,False,False
2019-06-09,86,82,88,57,62,1,54,16,74,54,34,8,48,73,54,84,38,67,75,44,52,n/a,False,False
2019-06-16,83,83,89,53,56,0,55,17,70,51,40,8,50,77,53,77,45,72,73,55,55,n/a,False,False
2019-06-23,83,83,85,50,56,1,53,22,71,46,37,7,43,71,54,78,52,59,71,46,36,n/a,False,False
2019-06-30,88,87,90,54,60,0,55,20,72,43,32,7,40,71,52,74,36,70,73,44,50,n/a,False,False
2019-07-07,93,89,90,53,63,0,57,18,68,48,40,8,53,73,56,76,47,70,84,52,48,n/a,False,False
2019-07-14,90,86,91,54,72,0,59,25,69,43,31,8,51,72,58,79,48,56,76,45,45,n/a,False,False
2019-07-21,90,88,91,54,78,0,58,24,77,46,39,8,68,75,55,78,46,57,85,50,46,n/a,False,False
2019-07-28,88,89,92,49,71,1,57,21,66,45,54,8,44,70,58,78,42,65,89,75,44,n/a,False,False
2019-08-04,85,86,90,54,64,0,54,26,64,48,34,7,52,75,56,78,44,64,78,63,39,n/a,False,False
2019-08-11,86,86,91,57,64,0,54,20,68,44,62,7,51,71,58,84,45,59,78,56,43,n/a,False,False
2019-08-18,89,89,89,60,65,0,50,19,74,44,51,7,50,75,59,84,47,69,81,60,50,n/a,False,False
2019-08-25,87,91,85,67,63,0,51,17,79,45,51,8,47,70,57,87,38,86,80,57,40,n/a,False,False
2019-09-01,87,98,83,65,65,0,52,19,75,50,39,7,41,70,59,84,46,72,80,42,61,n/a,False,False
2019-09-08,89,100,90,80,67,1,59,21,72,43,49,8,49,72,100,89,54,80,87,54,40,n/a,False,False
2019-09-15,91,98,83,79,73,0,55,23,68,46,70,9,48,72,81,87,41,89,100,43,31,n/a,False,False
2019-09-22,88,88,85,79,73,0,67,24,66,46,59,9,56,67,78,84,42,83,86,61,32,n/a,False,False
2019-09-29,87,79,84,76,92,0,60,25,60,45,60,10,48,64,69,84,44,79,83,54,41,n/a,False,False
2019-10-06,87,74,83,79,100,0,58,21,63,43,50,9,45,68,60,82,44,83,84,45,52,n/a,False,False
2019-10-13,89,74,78,77,75,1,57,23,63,42,52,9,45,65,62,83,46,78,83,37,56,n/a,False,False
