time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,99,70,91,83,69,0,69,20,88,67,50,10,40,49,59,76,59,69,90,62,27,n/a,False,False
2019-01-13,95,72,90,91,73,0,64,27,84,56,46,11,40,40,61,77,44,72,85,55,25,n/a,False,False
2019-01-20,93,69,86,87,72,0,60,24,84,55,65,14,37,41,58,73,50,54,90,34,22,n/a,False,False
2019-01-27,92,70,86,77,69,0,60,25,73,62,50,20,37,47,56,77,43,65,82,46,31,n/a,False,False
2019-02-03,93,72,79,74,72,0,63,26,80,61,61,13,39,39,53,74,40,67,90,69,100,n/a,False,False
2019-02-10,95,69,83,74,64,0,61,20,82,58,43,11,32,39,50,72,53,45,89,53,92,n/a,False,False
2019-02-17,96,72,88,75,70,0,68,29,79,53,62,11,43,54,60,71,56,46,85,42,41,n/a,False,False
2019-02-24,99,75,87,80,69,0,64,21,70,54,51,10,36,49,62,70,49,61,91,76,38,n/a,False,False
2019-03-03,98,75,87,79,72,0,55,67,75,53,56,13,34,47,58,71,45,64,98,67,38,n/a,False,False
2019-03-10,94,76,84,81,66,0,59,29,67,50,79,11,35,63,60,72,53,100,95,66,25,n/a,False,False
2019-03-17,88,80,88,77,66,0,46,25,77,46,57,10,34,72,57,70,45,67,84,45,22,n/a,False,False
2019-03-24,91,78,88,80,60,0,49,22,71,48,61,10,39,100,56,73,44,69,81,43,21,n/a,False,False
2019-03-31,91,77,84,69,70,0,49,23,75,45,51,10,34,46,51,70,47,78,78,52,22,n/a,False,False
2019-04-07,92,78,82,81,75,0,46,25,79,52,69,10,42,51,54,74,50,77,81,38,24,n/a,False,False
2019-04-14,97,77,86,100,72,0,52,21,70,54,44,11,41,49,62,77,50,80,95,65,24,n/a,False,False
2019-04-21,95,77,81,92,71,0,52,23,71,44,73,10,40,45,54,74,44,89,84,65,21,n/a,False,False
2019-04-28,93,77,84,94,78,0,47,28,72,45,51,11,31,48,59,75,47,83,87,50,17,n/a,False,False
2019-05-05,87,77,87,90,69,0,51,19,62,45,66,10,42,58,53,74,51,75,86,47,18,n/a,False,False
2019-05-12,94,79,83,97,67,0,52,22,70,57,56,11,38,51,58,75,56,51,93,47,27,n/a,False,False
2019-05-19,90,75,82,93,71,1,44,17,75,51,59,9,31,47,55,76,38,79,86,79,30,n/a,False,False
2019-05-26,88,75,80,77,67,0,49,18,70,50,51,9,38,60,54,73,46,52,81,36,24,n/a,False,False
2019-06-02,92,78,85,84,66,0,52,18,74,55,45,10,37,75,60,81,45,72,79,56,27,n/a,False,False
2019-06-09,90,81,81,72,70,0,53,21,71,64,44,9,38,53,54,74,45,74,79,50,25,n/a,False,False
2019-06-16,91,77,84,69,66,0,51,14,84,54,53,9,43,50,57,74,44,66,78,39,27,n/a,False,False
2019-06-23,91,81,85,57,67,1,50,18,75,51,49,8,32,50,61,75,33,66,79,44,28,n/a,False,False
2019-06-30,91,80,81,59,66,0,49,21,84,50,37,8,33,51,55,71,41,70,74,47,27,n/a,False,False
2019-07-07,96,82,88,59,72,0,52,19,83,53,49,8,36,40,56,69,46,70,84,53,26,n/a,False,False
2019-07-14,96,83,87,58,80,0,53,28,73,55,54,9,40,44,56,73,44,49,80,41,26,n/a,False,False
2019-07-21,97,87,92,61,75,0,52,26,77,49,44,9,53,48,59,75,52,69,92,51,27,n/a,False,False
2019-07-28,98,86,90,61,77,1,53,15,85,55,49,9,39,35,55,74,36,68,90,71,24,n/a,False,False
2019-08-04,94,85,88,60,75,1,55,29,82,55,55,8,40,45,56,72,47,95,82,66,31,n/a,False,False
2019-08-11,95,84,90,65,77,0,54,26,78,52,43,9,42,42,57,76,42,59,83,64,24,n/a,False,False
2019-08-18,94,90,87,61,64,0,52,27,79,53,75,9,37,46,60,73,50,73,81,55,22,n/a,False,False
2019-08-25,92,88,83,61,66,0,51,16,78,51,44,9,41,42,55,74,58,76,80,51,24,n/a,False,False
2019-09-01,88,96,81,64,67,0,48,16,74,64,45,7,35,42,61,76,46,77,79,42,23,n/a,False,False
2019-09-08,94,100,84,71,63,1,52,15,75,51,47,9,40,43,100,85,47,98,82,60,29,n/a,False,False
2019-09-15,94,98,81,73,71,0,50,24,77,53,66,10,39,42,84,86,38,84,100,65,25,n/a,False,False
2019-09-22,92,84,78,73,73,0,61,20,75,51,57,10,34,43,76,82,38,76,85,48,26,n/a,False,False
2019-09-29,89,70,78,71,83,0,56,18,70,49,62,9,37,38,68,76,42,79,81,55,26,n/a,False,False
2019-10-06,88,68,74,72,93,0,53,12,67,48,68,10,32,34,63,71,44,69,80,44,30,n/a,False,False
2019-10-13,91,67,79,76,79,1,57,22,72,48,45,10,33,39,64,74,45,68,80,54,27,n/a,False,False
2019-10-20,91,66,76,77,75,1,46,26,64,47,64,9,32,32,61,77,47,87,79,49,25,n/a,False,False
2019-10-27,89,64,74,73,72,0,50,12,68,47,66,9,28,36,58,70,49,92,73,49,24,n/a,False,False
2019-11-03,87,64,76,83,62,3,52,17,71,50,61,9,39,45,67,71,48,63,78,55,18,n/a,False,False
2019-11-10,95,67,77,74,66,0,53,21,78,52,70,10,35,47,64,75,87,74,88,51,22,n/a,False,False
2019-11-17,96,72,83,77,69,1,55,20,72,61,58,12,40,41,63,79,90,63,85,63,24,n/a,False,False
2019-11-24,91,69,80,63,63,0,54,18,74,62,53,9,31,37,69,69,81,69,76,45,32,n/a,False,False
2019-12-01,91,67,88,75,65,0,52,18,68,59,49,10,34,47,69,79,78,86,76,59,27,n/a,False,False
2019-12-08,93,66,84,76,59,0,53,16,71,67,80,10,38,54,61,75,79,69,79,56,24,n/a,False,False
2019-12-15,96,67,84,73,64,1,77,19,76,67,44,10,33,58,66,73,87,59,80,67,29,n/a,False,False
2019-12-22,99,70,84,59,76,0,56,12,88,76,31,10,35,44,65,69,100,66,83,38,26,n/a,False,False
2019-12-29,100,71,96,62,78,0,59,25,100,64,33,11,40,48,66,75,95,70,89,34,28,n/a,False,False
2020-01-05,93,69,87,73,73,0,68,20,77,51,65,11,40,47,58,72,62,60,91,29,52,n/a,False,False
2020-01-12,92,68,85,72,77,1,52,16,85,54,69,10,34,42,55,73,59,71,86,47,90,n/a,False,False
2020-01-19,91,68,88,81,68,0,54,24,82,52,63,21,37,47,60,70,59,57,84,41,25,1.0,False,False
