time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,96,66,100,89,69,0,74,20,74,49,33,7,54,40,64,91,56,54,91,27,34,,False,False
2019-01-13,92,64,95,87,73,0,72,23,79,50,50,7,47,41,65,80,64,55,85,42,41,,False,False
2019-01-20,85,61,80,76,70,0,62,22,86,51,53,7,46,33,59,82,52,50,83,36,73,,False,False
2019-01-27,93,67,76,71,66,0,72,24,78,62,40,7,58,33,57,83,68,49,83,44,100,,False,False
2019-02-03,93,64,80,82,66,0,65,26,74,53,56,7,67,33,60,83,54,52,81,35,59,,False,False
2019-02-10,90,66,79,82,62,0,64,26,71,48,50,7,53,38,61,84,65,46,82,32,59,,False,False
2019-02-17,90,69,80,82,71,0,77,32,72,53,49,8,51,39,65,86,61,42,82,49,56,,False,False
2019-02-24,96,70,80,91,63,0,70,32,64,53,61,9,59,38,61,83,44,51,93,38,52,,False,False
2019-03-03,97,71,82,94,59,0,57,66,73,50,63,9,49,41,65,83,52,52,95,44,45,,False,False
2019-03-10,91,69,82,87,70,0,61,36,67,48,38,8,55,48,53,85,34,80,89,45,40,,False,False
2019-03-17,89,75,79,85,60,0,52,27,55,46,48,8,43,60,55,79,42,78,78,25,25,,False,False
2019-03-24,87,75,81,68,59,0,56,24,68,44,40,7,48,100,51,77,39,63,75,45,24,,False,False
2019-03-31,93,74,81,90,71,3,56,30,58,46,65,8,44,36,56,83,48,64,86,42,28,,False,False
2019-04-07,92,74,83,93,70,0,51,25,60,50,54,8,58,43,55,88,49,72,86,29,52,,False,False
2019-04-14,87,73,79,97,60,0,54,29,59,47,49,7,49,51,59,86,39,70,88,46,37,,False,False
2019-04-21,90,75,76,96,72,0,58,25,70,46,41,9,46,48,58,87,56,72,78,29,47,,False,False
2019-04-28,96,73,78,98,87,0,58,27,67,41,31,9,42,50,58,86,59,81,83,44,36,,False,False
2019-05-05,91,75,77,100,66,0,59,22,62,48,28,8,42,42,60,82,57,77,88,53,39,,False,False
2019-05-12,90,74,78,95,66,0,62,29,67,49,49,7,46,44,60,84,41,73,86,43,47,,False,False
2019-05-19,87,73,74,94,61,0,58,30,65,36,44,7,47,43,59,90,56,70,81,86,55,,False,False
2019-05-26,87,74,78,78,60,0,51,24,66,47,47,7,46,46,60,81,45,65,80,33,55,,False,False
2019-06-02,86,75,79,77,71,0,55,13,62,49,34,7,48,65,63,82,46,52,71,37,38,,False,False
2019-06-09,83,75,78,57,68,0,54,11,65,62,46,7,49,42,63,84,34,55,70,41,53,,False,False
2019-06-16,85,76,80,56,55,0,59,16,59,44,29,6,48,40,60,77,43,49,73,29,42,,False,False
2019-06-23,86,74,87,59,53,1,54,13,59,43,34,7,50,40,56,80,52,56,74,33,62,,False,False
2019-06-30,92,75,84,59,59,0,53,25,70,46,38,7,41,37,57,77,45,57,77,34,66,,False,False
2019-07-07,91,80,79,53,64,0,55,11,57,45,59,6,49,38,64,79,53,64,79,31,34,,False,False
2019-07-14,92,79,77,54,66,0,63,28,72,47,45,6,47,42,63,77,45,49,75,43,69,,False,False
2019-07-21,88,86,81,56,65,0,50,30,70,42,28,6,76,40,59,75,57,60,76,40,34,,False,False
2019-07-28,89,84,83,58,71,1,56,19,65,48,45,7,51,35,62,76,44,53,83,60,35,,False,False
2019-08-04,83,75,73,51,65,0,59,20,74,47,35,5,46,34,61,78,42,56,71,49,41,,False,False
2019-08-11,86,78,77,59,62,0,56,20,76,38,17,5,43,37,69,79,42,48,70,52,41,,False,False
2019-08-18,88,84,81,59,62,0,59,18,69,47,43,7,54,37,59,79,55,48,79,32,30,,False,False
2019-08-25,86,86,75,59,62,0,59,26,81,39,28,6,49,40,65,79,36,64,72,35,35,,False,False
2019-09-01,85,98,73,71,68,0,56,15,69,53,38,6,42,38,68,92,47,88,69,35,33,,False,False
2019-09-08,91,100,75,81,66,1,55,21,67,44,27,7,52,35,100,91,49,81,86,41,48,,False,False
2019-09-15,94,95,78,82,55,0,54,23,72,46,50,8,49,37,88,97,43,100,95,35,37,,False,False
2019-09-22,91,78,71,75,71,0,65,16,68,44,43,8,45,36,84,87,41,79,84,46,37,,False,False
2019-09-29,91,69,70,81,88,0,64,17,68,41,48,7,50,33,80,88,48,72,81,41,51,,False,False
2019-10-06,87,65,71,80,90,0,61,18,66,40,60,7,51,33,68,78,41,63,74,50,45,,False,False
2019-10-13,89,67,74,82,79,1,64,26,62,47,50,7,45,35,68,84,43,72,80,50,39,,False,False
2019-10-20,91,66,74,80,75,0,58,22,66,45,40,8,41,36,65,87,52,73,74,25,38,,False,False
2019-10-27,88,65,71,82,66,0,59,17,65,45,53,7,44,36,62,86,54,88,78,41,45,,False,False
2019-11-03,87,65,75,92,69,1,64,31,65,49,47,8,49,35,64,81,52,53,79,39,38,,False,False
2019-11-10,91,68,76,81,66,0,61,21,69,46,60,8,49,35,76,88,79,60,82,37,42,,False,False
2019-11-17,91,65,77,86,69,0,59,24,73,52,60,7,54,37,74,87,90,61,83,48,31,,False,False
2019-11-24,91,62,74,66,62,0,59,21,69,64,40,6,48,32,77,80,89,56,74,46,47,,False,False
2019-12-01,90,64,81,81,67,0,54,29,66,64,68,8,61,42,86,82,84,55,72,40,32,,False,False
2019-12-08,93,62,80,85,68,0,55,33,62,63,72,7,61,46,69,80,69,53,80,62,37,,False,False
2019-12-15,95,62,79,85,58,0,80,23,75,54,33,8,51,49,67,86,88,67,80,75,27,,False,False
2019-12-22,97,63,82,57,74,0,66,16,90,75,22,8,46,53,76,79,93,59,79,32,32,,False,False
2019-12-29,100,68,88,65,73,0,71,19,94,60,50,9,57,48,70,82,100,57,87,38,39,,False,False
2020-01-05,93,63,84,78,66,0,74,18,79,55,36,8,53,47,61,78,51,55,100,24,51,,False,False
2020-01-12,91,62,77,77,73,1,59,14,79,44,35,8,59,44,63,81,72,55,81,29,57,,False,False
2020-01-19,90,64,79,78,76,0,62,25,69,40,48,15,56,46,63,81,58,58,79,28,38,,False,False
2020-01-26,85,64,79,83,67,0,56,18,63,41,39,21,42,51,59,79,63,46,79,36,23,,False,False
2020-02-02,89,66,81,82,67,4,72,25,61,44,56,15,43,44,61,81,56,56,83,39,28,,False,False
2020-02-09,89,62,80,78,68,1,65,32,71,44,71,14,55,40,63,76,58,40,84,27,42,,False,False
2020-02-16,89,69,84,80,69,2,55,30,75,47,66,11,48,38,60,73,60,45,85,28,35,,False,False
2020-02-23,86,69,81,92,61,1,55,25,64,49,66,20,53,38,61,78,69,46,80,28,36,,False,False
2020-03-01,85,70,81,85,61,3,52,33,64,48,52,24,47,39,65,80,56,39,82,41,34,,False,False
2020-03-08,85,65,76,74,57,1,64,41,66,46,58,59,42,37,54,76,50,46,84,26,33,,False,False
2020-03-15,85,54,73,70,65,1,67,23,87,63,65,100,45,35,59,84,58,55,73,100,28,,False,False
2020-03-22,94,58,73,68,73,1,60,24,100,66,78,76,48,34,57,90,61,35,81,76,28,,False,False
2020-03-29,93,60,74,81,82,1,64,20,96,68,56,60,50,32,57,94,54,32,88,74,34,,False,False
2020-04-05,98,64,77,83,75,3,67,17,81,86,79,54,52,30,60,89,67,30,91,63,41,,False,False
2020-04-12,96,69,80,81,76,2,71,24,81,85,86,43,55,33,68,91,77,29,97,53,36,,False,False
2020-04-19,94,67,78,83,67,0,61,21,92,73,100,35,42,31,66,85,53,64,87,58,37,,False,False
2020-04-26,89,70,79,80,69,0,61,25,81,69,88,24,53,36,58,89,57,46,86,50,39,,False,False
2020-05-03,93,74,77,81,64,0,59,24,70,58,79,23,45,35,56,84,64,28,82,57,36,,False,False
2020-05-10,88,76,79,78,64,1,62,15,72,60,60,22,49,36,67,79,56,29,88,64,42,,False,False
2020-05-17,90,77,91,71,81,0,60,18,81,62,76,21,39,31,65,81,59,27,86,63,52,,False,False
2020-05-24,83,78,86,71,73,0,66,26,74,51,48,15,94,37,53,70,65,29,74,33,59,,False,False
