time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,91,76,93,85,86,0,56,27,73,42,35,10,52,52,75,82,31,62,93,50,66,,,
2019-01-13,94,76,96,89,66,0,69,12,84,56,27,11,59,40,66,93,53,53,88,47,88,,,
2019-01-20,90,71,86,89,78,0,59,24,92,53,75,11,67,45,55,88,42,49,86,46,74,,,
2019-01-27,89,71,85,80,62,0,65,15,65,48,68,11,48,44,77,85,45,36,87,47,100,,,
2019-02-03,89,76,82,92,71,0,60,15,60,49,20,14,53,44,68,91,35,82,83,38,56,,,
2019-02-10,87,75,80,96,63,0,56,27,75,39,47,15,61,50,58,89,35,41,83,43,60,,,
2019-02-17,92,76,87,86,70,0,57,21,59,48,40,14,49,46,67,79,38,55,85,41,68,,,
2019-02-24,92,80,90,89,76,0,59,38,83,40,60,11,64,60,66,86,37,57,88,56,65,,,
2019-03-03,92,78,87,85,57,0,58,48,67,46,27,13,41,63,74,91,38,47,89,66,71,,,
2019-03-10,84,76,84,85,74,0,55,24,54,43,21,10,54,57,66,77,52,100,84,52,47,,,
2019-03-17,85,83,91,96,53,0,61,33,59,42,27,13,69,80,63,86,47,89,81,46,40,,,
2019-03-24,84,80,91,79,50,0,49,24,52,36,35,12,49,100,67,89,33,55,76,51,38,,,
2019-03-31,85,79,83,88,69,0,42,24,63,50,7,12,44,43,53,75,31,39,72,49,37,,,
2019-04-07,85,82,79,92,68,0,41,18,49,33,21,9,69,48,61,85,31,47,81,58,45,,,
2019-04-14,85,77,84,74,74,0,48,32,70,35,14,10,59,38,55,81,42,64,66,63,61,,,
2019-04-21,89,79,82,98,81,0,55,31,58,42,35,8,65,45,63,82,36,71,81,53,47,,,
2019-04-28,87,79,89,96,79,0,59,33,70,37,7,12,55,68,63,81,43,96,86,53,52,,,
2019-05-05,81,75,78,89,66,0,45,21,47,33,21,10,46,51,48,90,38,53,80,44,43,,,
2019-05-12,84,74,75,77,72,0,55,6,64,34,41,9,46,44,46,100,43,36,77,58,43,,,
2019-05-19,78,84,79,81,61,0,45,21,67,38,34,9,61,54,44,90,30,66,70,68,43,,,
2019-05-26,80,83,67,61,55,0,40,21,67,40,21,8,41,59,48,89,49,66,77,65,57,,,
2019-06-02,80,78,84,64,69,0,47,12,69,43,7,11,42,71,52,99,23,73,74,40,43,,,
2019-06-09,77,79,77,51,73,0,49,18,56,46,7,9,52,45,48,72,42,59,67,56,42,,,
2019-06-16,81,82,79,53,55,0,55,9,59,53,21,9,41,40,51,86,26,64,72,36,52,,,
2019-06-23,78,80,75,59,62,1,46,21,46,38,27,8,47,37,55,81,51,52,69,46,38,,,
2019-06-30,83,78,75,59,59,0,48,33,56,45,14,6,44,36,58,75,45,33,63,63,48,,,
2019-07-07,86,84,81,59,61,0,60,21,57,45,27,8,60,48,56,76,37,66,76,49,41,,,
2019-07-14,84,82,81,61,68,0,52,12,64,39,42,10,64,48,55,85,67,28,74,44,37,,,
2019-07-21,83,83,81,56,58,0,59,9,57,41,29,10,40,39,63,74,62,32,75,54,42,,,
2019-07-28,83,85,83,63,55,0,50,16,68,46,21,9,56,50,59,77,44,40,86,37,35,,,
2019-08-04,79,83,71,54,62,0,49,15,59,45,35,10,58,52,50,78,22,45,68,67,32,,,
2019-08-11,85,88,85,64,53,0,59,18,66,37,41,9,46,38,56,86,14,36,81,55,29,,,
2019-08-18,87,88,80,77,63,0,51,9,66,48,41,9,55,27,58,89,37,60,81,79,32,,,
2019-08-25,88,90,77,83,66,0,53,15,79,40,27,9,55,35,66,89,21,77,78,59,33,,,
2019-09-01,86,95,80,77,59,0,55,3,58,50,20,9,41,36,76,81,36,85,68,45,33,,,
2019-09-08,88,100,77,85,72,1,58,20,50,38,33,13,59,41,98,95,32,98,84,63,27,,,
2019-09-15,90,93,77,84,58,0,54,12,53,34,39,12,51,44,95,95,36,88,98,71,20,,,
2019-09-22,88,89,70,80,70,0,55,17,67,39,65,10,58,48,87,77,45,79,79,59,30,,,
2019-09-29,84,74,78,97,77,0,57,20,48,38,26,12,40,39,72,72,31,39,73,100,37,,,
2019-10-06,87,72,74,92,76,0,50,14,43,31,19,10,54,29,65,89,45,86,82,70,52,,,
2019-10-13,86,73,78,87,67,0,48,9,75,37,19,10,50,37,82,76,43,76,73,70,56,,,
2019-10-20,87,75,75,86,57,0,56,25,64,42,26,9,49,40,75,88,46,62,80,64,48,,,
2019-10-27,87,72,76,91,70,0,53,20,60,39,32,10,41,40,78,83,40,59,72,74,62,,,
2019-11-03,87,71,72,90,74,1,56,25,61,48,19,11,52,47,73,79,48,82,85,68,46,,,
2019-11-10,96,73,76,89,61,0,54,17,58,40,32,11,60,28,73,75,59,67,86,76,58,,,
2019-11-17,91,72,82,87,71,0,59,8,53,46,45,12,59,46,78,83,58,55,82,77,42,,,
2019-11-24,86,69,77,69,51,0,60,11,62,63,32,7,42,32,68,79,37,56,74,53,42,,,
2019-12-01,90,71,88,87,55,0,52,17,53,66,26,11,53,39,100,85,61,67,78,61,53,,,
2019-12-08,91,67,87,93,59,0,53,20,48,60,26,10,54,59,61,91,90,63,70,73,51,,,
2019-12-15,91,67,81,77,69,0,78,23,70,48,13,10,44,62,74,92,81,81,75,83,56,,,
2019-12-22,96,73,84,69,73,0,57,0,100,65,7,8,42,46,77,90,100,63,72,56,37,,,
2019-12-29,100,75,100,72,72,0,65,15,97,50,27,12,66,59,69,99,70,76,92,48,46,,,
2020-01-05,91,74,94,76,78,0,66,16,78,56,25,11,56,51,64,84,65,56,88,72,57,,,
