time,arts_entertainment,autos,beauty_fitness,books_lit,action_adventure,campaigns_elections,celebs,discrimination,entertainment_media,games_systems_consoles,health_news,infectious_diseases,law_enf,lottos,mobiles,online_vids,scifi_fantasy,sport_news,tv_shows,voice_vid_chat,weather,covid_cases,stay_at_home,mass_gathering_ban
2019-01-06,92,63,95,83,72,0,78,9,56,69,40,11,35,70,39,82,81,26,72,0,47,n/a,False,False
2019-01-13,95,67,95,77,44,0,65,0,68,31,0,9,49,60,46,83,46,32,94,36,56,n/a,False,False
2019-01-20,89,67,90,80,54,0,80,0,94,33,59,7,52,76,47,84,40,50,82,12,65,n/a,False,False
2019-01-27,86,63,91,72,60,0,65,0,55,62,79,12,75,34,44,70,23,25,85,0,54,n/a,False,False
2019-02-03,93,68,83,74,39,0,77,25,66,39,19,11,30,68,41,88,45,50,95,36,78,n/a,False,False
2019-02-10,94,62,84,75,55,0,60,25,75,48,19,11,47,62,69,79,34,38,98,46,59,n/a,False,False
2019-02-17,85,67,94,69,43,0,71,25,72,57,19,16,37,46,47,69,51,44,80,12,56,n/a,False,False
2019-02-24,95,71,91,70,48,0,77,8,51,64,58,8,41,63,50,88,61,19,90,24,72,n/a,False,False
2019-03-03,94,72,91,78,59,0,58,42,64,55,40,12,30,51,61,68,46,57,99,24,72,n/a,False,False
2019-03-10,94,68,92,81,77,0,61,34,52,44,0,14,49,63,53,62,46,64,86,24,87,n/a,False,False
2019-03-17,84,76,83,67,46,0,52,0,58,40,20,7,34,94,42,86,51,51,89,72,37,n/a,False,False
2019-03-24,85,73,90,75,47,0,71,0,68,39,40,7,38,73,41,62,34,44,75,24,43,n/a,False,False
2019-03-31,89,67,100,78,60,0,62,25,77,41,40,8,31,61,36,68,45,32,81,0,31,n/a,False,False
2019-04-07,89,74,86,78,33,0,41,25,71,44,40,10,68,51,44,85,40,32,68,12,63,n/a,False,False
2019-04-14,85,75,76,100,59,0,54,18,32,28,21,10,35,62,56,75,36,100,87,38,43,n/a,False,False
2019-04-21,90,73,77,86,68,0,56,17,76,50,0,6,59,57,41,82,23,65,92,25,41,n/a,False,False
2019-04-28,90,80,87,87,63,0,64,42,43,42,20,11,42,100,54,73,35,26,100,12,56,n/a,False,False
2019-05-05,91,77,90,81,50,0,42,17,61,55,20,6,41,64,46,90,40,32,91,48,53,n/a,False,False
2019-05-12,90,78,87,91,52,0,51,17,46,40,20,7,45,77,55,91,69,19,96,24,52,n/a,False,False
2019-05-19,92,85,91,99,66,0,56,17,55,30,0,11,45,46,32,75,39,44,87,24,65,n/a,False,False
2019-05-26,93,75,83,60,70,0,53,33,83,35,20,8,67,76,68,69,45,38,93,12,56,n/a,False,False
2019-06-02,84,76,89,69,65,0,51,33,78,43,39,7,52,76,39,68,39,37,70,24,50,n/a,False,False
2019-06-09,76,77,91,50,79,0,56,16,48,64,58,9,67,68,50,80,33,37,72,24,46,n/a,False,False
2019-06-16,84,76,100,54,56,0,69,17,71,40,0,10,76,60,65,88,46,32,60,49,58,n/a,False,False
2019-06-23,83,89,88,50,63,1,53,25,70,37,39,10,57,51,47,75,50,37,83,12,35,n/a,False,False
2019-06-30,81,85,90,58,60,0,50,25,52,33,40,4,42,60,40,72,29,57,74,12,58,n/a,False,False
2019-07-07,90,85,97,61,64,0,63,8,61,24,59,8,53,55,45,73,56,19,81,12,39,n/a,False,False
2019-07-14,90,88,93,60,59,0,54,17,34,33,81,6,38,60,61,76,29,32,82,12,39,n/a,False,False
2019-07-21,94,94,89,51,83,0,49,0,51,58,21,6,85,83,60,72,42,40,82,25,47,n/a,False,False
2019-07-28,88,90,89,46,79,1,54,17,66,36,0,8,59,53,69,75,29,46,78,50,30,n/a,False,False
2019-08-04,83,89,87,48,57,0,55,51,66,34,81,9,27,31,58,69,23,32,67,37,42,n/a,False,False
