time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,60,49,64,74,70,77,64,61,70,68,57,82,68,64,72,58,72,71,85,58,68,76,72,99,45,74,52,79,78,64,70,68,66,70,59,75,69,74,70,69,68,90,62,72,57,58,72,69,86,69,72
2019-01-13,72,56,75,64,72,70,70,80,82,69,72,80,87,74,77,66,92,69,73,70,73,82,76,86,64,76,62,91,73,58,71,68,71,73,76,79,91,74,70,80,74,78,71,77,71,62,83,73,66,73,44
2019-01-20,67,74,66,69,67,70,61,61,64,68,64,70,79,71,68,58,80,70,78,62,78,84,66,76,67,84,52,61,70,69,67,82,76,66,70,76,76,80,72,70,69,70,75,73,72,62,78,72,78,70,54
2019-01-27,68,48,67,58,65,66,59,60,77,64,63,71,71,62,71,58,66,66,74,47,64,65,72,78,68,75,68,67,65,83,64,54,64,64,69,73,70,65,67,69,71,100,62,70,53,42,71,69,62,66,60
2019-02-03,58,69,63,66,61,68,56,71,63,60,59,83,69,62,63,49,84,73,76,42,71,68,63,85,46,60,63,51,72,49,54,67,72,61,77,72,69,66,59,44,65,69,63,70,70,47,61,72,71,66,39
2019-02-10,67,63,62,70,59,71,69,71,71,60,54,71,78,63,62,59,61,63,75,46,70,68,62,73,55,66,56,63,60,55,54,67,63,65,70,71,80,74,65,56,58,49,62,68,63,39,61,64,63,62,55
2019-02-17,64,57,66,64,66,72,57,72,71,63,60,61,82,65,73,61,88,72,78,64,79,66,65,79,62,74,70,76,66,64,68,71,65,67,67,69,81,68,67,57,66,69,69,72,77,58,69,70,70,71,43
2019-02-24,68,53,55,76,61,58,54,50,72,60,57,51,76,58,65,54,69,59,78,54,60,69,61,68,59,70,72,66,68,59,59,60,60,66,45,63,64,64,60,51,64,61,61,68,69,33,58,69,76,63,48
2019-03-03,70,56,68,73,63,61,65,71,88,63,56,56,72,60,66,58,79,59,76,53,66,64,58,67,41,79,58,60,70,50,58,70,69,62,75,64,71,66,62,63,63,61,61,68,67,68,63,72,57,59,59
2019-03-10,59,68,60,61,60,68,64,78,60,65,53,74,59,61,61,56,80,61,73,60,60,69,59,74,51,76,60,61,73,49,60,63,64,63,60,64,76,66,62,47,55,68,60,64,70,53,59,66,74,70,77
2019-03-17,54,69,59,58,62,64,59,69,73,63,52,70,55,60,61,42,82,61,70,70,56,77,60,76,61,62,63,61,62,50,59,75,60,61,60,64,70,65,60,66,54,65,59,67,66,61,64,66,53,60,46
2019-03-24,61,59,65,69,57,55,60,74,66,62,59,66,59,62,62,54,84,54,60,57,58,65,59,77,54,64,58,58,71,64,56,60,61,65,48,60,78,73,64,63,70,73,64,67,64,39,68,60,50,59,47
