time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,68,64,65,67,71,71,59,51,98,67,60,77,67,69,68,69,79,68,81,57,70,69,68,75,57,78,58,62,67,70,66,67,69,73,61,72,79,71,62,53,68,58,68,73,68,62,69,72,69,71,61
2019-01-13,69,59,63,66,67,63,60,55,99,67,59,69,56,69,66,67,82,71,79,61,62,66,62,63,70,77,59,76,74,65,59,70,67,71,67,70,72,75,57,51,74,75,70,69,64,54,69,70,58,66,52
2019-01-20,59,51,60,62,59,56,52,52,86,61,56,74,60,62,62,59,67,61,68,53,64,59,60,61,70,72,49,71,71,51,59,56,65,64,52,65,74,64,58,48,58,50,63,61,58,59,62,64,65,63,54
2019-01-27,67,57,58,63,65,63,55,61,87,60,66,79,63,70,69,65,82,65,72,53,64,64,61,65,68,67,51,61,68,59,58,64,65,64,78,68,66,60,57,52,71,74,67,65,71,52,65,61,57,70,56
2019-02-03,66,60,60,68,60,59,55,51,74,60,56,75,53,65,64,63,68,70,69,52,57,57,59,58,65,68,57,64,66,56,56,55,64,63,53,64,65,61,55,49,60,64,58,64,61,55,57,61,59,60,73
2019-02-10,63,56,63,67,63,58,60,55,91,63,58,73,50,67,67,60,73,66,74,70,60,61,60,61,60,72,55,65,64,58,62,67,68,70,58,66,67,62,57,47,66,66,66,67,56,54,61,65,55,64,55
2019-02-17,91,59,72,76,78,72,69,68,100,76,73,89,69,84,77,71,96,79,96,52,84,75,71,74,87,81,69,72,85,66,70,70,80,86,54,75,75,76,72,68,89,63,78,80,65,60,76,73,78,71,64
2019-02-24,64,49,69,72,71,61,59,56,83,66,59,72,50,72,64,59,82,72,71,62,70,70,63,69,66,71,64,66,76,58,65,61,76,73,49,65,73,69,63,51,66,75,71,74,66,41,63,65,56,67,54
2019-03-03,61,42,59,58,60,54,52,54,80,62,55,74,51,59,59,58,68,63,64,46,59,53,52,60,58,69,51,59,61,53,56,48,62,59,48,56,74,57,48,46,61,60,59,61,55,38,56,59,54,62,50
2019-03-10,61,49,62,61,63,58,53,53,83,63,55,71,59,64,62,61,75,57,68,52,60,59,55,60,64,68,53,61,66,63,59,66,67,58,60,66,66,62,53,44,68,61,64,64,58,50,65,58,57,62,56
2019-03-17,47,49,51,44,53,47,43,41,67,57,45,58,42,54,51,45,64,53,62,37,47,54,49,51,61,50,37,52,57,43,45,53,49,52,43,54,53,55,47,43,54,59,51,53,51,36,53,48,52,57,40
2019-03-24,55,46,56,56,53,47,48,47,86,58,46,53,46,58,53,58,62,57,61,43,49,50,51,55,56,62,50,52,57,54,50,50,56,53,51,52,75,49,45,45,56,59,57,59,51,45,55,52,48,58,56
2019-03-31,49,42,52,55,51,50,45,38,59,55,44,43,41,54,56,53,64,56,64,45,46,50,46,51,56,58,49,53,56,51,49,51,52,53,50,48,68,50,45,43,54,54,52,56,50,40,54,51,41,50,44
2019-04-07,49,48,47,49,46,51,43,39,64,49,43,56,45,49,49,53,55,54,58,39,43,52,45,51,61,49,61,53,55,44,44,48,49,52,49,47,69,49,40,44,57,61,53,54,52,28,51,45,49,53,30
2019-04-14,49,42,51,52,53,51,47,40,68,53,48,66,52,54,56,52,57,58,61,47,48,50,50,58,49,56,49,48,58,56,50,52,54,59,56,52,62,59,49,44,59,60,56,54,53,44,54,53,50,55,52
2019-04-21,52,51,50,50,53,48,48,41,62,52,53,60,50,52,56,47,63,54,57,41,50,53,50,49,56,57,63,48,58,50,47,48,52,53,46,53,52,52,48,41,52,53,53,55,53,34,54,53,47,55,47
2019-04-28,51,36,49,52,51,45,47,45,77,50,49,68,48,57,55,45,62,58,60,42,47,54,47,49,59,55,52,50,59,44,47,44,55,49,52,57,53,52,46,44,53,55,52,52,39,36,52,48,43,57,56
2019-05-05,58,46,49,52,55,53,46,42,63,53,58,61,43,56,52,57,68,60,61,52,51,49,48,52,64,58,47,57,60,51,50,45,57,54,42,58,60,53,47,44,56,52,52,54,54,37,56,54,58,55,58
2019-05-12,55,48,54,57,55,53,52,50,65,55,49,57,46,60,57,47,65,55,67,48,52,53,51,57,55,58,52,64,69,55,53,58,57,55,46,62,57,57,51,42,60,58,57,60,54,35,55,53,58,60,55
2019-05-19,50,44,51,53,52,49,47,40,60,48,43,50,46,52,51,49,53,47,57,49,46,47,47,50,51,58,50,49,62,49,48,48,50,51,46,51,59,49,42,40,54,45,48,53,52,32,48,48,43,47,42
2019-05-26,53,45,51,52,55,48,43,44,56,51,46,55,49,54,51,53,56,49,60,45,49,51,48,48,59,57,43,56,68,50,49,48,49,53,43,46,57,57,45,46,56,54,51,57,52,42,46,51,39,53,46
2019-06-02,56,48,51,58,54,52,45,49,61,55,50,57,53,55,51,49,58,62,63,41,54,50,45,53,60,63,37,56,56,50,49,50,54,54,54,51,57,57,45,44,59,47,54,57,53,36,57,51,44,56,34
2019-06-09,61,43,55,50,55,45,39,49,60,51,50,61,49,58,54,58,64,61,64,46,52,47,53,53,55,58,55,55,61,38,50,42,53,55,46,49,61,53,46,44,58,51,56,57,53,42,53,56,49,53,54
2019-06-16,61,66,59,61,57,53,52,46,52,59,57,60,45,57,57,55,59,64,66,45,52,57,54,54,63,64,54,64,71,52,56,57,64,56,45,54,60,55,47,44,58,68,58,64,54,35,54,54,44,57,56
2019-06-23,54,54,51,52,56,49,44,39,66,52,43,57,51,58,53,49,60,57,66,58,47,53,48,52,66,57,46,52,62,46,48,58,52,53,49,50,62,52,44,41,63,47,56,59,49,35,49,53,48,53,49
2019-06-30,62,35,54,48,50,51,44,53,59,53,53,61,48,51,51,46,56,58,69,56,54,48,51,51,60,57,50,50,58,51,51,50,49,57,46,51,58,54,44,39,60,53,54,55,54,36,52,54,45,58,46
2019-07-07,57,51,55,57,56,56,53,49,71,58,56,58,45,53,53,56,65,59,67,56,53,49,51,58,58,64,52,49,64,49,52,57,53,57,39,52,68,57,48,47,57,63,62,61,55,32,51,52,58,62,48
2019-07-14,58,64,52,48,57,50,51,49,80,58,53,55,42,56,55,56,64,63,67,55,54,58,55,58,65,66,54,58,64,60,52,62,58,58,63,57,71,54,50,40,59,57,61,60,58,47,55,58,54,56,62
2019-07-21,60,55,57,51,57,51,46,49,60,57,56,66,48,55,50,48,67,57,68,52,53,49,49,53,62,59,49,48,56,47,47,56,55,54,47,53,55,57,45,45,64,57,56,60,57,36,58,57,52,58,60
2019-07-28,49,49,52,52,55,44,42,40,56,53,53,59,47,50,51,47,65,60,64,53,57,52,48,52,54,59,44,46,65,47,46,55,54,53,48,47,63,51,44,39,61,45,59,57,56,32,54,55,46,57,46
2019-08-04,55,65,52,50,57,52,43,44,55,56,57,66,50,54,52,50,64,61,65,55,52,51,53,54,59,60,52,55,64,60,52,55,55,55,45,51,61,57,46,43,60,61,63,58,52,39,51,56,52,54,63
2019-08-11,52,55,54,61,56,48,49,54,67,54,54,66,48,57,57,56,63,57,62,54,52,49,49,55,62,57,44,48,60,53,51,63,57,57,52,52,58,58,46,45,62,47,56,58,56,33,51,55,61,57,45
2019-08-18,48,58,54,50,52,46,42,42,50,52,48,66,51,50,57,53,61,62,62,56,49,47,49,52,55,53,47,59,57,49,51,57,51,53,41,49,60,50,43,43,61,51,58,55,54,40,52,51,52,56,53
2019-08-25,57,46,57,45,55,50,46,54,75,51,46,59,43,55,54,53,61,55,64,49,47,51,50,51,56,59,43,59,61,50,52,53,56,56,53,52,61,57,48,49,55,45,61,57,52,34,51,56,57,55,33
2019-09-01,60,44,55,49,51,48,50,47,51,54,50,54,54,52,51,58,61,56,57,49,49,50,54,52,49,62,61,51,63,49,44,52,51,54,44,49,54,55,45,42,59,49,51,57,55,42,51,49,50,55,58
2019-09-08,56,62,56,53,56,55,46,41,67,55,50,53,51,56,56,53,58,58,65,49,55,55,52,54,54,58,50,59,62,51,49,58,56,59,51,49,68,54,47,38,65,51,56,57,49,43,53,56,55,56,54
2019-09-15,57,51,51,53,55,50,44,33,61,49,52,57,51,54,53,56,65,53,58,44,47,51,50,52,59,55,43,58,52,52,43,64,53,54,53,50,58,55,47,43,60,44,54,59,54,36,51,54,51,56,46
2019-09-22,65,47,63,62,65,61,60,51,87,61,62,66,61,69,65,67,75,67,76,59,61,63,65,67,77,70,72,65,68,67,60,69,69,64,66,64,75,67,58,48,65,74,62,69,62,57,62,66,64,65,64
