time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,12,10,22,15,24,11,17,25,66,23,15,13,15,23,21,14,16,15,15,31,25,24,29,21,18,39,9,29,21,29,30,26,27,19,30,17,17,17,22,24,22,32,17,21,20,14,27,17,27,20,9
2019-01-13,13,29,27,24,27,24,23,33,40,20,17,24,18,24,25,24,10,15,15,31,25,27,23,21,28,38,9,22,35,22,24,36,29,18,22,24,23,26,24,21,10,39,20,23,29,14,28,24,12,23,0
2019-01-20,17,29,30,27,29,20,24,12,42,27,16,31,26,35,23,13,25,32,18,21,34,32,25,17,28,38,9,24,25,35,32,21,33,22,7,20,28,26,26,9,18,8,20,22,32,27,27,25,24,22,0
2019-01-27,24,39,24,14,32,25,25,28,42,23,22,29,32,32,19,20,14,21,16,37,29,40,17,19,26,56,14,35,28,29,27,28,32,24,15,20,16,35,25,24,17,8,21,26,32,21,26,21,15,24,0
2019-02-03,12,9,30,22,25,28,27,28,55,28,20,26,20,40,27,22,22,23,19,27,33,39,28,16,23,37,9,28,20,25,29,35,32,23,29,22,19,21,24,21,26,23,20,28,27,41,35,26,15,26,25
2019-02-10,19,38,23,30,31,27,25,32,45,25,25,18,32,40,27,21,19,20,27,30,39,30,32,36,45,44,22,32,28,28,33,42,36,25,21,26,17,33,30,35,20,38,20,30,40,14,27,23,27,26,25
2019-02-17,23,57,27,25,30,33,19,48,68,27,19,13,26,40,32,20,25,24,33,21,35,32,34,31,33,38,13,37,37,50,36,37,36,26,14,28,26,29,26,27,23,0,24,29,23,41,30,28,21,32,25
2019-02-24,19,19,32,27,35,26,33,24,63,33,25,35,34,40,38,18,29,24,25,21,33,37,29,32,41,45,13,27,31,18,31,14,38,27,14,27,19,24,24,23,25,38,17,34,47,13,33,28,38,32,8
2019-03-03,22,87,52,42,77,58,54,85,100,68,42,63,29,74,50,55,35,38,39,67,66,84,59,53,30,80,45,66,73,70,92,50,81,47,73,46,41,58,51,84,46,31,41,71,58,97,73,48,48,66,42
2019-03-10,17,0,26,29,29,28,23,49,31,22,15,8,23,33,22,24,16,18,17,43,27,36,27,19,16,42,36,15,22,16,27,33,27,22,58,25,15,27,23,24,22,15,19,23,37,28,25,28,24,36,34
2019-03-17,21,19,13,16,23,16,33,24,46,20,18,3,26,31,25,11,22,26,30,27,21,30,24,26,26,27,23,17,18,13,31,28,30,22,15,18,13,18,26,24,19,23,16,23,19,28,28,19,33,27,0
2019-03-24,17,10,20,33,24,20,23,20,55,20,18,28,12,25,22,28,17,21,25,27,30,27,28,13,29,36,13,28,36,31,30,28,26,20,7,20,14,8,24,15,17,47,18,23,23,27,33,18,24,24,0
2019-03-31,17,10,21,24,22,25,28,16,44,20,17,16,23,29,25,21,25,12,18,18,27,31,22,21,36,48,27,28,31,16,29,35,29,17,7,17,18,18,19,33,22,16,15,21,19,27,32,23,24,30,25
2019-04-07,12,0,24,24,25,24,23,16,54,15,14,29,35,30,25,24,24,13,20,24,32,21,21,19,38,36,14,22,22,22,29,12,26,17,7,16,16,15,24,18,14,31,18,28,28,28,23,21,18,25,25
2019-04-14,17,30,15,19,23,16,22,42,32,20,13,14,27,27,25,17,22,23,23,13,29,23,23,26,21,28,19,16,14,33,25,27,24,18,15,18,12,18,22,28,18,49,16,20,23,43,20,19,32,29,18
2019-04-21,17,59,21,25,23,29,30,25,39,19,18,8,27,30,22,23,18,17,9,34,19,29,28,20,30,32,18,38,25,16,26,14,26,20,23,18,10,23,23,21,15,16,22,22,16,28,25,20,31,25,17
2019-04-28,11,29,26,16,26,17,34,25,60,18,20,18,9,31,27,30,34,16,19,19,26,31,25,28,24,49,32,22,21,32,30,17,31,18,30,24,15,19,24,15,18,56,12,22,24,7,32,20,33,27,42
2019-05-05,16,19,21,24,25,22,26,32,36,19,16,16,23,27,16,30,35,19,12,18,27,28,22,17,14,40,27,28,37,16,26,19,26,19,22,19,21,23,17,21,10,8,14,19,25,7,19,16,21,22,17
2019-05-12,8,19,21,15,27,24,16,20,31,18,14,29,29,34,24,12,26,13,14,18,26,23,21,23,10,44,18,26,29,16,28,21,33,13,29,19,10,26,18,33,15,31,20,20,21,14,26,18,6,29,17
2019-05-19,15,38,16,13,25,16,18,32,51,16,16,10,17,31,20,27,16,19,16,12,26,31,22,21,12,34,9,24,18,22,27,19,26,18,7,14,8,24,18,0,13,23,14,19,15,55,21,19,21,30,17
2019-05-26,5,19,19,10,23,18,18,20,44,15,11,23,14,21,14,14,8,8,13,21,23,20,18,20,12,20,22,15,22,19,22,19,22,12,22,12,10,20,16,33,10,8,12,14,16,27,21,14,21,24,33
2019-06-02,7,19,11,8,18,14,17,24,56,14,15,8,9,23,14,13,14,10,19,18,29,22,19,20,12,22,0,13,21,16,22,21,22,11,7,10,10,16,13,15,15,15,16,16,12,20,21,14,12,13,33
2019-06-09,9,9,15,13,20,17,13,4,30,14,11,10,28,20,12,6,14,10,11,6,22,26,19,9,23,16,22,6,21,31,18,16,25,11,36,11,11,24,13,32,11,15,9,16,9,7,18,17,18,11,16
2019-06-16,10,29,14,5,17,12,14,12,23,18,14,8,20,26,19,8,24,11,14,9,19,26,12,16,14,20,14,7,17,35,20,14,25,13,7,12,7,19,18,6,15,8,14,20,26,28,17,17,9,16,17
