time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,90,81,88,83,86,87,69,57,88,83,83,90,74,76,82,82,88,86,75,77,76,94,83,85,66,70,73,81,73,84,77,78,78,94,95,88,81,82,80,86,68,73,74,81,85,59,86,88,73,74,56
2019-01-13,89,88,78,71,78,86,72,55,100,77,85,68,75,80,86,84,100,78,78,72,78,82,73,80,81,74,72,87,82,62,71,79,79,81,94,92,87,80,76,91,83,49,77,79,78,84,88,84,84,79,68
2019-01-20,94,66,72,79,74,73,73,69,73,78,81,77,78,74,83,77,94,82,59,69,71,88,76,81,72,64,78,85,95,76,66,73,80,85,73,80,77,79,79,70,73,59,77,77,76,55,80,84,92,86,94
2019-01-27,93,69,74,65,70,79,66,83,73,76,75,65,76,77,81,90,74,70,66,63,76,77,81,79,81,71,79,74,90,68,70,77,74,77,89,76,80,75,79,59,80,53,66,78,81,43,76,73,65,78,55
2019-02-03,78,44,65,58,67,69,55,67,78,66,69,65,76,65,73,69,78,79,57,55,57,70,69,63,69,63,65,85,82,69,60,67,69,72,63,69,86,73,70,59,60,50,65,72,72,59,63,80,60,74,66
2019-02-10,84,57,67,72,71,83,68,56,69,70,70,57,56,70,74,82,70,78,66,67,67,74,68,68,66,75,90,85,83,66,62,72,70,77,67,76,79,69,70,73,72,74,72,72,77,63,70,82,75,71,75
2019-02-17,86,86,78,68,73,80,75,63,85,69,79,67,83,79,77,84,69,89,69,62,72,81,66,67,61,70,69,69,69,73,61,60,74,84,76,72,87,79,79,55,67,52,80,77,83,65,75,79,59,72,72
2019-02-24,64,59,76,62,69,73,66,65,76,71,70,70,84,70,80,83,72,76,68,66,67,80,63,67,64,68,64,81,71,61,61,61,63,70,67,68,75,67,71,81,68,62,58,72,72,66,71,70,83,64,51
2019-03-03,77,66,65,63,71,79,64,46,76,70,66,69,70,67,72,78,82,71,69,65,72,77,65,72,66,72,58,80,78,69,62,71,72,75,59,66,72,77,66,55,75,72,61,73,77,46,73,75,67,73,64
2019-03-10,75,66,66,72,70,86,61,49,54,75,63,61,75,63,67,68,64,70,79,59,63,76,65,71,65,62,72,74,85,59,63,71,72,72,82,66,79,66,67,62,66,40,61,73,72,59,67,67,54,67,52
2019-03-17,70,56,70,59,71,79,66,65,61,72,63,51,64,65,62,63,64,62,90,61,64,75,65,65,55,63,71,81,71,55,57,75,68,72,55,66,71,74,65,78,70,47,56,71,73,53,72,77,59,55,58
2019-03-24,58,62,72,61,71,66,64,47,69,74,69,67,75,63,72,69,68,69,69,75,62,75,60,59,62,64,60,68,79,48,56,59,65,65,64,69,95,80,66,59,69,66,60,72,70,76,63,71,52,68,68
2019-03-31,65,53,66,58,68,64,71,62,50,72,61,69,55,68,71,68,59,72,80,55,59,78,63,67,61,60,58,70,78,59,60,50,69,63,57,63,89,87,59,79,65,57,55,73,62,68,72,75,63,58,77
2019-04-07,85,81,73,65,66,73,57,47,80,60,64,68,64,65,64,68,68,76,64,47,56,70,60,72,70,49,50,96,77,49,61,70,64,68,37,60,92,72,61,68,62,77,63,71,64,55,71,79,49,60,71
2019-04-14,59,72,66,66,64,67,54,51,65,70,77,81,65,71,69,64,71,71,74,57,69,78,71,62,65,63,81,61,73,67,60,47,66,73,59,63,66,78,64,66,64,48,64,69,72,54,70,70,70,59,32
2019-04-21,66,63,66,62,71,65,62,73,66,63,78,52,52,62,68,66,72,71,55,57,61,79,66,67,57,52,59,78,74,62,56,74,69,67,45,67,68,73,72,89,68,48,67,68,71,45,69,71,58,70,76
2019-04-28,70,43,71,61,69,69,61,51,66,66,81,79,65,65,70,64,85,69,68,59,59,82,67,71,63,65,67,89,82,54,58,70,71,64,51,77,74,67,66,91,58,75,61,66,82,56,64,72,70,67,43
2019-05-05,69,53,67,57,65,74,62,57,68,65,72,67,57,66,66,78,74,65,60,60,62,73,62,60,81,70,68,65,77,65,56,64,69,68,80,71,68,66,63,55,70,70,59,64,63,38,69,62,47,62,61
2019-05-12,60,61,65,50,70,64,63,49,59,66,73,66,50,65,64,66,74,67,68,54,63,72,61,66,64,56,62,62,77,53,62,71,65,67,46,70,66,82,57,72,56,76,57,70,74,50,70,70,64,67,46
