time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,54,64,53,59,58,61,47,62,74,51,45,55,69,50,53,57,62,52,56,69,53,56,52,49,51,60,50,53,53,54,51,50,48,61,55,55,64,63,48,46,49,59,61,61,61,46,53,67,42,49,69
2019-01-13,59,67,48,70,57,57,49,39,69,46,44,68,56,49,49,49,57,47,50,53,45,49,44,62,51,54,46,47,43,47,48,43,49,51,42,50,57,59,46,41,54,39,55,55,53,65,51,56,56,50,31
2019-01-20,52,47,46,60,54,61,47,54,53,46,44,59,50,51,50,58,62,51,48,55,42,49,51,63,43,58,38,46,53,53,52,50,49,50,37,52,52,65,47,50,44,51,52,54,57,51,50,55,53,51,33
2019-01-27,55,72,49,61,58,66,50,46,61,53,50,61,68,56,62,63,54,64,48,73,60,53,55,69,53,57,50,46,50,47,51,49,52,54,53,58,58,60,50,43,43,48,61,59,66,77,52,62,48,62,62
2019-02-03,49,54,46,61,53,59,38,41,46,47,38,45,62,49,56,60,57,50,48,52,44,48,53,58,40,54,50,59,50,46,47,52,51,49,56,49,59,59,45,44,47,40,51,58,49,39,47,61,49,53,39
2019-02-10,57,32,49,62,53,58,44,43,48,45,44,54,51,46,49,58,50,49,46,52,51,49,48,52,51,60,34,60,57,39,47,57,48,51,45,53,55,57,45,37,47,65,52,52,51,43,44,58,39,48,48
2019-02-17,49,45,48,62,51,61,37,53,51,46,41,42,40,48,49,58,51,50,43,55,52,42,45,58,44,56,42,60,46,49,47,44,45,52,34,51,53,54,45,36,47,36,51,54,57,55,45,53,48,53,57
2019-02-24,55,44,48,45,51,61,46,33,71,46,43,53,58,45,50,57,59,44,47,54,44,46,44,52,45,52,35,58,47,50,46,44,40,49,43,46,60,59,47,40,50,51,47,57,48,50,52,54,40,53,64
2019-03-03,47,55,46,57,54,53,39,41,42,47,39,45,57,48,54,59,58,55,43,52,52,51,47,53,42,56,40,57,59,59,50,43,51,49,58,50,62,57,44,44,53,44,58,55,56,58,47,53,46,50,55
2019-03-10,50,55,44,50,51,59,42,40,57,47,41,47,43,47,48,52,54,52,41,51,48,46,42,59,53,54,57,58,43,53,47,50,50,51,52,47,52,54,41,42,53,54,49,52,51,56,46,50,43,48,44
2019-03-17,46,38,42,55,51,48,39,36,48,48,37,52,46,43,40,56,53,45,44,59,40,49,44,54,38,48,39,45,45,42,43,42,35,42,52,45,52,49,43,31,43,58,45,51,50,46,45,46,42,46,40
2019-03-24,44,53,50,58,46,48,41,33,56,46,37,64,50,38,46,48,55,45,44,53,39,44,39,51,39,55,49,47,41,41,41,47,44,43,55,47,52,55,39,38,44,38,42,53,47,37,47,48,36,44,39
2019-03-31,46,45,46,56,44,51,36,38,31,42,32,41,44,41,42,53,51,43,41,48,41,43,38,51,44,48,43,44,38,46,41,48,48,42,31,37,54,50,42,38,46,42,42,49,45,72,46,45,50,46,41
2019-04-07,46,59,42,58,46,48,34,26,50,44,40,53,45,43,49,55,56,44,42,54,39,42,39,56,43,48,40,45,42,37,42,46,44,45,58,41,54,48,39,48,45,46,47,52,54,44,45,52,33,50,44
2019-04-14,53,38,43,54,49,56,38,38,61,45,43,49,45,43,48,51,53,42,47,49,44,41,45,50,41,59,47,38,47,44,45,47,39,51,45,44,51,53,43,39,49,59,48,51,55,39,44,54,35,47,28
2019-04-21,42,62,46,51,46,52,42,38,48,42,38,45,54,45,39,47,46,38,44,52,38,38,39,50,40,45,48,50,44,43,36,45,41,41,48,44,50,48,43,34,44,39,40,51,36,53,42,44,42,46,50
2019-04-28,37,44,40,54,45,47,38,34,46,42,42,39,48,41,39,48,49,47,47,42,41,44,41,52,51,46,43,51,42,33,43,38,48,43,41,44,50,46,39,32,41,29,43,50,46,42,45,45,37,41,42
2019-05-05,51,53,49,52,56,51,39,40,35,46,49,66,53,42,50,44,52,50,48,60,40,44,41,50,45,52,32,39,52,50,44,49,46,46,46,46,55,52,41,41,43,46,47,53,50,37,49,45,33,48,55
2019-05-12,51,50,48,54,54,52,41,46,49,45,42,67,47,43,46,46,40,46,44,53,49,45,41,55,42,56,45,53,52,47,40,58,41,47,29,47,53,55,37,29,39,47,44,54,46,29,50,57,34,49,40
2019-05-19,39,60,46,46,51,53,37,36,61,39,36,45,42,47,42,54,51,39,43,54,39,35,43,47,40,46,49,45,45,32,41,34,34,39,44,39,52,47,33,36,49,47,46,49,40,35,44,51,38,36,30
2019-05-26,49,75,47,49,51,50,39,44,36,43,40,44,52,43,52,46,50,47,43,55,36,40,43,53,45,49,33,43,41,45,42,46,39,45,34,39,52,52,39,36,45,30,41,54,47,51,40,50,40,47,35
2019-06-02,43,54,50,58,50,52,38,35,46,44,46,39,51,42,42,48,50,38,43,47,40,45,40,46,39,52,38,58,48,43,41,48,41,46,39,40,55,51,39,40,41,39,47,53,47,65,42,55,43,49,43
2019-06-09,59,52,65,67,60,60,44,54,60,61,50,61,54,54,55,55,63,55,54,50,51,56,52,63,47,66,40,63,56,44,51,63,51,60,45,53,56,67,47,45,58,57,57,64,55,51,54,64,46,62,64
2019-06-16,54,44,47,51,52,49,48,39,44,48,45,46,45,45,45,49,47,46,48,47,46,48,42,56,49,49,51,44,47,46,45,57,53,49,46,47,53,53,42,34,47,37,49,57,51,44,51,54,53,44,40
2019-06-23,51,52,42,52,48,53,36,36,38,45,40,37,40,42,45,54,57,43,50,51,36,37,38,44,38,45,30,45,44,46,38,60,36,46,46,41,50,51,41,31,49,56,47,51,42,39,46,51,38,43,37
2019-06-30,52,38,40,53,46,45,37,40,44,45,44,46,53,42,39,40,54,47,41,35,39,37,43,46,40,50,42,41,43,53,43,46,36,42,33,45,50,49,38,41,50,38,48,53,47,50,43,50,45,46,33
2019-07-07,55,51,49,50,51,45,42,30,32,45,46,51,39,42,42,43,54,43,49,50,40,42,40,48,41,57,55,40,43,44,46,50,40,47,41,44,53,58,41,32,47,41,49,54,45,37,48,53,45,45,24
2019-07-14,55,40,52,48,52,46,41,39,49,51,42,52,50,47,43,46,51,46,50,39,43,36,41,53,44,51,43,50,47,50,42,44,47,50,38,45,49,52,43,38,55,49,52,53,53,33,43,55,39,47,33
2019-07-21,46,38,44,58,50,51,47,36,35,46,43,48,51,39,42,45,52,43,51,47,47,36,40,50,43,43,39,47,49,39,43,51,45,45,36,43,49,49,37,39,44,51,48,52,47,65,46,49,41,42,58
2019-07-28,48,63,41,47,48,52,33,39,36,48,42,41,50,43,48,50,52,42,53,43,37,37,41,57,42,52,44,42,48,40,43,52,41,51,47,40,46,53,43,38,41,52,49,54,44,41,45,55,46,48,36
2019-08-04,56,50,47,57,51,45,43,55,44,51,48,33,42,45,42,48,57,46,47,55,46,40,47,50,52,53,40,40,51,48,43,51,43,50,34,40,59,54,44,37,50,58,58,52,49,38,48,55,45,47,34
2019-08-11,49,59,40,48,46,50,36,45,43,44,40,46,51,44,49,49,49,43,45,48,43,43,37,50,43,51,50,41,40,36,43,37,45,44,45,42,50,51,44,39,45,45,51,50,50,42,44,52,37,38,38
2019-08-18,47,47,41,53,47,48,42,41,60,45,41,49,41,42,42,49,49,47,42,48,46,38,40,43,35,48,47,41,41,49,40,52,40,44,33,39,46,46,42,39,45,44,50,50,40,56,44,53,48,47,61
2019-08-25,43,49,46,61,46,56,38,39,48,41,36,46,53,41,42,41,50,44,51,44,46,37,41,52,42,52,39,38,47,31,39,47,40,45,38,41,44,54,39,36,44,46,46,51,44,55,45,51,40,39,59
2019-09-01,54,67,54,65,55,67,47,44,46,55,48,52,73,49,53,64,50,51,53,54,49,58,51,63,49,59,52,51,54,46,49,58,48,61,41,53,62,56,48,40,59,58,62,63,66,70,50,64,50,53,80
2019-09-08,51,47,46,50,47,52,38,32,48,44,41,35,55,43,43,46,42,43,40,49,42,38,42,55,40,44,38,39,42,44,41,41,38,48,40,38,42,49,43,41,48,45,41,49,43,55,43,51,38,44,36
2019-09-15,50,57,48,51,50,51,39,45,41,44,39,39,50,41,45,56,49,43,43,47,43,41,42,47,47,45,48,40,52,42,41,47,48,47,29,39,51,49,43,36,47,48,52,53,43,32,46,53,34,46,55
2019-09-22,47,52,46,62,47,51,37,33,47,40,40,38,53,43,46,49,46,45,40,39,45,39,42,48,45,44,42,43,42,43,42,40,40,42,37,39,41,45,39,32,42,50,45,49,45,43,46,51,39,44,33
2019-09-29,47,43,40,49,43,43,32,39,49,42,39,47,48,40,41,53,48,43,40,41,40,37,41,45,41,46,42,47,37,44,40,48,39,43,46,40,42,48,38,26,48,38,48,49,49,49,45,49,38,41,33
2019-10-06,44,45,44,49,49,51,35,31,38,46,40,45,43,40,41,51,53,49,39,43,39,41,39,51,38,49,53,45,42,38,39,39,39,44,55,41,50,47,39,39,50,50,43,47,37,35,43,48,31,40,37
2019-10-13,46,41,44,44,46,49,41,52,41,42,38,51,47,43,40,55,47,50,45,44,43,40,41,51,45,47,35,44,45,44,40,43,40,41,31,43,52,53,37,35,46,46,43,47,53,39,42,48,37,47,35
2019-10-20,52,58,43,60,51,49,39,40,61,41,40,35,47,43,43,56,49,45,47,45,46,40,38,49,54,55,42,53,46,45,38,42,42,44,43,43,52,53,41,32,44,36,45,48,42,56,43,47,42,45,55
