time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,30,54,100,81,70,54,48,45,40,65,69,41,25,50,59,61,49,43,50,54,42,68,45,65,80,75,23,42,57,22,43,36,74,58,35,57,74,81,45,81,45,40,43,59,46,0,56,73,57,49,60
2019-01-13,57,41,58,16,60,59,44,27,62,59,52,49,69,36,52,47,93,57,100,37,47,53,39,58,52,48,46,14,56,22,39,43,71,52,35,63,52,87,49,20,26,52,40,82,34,10,63,68,21,62,20
2019-01-20,50,0,82,68,57,70,60,26,72,70,59,16,49,48,53,47,53,59,57,45,57,54,46,42,71,44,38,55,64,50,58,63,78,30,59,57,47,79,39,49,36,51,57,67,37,10,64,53,34,38,59
2019-01-27,39,0,38,32,68,99,37,62,56,61,82,24,25,46,35,42,68,68,72,22,38,61,52,41,32,60,61,55,39,21,62,21,71,56,43,68,43,79,47,59,59,0,58,84,56,39,47,66,28,36,79
2019-02-03,73,53,38,42,56,75,39,26,88,67,50,48,24,55,59,51,62,54,71,53,63,70,48,67,72,61,15,34,72,36,61,62,90,57,8,50,30,72,49,60,23,13,43,68,41,40,69,66,42,49,78
2019-02-10,41,40,39,89,62,65,46,70,83,76,55,16,55,45,67,33,43,47,37,22,61,66,43,53,38,69,67,40,25,56,52,28,65,49,25,62,34,58,61,48,45,38,55,76,69,48,59,47,27,34,19
2019-02-17,76,40,29,32,61,60,45,26,44,69,51,64,55,39,55,63,38,56,38,51,55,53,52,51,32,89,45,68,38,77,57,49,60,70,17,54,85,73,48,39,79,76,58,78,40,78,66,100,34,45,59
2019-02-24,34,13,38,57,53,79,51,35,82,65,48,23,48,45,66,42,52,53,48,44,62,69,62,48,45,62,37,54,100,21,48,89,71,53,25,71,58,68,55,19,43,51,51,70,81,10,75,54,34,41,38
2019-03-03,45,40,44,27,63,51,49,80,73,56,53,32,31,40,60,73,49,45,46,45,61,57,42,43,79,55,38,90,78,36,50,43,75,54,52,56,60,60,44,50,44,65,36,64,53,20,70,70,35,59,60
2019-03-10,47,0,42,43,57,76,43,27,73,49,63,24,100,37,50,72,44,67,49,37,45,56,50,54,39,40,68,34,26,57,40,64,85,45,9,49,73,49,45,98,33,13,38,58,56,20,64,55,48,38,0
